,score
input.acqnt1.gz,0.05128838380060593
input.assctv1.gz,0.1963077392531758
input.assctv2.gz,0.19529132498331042
input.brkly6.gz,0.15818587444370993
input.brkly7.gz,0.21091036229593127
input.citri1.gz,0.13567943024141463
input.citri2.gz,0.13193432546754846
input.citya1.gz,0.22328358804252896
input.citya2.gz,0.19108576882653067
input.clarta.gz,0.12594837534540326
input.clartm.gz,0.09893237705089694
input.crnlea.gz,0.1717528519373535
input.crnlla.gz,0.1781615248804424
input.dortd1.gz,0.11181422954281421
input.dortd2.gz,0.12374145015647957
input.erima1.gz,0.10528323061412181
input.eth001.gz,0.14580550547056997
input.eth002.gz,0.1625527752458159
input.inq101.gz,0.19936242791163444
input.inq102.gz,0.23205721236450452
input.lsia0mf.gz,0.11303587659360256
input.lsia0mw2.gz,0.11643100125598123
input.nyuir1.gz,0.14014328062345122
input.nyuir2.gz,0.14054659301486325
input.padre2.gz,0.08131259639138444
input.pircs1.gz,0.16854128862167644
input.pircs2.gz,0.1582180573899121
input.rutfua1.gz,0.13302701570563824
input.rutfua2.gz,0.12140108057495218
input.siems1.gz,0.10430848674293951
input.siems2.gz,0.07435859388254995
input.topic3.gz,0.0063019692871232715
input.virtu1.gz,0.023327913908372615
input.vtc2s2.gz,0.173436389651283
input.vtc5s2.gz,0.1687275418406083
input.westp1.gz,0.17690190147859716
input.xerox3.gz,0.10094200176841121
input.xerox4.gz,0.07863811668868954
