,score
input.acqnt1.gz,0.345
input.assctv1.gz,0.655
input.assctv2.gz,0.6699999999999999
input.brkly6.gz,0.6425
input.brkly7.gz,0.735
input.citri1.gz,0.515
input.citri2.gz,0.5025000000000001
input.citya1.gz,0.7150000000000001
input.citya2.gz,0.705
input.clarta.gz,0.5349999999999999
input.clartm.gz,0.44750000000000006
input.crnlea.gz,0.5425
input.crnlla.gz,0.6300000000000001
input.dortd1.gz,0.44749999999999995
input.dortd2.gz,0.5075000000000001
input.erima1.gz,0.41999999999999993
input.eth001.gz,0.5650000000000001
input.eth002.gz,0.6475
input.inq101.gz,0.6599999999999999
input.inq102.gz,0.7224999999999999
input.lsia0mf.gz,0.40750000000000003
input.lsia0mw2.gz,0.43
input.nyuir1.gz,0.5475000000000001
input.nyuir2.gz,0.5599999999999999
input.padre2.gz,0.39249999999999996
input.pircs1.gz,0.6174999999999999
input.pircs2.gz,0.6025
input.rutfua1.gz,0.5599999999999999
input.rutfua2.gz,0.485
input.siems1.gz,0.49499999999999994
input.siems2.gz,0.39499999999999996
input.topic3.gz,0.08499999999999999
input.virtu1.gz,0.14750000000000002
input.vtc2s2.gz,0.6125
input.vtc5s2.gz,0.585
input.westp1.gz,0.6125
input.xerox3.gz,0.3875
input.xerox4.gz,0.3350000000000001
