query,q0,docid,rank,score,system
164,Q0,AP891117-0141,1,134.0108893365821,minmaxnorm
164,Q0,WSJ890824-0049,2,131.5637645668732,minmaxnorm
164,Q0,WSJ890811-0076,3,117.1016192168395,minmaxnorm
164,Q0,WSJ890914-0044,4,112.50430755322208,minmaxnorm
164,Q0,AP890510-0161,5,111.21934451951981,minmaxnorm
164,Q0,AP890912-0015,6,107.28521269128414,minmaxnorm
164,Q0,AP890804-0143,7,106.38306852099161,minmaxnorm
164,Q0,AP890921-0244,8,106.3022108683256,minmaxnorm
164,Q0,AP890812-0017,9,105.20348055257848,minmaxnorm
164,Q0,WSJ890817-0104,10,104.51834144782259,minmaxnorm
164,Q0,AP891004-0254,11,104.48951148258274,minmaxnorm
164,Q0,AP890823-0160,12,104.01590420520422,minmaxnorm
164,Q0,AP890725-0031,13,103.83945928069234,minmaxnorm
164,Q0,AP890726-0185,14,103.7264591483912,minmaxnorm
164,Q0,WSJ890913-0025,15,103.38763507445483,minmaxnorm
164,Q0,AP891008-0085,16,103.26597939534453,minmaxnorm
164,Q0,WSJ900628-0019,17,102.440752072911,minmaxnorm
164,Q0,AP890712-0041,18,101.97497485057491,minmaxnorm
164,Q0,AP890511-0096,19,101.25308080293208,minmaxnorm
164,Q0,WSJ900514-0130,20,101.00071364124932,minmaxnorm
164,Q0,WSJ890912-0051,21,100.83714154687496,minmaxnorm
164,Q0,AP891021-0021,22,100.378233521438,minmaxnorm
164,Q0,AP891007-0094,23,99.56935221021274,minmaxnorm
164,Q0,WSJ890911-0074,24,96.95182916567694,minmaxnorm
164,Q0,AP890819-0019,25,96.68307827195183,minmaxnorm
164,Q0,AP891211-0015,26,95.33378154207178,minmaxnorm
164,Q0,AP890428-0072,27,95.24760063241388,minmaxnorm
164,Q0,AP890913-0313,28,94.45823617782473,minmaxnorm
164,Q0,WSJ900426-0136,29,94.09021909119642,minmaxnorm
164,Q0,WSJ890906-0100,30,93.76500109831137,minmaxnorm
164,Q0,AP890829-0121,31,93.47434033134415,minmaxnorm
164,Q0,WSJ900620-0041,32,93.2960645655402,minmaxnorm
164,Q0,AP890829-0009,33,91.28797630027005,minmaxnorm
164,Q0,AP890905-0200,34,90.97924438409724,minmaxnorm
164,Q0,WSJ890802-0060,35,90.85065178740187,minmaxnorm
164,Q0,WSJ891027-0040,36,90.06697358263031,minmaxnorm
164,Q0,WSJ890928-0122,37,89.89302548327287,minmaxnorm
164,Q0,AP890711-0032,38,88.54108948509696,minmaxnorm
164,Q0,AP891018-0096,39,88.28632728815926,minmaxnorm
164,Q0,AP890510-0066,40,88.24918792012085,minmaxnorm
164,Q0,AP890901-0239,41,88.23000468512366,minmaxnorm
164,Q0,AP890826-0062,42,87.97873295722307,minmaxnorm
164,Q0,AP890928-0198,43,87.51890416581587,minmaxnorm
164,Q0,WSJ911122-0110,44,86.82168281158455,minmaxnorm
164,Q0,WSJ891004-0140,45,86.32288349434329,minmaxnorm
164,Q0,AP890817-0059,46,85.91792055191999,minmaxnorm
164,Q0,AP890630-0102,47,85.89099800961621,minmaxnorm
164,Q0,WSJ890825-0004,48,85.64651278610295,minmaxnorm
164,Q0,WSJ910403-0115,49,85.28141427507072,minmaxnorm
164,Q0,WSJ911011-0191,50,84.71770592124048,minmaxnorm
164,Q0,AP891013-0094,51,84.37013546804884,minmaxnorm
164,Q0,WSJ890914-0095,52,84.25742644338193,minmaxnorm
164,Q0,WSJ910320-0004,53,84.18877500166533,minmaxnorm
164,Q0,WSJ911105-0009,54,84.17915945890871,minmaxnorm
164,Q0,WSJ900727-0003,55,84.0271680661994,minmaxnorm
164,Q0,WSJ891004-0131,56,83.79156633802499,minmaxnorm
164,Q0,AP890910-0093,57,83.56472664445138,minmaxnorm
164,Q0,WSJ911107-0002,58,83.39248966903817,minmaxnorm
164,Q0,AP890910-0067,59,83.27595725430503,minmaxnorm
164,Q0,AP890915-0010,60,82.63850801142705,minmaxnorm
164,Q0,WSJ890921-0066,61,82.5490250273927,minmaxnorm
164,Q0,WSJ890725-0124,62,82.14494517254474,minmaxnorm
164,Q0,AP891010-0006,63,81.79313851797842,minmaxnorm
164,Q0,WSJ890818-0055,64,81.76915509295787,minmaxnorm
164,Q0,WSJ900719-0016,65,81.43620399627558,minmaxnorm
164,Q0,WSJ891023-0015,66,81.35307358321548,minmaxnorm
164,Q0,WSJ890829-0078,67,81.32880335347967,minmaxnorm
164,Q0,AP890921-0288,68,80.52242790529327,minmaxnorm
164,Q0,WSJ910909-0099,69,79.37703439446842,minmaxnorm
164,Q0,AP890316-0235,70,79.3302732405217,minmaxnorm
164,Q0,AP890517-0287,71,78.30447451211622,minmaxnorm
164,Q0,WSJ891013-0003,72,77.96075703963504,minmaxnorm
164,Q0,WSJ890821-0105,73,77.66322191212822,minmaxnorm
164,Q0,WSJ911108-0204,74,76.55318455899217,minmaxnorm
164,Q0,WSJ891004-0016,75,76.50085206888544,minmaxnorm
164,Q0,AP890717-0148,76,74.77139438617952,minmaxnorm
164,Q0,AP891215-0023,77,74.16565162809727,minmaxnorm
164,Q0,AP890830-0238,78,73.19704424308605,minmaxnorm
164,Q0,WSJ891010-0079,79,72.82651469997157,minmaxnorm
164,Q0,AP890511-0285,80,72.60839209623315,minmaxnorm
164,Q0,WSJ910917-0030,81,72.36269676754668,minmaxnorm
164,Q0,AP890825-0031,82,72.3508760422504,minmaxnorm
164,Q0,WSJ890921-0125,83,72.19484235558333,minmaxnorm
164,Q0,WSJ890919-0049,84,72.17478395690017,minmaxnorm
164,Q0,WSJ890901-0048,85,71.81876599598954,minmaxnorm
164,Q0,WSJ911007-0141,86,71.66212005745075,minmaxnorm
164,Q0,WSJ890814-0046,87,71.07154585360023,minmaxnorm
164,Q0,AP891215-0187,88,70.94521829195371,minmaxnorm
164,Q0,WSJ900717-0018,89,70.1636467479306,minmaxnorm
164,Q0,WSJ890926-0161,90,70.14205743534782,minmaxnorm
164,Q0,AP890512-0192,91,69.78776641312042,minmaxnorm
164,Q0,WSJ890804-0050,92,69.5410626162794,minmaxnorm
164,Q0,WSJ920210-0003,93,69.1801543475308,minmaxnorm
164,Q0,WSJ890822-0024,94,68.71983733013153,minmaxnorm
164,Q0,WSJ910301-0009,95,68.54793489716965,minmaxnorm
164,Q0,AP890901-0104,96,67.6989635909235,minmaxnorm
164,Q0,WSJ910207-0014,97,67.48476992973697,minmaxnorm
164,Q0,WSJ870218-0117,98,67.0530934198894,minmaxnorm
164,Q0,AP890830-0229,99,65.58454101636363,minmaxnorm
164,Q0,WSJ891018-0165,100,65.07041270524178,minmaxnorm
164,Q0,WSJ910506-0040,101,64.69725609433871,minmaxnorm
164,Q0,WSJ891016-0082,102,63.90746395551574,minmaxnorm
164,Q0,WSJ880602-0094,103,63.52560317249465,minmaxnorm
164,Q0,WSJ920205-0014,104,63.496450095269026,minmaxnorm
164,Q0,WSJ890914-0027,105,63.32607276808397,minmaxnorm
164,Q0,WSJ900406-0132,106,63.279927197211485,minmaxnorm
164,Q0,AP891114-0240,107,62.81620447324958,minmaxnorm
164,Q0,AP891010-0109,108,62.48153600923379,minmaxnorm
164,Q0,WSJ900417-0112,109,62.08484342092948,minmaxnorm
164,Q0,WSJ910524-0009,110,61.947266613895636,minmaxnorm
164,Q0,AP890701-0021,111,61.89404076605988,minmaxnorm
164,Q0,WSJ900925-0072,112,61.34333420044472,minmaxnorm
164,Q0,WSJ880321-0180,113,60.89444835739288,minmaxnorm
164,Q0,WSJ891013-0081,114,60.7858295991525,minmaxnorm
164,Q0,AP891026-0204,115,60.37976391416771,minmaxnorm
164,Q0,AP891017-0061,116,60.36622271602846,minmaxnorm
164,Q0,WSJ910425-0076,117,60.15479093536313,minmaxnorm
164,Q0,WSJ910619-0049,118,59.896671467158654,minmaxnorm
164,Q0,WSJ910124-0126,119,58.478747568320266,minmaxnorm
164,Q0,WSJ890921-0146,120,57.96271585765464,minmaxnorm
164,Q0,AP891014-0059,121,57.75459965385899,minmaxnorm
164,Q0,WSJ880301-0047,122,57.654810380741154,minmaxnorm
164,Q0,WSJ911028-0110,123,57.5002633810043,minmaxnorm
164,Q0,WSJ870721-0003,124,57.14913320184357,minmaxnorm
164,Q0,WSJ890809-0123,125,56.95180219189429,minmaxnorm
164,Q0,AP891212-0073,126,56.350579722623834,minmaxnorm
164,Q0,WSJ910328-0035,127,56.321355317118844,minmaxnorm
164,Q0,WSJ910913-0013,128,55.981174198008745,minmaxnorm
164,Q0,WSJ880520-0096,129,55.82621288209669,minmaxnorm
164,Q0,WSJ910520-0079,130,55.49422121648813,minmaxnorm
164,Q0,WSJ910318-0054,131,55.27491534553819,minmaxnorm
164,Q0,WSJ870528-0069,132,55.00768936585914,minmaxnorm
164,Q0,WSJ880624-0017,133,54.31546738465249,minmaxnorm
164,Q0,WSJ880610-0136,134,54.3105778173969,minmaxnorm
164,Q0,WSJ920102-0043,135,53.48487342080841,minmaxnorm
164,Q0,WSJ890914-0002,136,53.38418227715419,minmaxnorm
164,Q0,WSJ910522-0112,137,52.75240640197095,minmaxnorm
164,Q0,AP890912-0216,138,50.943011432024086,minmaxnorm
164,Q0,WSJ920319-0005,139,50.80569540680065,minmaxnorm
164,Q0,AP890911-0054,140,50.694506047087195,minmaxnorm
164,Q0,WSJ911217-0101,141,50.26804628423844,minmaxnorm
164,Q0,FR89803-0073,142,49.72206002356212,minmaxnorm
164,Q0,AP890928-0035,143,48.965828422872185,minmaxnorm
164,Q0,AP890609-0249,144,48.29358408913298,minmaxnorm
164,Q0,WSJ900813-0031,145,48.24113448705422,minmaxnorm
164,Q0,WSJ880627-0157,146,47.34433319517723,minmaxnorm
164,Q0,WSJ900402-0149,147,47.14362559514412,minmaxnorm
164,Q0,AP891120-0132,148,46.376919056208344,minmaxnorm
164,Q0,WSJ890817-0089,149,45.8235923608397,minmaxnorm
164,Q0,WSJ900824-0003,150,45.62639146160807,minmaxnorm
164,Q0,FR89710-0023,151,45.34832717817671,minmaxnorm
164,Q0,AP890117-0136,152,44.09047548811649,minmaxnorm
164,Q0,AP890322-0192,153,43.9339389908172,minmaxnorm
164,Q0,WSJ880708-0111,154,43.92354759327381,minmaxnorm
164,Q0,WSJ900928-0133,155,43.197705582086456,minmaxnorm
164,Q0,FR89221-0082,156,42.7366539920025,minmaxnorm
164,Q0,WSJ880923-0187,157,42.67858154839267,minmaxnorm
164,Q0,WSJ880624-0052,158,42.32136407398479,minmaxnorm
164,Q0,WSJ861222-0097,159,42.008158953877945,minmaxnorm
164,Q0,FR89327-0017,160,41.955417526646556,minmaxnorm
164,Q0,WSJ880706-0071,161,41.62362221364923,minmaxnorm
164,Q0,WSJ900928-0111,162,40.97680176607852,minmaxnorm
164,Q0,WSJ911106-0060,163,40.95713158457806,minmaxnorm
164,Q0,WSJ880506-0089,164,40.84451840499624,minmaxnorm
164,Q0,WSJ890809-0051,165,40.35295626125143,minmaxnorm
164,Q0,WSJ900621-0071,166,40.1755579349517,minmaxnorm
164,Q0,WSJ910514-0057,167,40.11923130604395,minmaxnorm
164,Q0,WSJ920226-0147,168,39.84910797111863,minmaxnorm
164,Q0,WSJ890913-0124,169,39.84453815801801,minmaxnorm
164,Q0,WSJ880315-0060,170,39.36096266935312,minmaxnorm
164,Q0,WSJ900525-0054,171,39.35821729184933,minmaxnorm
164,Q0,AP880315-0097,172,39.0560375354382,minmaxnorm
164,Q0,WSJ910913-0049,173,38.1506690717321,minmaxnorm
164,Q0,WSJ870220-0061,174,37.8967089096922,minmaxnorm
