query,q0,docid,rank,score,system
154,Q0,AP890328-0022,1,132294.82749999998,borda
154,Q0,AP890914-0039,2,130965.91249999999,borda
154,Q0,AP890625-0011,3,130557.04250000003,borda
154,Q0,AP890510-0036,4,130458.04500000001,borda
154,Q0,AP890718-0177,5,130173.06750000002,borda
154,Q0,AP890510-0039,6,129590.28749999999,borda
154,Q0,AP890626-0153,7,126847.18000000004,borda
154,Q0,AP890329-0175,8,125865.985,borda
154,Q0,AP890624-0116,9,125582.985,borda
154,Q0,AP890912-0169,10,125223.05249999999,borda
154,Q0,AP890509-0277,11,125053.51249999997,borda
154,Q0,WSJ890807-0098,12,124786.84749999999,borda
154,Q0,AP890627-0023,13,124228.81250000003,borda
154,Q0,AP890113-0234,14,124126.11499999998,borda
154,Q0,AP890408-0063,15,123846.4525,borda
154,Q0,DOE1-65-1069,16,123251.22,borda
154,Q0,AP890805-0029,17,121869.38999999998,borda
154,Q0,AP890326-0061,18,120412.7,borda
154,Q0,WSJ911029-0109,19,120224.26,borda
154,Q0,AP890626-0142,20,120115.2925,borda
154,Q0,AP890406-0246,21,119620.99250000001,borda
154,Q0,AP890913-0042,22,119306.39500000005,borda
154,Q0,AP890620-0155,23,118918.86250000003,borda
154,Q0,AP890328-0072,24,118741.56500000003,borda
154,Q0,AP890627-0018,25,118626.345,borda
154,Q0,AP890418-0193,26,118186.95250000001,borda
154,Q0,AP890519-0229,27,117556.75000000003,borda
154,Q0,AP890128-0135,28,116546.42000000003,borda
154,Q0,AP890628-0209,29,116369.69500000002,borda
154,Q0,AP890624-0120,30,116331.31999999999,borda
154,Q0,AP890906-0022,31,116215.73999999998,borda
154,Q0,AP890403-0044,32,116051.615,borda
154,Q0,WSJ900619-0004,33,115927.90000000002,borda
154,Q0,AP891018-0054,34,115673.23749999999,borda
154,Q0,AP890327-0116,35,114899.765,borda
154,Q0,AP890401-0089,36,114345.96000000002,borda
154,Q0,AP891115-0267,37,113871.95000000004,borda
154,Q0,AP891205-0199,38,113871.5525,borda
154,Q0,AP890519-0164,39,113723.91500000004,borda
154,Q0,AP890517-0072,40,113378.34999999998,borda
154,Q0,AP890718-0241,41,113375.52000000003,borda
154,Q0,AP890325-0143,42,113242.90500000001,borda
154,Q0,AP890729-0125,43,112996.51000000002,borda
154,Q0,AP890414-0224,44,112974.735,borda
154,Q0,AP890626-0129,45,112896.515,borda
154,Q0,WSJ900613-0035,46,112247.45999999999,borda
154,Q0,AP890728-0229,47,112185.44250000002,borda
154,Q0,AP890410-0118,48,112144.30750000001,borda
154,Q0,AP890830-0008,49,112038.51499999997,borda
154,Q0,AP890715-0012,50,112031.54250000001,borda
154,Q0,AP890419-0085,51,111847.88500000002,borda
154,Q0,WSJ890915-0006,52,111326.34999999999,borda
154,Q0,AP890624-0121,53,111129.10750000003,borda
154,Q0,WSJ900413-0099,54,111098.32250000002,borda
154,Q0,AP890524-0196,55,111083.92000000001,borda
154,Q0,AP890901-0075,56,110825.1425,borda
154,Q0,AP890303-0137,57,110594.695,borda
154,Q0,AP890429-0124,58,110566.19499999999,borda
154,Q0,AP891012-0253,59,110274.67750000002,borda
154,Q0,AP890407-0045,60,109899.975,borda
154,Q0,AP890626-0097,61,109712.98499999999,borda
154,Q0,AP890414-0235,62,109532.2925,borda
154,Q0,AP890327-0238,63,109006.44,borda
154,Q0,AP890404-0068,64,108810.1925,borda
154,Q0,AP890711-0221,65,108733.23750000005,borda
154,Q0,AP890713-0247,66,108130.6075,borda
154,Q0,AP890512-0248,67,107834.17999999998,borda
154,Q0,WSJ890811-0045,68,107833.46500000003,borda
154,Q0,AP890404-0090,69,107720.35999999999,borda
154,Q0,AP890816-0057,70,107599.135,borda
154,Q0,AP890327-0226,71,107371.965,borda
154,Q0,AP890909-0104,72,106873.0125,borda
154,Q0,WSJ891010-0016,73,106800.69000000003,borda
154,Q0,DOE2-54-0625,74,106225.18250000001,borda
154,Q0,DOE2-37-0759,75,105999.12250000001,borda
154,Q0,AP890906-0197,76,105761.85000000002,borda
154,Q0,AP890509-0152,77,105531.2225,borda
154,Q0,AP880628-0027,78,105527.61499999999,borda
154,Q0,AP890523-0247,79,105303.63749999998,borda
154,Q0,WSJ910410-0063,80,105284.97749999998,borda
154,Q0,WSJ880629-0100,81,104865.20000000001,borda
154,Q0,AP890719-0089,82,104752.735,borda
154,Q0,AP890508-0291,83,104744.75000000003,borda
154,Q0,AP891129-0272,84,104438.32500000001,borda
154,Q0,AP880916-0241,85,104270.02750000001,borda
154,Q0,AP880811-0219,86,103904.815,borda
154,Q0,WSJ910319-0033,87,103852.44999999995,borda
154,Q0,AP890329-0107,88,103653.98,borda
154,Q0,WSJ910905-0114,89,103631.8875,borda
154,Q0,AP890311-0121,90,103448.73750000003,borda
154,Q0,WSJ900612-0001,91,102841.11749999998,borda
154,Q0,AP890714-0192,92,102781.87249999998,borda
154,Q0,AP890629-0164,93,102734.10999999999,borda
154,Q0,AP891107-0205,94,102722.65500000001,borda
154,Q0,AP890421-0236,95,102373.48999999998,borda
154,Q0,AP890630-0041,96,102373.2775,borda
154,Q0,WSJ910705-0069,97,102173.10499999997,borda
154,Q0,AP880915-0155,98,102103.35999999999,borda
154,Q0,AP890625-0047,99,101900.91000000002,borda
154,Q0,AP890407-0140,100,101778.01500000004,borda
154,Q0,AP890621-0146,101,101714.5375,borda
154,Q0,DOE1-40-0286,102,101603.87500000001,borda
154,Q0,WSJ900612-0039,103,101562.81250000003,borda
154,Q0,AP890914-0206,104,101445.7375,borda
154,Q0,AP890406-0150,105,101425.51000000004,borda
154,Q0,WSJ900719-0046,106,101425.11999999998,borda
154,Q0,AP890418-0228,107,101325.47,borda
154,Q0,AP890425-0303,108,101288.40750000003,borda
154,Q0,AP890327-0092,109,101265.18000000004,borda
154,Q0,AP890622-0203,110,101128.2325,borda
154,Q0,AP890711-0124,111,101058.36499999999,borda
154,Q0,AP890304-0141,112,101027.34999999998,borda
154,Q0,DOE2-33-0917,113,100790.92,borda
154,Q0,WSJ900907-0086,114,100364.44750000001,borda
154,Q0,AP890407-0244,115,100325.42499999999,borda
154,Q0,AP880627-0152,116,100232.9725,borda
154,Q0,AP890330-0206,117,100110.65,borda
154,Q0,WSJ891009-0059,118,99788.15250000001,borda
154,Q0,DOE2-30-0655,119,99630.25499999999,borda
154,Q0,WSJ890808-0077,120,99574.22750000002,borda
154,Q0,AP890511-0283,121,99274.10249999998,borda
154,Q0,DOE1-43-0782,122,99206.07250000001,borda
154,Q0,AP891108-0197,123,99166.71500000001,borda
154,Q0,WSJ880114-0016,124,98962.41750000001,borda
154,Q0,AP890520-0019,125,98938.14500000002,borda
154,Q0,AP890404-0143,126,98915.53000000001,borda
154,Q0,WSJ880115-0116,127,98767.28749999999,borda
154,Q0,AP890624-0021,128,98715.53750000002,borda
154,Q0,ZF207-661-798,129,98253.45999999996,borda
154,Q0,WSJ900801-0059,130,97969.1,borda
154,Q0,AP890304-0053,131,97945.11250000002,borda
154,Q0,AP890328-0111,132,97866.34000000001,borda
154,Q0,AP890330-0209,133,97816.48750000002,borda
154,Q0,AP890627-0008,134,97729.55250000003,borda
154,Q0,WSJ910117-0021,135,97382.36,borda
154,Q0,AP890624-0062,136,97203.32749999998,borda
154,Q0,AP890722-0016,137,97039.63500000001,borda
154,Q0,WSJ900629-0050,138,96754.62750000003,borda
154,Q0,ZF207-190-134,139,96285.02750000001,borda
154,Q0,AP890724-0088,140,96226.85250000001,borda
154,Q0,DOE1-26-0141,141,96192.14250000002,borda
154,Q0,AP890404-0258,142,96137.77,borda
154,Q0,WSJ880112-0002,143,95749.74749999998,borda
154,Q0,AP890506-0127,144,95683.26749999999,borda
154,Q0,AP890419-0183,145,95456.86,borda
154,Q0,WSJ900803-0065,146,95192.425,borda
154,Q0,AP890513-0038,147,95168.91749999998,borda
154,Q0,AP880425-0184,148,95032.59000000003,borda
154,Q0,AP890405-0133,149,94772.45,borda
154,Q0,DOE2-40-0392,150,94728.93250000001,borda
154,Q0,WSJ900730-0058,151,94666.7675,borda
154,Q0,AP890508-0268,152,94591.01250000004,borda
154,Q0,AP890403-0149,153,94587.36499999998,borda
154,Q0,AP880521-0183,154,94475.73,borda
154,Q0,WSJ910722-0089,155,94417.3625,borda
154,Q0,WSJ891002-0039,156,94394.6625,borda
154,Q0,AP890327-0218,157,94358.46750000003,borda
154,Q0,AP890621-0024,158,94195.67250000002,borda
154,Q0,AP890426-0210,159,94193.96,borda
154,Q0,AP890705-0086,160,94090.6125,borda
154,Q0,AP890727-0147,161,94087.7575,borda
154,Q0,AP890325-0029,162,93939.54750000002,borda
154,Q0,AP890625-0004,163,93728.96750000001,borda
154,Q0,WSJ900507-0069,164,93702.92749999999,borda
154,Q0,DOE2-30-0985,165,93584.47000000003,borda
154,Q0,AP890725-0219,166,93457.68250000001,borda
154,Q0,AP890404-0141,167,93347.41,borda
154,Q0,AP890609-0205,168,93192.53749999999,borda
154,Q0,WSJ910220-0007,169,93049.00249999999,borda
154,Q0,DOE1-29-0048,170,92432.7575,borda
154,Q0,AP890406-0148,171,92350.09500000002,borda
154,Q0,ZF207-424-988,172,92311.42749999999,borda
154,Q0,AP890508-0253,173,91714.61000000002,borda
154,Q0,WSJ900727-0077,174,91439.95499999999,borda
154,Q0,DOE1-76-0098,175,91342.79000000002,borda
154,Q0,AP890518-0056,176,91061.05,borda
154,Q0,AP890422-0125,177,91042.42250000003,borda
154,Q0,WSJ910129-0015,178,90754.29,borda
154,Q0,WSJ900417-0072,179,90741.91750000003,borda
154,Q0,AP890629-0214,180,90630.01000000004,borda
154,Q0,AP890418-0029,181,90603.26250000001,borda
154,Q0,WSJ890831-0087,182,90471.15000000002,borda
154,Q0,AP890325-0030,183,90279.29,borda
154,Q0,AP890407-0203,184,90172.31750000002,borda
154,Q0,AP890627-0123,185,90045.06250000001,borda
154,Q0,AP890412-0140,186,89943.12500000001,borda
154,Q0,AP890628-0108,187,89897.63,borda
154,Q0,AP890620-0044,188,89731.22500000003,borda
154,Q0,DOE2-37-0757,189,89691.53250000002,borda
154,Q0,AP891104-0051,190,89633.8375,borda
154,Q0,AP890101-0050,191,89610.76999999999,borda
154,Q0,AP891002-0241,192,89534.37,borda
154,Q0,AP890531-0072,193,89448.705,borda
154,Q0,AP890511-0187,194,89228.76500000001,borda
154,Q0,AP890326-0081,195,89043.17000000001,borda
154,Q0,AP890811-0135,196,89029.54000000001,borda
154,Q0,AP890324-0123,197,88986.03750000002,borda
154,Q0,AP891125-0023,198,88959.17000000004,borda
154,Q0,DOE1-34-0840,199,88639.705,borda
154,Q0,AP890725-0270,200,88633.34499999997,borda
154,Q0,DOE2-40-1090,201,88476.31750000002,borda
154,Q0,WSJ890727-0081,202,88294.64,borda
154,Q0,AP890418-0159,203,88245.89749999999,borda
154,Q0,AP890511-0243,204,88181.04500000001,borda
154,Q0,WSJ910125-0047,205,88026.56249999999,borda
154,Q0,AP890403-0040,206,87882.55249999998,borda
154,Q0,ZF207-406-226,207,87875.76500000001,borda
154,Q0,AP890422-0113,208,87875.5,borda
154,Q0,DOE2-40-1096,209,87778.03500000002,borda
154,Q0,AP890401-0038,210,87765.39500000002,borda
154,Q0,AP890728-0069,211,87666.29500000001,borda
154,Q0,ZF207-275-142,212,87505.90499999997,borda
154,Q0,AP890831-0086,213,87483.99000000002,borda
154,Q0,AP890511-0259,214,87235.48750000002,borda
154,Q0,AP891127-0127,215,87091.10500000001,borda
154,Q0,AP880714-0115,216,87035.56499999999,borda
154,Q0,AP890606-0203,217,86956.1175,borda
154,Q0,DOE1-23-0230,218,86931.27249999996,borda
154,Q0,FR88725-0063,219,86778.24750000003,borda
154,Q0,AP890831-0169,220,86727.48999999999,borda
154,Q0,AP890412-0113,221,86318.47499999998,borda
154,Q0,WSJ900904-0087,222,86300.23750000003,borda
154,Q0,AP890330-0007,223,86223.23250000001,borda
154,Q0,WSJ910128-0047,224,86089.16500000002,borda
154,Q0,AP881228-0133,225,86088.57250000004,borda
154,Q0,WSJ900716-0105,226,85938.45000000001,borda
154,Q0,AP890107-0137,227,85866.74000000002,borda
154,Q0,AP890408-0035,228,85817.17249999999,borda
154,Q0,WSJ900907-0083,229,85756.4075,borda
154,Q0,AP890718-0196,230,85561.87000000001,borda
154,Q0,DOE2-31-0784,231,85524.0225,borda
154,Q0,AP890628-0206,232,85139.78750000002,borda
154,Q0,WSJ910213-0064,233,84896.13750000001,borda
154,Q0,AP890722-0001,234,84410.72750000004,borda
154,Q0,AP890405-0162,235,84300.29499999998,borda
154,Q0,WSJ900713-0079,236,84199.53499999999,borda
154,Q0,AP891110-0030,237,83929.17500000002,borda
154,Q0,AP890624-0077,238,83857.58500000002,borda
154,Q0,AP890302-0094,239,83839.73250000001,borda
154,Q0,AP890502-0161,240,83770.45000000003,borda
154,Q0,ZF207-760-725,241,83702.01750000003,borda
154,Q0,WSJ891024-0035,242,83680.62249999998,borda
154,Q0,AP890726-0260,243,83590.3825,borda
154,Q0,AP890303-0049,244,83479.80499999996,borda
154,Q0,DOE1-37-0329,245,83461.60750000001,borda
154,Q0,AP890429-0069,246,83410.045,borda
