query,q0,docid,rank,score,system
154,Q0,AP890328-0022,1,132118.69499999998,borda
154,Q0,AP890914-0039,2,130300.70749999999,borda
154,Q0,AP890625-0011,3,130097.53000000001,borda
154,Q0,AP890510-0036,4,129655.52500000002,borda
154,Q0,AP890718-0177,5,129365.33500000002,borda
154,Q0,AP890510-0039,6,128787.35999999999,borda
154,Q0,AP890626-0153,7,126275.40250000004,borda
154,Q0,AP890624-0116,8,125583.84749999999,borda
154,Q0,AP890329-0175,9,125463.13500000001,borda
154,Q0,AP890509-0277,10,124850.07999999996,borda
154,Q0,AP890912-0169,11,124517.5625,borda
154,Q0,WSJ890807-0098,12,123979.64749999999,borda
154,Q0,AP890627-0023,13,123478.92000000003,borda
154,Q0,AP890113-0234,14,123299.92749999998,borda
154,Q0,AP890408-0063,15,123160.51000000001,borda
154,Q0,DOE1-65-1069,16,123140.83499999999,borda
154,Q0,AP890805-0029,17,121462.67749999999,borda
154,Q0,AP890326-0061,18,120413.56249999999,borda
154,Q0,WSJ911029-0109,19,120181.44249999999,borda
154,Q0,AP890626-0142,20,119419.1425,borda
154,Q0,AP890406-0246,21,118784.23750000002,borda
154,Q0,AP890913-0042,22,118494.03750000005,borda
154,Q0,AP890620-0155,23,118198.71250000004,borda
154,Q0,AP890328-0072,24,118079.54750000003,borda
154,Q0,AP890627-0018,25,118055.43,borda
154,Q0,AP890418-0193,26,117884.92000000001,borda
154,Q0,AP890519-0229,27,116829.30000000003,borda
154,Q0,AP890628-0209,28,116370.55750000001,borda
154,Q0,AP890906-0022,29,116073.95999999998,borda
154,Q0,AP890403-0044,30,116052.4775,borda
154,Q0,AP890128-0135,31,115923.94500000002,borda
154,Q0,WSJ900619-0004,32,115827.16250000002,borda
154,Q0,AP890624-0120,33,115745.19,borda
154,Q0,AP891018-0054,34,115561.0325,borda
154,Q0,AP890401-0089,35,114346.82250000001,borda
154,Q0,AP890327-0116,36,114088.0325,borda
154,Q0,AP890517-0072,37,113379.21249999997,borda
154,Q0,AP891115-0267,38,113301.75500000003,borda
154,Q0,AP891205-0199,39,113073.58,borda
154,Q0,AP890519-0164,40,113063.23000000004,borda
154,Q0,AP890626-0129,41,112897.37749999999,borda
154,Q0,AP890729-0125,42,112873.5475,borda
154,Q0,AP890414-0224,43,112800.65,borda
154,Q0,AP890718-0241,44,112669.94500000004,borda
154,Q0,AP890325-0143,45,112619.8025,borda
154,Q0,AP890715-0012,46,111915.24250000001,borda
154,Q0,AP890728-0229,47,111633.85500000001,borda
154,Q0,AP890830-0008,48,111580.27249999996,borda
154,Q0,WSJ900613-0035,49,111460.47,borda
154,Q0,AP890410-0118,50,111440.20250000001,borda
154,Q0,AP890419-0085,51,111262.12000000002,borda
154,Q0,WSJ890915-0006,52,111261.80749999998,borda
154,Q0,WSJ900413-0099,53,111099.18500000001,borda
154,Q0,AP890901-0075,54,110824.735,borda
154,Q0,AP890524-0196,55,110717.11750000001,borda
154,Q0,AP890429-0124,56,110567.05749999998,borda
154,Q0,AP890624-0121,57,110399.54000000002,borda
154,Q0,AP891012-0253,58,110162.24500000001,borda
154,Q0,AP890303-0137,59,110147.6325,borda
154,Q0,AP890407-0045,60,109761.1375,borda
154,Q0,AP890414-0235,61,109086.1375,borda
154,Q0,AP890626-0097,62,109011.75999999998,borda
154,Q0,AP890711-0221,63,108698.15500000004,borda
154,Q0,AP890327-0238,64,108488.34000000001,borda
154,Q0,AP890404-0068,65,108157.34000000003,borda
154,Q0,AP890713-0247,66,107841.275,borda
154,Q0,WSJ890811-0045,67,107791.14750000002,borda
154,Q0,AP890327-0226,68,107372.82749999998,borda
154,Q0,AP890512-0248,69,107133.76249999998,borda
154,Q0,AP890816-0057,70,106991.98999999999,borda
