query,q0,docid,rank,score,system
154,Q0,AP890718-0177,1,9.898724481767623,reciprocal_rank_fusion_k=60
154,Q0,AP890510-0036,2,9.559484876450304,reciprocal_rank_fusion_k=60
154,Q0,AP890914-0039,3,9.377296777858817,reciprocal_rank_fusion_k=60
154,Q0,AP890510-0039,4,9.281783868042112,reciprocal_rank_fusion_k=60
154,Q0,AP890328-0022,5,9.018985350590027,reciprocal_rank_fusion_k=60
154,Q0,DOE1-65-1069,6,9.004707931362281,reciprocal_rank_fusion_k=60
154,Q0,AP890625-0011,7,8.14684435722973,reciprocal_rank_fusion_k=60
154,Q0,AP890912-0169,8,7.920169530995903,reciprocal_rank_fusion_k=60
154,Q0,AP890624-0116,9,7.916497487482636,reciprocal_rank_fusion_k=60
154,Q0,AP890326-0061,10,7.701466594057977,reciprocal_rank_fusion_k=60
154,Q0,AP890626-0153,11,7.678222651321481,reciprocal_rank_fusion_k=60
154,Q0,AP890113-0234,12,7.659636489567599,reciprocal_rank_fusion_k=60
154,Q0,WSJ890807-0098,13,7.599048397596936,reciprocal_rank_fusion_k=60
154,Q0,AP890627-0023,14,7.443833455521882,reciprocal_rank_fusion_k=60
154,Q0,AP890509-0277,15,7.404657626199827,reciprocal_rank_fusion_k=60
154,Q0,DOE2-37-0759,16,7.054400767621018,reciprocal_rank_fusion_k=60
154,Q0,AP890329-0175,17,6.950490976949458,reciprocal_rank_fusion_k=60
154,Q0,AP890805-0029,18,6.947888804995279,reciprocal_rank_fusion_k=60
154,Q0,AP890627-0018,19,6.7528038235098204,reciprocal_rank_fusion_k=60
154,Q0,DOE2-54-0625,20,6.729336187716483,reciprocal_rank_fusion_k=60
154,Q0,AP890408-0063,21,6.54277363388324,reciprocal_rank_fusion_k=60
154,Q0,DOE2-30-0655,22,6.5285980261021015,reciprocal_rank_fusion_k=60
154,Q0,WSJ911029-0109,23,6.419020788066532,reciprocal_rank_fusion_k=60
154,Q0,WSJ910905-0114,24,6.359541572923294,reciprocal_rank_fusion_k=60
154,Q0,DOE1-26-0141,25,6.279768706696504,reciprocal_rank_fusion_k=60
154,Q0,AP890517-0072,26,6.2742883180084315,reciprocal_rank_fusion_k=60
154,Q0,AP890325-0143,27,6.223915118307049,reciprocal_rank_fusion_k=60
154,Q0,DOE2-33-0917,28,6.209308049620722,reciprocal_rank_fusion_k=60
154,Q0,WSJ890808-0077,29,6.201658667217807,reciprocal_rank_fusion_k=60
154,Q0,AP890626-0142,30,6.161188729248386,reciprocal_rank_fusion_k=60
154,Q0,AP890406-0246,31,6.072395247523202,reciprocal_rank_fusion_k=60
154,Q0,AP890626-0129,32,5.992457902801098,reciprocal_rank_fusion_k=60
154,Q0,WSJ900619-0004,33,5.9089617526995735,reciprocal_rank_fusion_k=60
154,Q0,WSJ910705-0069,34,5.8219146701889315,reciprocal_rank_fusion_k=60
154,Q0,AP890718-0241,35,5.805067129009713,reciprocal_rank_fusion_k=60
154,Q0,AP890913-0042,36,5.751653112727874,reciprocal_rank_fusion_k=60
154,Q0,AP890620-0155,37,5.706210483175402,reciprocal_rank_fusion_k=60
154,Q0,AP890628-0209,38,5.649070504079533,reciprocal_rank_fusion_k=60
154,Q0,DOE1-40-0286,39,5.6414089043557665,reciprocal_rank_fusion_k=60
154,Q0,DOE1-29-0048,40,5.603125016171884,reciprocal_rank_fusion_k=60
154,Q0,AP890328-0072,41,5.600874487029313,reciprocal_rank_fusion_k=60
154,Q0,AP890128-0135,42,5.591105699040823,reciprocal_rank_fusion_k=60
154,Q0,AP890327-0116,43,5.547150914530802,reciprocal_rank_fusion_k=60
154,Q0,AP890906-0022,44,5.518555151982412,reciprocal_rank_fusion_k=60
154,Q0,DOE1-76-0098,45,5.456013354656005,reciprocal_rank_fusion_k=60
154,Q0,AP890418-0193,46,5.4479336708131205,reciprocal_rank_fusion_k=60
154,Q0,WSJ910319-0033,47,5.412877362907218,reciprocal_rank_fusion_k=60
154,Q0,AP890624-0121,48,5.37222182736983,reciprocal_rank_fusion_k=60
154,Q0,AP890410-0118,49,5.343697214334297,reciprocal_rank_fusion_k=60
154,Q0,WSJ891010-0016,50,5.316968207558058,reciprocal_rank_fusion_k=60
154,Q0,WSJ880115-0116,51,5.299812681349344,reciprocal_rank_fusion_k=60
154,Q0,AP890624-0120,52,5.2778008668145135,reciprocal_rank_fusion_k=60
154,Q0,AP890519-0229,53,5.234301653451609,reciprocal_rank_fusion_k=60
154,Q0,AP891018-0054,54,5.169801376264841,reciprocal_rank_fusion_k=60
154,Q0,DOE1-23-0230,55,5.103613567339631,reciprocal_rank_fusion_k=60
154,Q0,AP890404-0068,56,5.089079781533658,reciprocal_rank_fusion_k=60
154,Q0,AP890414-0224,57,5.0527547492687015,reciprocal_rank_fusion_k=60
154,Q0,AP890419-0085,58,5.043832459792269,reciprocal_rank_fusion_k=60
154,Q0,AP890519-0164,59,5.012490534197323,reciprocal_rank_fusion_k=60
154,Q0,AP890909-0104,60,4.988348841199898,reciprocal_rank_fusion_k=60
154,Q0,DOE2-30-0985,61,4.9817407542002545,reciprocal_rank_fusion_k=60
154,Q0,AP890401-0089,62,4.895877074294617,reciprocal_rank_fusion_k=60
154,Q0,AP890728-0229,63,4.886583287463151,reciprocal_rank_fusion_k=60
154,Q0,ZF207-661-798,64,4.874054414906342,reciprocal_rank_fusion_k=60
154,Q0,WSJ890811-0045,65,4.839198892366646,reciprocal_rank_fusion_k=60
154,Q0,AP890729-0125,66,4.793865065814971,reciprocal_rank_fusion_k=60
154,Q0,WSJ900613-0035,67,4.778477238803707,reciprocal_rank_fusion_k=60
154,Q0,AP890429-0124,68,4.777170131610293,reciprocal_rank_fusion_k=60
154,Q0,WSJ890915-0006,69,4.77035358707853,reciprocal_rank_fusion_k=60
154,Q0,AP891205-0199,70,4.69178340417612,reciprocal_rank_fusion_k=60
154,Q0,AP890404-0090,71,4.677997195112663,reciprocal_rank_fusion_k=60
154,Q0,AP890711-0221,72,4.67407724837687,reciprocal_rank_fusion_k=60
154,Q0,AP890325-0030,73,4.655127037570834,reciprocal_rank_fusion_k=60
154,Q0,AP890512-0248,74,4.648324568209554,reciprocal_rank_fusion_k=60
154,Q0,AP880916-0241,75,4.646084149205885,reciprocal_rank_fusion_k=60
154,Q0,AP891115-0267,76,4.601556710917213,reciprocal_rank_fusion_k=60
154,Q0,DOE2-40-1090,77,4.592399269136625,reciprocal_rank_fusion_k=60
154,Q0,AP890830-0008,78,4.557693155041435,reciprocal_rank_fusion_k=60
