query,q0,docid,rank,score,system
154,Q0,AP890718-0177,1,0.2187786152246633,reciprocal_rank_fusion_k=60
154,Q0,AP890510-0036,2,0.21460476364676306,reciprocal_rank_fusion_k=60
154,Q0,AP890914-0039,3,0.21068501341905568,reciprocal_rank_fusion_k=60
154,Q0,AP890510-0039,4,0.2081657475250915,reciprocal_rank_fusion_k=60
154,Q0,AP890328-0022,5,0.2065633296813258,reciprocal_rank_fusion_k=60
154,Q0,DOE1-65-1069,6,0.19694347502432122,reciprocal_rank_fusion_k=60
154,Q0,AP890625-0011,7,0.1869045398232547,reciprocal_rank_fusion_k=60
154,Q0,AP890624-0116,8,0.1829196227759833,reciprocal_rank_fusion_k=60
154,Q0,AP890326-0061,9,0.17624388101096697,reciprocal_rank_fusion_k=60
154,Q0,AP890626-0153,10,0.1757999127323695,reciprocal_rank_fusion_k=60
154,Q0,AP890912-0169,11,0.17499963190084342,reciprocal_rank_fusion_k=60
154,Q0,AP890113-0234,12,0.1702120159349357,reciprocal_rank_fusion_k=60
154,Q0,AP890509-0277,13,0.16709131699948795,reciprocal_rank_fusion_k=60
154,Q0,AP890627-0023,14,0.1662808930825056,reciprocal_rank_fusion_k=60
154,Q0,WSJ890807-0098,15,0.165796581411211,reciprocal_rank_fusion_k=60
154,Q0,AP890329-0175,16,0.157438879210329,reciprocal_rank_fusion_k=60
154,Q0,AP890627-0018,17,0.15541637288612187,reciprocal_rank_fusion_k=60
154,Q0,AP890805-0029,18,0.15481276949404502,reciprocal_rank_fusion_k=60
154,Q0,DOE2-37-0759,19,0.15402000777316427,reciprocal_rank_fusion_k=60
154,Q0,WSJ911029-0109,20,0.14959328519448703,reciprocal_rank_fusion_k=60
154,Q0,DOE2-54-0625,21,0.14891195102186885,reciprocal_rank_fusion_k=60
154,Q0,AP890408-0063,22,0.1470185274961888,reciprocal_rank_fusion_k=60
154,Q0,AP890325-0143,23,0.14390112491854057,reciprocal_rank_fusion_k=60
154,Q0,DOE2-30-0655,24,0.14079580110693335,reciprocal_rank_fusion_k=60
154,Q0,DOE1-26-0141,25,0.1396308878307913,reciprocal_rank_fusion_k=60
154,Q0,AP890517-0072,26,0.13907168338669054,reciprocal_rank_fusion_k=60
154,Q0,AP890626-0142,27,0.13904153122537885,reciprocal_rank_fusion_k=60
154,Q0,DOE2-33-0917,28,0.1376828572474108,reciprocal_rank_fusion_k=60
154,Q0,WSJ910905-0114,29,0.1372349472207863,reciprocal_rank_fusion_k=60
154,Q0,WSJ900619-0004,30,0.13411757933590832,reciprocal_rank_fusion_k=60
154,Q0,AP890406-0246,31,0.13319385666351694,reciprocal_rank_fusion_k=60
154,Q0,WSJ890808-0077,32,0.13241450560592152,reciprocal_rank_fusion_k=60
154,Q0,AP890626-0129,33,0.1316163474067233,reciprocal_rank_fusion_k=60
154,Q0,WSJ910705-0069,34,0.12907369685795778,reciprocal_rank_fusion_k=60
154,Q0,AP890620-0155,35,0.1283231102974764,reciprocal_rank_fusion_k=60
154,Q0,AP890718-0241,36,0.12745448861573422,reciprocal_rank_fusion_k=60
154,Q0,AP890328-0072,37,0.12731342807061535,reciprocal_rank_fusion_k=60
154,Q0,AP890128-0135,38,0.12720455566456515,reciprocal_rank_fusion_k=60
154,Q0,AP890628-0209,39,0.1267807987921478,reciprocal_rank_fusion_k=60
154,Q0,AP890913-0042,40,0.12596111233731888,reciprocal_rank_fusion_k=60
154,Q0,AP890906-0022,41,0.1257468873403428,reciprocal_rank_fusion_k=60
154,Q0,DOE1-40-0286,42,0.12527773090886485,reciprocal_rank_fusion_k=60
154,Q0,AP890418-0193,43,0.12453537277802278,reciprocal_rank_fusion_k=60
154,Q0,AP890327-0116,44,0.12332505859000892,reciprocal_rank_fusion_k=60
154,Q0,AP890624-0121,45,0.12321282812376037,reciprocal_rank_fusion_k=60
154,Q0,WSJ910319-0033,46,0.12271925303213861,reciprocal_rank_fusion_k=60
154,Q0,AP890624-0120,47,0.121153641644601,reciprocal_rank_fusion_k=60
154,Q0,DOE1-29-0048,48,0.12073914500416419,reciprocal_rank_fusion_k=60
154,Q0,WSJ880115-0116,49,0.12034155809534706,reciprocal_rank_fusion_k=60
154,Q0,DOE1-76-0098,50,0.1190062377964747,reciprocal_rank_fusion_k=60
154,Q0,AP890519-0229,51,0.11839539592201778,reciprocal_rank_fusion_k=60
154,Q0,WSJ891010-0016,52,0.11754877773540241,reciprocal_rank_fusion_k=60
154,Q0,AP890414-0224,53,0.1173069495728817,reciprocal_rank_fusion_k=60
154,Q0,AP890410-0118,54,0.11696844436972276,reciprocal_rank_fusion_k=60
154,Q0,AP890404-0068,55,0.11619597597862703,reciprocal_rank_fusion_k=60
154,Q0,AP891018-0054,56,0.11571888048516253,reciprocal_rank_fusion_k=60
154,Q0,AP890419-0085,57,0.11533353710016915,reciprocal_rank_fusion_k=60
154,Q0,AP890519-0164,58,0.11259579521399012,reciprocal_rank_fusion_k=60
154,Q0,AP890401-0089,59,0.11252216944421856,reciprocal_rank_fusion_k=60
154,Q0,AP890711-0221,60,0.11154132930764618,reciprocal_rank_fusion_k=60
154,Q0,AP890909-0104,61,0.11127881449857123,reciprocal_rank_fusion_k=60
154,Q0,DOE1-23-0230,62,0.1110920223924008,reciprocal_rank_fusion_k=60
154,Q0,AP890728-0229,63,0.11007454264461981,reciprocal_rank_fusion_k=60
154,Q0,WSJ890915-0006,64,0.10887038524076588,reciprocal_rank_fusion_k=60
154,Q0,ZF207-661-798,65,0.10850205740617408,reciprocal_rank_fusion_k=60
154,Q0,DOE2-30-0985,66,0.10842927537513555,reciprocal_rank_fusion_k=60
154,Q0,AP890729-0125,67,0.10801003300232463,reciprocal_rank_fusion_k=60
154,Q0,AP890429-0124,68,0.10735527833145939,reciprocal_rank_fusion_k=60
154,Q0,WSJ890811-0045,69,0.10687878799609461,reciprocal_rank_fusion_k=60
154,Q0,WSJ900613-0035,70,0.10543721915338257,reciprocal_rank_fusion_k=60
154,Q0,AP890325-0030,71,0.10445484208998834,reciprocal_rank_fusion_k=60
154,Q0,AP890404-0090,72,0.10400677608325283,reciprocal_rank_fusion_k=60
154,Q0,AP891205-0199,73,0.10310580530555732,reciprocal_rank_fusion_k=60
154,Q0,AP890512-0248,74,0.10308728328357047,reciprocal_rank_fusion_k=60
154,Q0,AP890830-0008,75,0.10306433536551113,reciprocal_rank_fusion_k=60
154,Q0,AP880916-0241,76,0.10251347313035382,reciprocal_rank_fusion_k=60
154,Q0,DOE2-40-0392,77,0.1019766558439309,reciprocal_rank_fusion_k=60
154,Q0,DOE2-40-1090,78,0.1019274650752403,reciprocal_rank_fusion_k=60
154,Q0,AP890403-0044,79,0.10117284467121328,reciprocal_rank_fusion_k=60
154,Q0,AP891115-0267,80,0.1011068852234631,reciprocal_rank_fusion_k=60
154,Q0,AP890625-0047,81,0.10085348845063088,reciprocal_rank_fusion_k=60
154,Q0,AP890303-0137,82,0.10069484156201564,reciprocal_rank_fusion_k=60
154,Q0,AP890407-0045,83,0.09967761126937554,reciprocal_rank_fusion_k=60
154,Q0,AP880628-0027,84,0.0987950564189898,reciprocal_rank_fusion_k=60
154,Q0,ZF207-190-134,85,0.09874166905817489,reciprocal_rank_fusion_k=60
154,Q0,WSJ880629-0100,86,0.09873597262389447,reciprocal_rank_fusion_k=60
154,Q0,AP890624-0021,87,0.09800280384761352,reciprocal_rank_fusion_k=60
154,Q0,DOE1-34-0840,88,0.09782025021075548,reciprocal_rank_fusion_k=60
154,Q0,AP890901-0075,89,0.09755250586052498,reciprocal_rank_fusion_k=60
154,Q0,AP890414-0235,90,0.09731137751809518,reciprocal_rank_fusion_k=60
154,Q0,AP890327-0238,91,0.09677649667038862,reciprocal_rank_fusion_k=60
154,Q0,AP890626-0097,92,0.09653938433605158,reciprocal_rank_fusion_k=60
154,Q0,AP890524-0196,93,0.09635227587675374,reciprocal_rank_fusion_k=60
154,Q0,FR88725-0063,94,0.09619235466281237,reciprocal_rank_fusion_k=60
154,Q0,WSJ900413-0099,95,0.09617091724311544,reciprocal_rank_fusion_k=60
154,Q0,AP891012-0253,96,0.09508915258483497,reciprocal_rank_fusion_k=60
154,Q0,ZF207-424-988,97,0.09432499537166945,reciprocal_rank_fusion_k=60
154,Q0,AP890713-0247,98,0.09429078709556599,reciprocal_rank_fusion_k=60
154,Q0,WSJ910410-0063,99,0.09395825670311803,reciprocal_rank_fusion_k=60
154,Q0,AP890715-0012,100,0.09371133206204775,reciprocal_rank_fusion_k=60
154,Q0,AP890624-0062,101,0.09340997132357688,reciprocal_rank_fusion_k=60
154,Q0,AP890311-0121,102,0.09288509730076036,reciprocal_rank_fusion_k=60
154,Q0,AP891104-0051,103,0.09261341636078657,reciprocal_rank_fusion_k=60
154,Q0,WSJ900907-0086,104,0.0924946076361212,reciprocal_rank_fusion_k=60
154,Q0,AP890719-0089,105,0.0923585991744461,reciprocal_rank_fusion_k=60
154,Q0,AP890711-0124,106,0.09232054458567403,reciprocal_rank_fusion_k=60
154,Q0,AP880627-0152,107,0.0920619495136525,reciprocal_rank_fusion_k=60
154,Q0,WSJ910128-0047,108,0.09113580129948558,reciprocal_rank_fusion_k=60
154,Q0,AP890816-0057,109,0.09016510659835542,reciprocal_rank_fusion_k=60
154,Q0,WSJ900730-0058,110,0.08888855892672193,reciprocal_rank_fusion_k=60
154,Q0,AP880811-0219,111,0.08878186305835781,reciprocal_rank_fusion_k=60
154,Q0,WSJ891009-0059,112,0.08866330278740776,reciprocal_rank_fusion_k=60
154,Q0,AP890906-0197,113,0.08861447989008155,reciprocal_rank_fusion_k=60
154,Q0,WSJ900417-0072,114,0.08764509703313705,reciprocal_rank_fusion_k=60
154,Q0,WSJ910125-0047,115,0.08748223427074432,reciprocal_rank_fusion_k=60
154,Q0,DOE2-40-1096,116,0.0874716730039056,reciprocal_rank_fusion_k=60
154,Q0,DOE1-43-0782,117,0.08724124850137907,reciprocal_rank_fusion_k=60
154,Q0,WSJ900612-0039,118,0.08708598724490571,reciprocal_rank_fusion_k=60
154,Q0,AP891129-0272,119,0.08704658769123974,reciprocal_rank_fusion_k=60
154,Q0,ZF207-406-226,120,0.08664266950862402,reciprocal_rank_fusion_k=60
154,Q0,AP890327-0092,121,0.08660819917926402,reciprocal_rank_fusion_k=60
154,Q0,AP890421-0236,122,0.08648975844770425,reciprocal_rank_fusion_k=60
154,Q0,AP890327-0226,123,0.08620536452396758,reciprocal_rank_fusion_k=60
154,Q0,WSJ910220-0007,124,0.08565757640710227,reciprocal_rank_fusion_k=60
154,Q0,WSJ900612-0001,125,0.08562638662909595,reciprocal_rank_fusion_k=60
154,Q0,AP890330-0206,126,0.0855454221929579,reciprocal_rank_fusion_k=60
154,Q0,AP890325-0029,127,0.08550715773628674,reciprocal_rank_fusion_k=60
154,Q0,WSJ910117-0021,128,0.08530891210433866,reciprocal_rank_fusion_k=60
154,Q0,AP890508-0291,129,0.08512765562939696,reciprocal_rank_fusion_k=60
154,Q0,AP880915-0155,130,0.0847001358193735,reciprocal_rank_fusion_k=60
154,Q0,FR89811-0133,131,0.08459586814802167,reciprocal_rank_fusion_k=60
154,Q0,ZF207-275-142,132,0.08430365907816602,reciprocal_rank_fusion_k=60
154,Q0,AP890629-0164,133,0.0841364579619629,reciprocal_rank_fusion_k=60
154,Q0,AP890407-0140,134,0.0841032063101288,reciprocal_rank_fusion_k=60
154,Q0,AP890622-0203,135,0.08299378742448965,reciprocal_rank_fusion_k=60
154,Q0,DOE1-37-0329,136,0.082945449620853,reciprocal_rank_fusion_k=60
154,Q0,AP890407-0244,137,0.08286930295128464,reciprocal_rank_fusion_k=60
154,Q0,WSJ900803-0065,138,0.08269851016482388,reciprocal_rank_fusion_k=60
154,Q0,WSJ910722-0089,139,0.08178038383189581,reciprocal_rank_fusion_k=60
154,Q0,WSJ910129-0015,140,0.08177480833443727,reciprocal_rank_fusion_k=60
154,Q0,AP890509-0152,141,0.08164210921229297,reciprocal_rank_fusion_k=60
