query,q0,docid,rank,score,system
154,Q0,AP890914-0039,1,0.4118632235128844,minmaxnorm
154,Q0,AP890510-0036,2,0.4020351843378721,minmaxnorm
154,Q0,AP890510-0039,3,0.4001024970437931,minmaxnorm
154,Q0,AP890326-0061,4,0.3984418429497786,minmaxnorm
154,Q0,AP890624-0116,5,0.3973689740111033,minmaxnorm
154,Q0,AP890718-0177,6,0.39530604822015497,minmaxnorm
154,Q0,DOE1-65-1069,7,0.3900260289257085,minmaxnorm
154,Q0,AP890912-0169,8,0.3880113561111799,minmaxnorm
154,Q0,AP890113-0234,9,0.38558721624649495,minmaxnorm
154,Q0,AP890626-0153,10,0.38498561963880523,minmaxnorm
154,Q0,AP890328-0022,11,0.3806432009633794,minmaxnorm
154,Q0,AP890805-0029,12,0.37761102288423337,minmaxnorm
154,Q0,AP890627-0018,13,0.3766968460263412,minmaxnorm
154,Q0,WSJ890807-0098,14,0.3755893009125598,minmaxnorm
154,Q0,AP890625-0011,15,0.37487817965050024,minmaxnorm
154,Q0,AP890627-0023,16,0.3748023925860009,minmaxnorm
154,Q0,AP890509-0277,17,0.37458139602977547,minmaxnorm
154,Q0,AP890408-0063,18,0.3719253853159114,minmaxnorm
154,Q0,AP890626-0142,19,0.36861039935518514,minmaxnorm
154,Q0,AP890406-0246,20,0.36664291786045716,minmaxnorm
154,Q0,AP890329-0175,21,0.3659751293520931,minmaxnorm
154,Q0,AP890410-0118,22,0.3658452787307958,minmaxnorm
154,Q0,AP890327-0116,23,0.3626162612736699,minmaxnorm
154,Q0,DOE2-54-0625,24,0.35737044143804186,minmaxnorm
154,Q0,DOE1-26-0141,25,0.3562823856680638,minmaxnorm
154,Q0,AP890128-0135,26,0.3543858907837367,minmaxnorm
154,Q0,AP891115-0267,27,0.3542887154579739,minmaxnorm
154,Q0,AP891205-0199,28,0.3537628199904175,minmaxnorm
154,Q0,AP890328-0072,29,0.35329698708665314,minmaxnorm
154,Q0,DOE2-37-0759,30,0.3520959432510626,minmaxnorm
154,Q0,WSJ891010-0016,31,0.3516226721915818,minmaxnorm
154,Q0,WSJ900613-0035,32,0.3505654621915791,minmaxnorm
154,Q0,AP880916-0241,33,0.34700746597002957,minmaxnorm
154,Q0,AP890626-0129,34,0.3466808279096972,minmaxnorm
154,Q0,AP890519-0229,35,0.3459246749663713,minmaxnorm
154,Q0,AP891018-0054,36,0.3458843807871177,minmaxnorm
154,Q0,AP890628-0209,37,0.3441615745849879,minmaxnorm
154,Q0,WSJ911029-0109,38,0.34384566712856174,minmaxnorm
154,Q0,WSJ900619-0004,39,0.3438437457489133,minmaxnorm
154,Q0,AP890729-0125,40,0.34341967038244986,minmaxnorm
154,Q0,AP890624-0120,41,0.34198184658637226,minmaxnorm
154,Q0,AP890913-0042,42,0.3416955652726232,minmaxnorm
154,Q0,AP890718-0241,43,0.3407134347848573,minmaxnorm
154,Q0,AP890419-0085,44,0.3406579632337586,minmaxnorm
154,Q0,AP890620-0155,45,0.3404559279920565,minmaxnorm
154,Q0,AP890906-0022,46,0.3398885921936693,minmaxnorm
154,Q0,AP890418-0193,47,0.33977673880004305,minmaxnorm
154,Q0,DOE2-30-0655,48,0.338964085806751,minmaxnorm
154,Q0,WSJ890915-0006,49,0.33824835570970013,minmaxnorm
154,Q0,AP890429-0124,50,0.3374395710224544,minmaxnorm
154,Q0,AP890512-0248,51,0.3369349923006256,minmaxnorm
154,Q0,AP890327-0238,52,0.3367528342059318,minmaxnorm
154,Q0,AP890715-0012,53,0.3366953567211639,minmaxnorm
154,Q0,AP890519-0164,54,0.3359400356723671,minmaxnorm
154,Q0,WSJ910410-0063,55,0.33574084746225535,minmaxnorm
154,Q0,WSJ890808-0077,56,0.33570271271935753,minmaxnorm
154,Q0,AP890909-0104,57,0.33535981408517973,minmaxnorm
154,Q0,AP890404-0068,58,0.33511757351689464,minmaxnorm
154,Q0,DOE2-33-0917,59,0.3348156519798514,minmaxnorm
154,Q0,AP890719-0089,60,0.3341119997477125,minmaxnorm
154,Q0,DOE1-40-0286,61,0.33387828658204527,minmaxnorm
154,Q0,AP890830-0008,62,0.33152664591222747,minmaxnorm
154,Q0,AP890401-0089,63,0.3308623249077576,minmaxnorm
154,Q0,AP890625-0047,64,0.3307910265975835,minmaxnorm
154,Q0,AP890901-0075,65,0.3307369848296032,minmaxnorm
154,Q0,AP890713-0247,66,0.33038964648344876,minmaxnorm
154,Q0,WSJ900507-0069,67,0.33017789808533643,minmaxnorm
154,Q0,AP891108-0197,68,0.3296663978598057,minmaxnorm
154,Q0,WSJ900413-0099,69,0.32898018487469793,minmaxnorm
154,Q0,AP890520-0019,70,0.3287741404317323,minmaxnorm
154,Q0,AP890325-0143,71,0.3285760302748108,minmaxnorm
154,Q0,AP880915-0155,72,0.3283173973382958,minmaxnorm
154,Q0,AP891129-0272,73,0.3276465223809318,minmaxnorm
154,Q0,AP890404-0090,74,0.3274004252081131,minmaxnorm
154,Q0,AP890524-0196,75,0.3271930525305853,minmaxnorm
154,Q0,WSJ880629-0100,76,0.3270637436385291,minmaxnorm
154,Q0,AP890629-0164,77,0.32665223191461557,minmaxnorm
154,Q0,WSJ880112-0002,78,0.32648573361879696,minmaxnorm
154,Q0,AP890407-0045,79,0.32642900899610494,minmaxnorm
154,Q0,AP890728-0229,80,0.3263205238961161,minmaxnorm
154,Q0,AP890714-0192,81,0.3257400843681285,minmaxnorm
154,Q0,AP890407-0140,82,0.3253872447511017,minmaxnorm
154,Q0,WSJ910319-0033,83,0.3250452315049033,minmaxnorm
154,Q0,AP890523-0247,84,0.3250299998168457,minmaxnorm
154,Q0,AP880628-0027,85,0.3250024976993534,minmaxnorm
154,Q0,WSJ900730-0058,86,0.32495388997873065,minmaxnorm
154,Q0,AP890508-0291,87,0.3244610142908942,minmaxnorm
154,Q0,AP890414-0224,88,0.3237792118927043,minmaxnorm
154,Q0,WSJ910220-0007,89,0.32293833833599367,minmaxnorm
154,Q0,AP890404-0258,90,0.3221422625128551,minmaxnorm
154,Q0,WSJ900907-0086,91,0.32199234216771916,minmaxnorm
154,Q0,AP880811-0219,92,0.3217805711741938,minmaxnorm
154,Q0,AP890511-0283,93,0.3216283481768291,minmaxnorm
154,Q0,AP890906-0197,94,0.32127532293050143,minmaxnorm
154,Q0,AP890407-0244,95,0.32125393552980097,minmaxnorm
154,Q0,AP890421-0236,96,0.3208925320972455,minmaxnorm
154,Q0,AP890627-0008,97,0.3208754286073063,minmaxnorm
154,Q0,AP890425-0303,98,0.3201889283063502,minmaxnorm
154,Q0,WSJ880115-0116,99,0.3201748943318972,minmaxnorm
154,Q0,AP890509-0152,100,0.3200999015892307,minmaxnorm
154,Q0,AP890311-0121,101,0.32007603446413774,minmaxnorm
154,Q0,AP890816-0057,102,0.31995631008837144,minmaxnorm
154,Q0,AP890403-0044,103,0.3199153977543,minmaxnorm
154,Q0,DOE1-76-0098,104,0.319777885494273,minmaxnorm
154,Q0,AP880627-0152,105,0.3197426367809322,minmaxnorm
154,Q0,AP891107-0205,106,0.3197211819745734,minmaxnorm
154,Q0,WSJ890811-0045,107,0.31968482346174787,minmaxnorm
154,Q0,WSJ910905-0114,108,0.31909422538927174,minmaxnorm
154,Q0,AP890630-0041,109,0.31880163610182993,minmaxnorm
154,Q0,WSJ910117-0021,110,0.31859329105410167,minmaxnorm
154,Q0,AP890330-0206,111,0.31850307030066566,minmaxnorm
154,Q0,WSJ900719-0046,112,0.31813533876656724,minmaxnorm
154,Q0,WSJ910705-0069,113,0.31808107632358,minmaxnorm
154,Q0,AP890517-0072,114,0.3180522481988526,minmaxnorm
154,Q0,AP890705-0086,115,0.31797067900969356,minmaxnorm
154,Q0,AP890727-0147,116,0.31721167960331,minmaxnorm
154,Q0,AP880425-0184,117,0.3171987542747945,minmaxnorm
154,Q0,AP890513-0038,118,0.3170443565702715,minmaxnorm
154,Q0,AP890724-0088,119,0.31618602786713246,minmaxnorm
154,Q0,ZF207-661-798,120,0.3161814028344076,minmaxnorm
154,Q0,WSJ891002-0039,121,0.31541423262548035,minmaxnorm
154,Q0,WSJ900629-0050,122,0.31529481727669056,minmaxnorm
154,Q0,AP890624-0121,123,0.31483872892566384,minmaxnorm
154,Q0,AP890722-0016,124,0.3145960359239375,minmaxnorm
154,Q0,AP890327-0226,125,0.3144953121981494,minmaxnorm
154,Q0,AP890303-0137,126,0.31388840417999025,minmaxnorm
154,Q0,AP890914-0206,127,0.31362808023368743,minmaxnorm
154,Q0,AP890711-0221,128,0.3133417607330305,minmaxnorm
154,Q0,WSJ891009-0059,129,0.313119677698516,minmaxnorm
154,Q0,AP890711-0124,130,0.3131191576140627,minmaxnorm
154,Q0,AP890621-0146,131,0.3125360356514102,minmaxnorm
154,Q0,AP890418-0228,132,0.3124710927177636,minmaxnorm
154,Q0,WSJ900417-0072,133,0.31241978748663635,minmaxnorm
