query,q0,docid,rank,score,system
151,Q0,AP890523-0126,1,36933.0,borda
151,Q0,WSJ870428-0145,2,36666.0,borda
151,Q0,AP890116-0047,3,36577.0,borda
151,Q0,AP890105-0133,4,36437.0,borda
151,Q0,AP890125-0112,5,36362.0,borda
151,Q0,AP890406-0085,6,36245.0,borda
151,Q0,AP891030-0017,7,36135.0,borda
151,Q0,AP890408-0056,8,36097.0,borda
151,Q0,AP880814-0089,9,36052.0,borda
151,Q0,AP890309-0036,10,36008.0,borda
151,Q0,AP891121-0179,11,36003.0,borda
151,Q0,AP891028-0154,12,35940.0,borda
151,Q0,AP880815-0061,13,35826.0,borda
151,Q0,AP890130-0060,14,35760.0,borda
151,Q0,WSJ870205-0131,15,35669.0,borda
151,Q0,AP881108-0076,16,35582.0,borda
151,Q0,AP890524-0260,17,35515.0,borda
151,Q0,AP881004-0180,18,35263.0,borda
151,Q0,AP890411-0076,19,35220.0,borda
151,Q0,AP881005-0001,20,35192.0,borda
151,Q0,AP880827-0092,21,35128.0,borda
151,Q0,AP890912-0102,22,35089.0,borda
151,Q0,AP881206-0124,23,35030.0,borda
151,Q0,AP890125-0159,24,35021.0,borda
151,Q0,AP890916-0165,25,34914.0,borda
151,Q0,AP890617-0085,26,34875.0,borda
151,Q0,AP890121-0128,27,34859.0,borda
151,Q0,AP891022-0032,28,34819.0,borda
151,Q0,AP881211-0022,29,34787.0,borda
151,Q0,AP881225-0044,30,34683.0,borda
151,Q0,AP891028-0033,31,34675.0,borda
151,Q0,AP890105-0215,32,34608.0,borda
151,Q0,AP891027-0057,33,34585.0,borda
151,Q0,WSJ910703-0180,34,34526.0,borda
151,Q0,AP890408-0004,35,34523.0,borda
151,Q0,AP891204-0021,36,34473.0,borda
151,Q0,AP881223-0053,37,34434.0,borda
151,Q0,AP880607-0210,38,34383.0,borda
151,Q0,AP890408-0092,39,34375.0,borda
151,Q0,AP890913-0033,40,34214.0,borda
151,Q0,AP881202-0169,41,34154.0,borda
151,Q0,AP890502-0166,42,34101.0,borda
151,Q0,AP881002-0014,43,33872.0,borda
151,Q0,AP880926-0180,44,33804.0,borda
151,Q0,AP881021-0218,45,33745.0,borda
151,Q0,AP890121-0018,46,33695.0,borda
151,Q0,AP890827-0067,47,33670.0,borda
151,Q0,AP890908-0081,48,33537.0,borda
151,Q0,AP890914-0136,49,33485.0,borda
151,Q0,AP880726-0173,50,33469.0,borda
151,Q0,AP881006-0202,51,33397.0,borda
151,Q0,AP890729-0033,52,33362.0,borda
151,Q0,AP891101-0115,53,33336.0,borda
151,Q0,AP880825-0054,54,33188.0,borda
151,Q0,AP880608-0110,55,32815.0,borda
151,Q0,AP890220-0067,56,32769.0,borda
151,Q0,WSJ870626-0142,57,32640.0,borda
151,Q0,AP890220-0101,58,32631.0,borda
151,Q0,AP890409-0046,59,32557.0,borda
151,Q0,WSJ870116-0120,60,32201.0,borda
151,Q0,AP891027-0114,61,32043.0,borda
151,Q0,WSJ870522-0160,62,32021.0,borda
151,Q0,AP891203-0056,63,31939.0,borda
151,Q0,AP880505-0074,64,31917.0,borda
151,Q0,AP890217-0143,65,31802.0,borda
151,Q0,AP891027-0212,66,31764.0,borda
151,Q0,AP890228-0061,67,31744.0,borda
151,Q0,AP880502-0187,68,31631.0,borda
151,Q0,AP890605-0117,69,31619.0,borda
151,Q0,WSJ920116-0091,70,31550.0,borda
151,Q0,AP880515-0009,71,31540.0,borda
151,Q0,AP891026-0098,72,31257.0,borda
151,Q0,AP881123-0150,73,31251.0,borda
151,Q0,AP891126-0024,74,31168.0,borda
151,Q0,WSJ870928-0128,75,31166.0,borda
151,Q0,AP880704-0017,76,31129.0,borda
151,Q0,AP890430-0076,77,30892.0,borda
151,Q0,AP890927-0058,78,30825.0,borda
151,Q0,AP880626-0032,79,30769.0,borda
151,Q0,AP890705-0046,80,30733.0,borda
151,Q0,AP890811-0134,81,30673.0,borda
151,Q0,AP880611-0042,82,30634.0,borda
151,Q0,AP890720-0166,83,30522.0,borda
151,Q0,AP890523-0112,84,30516.0,borda
151,Q0,WSJ871201-0094,85,30476.0,borda
151,Q0,AP891216-0107,86,30356.0,borda
151,Q0,AP880802-0213,87,30243.0,borda
151,Q0,AP890408-0024,88,30238.0,borda
151,Q0,AP880726-0043,89,30214.0,borda
151,Q0,AP880720-0133,90,30208.0,borda
151,Q0,WSJ920203-0086,91,30115.0,borda
151,Q0,AP890912-0203,92,30111.0,borda
151,Q0,AP881225-0001,93,29820.0,borda
151,Q0,AP890512-0056,94,29805.0,borda
151,Q0,AP891027-0063,95,29799.0,borda
151,Q0,AP891030-0204,96,29796.0,borda
151,Q0,AP890417-0068,97,29713.0,borda
151,Q0,WSJ910618-0051,98,29409.0,borda
151,Q0,AP890316-0106,99,29294.0,borda
151,Q0,AP890318-0072,100,29290.0,borda
151,Q0,AP890112-0002,101,29123.0,borda
151,Q0,AP890928-0092,102,28814.0,borda
151,Q0,WSJ880415-0141,103,28752.0,borda
151,Q0,AP890511-0126,104,28748.0,borda
151,Q0,AP890828-0111,105,28594.0,borda
151,Q0,AP880901-0150,106,28575.0,borda
151,Q0,AP881108-0058,107,28425.0,borda
151,Q0,AP881029-0108,108,28317.0,borda
151,Q0,WSJ890920-0157,109,27943.0,borda
151,Q0,AP891026-0228,110,27938.0,borda
151,Q0,AP880921-0032,111,27928.0,borda
151,Q0,AP880218-0080,112,27806.0,borda
151,Q0,AP890501-0151,113,27589.0,borda
151,Q0,AP890106-0125,114,27304.0,borda
151,Q0,AP890107-0063,115,27221.0,borda
151,Q0,AP880414-0081,116,27169.0,borda
151,Q0,AP880721-0145,117,27145.0,borda
151,Q0,AP880516-0128,118,26978.0,borda
151,Q0,AP890301-0228,119,26685.0,borda
151,Q0,AP890412-0141,120,26657.0,borda
151,Q0,AP880516-0220,121,26631.0,borda
151,Q0,AP880608-0250,122,26443.0,borda
151,Q0,AP890831-0101,123,26435.0,borda
151,Q0,AP880716-0089,124,26382.0,borda
151,Q0,WSJ870609-0032,125,26312.0,borda
151,Q0,AP881214-0042,126,26308.0,borda
151,Q0,AP890119-0113,127,26151.0,borda
151,Q0,AP880802-0038,128,26120.0,borda
151,Q0,AP890509-0113,129,26107.0,borda
151,Q0,AP880407-0251,130,26101.0,borda
151,Q0,AP890314-0143,131,26093.0,borda
151,Q0,WSJ910415-0168,132,26051.0,borda
151,Q0,AP881122-0059,133,25961.0,borda
151,Q0,AP890714-0208,134,25958.0,borda
151,Q0,AP891024-0082,135,25893.0,borda
151,Q0,AP880603-0093,136,25835.0,borda
151,Q0,WSJ870223-0156,137,25797.0,borda
151,Q0,AP880218-0049,138,25780.0,borda
151,Q0,AP880324-0249,139,25718.0,borda
151,Q0,AP881122-0004,140,25686.0,borda
151,Q0,AP880510-0247,141,25670.0,borda
151,Q0,WSJ920211-0176,142,25586.0,borda
151,Q0,AP890228-0135,143,25470.0,borda
151,Q0,AP880630-0038,144,25330.0,borda
151,Q0,AP890109-0068,145,25267.0,borda
151,Q0,WSJ910703-0011,146,25218.0,borda
151,Q0,AP890918-0115,147,25153.0,borda
151,Q0,AP890109-0021,148,25124.0,borda
151,Q0,AP881101-0053,149,25098.0,borda
151,Q0,AP880609-0145,150,25027.0,borda
151,Q0,WSJ880502-0054,151,24719.0,borda
151,Q0,AP880802-0131,152,24663.0,borda
151,Q0,AP880619-0073,153,24428.0,borda
151,Q0,AP880817-0119,154,24411.0,borda
151,Q0,AP890612-0004,155,24319.0,borda
151,Q0,AP880803-0012,156,24312.0,borda
151,Q0,AP880920-0179,157,24243.0,borda
151,Q0,AP891202-0151,158,24158.0,borda
151,Q0,ZF207-314-574,159,24098.0,borda
151,Q0,AP881212-0015,160,24056.0,borda
151,Q0,AP890627-0212,161,23986.0,borda
151,Q0,AP890411-0127,162,23941.0,borda
151,Q0,AP881214-0158,163,23870.0,borda
151,Q0,AP881223-0014,164,23865.0,borda
151,Q0,AP880620-0059,165,23794.0,borda
151,Q0,AP880520-0157,166,23750.0,borda
151,Q0,AP890707-0128,167,23739.0,borda
151,Q0,AP890412-0225,168,23684.0,borda
151,Q0,AP890819-0006,169,23619.0,borda
151,Q0,AP890306-0173,170,23346.0,borda
151,Q0,AP880525-0152,171,23323.0,borda
151,Q0,WSJ880608-0076,172,23299.0,borda
151,Q0,AP890810-0008,173,23269.0,borda
151,Q0,AP891227-0098,174,23193.0,borda
151,Q0,AP880720-0212,175,23118.0,borda
151,Q0,AP891010-0138,176,23095.0,borda
151,Q0,WSJ910528-0132,177,23084.0,borda
151,Q0,WSJ911129-0130,178,23022.0,borda
151,Q0,AP890524-0037,179,22979.0,borda
151,Q0,WSJ870402-0118,180,22968.0,borda
151,Q0,AP881206-0201,181,22923.0,borda
151,Q0,AP891208-0177,182,22910.0,borda
151,Q0,AP880802-0001,183,22904.0,borda
151,Q0,AP881102-0233,184,22898.0,borda
151,Q0,AP881110-0069,185,22893.0,borda
151,Q0,AP891025-0002,186,22804.0,borda
151,Q0,AP880822-0215,187,22759.0,borda
151,Q0,AP881019-0127,188,22759.0,borda
151,Q0,AP881121-0191,189,22621.0,borda
151,Q0,AP880504-0147,190,22615.0,borda
151,Q0,AP890911-0096,191,22553.0,borda
151,Q0,AP881108-0181,192,22535.0,borda
151,Q0,AP890815-0068,193,22498.0,borda
151,Q0,AP891031-0111,194,22481.0,borda
151,Q0,AP880521-0003,195,22466.0,borda
151,Q0,AP880329-0149,196,22462.0,borda
151,Q0,AP890605-0119,197,22423.0,borda
151,Q0,AP890126-0216,198,22378.0,borda
151,Q0,AP881028-0079,199,22372.0,borda
151,Q0,AP891226-0135,200,22372.0,borda
151,Q0,AP880512-0192,201,22334.0,borda
151,Q0,AP890206-0072,202,22313.0,borda
151,Q0,AP890813-0088,203,22282.0,borda
151,Q0,WSJ910906-0119,204,22204.0,borda
151,Q0,AP890315-0085,205,22176.0,borda
151,Q0,AP890524-0073,206,22092.0,borda
151,Q0,AP890303-0051,207,22084.0,borda
151,Q0,WSJ881102-0111,208,22015.0,borda
151,Q0,AP880516-0081,209,21959.0,borda
151,Q0,AP880816-0174,210,21941.0,borda
151,Q0,AP890107-0009,211,21938.0,borda
151,Q0,AP890702-0066,212,21924.0,borda
151,Q0,AP891204-0069,213,21921.0,borda
151,Q0,AP881123-0232,214,21908.0,borda
151,Q0,AP880815-0144,215,21880.0,borda
151,Q0,AP880315-0054,216,21760.0,borda
151,Q0,AP890725-0129,217,21742.0,borda
151,Q0,AP881128-0234,218,21644.0,borda
151,Q0,AP890926-0215,219,21580.0,borda
151,Q0,AP890622-0013,220,21575.0,borda
151,Q0,AP890816-0109,221,21551.0,borda
151,Q0,WSJ910520-0031,222,21471.0,borda
151,Q0,AP890601-0164,223,21427.0,borda
151,Q0,AP890912-0107,224,21378.0,borda
151,Q0,WSJ911209-0035,225,21353.0,borda
151,Q0,AP890524-0103,226,21333.0,borda
151,Q0,AP880228-0016,227,21305.0,borda
151,Q0,AP881109-0244,228,21296.0,borda
151,Q0,AP890327-0087,229,21250.0,borda
151,Q0,AP880401-0176,230,21239.0,borda
151,Q0,AP891103-0077,231,21181.0,borda
151,Q0,AP890926-0090,232,21116.0,borda
151,Q0,AP890530-0080,233,21074.0,borda
151,Q0,AP880822-0139,234,21002.0,borda
151,Q0,AP890630-0148,235,20977.0,borda
151,Q0,AP890828-0037,236,20855.0,borda
151,Q0,AP890411-0068,237,20846.0,borda
151,Q0,WSJ911111-0038,238,20837.0,borda
151,Q0,AP880606-0073,239,20830.0,borda
151,Q0,AP891030-0148,240,20727.0,borda
151,Q0,AP880220-0132,241,20718.0,borda
151,Q0,WSJ910520-0109,242,20706.0,borda
151,Q0,AP890714-0027,243,20652.0,borda
151,Q0,AP880906-0044,244,20574.0,borda
151,Q0,AP890205-0036,245,20571.0,borda
151,Q0,WSJ870818-0132,246,20537.0,borda
151,Q0,AP891030-0107,247,20514.0,borda
151,Q0,AP890802-0134,248,20391.0,borda
151,Q0,WSJ880324-0170,249,20316.0,borda
151,Q0,AP880218-0105,250,20252.0,borda
151,Q0,WSJ890919-0117,251,20206.0,borda
151,Q0,AP890123-0062,252,20184.0,borda
151,Q0,AP881104-0269,253,20141.0,borda
151,Q0,AP881001-0057,254,20138.0,borda
151,Q0,AP891102-0076,255,20123.0,borda
151,Q0,AP890703-0051,256,20097.0,borda
151,Q0,AP890819-0106,257,20095.0,borda
151,Q0,AP880324-0049,258,20021.0,borda
151,Q0,AP880815-0079,259,19972.0,borda
151,Q0,AP881111-0186,260,19950.0,borda
151,Q0,AP881209-0165,261,19934.0,borda
151,Q0,AP880810-0271,262,19923.0,borda
151,Q0,AP880609-0180,263,19887.0,borda
151,Q0,AP890817-0055,264,19882.0,borda
151,Q0,WSJ900904-0025,265,19849.0,borda
151,Q0,AP881227-0081,266,19780.0,borda
151,Q0,AP880627-0085,267,19771.0,borda
151,Q0,AP880726-0019,268,19749.0,borda
151,Q0,AP880617-0235,269,19736.0,borda
151,Q0,AP891127-0029,270,19732.0,borda
151,Q0,AP890819-0002,271,19615.0,borda
151,Q0,AP880517-0073,272,19610.0,borda
151,Q0,AP891010-0075,273,19597.0,borda
151,Q0,AP881101-0136,274,19591.0,borda
151,Q0,AP880415-0232,275,19570.0,borda
151,Q0,AP891127-0066,276,19509.0,borda
151,Q0,AP880417-0088,277,19491.0,borda
151,Q0,WSJ910329-0110,278,19487.0,borda
151,Q0,AP880407-0033,279,19485.0,borda
151,Q0,AP890530-0044,280,19472.0,borda
151,Q0,ZF108-101-418,281,19423.0,borda
151,Q0,AP880822-0216,282,19404.0,borda
151,Q0,AP891102-0180,283,19386.0,borda
