query,q0,docid,rank,score,system
151,Q0,WSJ870428-0145,1,760.2329424473116,minmaxnorm
151,Q0,AP890523-0126,2,743.7324649271683,minmaxnorm
151,Q0,AP890116-0047,3,706.333233665827,minmaxnorm
151,Q0,AP890125-0112,4,695.4209845134545,minmaxnorm
151,Q0,AP890408-0056,5,663.2328186075698,minmaxnorm
151,Q0,AP890411-0076,6,660.5512146039486,minmaxnorm
151,Q0,AP890105-0133,7,655.3608271843731,minmaxnorm
151,Q0,AP890406-0085,8,618.2884146781819,minmaxnorm
151,Q0,AP891121-0179,9,614.3271167088881,minmaxnorm
151,Q0,AP891030-0017,10,614.0776959629684,minmaxnorm
151,Q0,AP890309-0036,11,610.2749869471321,minmaxnorm
151,Q0,AP880814-0089,12,605.1790162969137,minmaxnorm
151,Q0,AP891028-0154,13,598.3655741299362,minmaxnorm
151,Q0,AP890130-0060,14,597.3743314981477,minmaxnorm
151,Q0,AP881005-0001,15,597.1673319585362,minmaxnorm
151,Q0,AP880815-0061,16,576.4672375857925,minmaxnorm
151,Q0,AP881206-0124,17,569.7544563573589,minmaxnorm
151,Q0,AP890125-0159,18,567.1587565589996,minmaxnorm
151,Q0,AP890408-0004,19,567.0330933192807,minmaxnorm
151,Q0,AP890524-0260,20,563.8048999472476,minmaxnorm
151,Q0,AP890916-0165,21,540.6751110743528,minmaxnorm
151,Q0,WSJ870205-0131,22,537.5247084208072,minmaxnorm
151,Q0,AP881108-0076,23,528.6442145924602,minmaxnorm
151,Q0,AP881225-0044,24,527.3494565994257,minmaxnorm
151,Q0,AP881004-0180,25,518.4596537713912,minmaxnorm
151,Q0,AP890105-0215,26,515.1086014792236,minmaxnorm
151,Q0,AP890408-0092,27,512.6432702785464,minmaxnorm
151,Q0,AP881223-0053,28,505.5490280015458,minmaxnorm
151,Q0,AP881002-0014,29,504.53647193173373,minmaxnorm
151,Q0,AP890913-0033,30,501.003359099886,minmaxnorm
151,Q0,AP890912-0102,31,498.9840548104812,minmaxnorm
151,Q0,AP880827-0092,32,494.6403434888055,minmaxnorm
151,Q0,AP890827-0067,33,480.77733024818843,minmaxnorm
151,Q0,AP891022-0032,34,475.026912152885,minmaxnorm
151,Q0,AP881211-0022,35,472.8677827880955,minmaxnorm
151,Q0,WSJ910703-0180,36,472.05737187955697,minmaxnorm
151,Q0,AP891028-0033,37,471.02824390156894,minmaxnorm
151,Q0,AP881021-0218,38,467.5233050235983,minmaxnorm
151,Q0,AP890617-0085,39,465.5485535652739,minmaxnorm
151,Q0,AP890121-0128,40,464.2849112570543,minmaxnorm
151,Q0,AP891204-0021,41,457.5619020885528,minmaxnorm
151,Q0,AP891101-0115,42,457.48092153978695,minmaxnorm
151,Q0,AP890220-0067,43,452.47984023136036,minmaxnorm
151,Q0,AP890220-0101,44,449.04519416890525,minmaxnorm
151,Q0,AP880825-0054,45,448.9451684984733,minmaxnorm
151,Q0,AP890121-0018,46,448.0241748314649,minmaxnorm
151,Q0,AP890908-0081,47,447.86122377331816,minmaxnorm
151,Q0,AP891027-0057,48,447.8221102459717,minmaxnorm
151,Q0,AP880726-0173,49,440.6967146751728,minmaxnorm
151,Q0,AP880607-0210,50,431.170172476628,minmaxnorm
151,Q0,AP880926-0180,51,427.9525781678635,minmaxnorm
151,Q0,AP881202-0169,52,416.1521879398761,minmaxnorm
151,Q0,AP890502-0166,53,414.89788677254785,minmaxnorm
151,Q0,AP890914-0136,54,400.7022676265686,minmaxnorm
151,Q0,AP890430-0076,55,398.87858338931267,minmaxnorm
151,Q0,AP891126-0024,56,397.0949631793837,minmaxnorm
151,Q0,AP890912-0203,57,387.1915234893181,minmaxnorm
151,Q0,AP881006-0202,58,386.36980910207194,minmaxnorm
151,Q0,AP890729-0033,59,383.4863378200162,minmaxnorm
151,Q0,AP891027-0114,60,376.7683464184668,minmaxnorm
151,Q0,AP890409-0046,61,373.65605941872167,minmaxnorm
151,Q0,AP880608-0110,62,373.4498620027164,minmaxnorm
151,Q0,AP890523-0112,63,369.1042845924539,minmaxnorm
151,Q0,AP890705-0046,64,367.55128768489107,minmaxnorm
151,Q0,AP891216-0107,65,362.8656088054317,minmaxnorm
151,Q0,WSJ920116-0091,66,362.50090874515763,minmaxnorm
151,Q0,AP890228-0061,67,357.16475866626524,minmaxnorm
151,Q0,AP891203-0056,68,356.3942607854633,minmaxnorm
151,Q0,AP891026-0098,69,355.4481425952517,minmaxnorm
151,Q0,WSJ870116-0120,70,355.1707164957183,minmaxnorm
151,Q0,WSJ870626-0142,71,353.11785127904307,minmaxnorm
151,Q0,AP880704-0017,72,349.7841569175696,minmaxnorm
151,Q0,WSJ870522-0160,73,349.47665104594915,minmaxnorm
151,Q0,AP891027-0212,74,345.6651285908183,minmaxnorm
151,Q0,AP891027-0063,75,343.4996487706613,minmaxnorm
151,Q0,AP890927-0058,76,338.4818736737901,minmaxnorm
151,Q0,AP880515-0009,77,337.2821142246783,minmaxnorm
151,Q0,AP880502-0187,78,336.4124768476781,minmaxnorm
151,Q0,AP880802-0213,79,336.10767832403224,minmaxnorm
151,Q0,AP880505-0074,80,334.64237299858917,minmaxnorm
151,Q0,AP881123-0150,81,332.7827944577429,minmaxnorm
151,Q0,WSJ871201-0094,82,331.9007251361797,minmaxnorm
151,Q0,AP890217-0143,83,327.9260088782912,minmaxnorm
151,Q0,AP880720-0133,84,327.5178004194879,minmaxnorm
151,Q0,AP890605-0117,85,322.04763655217636,minmaxnorm
151,Q0,AP880626-0032,86,321.66086908814276,minmaxnorm
