query,q0,docid,rank,score,system
151,Q0,WSJ870428-0145,1,16.972135025184908,minmaxnorm
151,Q0,AP890523-0126,2,16.58687186070459,minmaxnorm
151,Q0,AP890116-0047,3,15.809842205634045,minmaxnorm
151,Q0,AP890125-0112,4,15.736018009141452,minmaxnorm
151,Q0,AP890411-0076,5,15.066427704096965,minmaxnorm
151,Q0,AP890408-0056,6,14.867957252917229,minmaxnorm
151,Q0,AP890105-0133,7,14.672333665171562,minmaxnorm
151,Q0,AP891121-0179,8,13.827391736408456,minmaxnorm
151,Q0,AP891030-0017,9,13.785476517873532,minmaxnorm
151,Q0,AP890309-0036,10,13.774971202825611,minmaxnorm
151,Q0,AP890406-0085,11,13.760574455140686,minmaxnorm
151,Q0,AP890130-0060,12,13.525734436506406,minmaxnorm
151,Q0,AP880814-0089,13,13.418825868898972,minmaxnorm
151,Q0,AP881005-0001,14,13.285872343605288,minmaxnorm
151,Q0,AP891028-0154,15,13.14328017675663,minmaxnorm
151,Q0,AP880815-0061,16,12.984091420340137,minmaxnorm
151,Q0,AP890125-0159,17,12.879509825902101,minmaxnorm
151,Q0,AP881206-0124,18,12.816402740557738,minmaxnorm
151,Q0,AP890408-0004,19,12.690143274098947,minmaxnorm
151,Q0,AP890524-0260,20,12.616364256637224,minmaxnorm
151,Q0,AP890916-0165,21,12.330798816846999,minmaxnorm
151,Q0,AP881225-0044,22,12.084260033824563,minmaxnorm
151,Q0,WSJ870205-0131,23,12.055864767909323,minmaxnorm
151,Q0,AP881004-0180,24,11.6975442879104,minmaxnorm
151,Q0,AP881108-0076,25,11.655414169591106,minmaxnorm
151,Q0,AP890408-0092,26,11.638383947013548,minmaxnorm
151,Q0,AP890105-0215,27,11.618191978571984,minmaxnorm
151,Q0,AP890913-0033,28,11.474924119823342,minmaxnorm
151,Q0,AP881223-0053,29,11.458926507535526,minmaxnorm
151,Q0,AP881002-0014,30,11.376437077555902,minmaxnorm
151,Q0,AP890912-0102,31,11.225448233509704,minmaxnorm
151,Q0,AP880827-0092,32,10.999614064136333,minmaxnorm
151,Q0,AP890827-0067,33,10.992336242546466,minmaxnorm
151,Q0,AP891028-0033,34,10.661945029131656,minmaxnorm
151,Q0,AP881021-0218,35,10.645027580206607,minmaxnorm
151,Q0,AP881211-0022,36,10.614464077825911,minmaxnorm
151,Q0,AP891022-0032,37,10.450055680804113,minmaxnorm
151,Q0,AP890617-0085,38,10.437401890592549,minmaxnorm
151,Q0,AP890121-0128,39,10.369039749373394,minmaxnorm
151,Q0,AP890220-0067,40,10.322109350021334,minmaxnorm
151,Q0,AP891204-0021,41,10.294834139635654,minmaxnorm
151,Q0,AP891101-0115,42,10.242300857288734,minmaxnorm
151,Q0,AP890220-0101,43,10.240082832460143,minmaxnorm
151,Q0,AP890908-0081,44,10.202799869499426,minmaxnorm
151,Q0,WSJ910703-0180,45,10.163468531893148,minmaxnorm
151,Q0,AP880825-0054,46,10.154541538790934,minmaxnorm
151,Q0,AP891027-0057,47,9.921180862754783,minmaxnorm
151,Q0,AP880726-0173,48,9.904320461118122,minmaxnorm
151,Q0,AP890121-0018,49,9.764012280745101,minmaxnorm
151,Q0,AP880926-0180,50,9.619729015178033,minmaxnorm
151,Q0,AP880607-0210,51,9.480350460867005,minmaxnorm
151,Q0,AP881202-0169,52,9.362211978370093,minmaxnorm
151,Q0,AP890430-0076,53,9.258809321599289,minmaxnorm
151,Q0,AP890502-0166,54,9.24761470327613,minmaxnorm
151,Q0,AP891126-0024,55,9.20530639782826,minmaxnorm
151,Q0,AP890914-0136,56,9.103447852000045,minmaxnorm
151,Q0,AP890912-0203,57,9.051710348597092,minmaxnorm
151,Q0,AP881006-0202,58,8.764382145081672,minmaxnorm
151,Q0,AP890729-0033,59,8.666487951162301,minmaxnorm
151,Q0,AP890409-0046,60,8.646590790408052,minmaxnorm
151,Q0,AP891027-0114,61,8.596513197026374,minmaxnorm
151,Q0,AP890523-0112,62,8.58921314215169,minmaxnorm
151,Q0,AP890705-0046,63,8.541765782454851,minmaxnorm
151,Q0,AP891216-0107,64,8.252992892648303,minmaxnorm
151,Q0,AP880608-0110,65,8.228536041372529,minmaxnorm
151,Q0,AP890228-0061,66,8.154883223085056,minmaxnorm
151,Q0,AP891026-0098,67,8.152420728538727,minmaxnorm
151,Q0,AP880704-0017,68,8.141654755923893,minmaxnorm
151,Q0,WSJ920116-0091,69,8.095266036286299,minmaxnorm
151,Q0,AP891203-0056,70,8.079159334226823,minmaxnorm
151,Q0,WSJ870116-0120,71,7.957084578933628,minmaxnorm
151,Q0,AP891027-0063,72,7.94580950013006,minmaxnorm
151,Q0,AP891027-0212,73,7.927214318439087,minmaxnorm
151,Q0,AP880802-0213,74,7.849454645950049,minmaxnorm
151,Q0,AP890927-0058,75,7.802030222287049,minmaxnorm
151,Q0,AP881123-0150,76,7.733691028640146,minmaxnorm
151,Q0,AP880515-0009,77,7.732447269105835,minmaxnorm
151,Q0,WSJ870626-0142,78,7.718182156841763,minmaxnorm
151,Q0,AP880505-0074,79,7.693671497905164,minmaxnorm
151,Q0,AP880502-0187,80,7.634133183503488,minmaxnorm
151,Q0,WSJ870522-0160,81,7.535206661525197,minmaxnorm
151,Q0,AP880720-0133,82,7.4101211301116665,minmaxnorm
151,Q0,AP890217-0143,83,7.382358395537202,minmaxnorm
151,Q0,AP880626-0032,84,7.377276695843229,minmaxnorm
151,Q0,WSJ871201-0094,85,7.345799434125447,minmaxnorm
151,Q0,AP890605-0117,86,7.256803940806842,minmaxnorm
151,Q0,AP880611-0042,87,7.206050723364472,minmaxnorm
151,Q0,WSJ910618-0051,88,7.178618202899459,minmaxnorm
151,Q0,AP881225-0001,89,7.175788055702166,minmaxnorm
151,Q0,AP880726-0043,90,7.086315016720473,minmaxnorm
151,Q0,AP891030-0204,91,7.038303773954152,minmaxnorm
151,Q0,AP890417-0068,92,6.98845401437776,minmaxnorm
151,Q0,AP890811-0134,93,6.904822617774538,minmaxnorm
151,Q0,WSJ920203-0086,94,6.791925713498518,minmaxnorm
151,Q0,AP890107-0063,95,6.776031112269836,minmaxnorm
151,Q0,WSJ870928-0128,96,6.747149226402008,minmaxnorm
151,Q0,AP890408-0024,97,6.677607490785959,minmaxnorm
151,Q0,AP890318-0072,98,6.557338446644784,minmaxnorm
151,Q0,AP890112-0002,99,6.556468639927975,minmaxnorm
151,Q0,WSJ880415-0141,100,6.508459973905444,minmaxnorm
151,Q0,AP890316-0106,101,6.478215998724803,minmaxnorm
151,Q0,AP890928-0092,102,6.433807698448227,minmaxnorm
151,Q0,AP890720-0166,103,6.297985214907217,minmaxnorm
151,Q0,AP881108-0058,104,6.292854622825273,minmaxnorm
151,Q0,AP890512-0056,105,6.188173374594289,minmaxnorm
151,Q0,AP890106-0125,106,6.140336443295609,minmaxnorm
151,Q0,AP880921-0032,107,6.097665276841716,minmaxnorm
151,Q0,AP890412-0141,108,6.01099908518532,minmaxnorm
151,Q0,AP890511-0126,109,5.904021106220924,minmaxnorm
151,Q0,AP880901-0150,110,5.875233366289586,minmaxnorm
151,Q0,AP881029-0108,111,5.791797706584902,minmaxnorm
151,Q0,AP880218-0080,112,5.730487237403285,minmaxnorm
151,Q0,AP880516-0128,113,5.669216520627447,minmaxnorm
151,Q0,WSJ910415-0168,114,5.605925844471178,minmaxnorm
151,Q0,WSJ890920-0157,115,5.597122633740789,minmaxnorm
151,Q0,AP890509-0113,116,5.575486145176858,minmaxnorm
151,Q0,AP880407-0251,117,5.5330440556781015,minmaxnorm
151,Q0,AP880414-0081,118,5.5134982141748665,minmaxnorm
151,Q0,AP891026-0228,119,5.499775438304958,minmaxnorm
151,Q0,WSJ920211-0176,120,5.489540038848472,minmaxnorm
151,Q0,AP890828-0111,121,5.450395551321462,minmaxnorm
151,Q0,ZF207-314-574,122,5.3752456076459705,minmaxnorm
151,Q0,AP881122-0059,123,5.294266923165587,minmaxnorm
151,Q0,AP880630-0038,124,5.25749722693397,minmaxnorm
151,Q0,AP881214-0042,125,5.253308959290262,minmaxnorm
151,Q0,AP890714-0208,126,5.226938706614896,minmaxnorm
151,Q0,WSJ910703-0011,127,5.191254738438075,minmaxnorm
151,Q0,AP880802-0038,128,5.1873613590308425,minmaxnorm
151,Q0,AP890119-0113,129,5.178488692702381,minmaxnorm
151,Q0,WSJ880502-0054,130,5.147993911127863,minmaxnorm
151,Q0,AP880721-0145,131,5.1264357384279755,minmaxnorm
151,Q0,AP890501-0151,132,5.114721694401852,minmaxnorm
151,Q0,AP880608-0250,133,5.084179032787571,minmaxnorm
151,Q0,AP880324-0249,134,5.076928359014758,minmaxnorm
151,Q0,AP880516-0220,135,5.04462898353071,minmaxnorm
151,Q0,AP890301-0228,136,4.95055181496418,minmaxnorm
151,Q0,AP890109-0068,137,4.942187097981035,minmaxnorm
151,Q0,AP890303-0051,138,4.941319740565476,minmaxnorm
151,Q0,AP880218-0049,139,4.938164488582011,minmaxnorm
151,Q0,AP880603-0093,140,4.938112280866138,minmaxnorm
151,Q0,WSJ870223-0156,141,4.927148514405336,minmaxnorm
151,Q0,AP890411-0127,142,4.838207409969669,minmaxnorm
151,Q0,WSJ910906-0119,143,4.834738835113045,minmaxnorm
151,Q0,AP890314-0143,144,4.821920889315462,minmaxnorm
151,Q0,AP890228-0135,145,4.817077179061242,minmaxnorm
151,Q0,WSJ911129-0130,146,4.809529114556322,minmaxnorm
151,Q0,AP880716-0089,147,4.796467349063623,minmaxnorm
151,Q0,AP891024-0082,148,4.7758115066323725,minmaxnorm
151,Q0,AP880620-0059,149,4.768757491492136,minmaxnorm
151,Q0,AP891208-0177,150,4.7263656448495235,minmaxnorm
