query,q0,docid,rank,score,system
152,Q0,WSJ880630-0020,1,2.0571966080392405,reciprocal_rank_fusion_k=60
152,Q0,AP880608-0202,2,1.810827556139953,reciprocal_rank_fusion_k=60
152,Q0,WSJ890905-0112,3,1.803073986976161,reciprocal_rank_fusion_k=60
152,Q0,WSJ880712-0007,4,1.800543563869029,reciprocal_rank_fusion_k=60
152,Q0,WSJ880706-0010,5,1.6720994616881457,reciprocal_rank_fusion_k=60
152,Q0,WSJ880713-0003,6,1.571751400172305,reciprocal_rank_fusion_k=60
152,Q0,WSJ880713-0019,7,1.3842632598541718,reciprocal_rank_fusion_k=60
152,Q0,WSJ880621-0012,8,1.3707031206046203,reciprocal_rank_fusion_k=60
152,Q0,WSJ880616-0084,9,1.3699530453066582,reciprocal_rank_fusion_k=60
152,Q0,AP891031-0055,10,1.3229030386021192,reciprocal_rank_fusion_k=60
152,Q0,WSJ880921-0106,11,1.283169102256946,reciprocal_rank_fusion_k=60
152,Q0,WSJ880302-0123,12,1.2483352032709314,reciprocal_rank_fusion_k=60
152,Q0,WSJ880311-0061,13,1.241694251859639,reciprocal_rank_fusion_k=60
152,Q0,AP880713-0150,14,1.2269865753051827,reciprocal_rank_fusion_k=60
152,Q0,WSJ870204-0053,15,1.212289088371827,reciprocal_rank_fusion_k=60
152,Q0,AP880726-0009,16,1.2078288958933836,reciprocal_rank_fusion_k=60
152,Q0,WSJ880617-0059,17,1.2002327481010409,reciprocal_rank_fusion_k=60
152,Q0,WSJ880714-0036,18,1.178345691505903,reciprocal_rank_fusion_k=60
152,Q0,AP880713-0182,19,1.1609814768501285,reciprocal_rank_fusion_k=60
152,Q0,AP880609-0259,20,1.1390899153209333,reciprocal_rank_fusion_k=60
152,Q0,WSJ880802-0111,21,1.1104782251376266,reciprocal_rank_fusion_k=60
152,Q0,AP880712-0139,22,1.1036259679464149,reciprocal_rank_fusion_k=60
152,Q0,WSJ890926-0039,23,1.0763209925718606,reciprocal_rank_fusion_k=60
152,Q0,WSJ910610-0048,24,1.0730498309719354,reciprocal_rank_fusion_k=60
152,Q0,WSJ880705-0059,25,1.0694892428676113,reciprocal_rank_fusion_k=60
152,Q0,WSJ880719-0011,26,1.0690083210703676,reciprocal_rank_fusion_k=60
152,Q0,AP880725-0147,27,1.0684683984707672,reciprocal_rank_fusion_k=60
152,Q0,WSJ881024-0127,28,1.0635608120161761,reciprocal_rank_fusion_k=60
152,Q0,WSJ880330-0001,29,1.063086925394427,reciprocal_rank_fusion_k=60
152,Q0,AP880902-0071,30,1.0589169162902328,reciprocal_rank_fusion_k=60
152,Q0,AP880902-0251,31,1.047239762634079,reciprocal_rank_fusion_k=60
152,Q0,WSJ861209-0041,32,1.0468070277885602,reciprocal_rank_fusion_k=60
152,Q0,AP890602-0114,33,1.0428664792274012,reciprocal_rank_fusion_k=60
152,Q0,AP880628-0037,34,1.0334526114654854,reciprocal_rank_fusion_k=60
152,Q0,AP880817-0309,35,1.028082290499341,reciprocal_rank_fusion_k=60
152,Q0,WSJ910909-0169,36,1.022280434809727,reciprocal_rank_fusion_k=60
152,Q0,WSJ880711-0083,37,1.0215435312201242,reciprocal_rank_fusion_k=60
152,Q0,AP890329-0002,38,1.0053737151204538,reciprocal_rank_fusion_k=60
152,Q0,AP890313-0014,39,1.0002857884346885,reciprocal_rank_fusion_k=60
152,Q0,WSJ900720-0131,40,0.9779183424729002,reciprocal_rank_fusion_k=60
152,Q0,WSJ880930-0039,41,0.9709872858827121,reciprocal_rank_fusion_k=60
152,Q0,ZF109-662-117,42,0.9636253621252714,reciprocal_rank_fusion_k=60
152,Q0,WSJ880329-0016,43,0.9555878498459736,reciprocal_rank_fusion_k=60
152,Q0,AP890316-0274,44,0.9319430714720739,reciprocal_rank_fusion_k=60
152,Q0,AP880625-0203,45,0.9264149090141593,reciprocal_rank_fusion_k=60
152,Q0,AP890224-0279,46,0.9217084362309249,reciprocal_rank_fusion_k=60
152,Q0,AP880627-0109,47,0.9053748764295102,reciprocal_rank_fusion_k=60
152,Q0,AP880405-0062,48,0.9018061377698908,reciprocal_rank_fusion_k=60
152,Q0,AP890624-0027,49,0.8926375440698048,reciprocal_rank_fusion_k=60
152,Q0,WSJ880615-0023,50,0.8918282318950967,reciprocal_rank_fusion_k=60
152,Q0,AP880618-0008,51,0.8832079524845315,reciprocal_rank_fusion_k=60
152,Q0,AP881104-0187,52,0.8770436433441868,reciprocal_rank_fusion_k=60
152,Q0,AP890120-0259,53,0.8737678545303114,reciprocal_rank_fusion_k=60
152,Q0,AP880707-0035,54,0.8689993194187255,reciprocal_rank_fusion_k=60
152,Q0,AP881121-0112,55,0.8496668548744072,reciprocal_rank_fusion_k=60
152,Q0,AP881228-0017,56,0.8446413135046134,reciprocal_rank_fusion_k=60
152,Q0,WSJ880919-0152,57,0.8400188950838977,reciprocal_rank_fusion_k=60
152,Q0,WSJ891025-0044,58,0.8289338178925618,reciprocal_rank_fusion_k=60
152,Q0,AP880622-0018,59,0.819050723430247,reciprocal_rank_fusion_k=60
152,Q0,AP890130-0137,60,0.8168401167231624,reciprocal_rank_fusion_k=60
152,Q0,AP890422-0053,61,0.7941876322087571,reciprocal_rank_fusion_k=60
152,Q0,AP880713-0020,62,0.7797064642458826,reciprocal_rank_fusion_k=60
152,Q0,WSJ880810-0016,63,0.777743919401059,reciprocal_rank_fusion_k=60
152,Q0,AP890403-0058,64,0.7761121599873585,reciprocal_rank_fusion_k=60
152,Q0,WSJ880815-0070,65,0.7751082592968357,reciprocal_rank_fusion_k=60
152,Q0,WSJ871110-0102,66,0.7732496908813389,reciprocal_rank_fusion_k=60
152,Q0,AP880709-0023,67,0.7611439107382518,reciprocal_rank_fusion_k=60
152,Q0,AP880616-0230,68,0.7554699434026083,reciprocal_rank_fusion_k=60
152,Q0,WSJ870424-0012,69,0.7510361810093216,reciprocal_rank_fusion_k=60
152,Q0,AP880616-0181,70,0.7506181167052285,reciprocal_rank_fusion_k=60
152,Q0,WSJ880622-0037,71,0.7496629758261796,reciprocal_rank_fusion_k=60
152,Q0,WSJ880627-0070,72,0.7468856723419349,reciprocal_rank_fusion_k=60
152,Q0,AP881024-0264,73,0.7452449651646491,reciprocal_rank_fusion_k=60
152,Q0,AP880804-0076,74,0.7382501111872946,reciprocal_rank_fusion_k=60
152,Q0,WSJ870305-0090,75,0.735832334175285,reciprocal_rank_fusion_k=60
152,Q0,WSJ881013-0120,76,0.7317881918951987,reciprocal_rank_fusion_k=60
152,Q0,WSJ880725-0029,77,0.7311172121101358,reciprocal_rank_fusion_k=60
152,Q0,AP880727-0238,78,0.7252468859284537,reciprocal_rank_fusion_k=60
152,Q0,WSJ910510-0115,79,0.719023515052231,reciprocal_rank_fusion_k=60
152,Q0,AP880715-0206,80,0.714371601690698,reciprocal_rank_fusion_k=60
152,Q0,AP880404-0177,81,0.7127964124265996,reciprocal_rank_fusion_k=60
152,Q0,AP890818-0018,82,0.7086738674674994,reciprocal_rank_fusion_k=60
152,Q0,WSJ910116-0083,83,0.7034834571793355,reciprocal_rank_fusion_k=60
152,Q0,WSJ880902-0003,84,0.6979964990003119,reciprocal_rank_fusion_k=60
152,Q0,AP881228-0123,85,0.6960367046867356,reciprocal_rank_fusion_k=60
152,Q0,AP890612-0292,86,0.6928499639164917,reciprocal_rank_fusion_k=60
152,Q0,AP880625-0128,87,0.6901480379619533,reciprocal_rank_fusion_k=60
152,Q0,AP880620-0015,88,0.6879164738667906,reciprocal_rank_fusion_k=60
152,Q0,WSJ880829-0101,89,0.6869988756571849,reciprocal_rank_fusion_k=60
152,Q0,WSJ871026-0092,90,0.6865154955285426,reciprocal_rank_fusion_k=60
152,Q0,WSJ881007-0076,91,0.6841813009443589,reciprocal_rank_fusion_k=60
152,Q0,AP891121-0193,92,0.6834370471510036,reciprocal_rank_fusion_k=60
152,Q0,WSJ881102-0043,93,0.6818569357923708,reciprocal_rank_fusion_k=60
152,Q0,AP880620-0004,94,0.6674774857433663,reciprocal_rank_fusion_k=60
152,Q0,AP880319-0025,95,0.6542106976344065,reciprocal_rank_fusion_k=60
152,Q0,AP890714-0093,96,0.6471587821662336,reciprocal_rank_fusion_k=60
152,Q0,WSJ880325-0005,97,0.6443298361296298,reciprocal_rank_fusion_k=60
152,Q0,AP880624-0067,98,0.6435156143458074,reciprocal_rank_fusion_k=60
152,Q0,AP891224-0072,99,0.6425178935329396,reciprocal_rank_fusion_k=60
152,Q0,AP880616-0256,100,0.6381066137161552,reciprocal_rank_fusion_k=60
152,Q0,FR881025-0007,101,0.631120430611263,reciprocal_rank_fusion_k=60
152,Q0,AP880331-0070,102,0.6247189142625614,reciprocal_rank_fusion_k=60
152,Q0,ZF108-089-284,103,0.6238312444463661,reciprocal_rank_fusion_k=60
152,Q0,AP880628-0005,104,0.6227337491851588,reciprocal_rank_fusion_k=60
152,Q0,AP880813-0077,105,0.621999566259896,reciprocal_rank_fusion_k=60
152,Q0,WSJ920117-0180,106,0.6218083654175756,reciprocal_rank_fusion_k=60
152,Q0,AP890714-0288,107,0.6135561877017163,reciprocal_rank_fusion_k=60
152,Q0,WSJ880624-0112,108,0.6096888342185758,reciprocal_rank_fusion_k=60
152,Q0,AP890128-0012,109,0.6068936608064004,reciprocal_rank_fusion_k=60
152,Q0,WSJ890814-0088,110,0.6058893721335138,reciprocal_rank_fusion_k=60
152,Q0,WSJ880519-0127,111,0.604685961511848,reciprocal_rank_fusion_k=60
152,Q0,WSJ880718-0090,112,0.6011845135168948,reciprocal_rank_fusion_k=60
152,Q0,WSJ880610-0096,113,0.5998800743162015,reciprocal_rank_fusion_k=60
152,Q0,WSJ910826-0021,114,0.59686019523471,reciprocal_rank_fusion_k=60
152,Q0,AP890628-0163,115,0.5967054789763785,reciprocal_rank_fusion_k=60
152,Q0,AP880507-0030,116,0.5952754200428795,reciprocal_rank_fusion_k=60
152,Q0,AP880623-0301,117,0.5950036350669178,reciprocal_rank_fusion_k=60
152,Q0,WSJ880212-0006,118,0.5943299974343867,reciprocal_rank_fusion_k=60
152,Q0,AP880702-0100,119,0.586881519371539,reciprocal_rank_fusion_k=60
152,Q0,AP880720-0136,120,0.5861544492999027,reciprocal_rank_fusion_k=60
152,Q0,WSJ870710-0101,121,0.5851549236479985,reciprocal_rank_fusion_k=60
152,Q0,AP890809-0048,122,0.5806815949337223,reciprocal_rank_fusion_k=60
152,Q0,AP890224-0176,123,0.5805394855021752,reciprocal_rank_fusion_k=60
152,Q0,AP880628-0119,124,0.5739885612638559,reciprocal_rank_fusion_k=60
152,Q0,AP880628-0030,125,0.5707614233948746,reciprocal_rank_fusion_k=60
152,Q0,AP880712-0076,126,0.5684847327009634,reciprocal_rank_fusion_k=60
152,Q0,AP890107-0037,127,0.5640359350142032,reciprocal_rank_fusion_k=60
152,Q0,WSJ880726-0052,128,0.5610326697895057,reciprocal_rank_fusion_k=60
