query,q0,docid,rank,score,system
152,Q0,WSJ880630-0020,1,0.23106716597513907,minmaxnorm
152,Q0,WSJ880713-0003,2,0.2206033126787969,minmaxnorm
152,Q0,AP880608-0202,3,0.21996327774007435,minmaxnorm
152,Q0,WSJ880706-0010,4,0.21622005452291904,minmaxnorm
152,Q0,WSJ880712-0007,5,0.21598271785818965,minmaxnorm
152,Q0,WSJ890905-0112,6,0.21512564223098618,minmaxnorm
152,Q0,WSJ880713-0019,7,0.19885696343083342,minmaxnorm
152,Q0,WSJ880921-0106,8,0.19816276940108477,minmaxnorm
152,Q0,WSJ880616-0084,9,0.19392684804489085,minmaxnorm
152,Q0,WSJ880621-0012,10,0.19361921329193998,minmaxnorm
152,Q0,AP880713-0150,11,0.19292343929024372,minmaxnorm
152,Q0,AP891031-0055,12,0.1906960812020832,minmaxnorm
152,Q0,WSJ880714-0036,13,0.19058031686397447,minmaxnorm
152,Q0,WSJ890926-0039,14,0.18986409598627157,minmaxnorm
152,Q0,WSJ880719-0011,15,0.1896865147960215,minmaxnorm
152,Q0,WSJ880617-0059,16,0.1892694599301626,minmaxnorm
152,Q0,WSJ870204-0053,17,0.18682493323930366,minmaxnorm
152,Q0,WSJ880802-0111,18,0.1866974425091668,minmaxnorm
152,Q0,AP880609-0259,19,0.18669467677845367,minmaxnorm
152,Q0,WSJ880302-0123,20,0.1860695235214214,minmaxnorm
152,Q0,AP880618-0008,21,0.18577576830579864,minmaxnorm
152,Q0,AP880713-0182,22,0.18413101597254,minmaxnorm
152,Q0,AP880726-0009,23,0.1839350943210728,minmaxnorm
152,Q0,AP890602-0114,24,0.1836941279441009,minmaxnorm
152,Q0,WSJ880311-0061,25,0.1835164827488522,minmaxnorm
152,Q0,WSJ910610-0048,26,0.18347683546532664,minmaxnorm
152,Q0,AP880725-0147,27,0.1826376413843937,minmaxnorm
152,Q0,AP880712-0139,28,0.18224210824355452,minmaxnorm
152,Q0,AP890329-0002,29,0.18211179240774306,minmaxnorm
152,Q0,AP880713-0020,30,0.18198650102531622,minmaxnorm
152,Q0,AP890316-0274,31,0.1819753520504558,minmaxnorm
152,Q0,AP890313-0014,32,0.18089351890673852,minmaxnorm
152,Q0,WSJ881024-0127,33,0.1800286289500601,minmaxnorm
152,Q0,WSJ910909-0169,34,0.17989776295188395,minmaxnorm
152,Q0,WSJ880711-0083,35,0.17853613223954645,minmaxnorm
152,Q0,WSJ880705-0059,36,0.17742166936049036,minmaxnorm
152,Q0,AP880902-0071,37,0.17674293038891173,minmaxnorm
152,Q0,WSJ861209-0041,38,0.176371619592453,minmaxnorm
152,Q0,WSJ870305-0090,39,0.17590430452024072,minmaxnorm
152,Q0,AP881228-0017,40,0.17465180144111214,minmaxnorm
152,Q0,AP880817-0309,41,0.17426061798797762,minmaxnorm
152,Q0,WSJ880919-0152,42,0.17418732840938966,minmaxnorm
152,Q0,AP880902-0251,43,0.174132487850112,minmaxnorm
152,Q0,WSJ880815-0070,44,0.17358619032837852,minmaxnorm
152,Q0,AP880616-0230,45,0.17243654565062316,minmaxnorm
152,Q0,AP880628-0037,46,0.17180499724012702,minmaxnorm
152,Q0,AP890130-0137,47,0.17171977894995302,minmaxnorm
152,Q0,AP881104-0187,48,0.17144543839421372,minmaxnorm
152,Q0,AP890224-0279,49,0.17086986491744557,minmaxnorm
152,Q0,WSJ880330-0001,50,0.1706511084734248,minmaxnorm
152,Q0,WSJ900720-0131,51,0.1705849166206856,minmaxnorm
152,Q0,AP880405-0062,52,0.170171750368805,minmaxnorm
152,Q0,AP881024-0264,53,0.16988313486982884,minmaxnorm
152,Q0,WSJ880329-0016,54,0.16942858080390777,minmaxnorm
152,Q0,AP890624-0027,55,0.1687624164028489,minmaxnorm
152,Q0,WSJ891025-0044,56,0.16863470979760692,minmaxnorm
152,Q0,AP880625-0203,57,0.1676191095678211,minmaxnorm
152,Q0,AP880616-0181,58,0.16523421258186863,minmaxnorm
152,Q0,AP880622-0018,59,0.16493012104554303,minmaxnorm
152,Q0,AP890628-0163,60,0.16415072836421743,minmaxnorm
152,Q0,WSJ880615-0023,61,0.16335503333525653,minmaxnorm
152,Q0,ZF108-223-174,62,0.1628588640043481,minmaxnorm
152,Q0,ZF109-662-117,63,0.1620220554095687,minmaxnorm
152,Q0,AP880627-0109,64,0.16177843028512878,minmaxnorm
152,Q0,AP880404-0177,65,0.16121037654288986,minmaxnorm
152,Q0,AP881228-0123,66,0.16112760466247786,minmaxnorm
152,Q0,AP890128-0012,67,0.16059460422186447,minmaxnorm
152,Q0,AP881121-0112,68,0.16035506299496385,minmaxnorm
152,Q0,AP890422-0053,69,0.15998478795831567,minmaxnorm
152,Q0,AP880707-0035,70,0.15983790013678986,minmaxnorm
152,Q0,AP890120-0259,71,0.15965717326105847,minmaxnorm
152,Q0,WSJ880627-0070,72,0.15895387181205728,minmaxnorm
152,Q0,AP880804-0076,73,0.1580040298025058,minmaxnorm
152,Q0,WSJ911007-0098,74,0.15723249817036228,minmaxnorm
152,Q0,WSJ881013-0120,75,0.15630313735252716,minmaxnorm
152,Q0,AP880715-0206,76,0.1555200140585874,minmaxnorm
152,Q0,AP880709-0023,77,0.1548306242632005,minmaxnorm
152,Q0,WSJ861219-0182,78,0.15472359016391093,minmaxnorm
152,Q0,WSJ880622-0037,79,0.15450875320687973,minmaxnorm
152,Q0,WSJ910116-0083,80,0.15418413274801315,minmaxnorm
152,Q0,WSJ880810-0016,81,0.15401519715569428,minmaxnorm
152,Q0,WSJ870710-0101,82,0.1540114739950303,minmaxnorm
152,Q0,WSJ890814-0088,83,0.15392390034015846,minmaxnorm
152,Q0,AP890612-0292,84,0.15375308767486282,minmaxnorm
152,Q0,AP880712-0076,85,0.1535961009510603,minmaxnorm
152,Q0,WSJ880930-0039,86,0.15339069167017566,minmaxnorm
152,Q0,WSJ880325-0005,87,0.1530437820043761,minmaxnorm
152,Q0,AP880624-0247,88,0.15303815637069518,minmaxnorm
152,Q0,AP880319-0025,89,0.15262287691386617,minmaxnorm
152,Q0,WSJ910510-0115,90,0.15229019523076467,minmaxnorm
152,Q0,WSJ910826-0021,91,0.1520901142451893,minmaxnorm
152,Q0,AP890714-0093,92,0.15180021242060734,minmaxnorm
152,Q0,WSJ871026-0092,93,0.15141686284846728,minmaxnorm
152,Q0,AP880917-0026,94,0.15063656203766324,minmaxnorm
152,Q0,WSJ880812-0136,95,0.1502047917566147,minmaxnorm
152,Q0,WSJ870424-0012,96,0.15003971390253346,minmaxnorm
152,Q0,WSJ880722-0075,97,0.14992056866157993,minmaxnorm
152,Q0,AP880727-0238,98,0.1498133807817685,minmaxnorm
152,Q0,AP891224-0072,99,0.14965756812031658,minmaxnorm
152,Q0,AP880331-0070,100,0.14910867128399147,minmaxnorm
152,Q0,WSJ880902-0003,101,0.1485330713468907,minmaxnorm
152,Q0,WSJ880725-0029,102,0.14848775063883257,minmaxnorm
152,Q0,WSJ880624-0112,103,0.14810129552380857,minmaxnorm
152,Q0,WSJ880701-0003,104,0.14770550937696467,minmaxnorm
152,Q0,AP880813-0077,105,0.14761839517669656,minmaxnorm
152,Q0,AP890127-0098,106,0.14756666372774913,minmaxnorm
152,Q0,AP890818-0018,107,0.14626121415858245,minmaxnorm
152,Q0,AP891121-0193,108,0.14602023637766542,minmaxnorm
152,Q0,WSJ880721-0070,109,0.14553566423465644,minmaxnorm
152,Q0,WSJ870904-0106,110,0.1451770867564265,minmaxnorm
152,Q0,AP880628-0005,111,0.14495369071263264,minmaxnorm
152,Q0,AP880709-0101,112,0.14487827180532,minmaxnorm
152,Q0,AP890809-0048,113,0.14424884163017807,minmaxnorm
152,Q0,WSJ871110-0102,114,0.14417788746614332,minmaxnorm
152,Q0,WSJ920117-0180,115,0.1441289782115814,minmaxnorm
152,Q0,AP881221-0123,116,0.1440420502398201,minmaxnorm
152,Q0,WSJ870720-0056,117,0.1439457598945057,minmaxnorm
152,Q0,AP880625-0128,118,0.14356800326741465,minmaxnorm
152,Q0,WSJ870520-0110,119,0.1434347656663667,minmaxnorm
152,Q0,AP880624-0067,120,0.14325625473729262,minmaxnorm
152,Q0,FR881025-0007,121,0.14314440520362803,minmaxnorm
152,Q0,WSJ881007-0076,122,0.14302078265969084,minmaxnorm
152,Q0,AP880830-0255,123,0.14280371801914318,minmaxnorm
152,Q0,WSJ920309-0092,124,0.14278469701200075,minmaxnorm
152,Q0,AP890531-0186,125,0.14272614673866496,minmaxnorm
152,Q0,AP890403-0058,126,0.14256270027460585,minmaxnorm
152,Q0,AP880507-0030,127,0.14204352467639486,minmaxnorm
152,Q0,AP880329-0267,128,0.14197384248676728,minmaxnorm
152,Q0,AP880623-0027,129,0.14173941503652487,minmaxnorm
152,Q0,WSJ880519-0127,130,0.14154001327398366,minmaxnorm
152,Q0,WSJ890927-0159,131,0.1413946473413729,minmaxnorm
152,Q0,WSJ880829-0101,132,0.14130763553984596,minmaxnorm
152,Q0,AP881025-0238,133,0.14117629678520047,minmaxnorm
152,Q0,AP890904-0042,134,0.1406871925748447,minmaxnorm
152,Q0,FR88729-0009,135,0.14068210987337523,minmaxnorm
152,Q0,AP891101-0238,136,0.1406129919980461,minmaxnorm
152,Q0,WSJ881102-0043,137,0.14054054021552162,minmaxnorm
152,Q0,AP880702-0100,138,0.14009206504474753,minmaxnorm
152,Q0,WSJ870604-0077,139,0.13966493781175418,minmaxnorm
152,Q0,WSJ880620-0125,140,0.13927469705851284,minmaxnorm
152,Q0,AP880726-0159,141,0.1390761061833452,minmaxnorm
152,Q0,WSJ870813-0003,142,0.1387467613506016,minmaxnorm
152,Q0,AP890714-0288,143,0.1386157437847084,minmaxnorm
152,Q0,AP880216-0108,144,0.1382545496251556,minmaxnorm
152,Q0,WSJ880726-0052,145,0.13807619900497134,minmaxnorm
152,Q0,AP880727-0173,146,0.13773260859532024,minmaxnorm
152,Q0,AP880720-0136,147,0.13769680924717134,minmaxnorm
152,Q0,WSJ880728-0104,148,0.1376591822416583,minmaxnorm
152,Q0,AP880630-0228,149,0.13678299140607827,minmaxnorm
152,Q0,WSJ890817-0072,150,0.13676073712288414,minmaxnorm
152,Q0,AP880623-0052,151,0.13627954248067806,minmaxnorm
152,Q0,WSJ910318-0010,152,0.1361500026792263,minmaxnorm
152,Q0,WSJ880229-0097,153,0.13604404902603123,minmaxnorm
152,Q0,WSJ881007-0069,154,0.13593587232769197,minmaxnorm
152,Q0,AP880714-0245,155,0.1357750135332062,minmaxnorm
152,Q0,AP880616-0256,156,0.13564714954376608,minmaxnorm
152,Q0,AP880628-0030,157,0.13561250693807336,minmaxnorm
152,Q0,WSJ870622-0054,158,0.13542846118152632,minmaxnorm
152,Q0,WSJ920109-0066,159,0.13456796736190504,minmaxnorm
152,Q0,AP880630-0351,160,0.13417689646752326,minmaxnorm
152,Q0,AP880630-0162,161,0.13408705082420458,minmaxnorm
152,Q0,WSJ880718-0090,162,0.1339733118130157,minmaxnorm
152,Q0,AP880620-0004,163,0.13370965125956705,minmaxnorm
152,Q0,AP880315-0045,164,0.1336474321441252,minmaxnorm
152,Q0,WSJ880906-0044,165,0.13353143418966829,minmaxnorm
152,Q0,AP891206-0193,166,0.13351908217760589,minmaxnorm
152,Q0,WSJ911029-0004,167,0.13260679317149351,minmaxnorm
152,Q0,AP890714-0283,168,0.13239921050641817,minmaxnorm
152,Q0,ZF207-150-014,169,0.13183047925063568,minmaxnorm
152,Q0,WSJ870904-0117,170,0.13176728919579805,minmaxnorm
152,Q0,WSJ880517-0085,171,0.13165919312381652,minmaxnorm
152,Q0,WSJ870925-0054,172,0.1316473952745842,minmaxnorm
152,Q0,WSJ900423-0015,173,0.1314269203467365,minmaxnorm
152,Q0,AP880623-0301,174,0.13124561247248598,minmaxnorm
152,Q0,AP890224-0176,175,0.13078106894294203,minmaxnorm
152,Q0,AP880513-0273,176,0.13071842341536066,minmaxnorm
152,Q0,AP880809-0096,177,0.1306588908824244,minmaxnorm
152,Q0,AP890919-0230,178,0.13038814564709625,minmaxnorm
152,Q0,AP890405-0257,179,0.1303144144865374,minmaxnorm
152,Q0,WSJ910815-0057,180,0.12978649386126445,minmaxnorm
152,Q0,WSJ880512-0151,181,0.12861389755411026,minmaxnorm
152,Q0,AP880803-0045,182,0.12837492972665193,minmaxnorm
152,Q0,ZF108-089-284,183,0.12825150458860674,minmaxnorm
152,Q0,AP880908-0261,184,0.12819516505543516,minmaxnorm
152,Q0,AP881207-0252,185,0.12818982138257914,minmaxnorm
152,Q0,AP890624-0025,186,0.12801059317124794,minmaxnorm
152,Q0,AP880617-0017,187,0.12800287232174895,minmaxnorm
152,Q0,AP880722-0131,188,0.12792004012612168,minmaxnorm
152,Q0,AP880827-0010,189,0.1266837956604299,minmaxnorm
