query,q0,docid,rank,score,system
158,Q0,WSJ911031-0012,1,850825.9475,borda
158,Q0,WSJ910114-0137,2,829851.9174999999,borda
158,Q0,WSJ911115-0150,3,821969.2724999998,borda
158,Q0,WSJ900705-0084,4,821621.5099999999,borda
158,Q0,WSJ900705-0103,5,811526.5200000001,borda
158,Q0,WSJ910717-0001,6,797610.0975,borda
158,Q0,WSJ920306-0178,7,793280.3274999999,borda
158,Q0,WSJ910801-0110,8,790657.16,borda
158,Q0,WSJ911025-0042,9,788780.7299999997,borda
158,Q0,WSJ900914-0093,10,788195.075,borda
158,Q0,WSJ920213-0110,11,786960.8175,borda
158,Q0,WSJ900530-0136,12,786269.4699999999,borda
158,Q0,WSJ900619-0064,13,784749.6249999998,borda
158,Q0,WSJ880919-0128,14,774150.325,borda
158,Q0,WSJ920102-0135,15,758651.2074999998,borda
158,Q0,WSJ910619-0101,16,757080.485,borda
158,Q0,WSJ900418-0193,17,751215.9575,borda
158,Q0,WSJ910718-0143,18,750578.68,borda
158,Q0,WSJ911224-0085,19,738994.715,borda
158,Q0,WSJ870916-0125,20,732470.8574999999,borda
158,Q0,WSJ911202-0109,21,719554.3200000001,borda
158,Q0,WSJ910920-0173,22,718576.9924999999,borda
158,Q0,WSJ880922-0166,23,713150.6549999998,borda
158,Q0,WSJ911115-0121,24,708415.9849999999,borda
158,Q0,WSJ920103-0037,25,702587.1724999998,borda
158,Q0,WSJ911029-0073,26,701439.1300000001,borda
158,Q0,WSJ910823-0086,27,694313.8249999998,borda
158,Q0,WSJ871218-0175,28,691952.4874999997,borda
158,Q0,WSJ911011-0115,29,689100.4124999997,borda
158,Q0,WSJ870327-0109,30,681220.7074999998,borda
158,Q0,WSJ920310-0170,31,674159.4974999998,borda
158,Q0,WSJ900927-0066,32,669066.9224999999,borda
158,Q0,WSJ910806-0069,33,663931.9575,borda
158,Q0,WSJ910528-0075,34,658996.7525000001,borda
158,Q0,WSJ910411-0005,35,650183.9999999998,borda
158,Q0,WSJ911104-0096,36,647693.7874999999,borda
158,Q0,WSJ900424-0008,37,643503.2849999998,borda
