query,q0,docid,rank,score,system
158,Q0,WSJ911031-0012,1,19037.8775,borda
158,Q0,WSJ910114-0137,2,18706.499999999996,borda
158,Q0,WSJ900705-0084,3,18669.095000000005,borda
158,Q0,WSJ911115-0150,4,18529.644999999997,borda
158,Q0,WSJ900705-0103,5,18408.9025,borda
158,Q0,WSJ910717-0001,6,18246.3275,borda
158,Q0,WSJ910801-0110,7,18039.322500000002,borda
158,Q0,WSJ900914-0093,8,18038.6425,borda
158,Q0,WSJ911025-0042,9,18013.192499999997,borda
158,Q0,WSJ900530-0136,10,17939.542500000003,borda
158,Q0,WSJ920213-0110,11,17902.102499999997,borda
158,Q0,WSJ920306-0178,12,17851.895,borda
158,Q0,WSJ900619-0064,13,17837.324999999993,borda
158,Q0,WSJ880919-0128,14,17460.3075,borda
158,Q0,WSJ920102-0135,15,17416.0875,borda
158,Q0,WSJ910619-0101,16,17368.7775,borda
158,Q0,WSJ910718-0143,17,17246.5,borda
158,Q0,WSJ900418-0193,18,17132.897499999992,borda
158,Q0,WSJ870916-0125,19,16800.477500000005,borda
158,Q0,WSJ911224-0085,20,16758.4975,borda
158,Q0,WSJ910920-0173,21,16488.795000000006,borda
158,Q0,WSJ880922-0166,22,16399.4875,borda
158,Q0,WSJ911202-0109,23,16350.512500000003,borda
158,Q0,WSJ911115-0121,24,16192.077500000001,borda
158,Q0,WSJ911011-0115,25,16094.747500000003,borda
158,Q0,WSJ911029-0073,26,16058.685000000001,borda
158,Q0,WSJ920103-0037,27,16027.425,borda
158,Q0,WSJ871218-0175,28,15980.415000000003,borda
158,Q0,WSJ910823-0086,29,15914.582499999999,borda
158,Q0,WSJ920310-0170,30,15767.464999999998,borda
158,Q0,WSJ900927-0066,31,15747.782500000003,borda
158,Q0,WSJ870327-0109,32,15537.772499999995,borda
158,Q0,WSJ910806-0069,33,15423.709999999994,borda
158,Q0,WSJ910411-0005,34,15088.9575,borda
158,Q0,WSJ910528-0075,35,14972.147499999997,borda
158,Q0,WSJ911104-0096,36,14774.800000000003,borda
158,Q0,WSJ900424-0008,37,14752.042499999998,borda
158,Q0,WSJ880222-0078,38,14348.085,borda
158,Q0,AP890703-0029,39,14317.185,borda
158,Q0,FR89712-0095,40,13904.7625,borda
158,Q0,WSJ910801-0107,41,13847.2525,borda
158,Q0,WSJ910418-0112,42,13640.497500000001,borda
158,Q0,WSJ920124-0117,43,13359.137500000003,borda
158,Q0,WSJ880526-0115,44,13092.652499999998,borda
158,Q0,WSJ880503-0101,45,13006.084999999997,borda
158,Q0,WSJ911028-0178,46,12960.8375,borda
158,Q0,AP881126-0089,47,12938.862500000007,borda
158,Q0,WSJ900920-0077,48,12912.095000000001,borda
158,Q0,AP880227-0095,49,12797.6725,borda
158,Q0,AP880808-0152,50,12796.72,borda
158,Q0,AP881023-0094,51,12779.9575,borda
158,Q0,WSJ891026-0061,52,12760.397499999997,borda
158,Q0,WSJ890731-0065,53,12727.4025,borda
158,Q0,AP890628-0041,54,12711.0275,borda
158,Q0,WSJ900612-0109,55,12593.939999999995,borda
158,Q0,WSJ911030-0008,56,12574.502499999997,borda
158,Q0,FR88822-0075,57,12384.272500000003,borda
158,Q0,WSJ911120-0084,58,12347.827500000001,borda
158,Q0,WSJ911007-0188,59,12329.29,borda
158,Q0,WSJ870706-0085,60,12321.957499999997,borda
158,Q0,AP890116-0081,61,12260.129999999997,borda
158,Q0,AP880625-0149,62,12188.772499999997,borda
158,Q0,AP880302-0044,63,12158.142500000002,borda
158,Q0,AP890628-0111,64,12148.1275,borda
