query,q0,docid,rank,score,system
158,Q0,WSJ911115-0150,1,29.817911021545935,minmaxnorm
158,Q0,WSJ910114-0137,2,27.51429927655838,minmaxnorm
158,Q0,WSJ911031-0012,3,26.51593604301735,minmaxnorm
158,Q0,WSJ900530-0136,4,25.27788527453704,minmaxnorm
158,Q0,WSJ900705-0084,5,21.92129814268934,minmaxnorm
158,Q0,WSJ920213-0110,6,21.459228706639095,minmaxnorm
158,Q0,WSJ920306-0178,7,20.84818995140924,minmaxnorm
158,Q0,WSJ900619-0064,8,20.647465889052953,minmaxnorm
158,Q0,WSJ900705-0103,9,19.44296547002796,minmaxnorm
158,Q0,WSJ910717-0001,10,18.52537461762988,minmaxnorm
158,Q0,WSJ920102-0135,11,18.425700850286233,minmaxnorm
158,Q0,WSJ900914-0093,12,17.33810371546336,minmaxnorm
158,Q0,WSJ900418-0193,13,16.98536826515724,minmaxnorm
158,Q0,WSJ880919-0128,14,16.838970174655937,minmaxnorm
158,Q0,WSJ911202-0109,15,16.75900234909912,minmaxnorm
158,Q0,WSJ910801-0110,16,16.57852214817875,minmaxnorm
158,Q0,WSJ911025-0042,17,16.331823181654023,minmaxnorm
158,Q0,WSJ910619-0101,18,14.62624648959414,minmaxnorm
158,Q0,WSJ910718-0143,19,14.55590567827371,minmaxnorm
158,Q0,WSJ871218-0175,20,14.379480124332597,minmaxnorm
158,Q0,WSJ910920-0173,21,14.235584485630458,minmaxnorm
158,Q0,WSJ880922-0166,22,14.128301773958489,minmaxnorm
158,Q0,WSJ910823-0086,23,13.268812812727138,minmaxnorm
158,Q0,WSJ911224-0085,24,12.67246730013057,minmaxnorm
158,Q0,WSJ920310-0170,25,12.642057301594784,minmaxnorm
158,Q0,WSJ911029-0073,26,12.590739675973339,minmaxnorm
158,Q0,WSJ911011-0115,27,12.268051984406835,minmaxnorm
158,Q0,WSJ910528-0075,28,12.075477878949782,minmaxnorm
158,Q0,WSJ880526-0115,29,11.749281276294495,minmaxnorm
158,Q0,WSJ911104-0096,30,11.687119422653923,minmaxnorm
158,Q0,WSJ910411-0005,31,11.593085538628287,minmaxnorm
158,Q0,WSJ911115-0121,32,11.240858751100198,minmaxnorm
158,Q0,WSJ870916-0125,33,10.96896095788499,minmaxnorm
158,Q0,WSJ920103-0037,34,10.761813953846627,minmaxnorm
158,Q0,WSJ920124-0117,35,10.722972014881647,minmaxnorm
158,Q0,WSJ900927-0066,36,10.603767052014115,minmaxnorm
158,Q0,WSJ900424-0008,37,10.581489775924144,minmaxnorm
158,Q0,WSJ870327-0109,38,10.446683598925139,minmaxnorm
158,Q0,AP890703-0029,39,10.114031396308523,minmaxnorm
158,Q0,WSJ880222-0078,40,9.68042945564165,minmaxnorm
158,Q0,WSJ910806-0069,41,9.671165291335125,minmaxnorm
158,Q0,WSJ911120-0084,42,9.4655733308159,minmaxnorm
158,Q0,AP881023-0094,43,9.332372806311165,minmaxnorm
158,Q0,WSJ900920-0077,44,9.24127074289919,minmaxnorm
158,Q0,WSJ910801-0107,45,8.966068358891386,minmaxnorm
158,Q0,AP890628-0041,46,8.439095548778683,minmaxnorm
158,Q0,AP880808-0152,47,8.309761642178115,minmaxnorm
158,Q0,WSJ911007-0188,48,8.224284695151486,minmaxnorm
158,Q0,AP890116-0081,49,8.07954554580486,minmaxnorm
158,Q0,FR88822-0075,50,7.962284438947428,minmaxnorm
158,Q0,WSJ880805-0167,51,7.9595675214830885,minmaxnorm
158,Q0,WSJ891026-0061,52,7.88211575596193,minmaxnorm
158,Q0,WSJ920106-0032,53,7.743465473308065,minmaxnorm
158,Q0,WSJ880503-0101,54,7.601437617920745,minmaxnorm
158,Q0,WSJ870120-0109,55,7.5960630199109955,minmaxnorm
158,Q0,WSJ911016-0125,56,7.572150341558814,minmaxnorm
158,Q0,FR88511-0168,57,7.557482809044022,minmaxnorm
158,Q0,WSJ880502-0145,58,7.528752174555817,minmaxnorm
158,Q0,WSJ910418-0112,59,7.487502168797679,minmaxnorm
158,Q0,WSJ911030-0008,60,7.478280830726197,minmaxnorm
158,Q0,WSJ880415-0135,61,7.469690265981789,minmaxnorm
158,Q0,FR89712-0095,62,7.431859946339585,minmaxnorm
158,Q0,WSJ870107-0072,63,7.3574960945996,minmaxnorm
158,Q0,AP890923-0045,64,7.2998831189418265,minmaxnorm
158,Q0,AP890519-0029,65,7.198547217499194,minmaxnorm
158,Q0,WSJ870515-0045,66,7.125058740421919,minmaxnorm
158,Q0,WSJ900612-0109,67,7.076718914860293,minmaxnorm
158,Q0,WSJ890731-0065,68,7.06658044183461,minmaxnorm
158,Q0,AP880227-0095,69,7.04120743744925,minmaxnorm
158,Q0,AP881126-0089,70,7.0236795900818985,minmaxnorm
158,Q0,WSJ880212-0114,71,7.021680868170154,minmaxnorm
158,Q0,FR88514-0001,72,7.011659566337196,minmaxnorm
158,Q0,WSJ911028-0178,73,7.001328558927228,minmaxnorm
158,Q0,WSJ861216-0171,74,6.927827994397868,minmaxnorm
158,Q0,AP890628-0100,75,6.872894725136854,minmaxnorm
158,Q0,AP890628-0111,76,6.871866758666345,minmaxnorm
158,Q0,WSJ880916-0119,77,6.7574710768416235,minmaxnorm
158,Q0,AP891024-0187,78,6.749330458439726,minmaxnorm
158,Q0,WSJ881027-0052,79,6.650471419250824,minmaxnorm
158,Q0,AP890206-0085,80,6.643571522379361,minmaxnorm
158,Q0,AP880625-0149,81,6.600973985421422,minmaxnorm
158,Q0,WSJ900608-0009,82,6.598166524509143,minmaxnorm
158,Q0,AP890202-0101,83,6.538086809102385,minmaxnorm
158,Q0,AP890106-0253,84,6.532565736531629,minmaxnorm
158,Q0,AP881023-0084,85,6.49041129543861,minmaxnorm
158,Q0,WSJ911105-0029,86,6.42917390895455,minmaxnorm
158,Q0,WSJ870706-0085,87,6.404703660484662,minmaxnorm
158,Q0,WSJ920310-0115,88,6.38450978034338,minmaxnorm
158,Q0,WSJ881109-0094,89,6.354655855396286,minmaxnorm
158,Q0,AP881023-0092,90,6.350955677467155,minmaxnorm
158,Q0,FR88609-0021,91,6.302849281859447,minmaxnorm
158,Q0,WSJ900621-0081,92,6.293558940613886,minmaxnorm
158,Q0,WSJ891102-0080,93,6.245785362221437,minmaxnorm
158,Q0,FR88825-0007,94,6.208549518378993,minmaxnorm
158,Q0,AP880402-0139,95,6.207057996918197,minmaxnorm
158,Q0,AP880302-0044,96,6.2038702543604085,minmaxnorm
158,Q0,AP880512-0169,97,6.1987825661603715,minmaxnorm
158,Q0,AP881004-0202,98,6.1939824189297825,minmaxnorm
158,Q0,AP890204-0106,99,6.16156905187732,minmaxnorm
158,Q0,AP890518-0158,100,6.133321584910806,minmaxnorm
158,Q0,AP880520-0060,101,6.090064931344484,minmaxnorm
158,Q0,AP890111-0135,102,6.031466035538853,minmaxnorm
158,Q0,AP881019-0107,103,5.932189486486095,minmaxnorm
158,Q0,AP880702-0025,104,5.928080113870969,minmaxnorm
158,Q0,WSJ911108-0154,105,5.8742144853022396,minmaxnorm
158,Q0,WSJ880318-0121,106,5.833782427873241,minmaxnorm
158,Q0,WSJ891030-0090,107,5.762702653171406,minmaxnorm
158,Q0,AP881226-0079,108,5.7386673691711945,minmaxnorm
158,Q0,WSJ880615-0150,109,5.6916243541136815,minmaxnorm
