query,q0,docid,rank,score,system
158,Q0,WSJ911031-0012,1,2.5353934800888975,reciprocal_rank_fusion_k=60
158,Q0,WSJ910114-0137,2,2.503883732535756,reciprocal_rank_fusion_k=60
158,Q0,WSJ911115-0150,3,2.4346009930302706,reciprocal_rank_fusion_k=60
158,Q0,WSJ900530-0136,4,2.354332088338699,reciprocal_rank_fusion_k=60
158,Q0,WSJ900705-0084,5,2.3188519248462596,reciprocal_rank_fusion_k=60
158,Q0,WSJ920213-0110,6,2.2577714553026915,reciprocal_rank_fusion_k=60
158,Q0,WSJ900619-0064,7,2.1662419288743977,reciprocal_rank_fusion_k=60
158,Q0,WSJ920306-0178,8,2.1611874873037045,reciprocal_rank_fusion_k=60
158,Q0,WSJ900705-0103,9,2.1500461417792196,reciprocal_rank_fusion_k=60
158,Q0,WSJ910717-0001,10,2.11272869380087,reciprocal_rank_fusion_k=60
158,Q0,WSJ920102-0135,11,2.0792256749474025,reciprocal_rank_fusion_k=60
158,Q0,WSJ900914-0093,12,1.9761133455959596,reciprocal_rank_fusion_k=60
158,Q0,WSJ900418-0193,13,1.9115382493383442,reciprocal_rank_fusion_k=60
158,Q0,WSJ910801-0110,14,1.9065987541152112,reciprocal_rank_fusion_k=60
158,Q0,WSJ911025-0042,15,1.8310036779364836,reciprocal_rank_fusion_k=60
158,Q0,WSJ880919-0128,16,1.8180391669671443,reciprocal_rank_fusion_k=60
158,Q0,WSJ911202-0109,17,1.800049018857072,reciprocal_rank_fusion_k=60
158,Q0,WSJ910619-0101,18,1.7475496454918764,reciprocal_rank_fusion_k=60
158,Q0,WSJ910718-0143,19,1.6812418238798237,reciprocal_rank_fusion_k=60
158,Q0,WSJ910920-0173,20,1.648950479262951,reciprocal_rank_fusion_k=60
158,Q0,WSJ880922-0166,21,1.6478833084710938,reciprocal_rank_fusion_k=60
158,Q0,WSJ871218-0175,22,1.6348583268753458,reciprocal_rank_fusion_k=60
158,Q0,WSJ920310-0170,23,1.5914613084190912,reciprocal_rank_fusion_k=60
158,Q0,WSJ911011-0115,24,1.5560660502244357,reciprocal_rank_fusion_k=60
158,Q0,WSJ910823-0086,25,1.542084704976095,reciprocal_rank_fusion_k=60
158,Q0,WSJ911029-0073,26,1.4552970369636844,reciprocal_rank_fusion_k=60
158,Q0,WSJ911224-0085,27,1.4372649382775602,reciprocal_rank_fusion_k=60
