query,q0,docid,rank,score,system
158,Q0,WSJ911031-0012,1,0.541832613918817,reciprocal_rank_fusion_k=60
158,Q0,WSJ910114-0137,2,0.5331903110167802,reciprocal_rank_fusion_k=60
158,Q0,WSJ911115-0150,3,0.5106423600952127,reciprocal_rank_fusion_k=60
158,Q0,WSJ900530-0136,4,0.489977175243934,reciprocal_rank_fusion_k=60
158,Q0,WSJ900705-0084,5,0.4846052235092341,reciprocal_rank_fusion_k=60
158,Q0,WSJ920213-0110,6,0.46745426231766823,reciprocal_rank_fusion_k=60
158,Q0,WSJ920306-0178,7,0.4555306784525076,reciprocal_rank_fusion_k=60
158,Q0,WSJ900705-0103,8,0.45079653177939394,reciprocal_rank_fusion_k=60
158,Q0,WSJ900619-0064,9,0.4461420691122814,reciprocal_rank_fusion_k=60
158,Q0,WSJ910717-0001,10,0.426739596421043,reciprocal_rank_fusion_k=60
158,Q0,WSJ920102-0135,11,0.4136809199616732,reciprocal_rank_fusion_k=60
158,Q0,WSJ900914-0093,12,0.40839158465418096,reciprocal_rank_fusion_k=60
158,Q0,WSJ910801-0110,13,0.3927685288601538,reciprocal_rank_fusion_k=60
158,Q0,WSJ911202-0109,14,0.39275183483638165,reciprocal_rank_fusion_k=60
158,Q0,WSJ900418-0193,15,0.38654688979801116,reciprocal_rank_fusion_k=60
158,Q0,WSJ880919-0128,16,0.3851681606087193,reciprocal_rank_fusion_k=60
158,Q0,WSJ911025-0042,17,0.3777070974403375,reciprocal_rank_fusion_k=60
158,Q0,WSJ910619-0101,18,0.35002263831281444,reciprocal_rank_fusion_k=60
158,Q0,WSJ910718-0143,19,0.34453608416465764,reciprocal_rank_fusion_k=60
158,Q0,WSJ871218-0175,20,0.34412193625301296,reciprocal_rank_fusion_k=60
158,Q0,WSJ880922-0166,21,0.3386163142870924,reciprocal_rank_fusion_k=60
158,Q0,WSJ910920-0173,22,0.323230192550364,reciprocal_rank_fusion_k=60
158,Q0,WSJ910823-0086,23,0.2985787415299223,reciprocal_rank_fusion_k=60
158,Q0,WSJ920310-0170,24,0.29751828071187053,reciprocal_rank_fusion_k=60
158,Q0,WSJ911011-0115,25,0.29465445218252195,reciprocal_rank_fusion_k=60
158,Q0,WSJ911224-0085,26,0.2906628039154117,reciprocal_rank_fusion_k=60
158,Q0,WSJ910528-0075,27,0.28135632610687233,reciprocal_rank_fusion_k=60
158,Q0,WSJ911029-0073,28,0.280668542519965,reciprocal_rank_fusion_k=60
158,Q0,WSJ880526-0115,29,0.2696160670133764,reciprocal_rank_fusion_k=60
158,Q0,WSJ910411-0005,30,0.26687771891379036,reciprocal_rank_fusion_k=60
158,Q0,WSJ911104-0096,31,0.263751980712431,reciprocal_rank_fusion_k=60
158,Q0,WSJ870916-0125,32,0.26092833540587823,reciprocal_rank_fusion_k=60
158,Q0,AP890703-0029,33,0.24902957753838595,reciprocal_rank_fusion_k=60
158,Q0,WSJ920124-0117,34,0.24644184287447027,reciprocal_rank_fusion_k=60
158,Q0,WSJ870327-0109,35,0.24587693603677166,reciprocal_rank_fusion_k=60
158,Q0,WSJ880222-0078,36,0.2446028416195619,reciprocal_rank_fusion_k=60
158,Q0,WSJ920103-0037,37,0.2408840850967168,reciprocal_rank_fusion_k=60
158,Q0,WSJ900927-0066,38,0.23947016320190756,reciprocal_rank_fusion_k=60
158,Q0,WSJ911115-0121,39,0.23942893009356433,reciprocal_rank_fusion_k=60
158,Q0,AP881023-0094,40,0.23938025162936208,reciprocal_rank_fusion_k=60
158,Q0,WSJ900424-0008,41,0.23394682235317554,reciprocal_rank_fusion_k=60
158,Q0,AP890628-0041,42,0.22715772868341685,reciprocal_rank_fusion_k=60
158,Q0,WSJ910806-0069,43,0.21917539320654805,reciprocal_rank_fusion_k=60
158,Q0,WSJ911120-0084,44,0.2174609090572102,reciprocal_rank_fusion_k=60
158,Q0,WSJ910801-0107,45,0.21355136810909722,reciprocal_rank_fusion_k=60
158,Q0,WSJ880805-0167,46,0.19879832598013092,reciprocal_rank_fusion_k=60
158,Q0,WSJ891026-0061,47,0.19160038047920844,reciprocal_rank_fusion_k=60
158,Q0,WSJ870120-0109,48,0.19100332176134588,reciprocal_rank_fusion_k=60
158,Q0,FR88822-0075,49,0.18939969940828313,reciprocal_rank_fusion_k=60
158,Q0,WSJ880502-0145,50,0.18887014324691212,reciprocal_rank_fusion_k=60
158,Q0,AP880808-0152,51,0.18635007924816588,reciprocal_rank_fusion_k=60
158,Q0,WSJ870107-0072,52,0.1841073461289006,reciprocal_rank_fusion_k=60
158,Q0,FR89712-0095,53,0.18291555445748955,reciprocal_rank_fusion_k=60
158,Q0,WSJ911007-0188,54,0.18223213399550617,reciprocal_rank_fusion_k=60
158,Q0,WSJ880415-0135,55,0.18193840477719145,reciprocal_rank_fusion_k=60
158,Q0,WSJ900920-0077,56,0.18091047316084277,reciprocal_rank_fusion_k=60
158,Q0,WSJ910418-0112,57,0.1746888756222337,reciprocal_rank_fusion_k=60
158,Q0,AP890923-0045,58,0.17296235270510368,reciprocal_rank_fusion_k=60
158,Q0,WSJ880503-0101,59,0.1725262311213232,reciprocal_rank_fusion_k=60
158,Q0,WSJ880916-0119,60,0.1612440960581787,reciprocal_rank_fusion_k=60
158,Q0,WSJ911016-0125,61,0.16093479515542444,reciprocal_rank_fusion_k=60
158,Q0,WSJ880212-0114,62,0.16038679548382484,reciprocal_rank_fusion_k=60
158,Q0,WSJ920106-0032,63,0.15850007824400753,reciprocal_rank_fusion_k=60
158,Q0,WSJ861216-0171,64,0.15838725065123113,reciprocal_rank_fusion_k=60
158,Q0,FR88511-0168,65,0.15713802415737327,reciprocal_rank_fusion_k=60
158,Q0,WSJ870515-0045,66,0.1567975861180914,reciprocal_rank_fusion_k=60
158,Q0,AP891024-0187,67,0.1567266139851675,reciprocal_rank_fusion_k=60
158,Q0,FR88609-0021,68,0.155509277968137,reciprocal_rank_fusion_k=60
158,Q0,AP890116-0081,69,0.1548273135789236,reciprocal_rank_fusion_k=60
158,Q0,AP881023-0084,70,0.1541518436542181,reciprocal_rank_fusion_k=60
158,Q0,FR88514-0001,71,0.1527685334156831,reciprocal_rank_fusion_k=60
158,Q0,AP881126-0089,72,0.15106523202870445,reciprocal_rank_fusion_k=60
158,Q0,AP890518-0158,73,0.1503014762528213,reciprocal_rank_fusion_k=60
158,Q0,AP881004-0202,74,0.15014609137029786,reciprocal_rank_fusion_k=60
158,Q0,AP880227-0095,75,0.1488872472459805,reciprocal_rank_fusion_k=60
158,Q0,WSJ900612-0109,76,0.1484866342780972,reciprocal_rank_fusion_k=60
158,Q0,WSJ911030-0008,77,0.14698729576641428,reciprocal_rank_fusion_k=60
158,Q0,AP890206-0085,78,0.14651810070288843,reciprocal_rank_fusion_k=60
158,Q0,AP890111-0135,79,0.14617522969399482,reciprocal_rank_fusion_k=60
158,Q0,WSJ881027-0052,80,0.14380452596794138,reciprocal_rank_fusion_k=60
158,Q0,AP880512-0169,81,0.14323050392799655,reciprocal_rank_fusion_k=60
158,Q0,AP890628-0111,82,0.14235041877265978,reciprocal_rank_fusion_k=60
158,Q0,WSJ890731-0065,83,0.14205022290046013,reciprocal_rank_fusion_k=60
158,Q0,AP880520-0060,84,0.1416767375942625,reciprocal_rank_fusion_k=60
158,Q0,AP890106-0253,85,0.14132291574636793,reciprocal_rank_fusion_k=60
158,Q0,AP890204-0106,86,0.14071039297646426,reciprocal_rank_fusion_k=60
158,Q0,WSJ911105-0029,87,0.14003832285255968,reciprocal_rank_fusion_k=60
158,Q0,AP890519-0029,88,0.139888099016856,reciprocal_rank_fusion_k=60
158,Q0,WSJ911028-0178,89,0.13945725011414833,reciprocal_rank_fusion_k=60
158,Q0,WSJ911108-0154,90,0.13917646825590235,reciprocal_rank_fusion_k=60
158,Q0,AP890628-0100,91,0.1369306599695167,reciprocal_rank_fusion_k=60
158,Q0,WSJ920310-0115,92,0.13594482909779196,reciprocal_rank_fusion_k=60
158,Q0,FR88825-0007,93,0.13541405164538103,reciprocal_rank_fusion_k=60
158,Q0,WSJ900608-0009,94,0.13463029570196683,reciprocal_rank_fusion_k=60
158,Q0,FR88728-0020,95,0.13335911618449073,reciprocal_rank_fusion_k=60
158,Q0,AP890613-0158,96,0.13264499571471214,reciprocal_rank_fusion_k=60
158,Q0,FR89417-0040,97,0.1309718295246624,reciprocal_rank_fusion_k=60
158,Q0,WSJ891102-0080,98,0.1297938889602674,reciprocal_rank_fusion_k=60
158,Q0,WSJ870706-0085,99,0.12906054738736525,reciprocal_rank_fusion_k=60
158,Q0,AP880302-0044,100,0.1288922207010451,reciprocal_rank_fusion_k=60
