query,q0,docid,rank,score,system
158,Q0,WSJ911115-0150,1,1.8852419848940962,minmaxnorm
158,Q0,WSJ910114-0137,2,1.7080554548892628,minmaxnorm
158,Q0,WSJ900530-0136,3,1.6593535806391666,minmaxnorm
158,Q0,WSJ911031-0012,4,1.6316306648221341,minmaxnorm
158,Q0,WSJ900619-0064,5,1.5235511291411248,minmaxnorm
158,Q0,WSJ900705-0084,6,1.508692319933836,minmaxnorm
158,Q0,WSJ920213-0110,7,1.4859701941583965,minmaxnorm
158,Q0,WSJ920306-0178,8,1.426951188211326,minmaxnorm
158,Q0,WSJ900705-0103,9,1.4080514371497506,minmaxnorm
158,Q0,WSJ920102-0135,10,1.404958484897878,minmaxnorm
158,Q0,WSJ910717-0001,11,1.3588411150886854,minmaxnorm
158,Q0,WSJ900914-0093,12,1.311475507606847,minmaxnorm
158,Q0,WSJ900418-0193,13,1.3086183986187085,minmaxnorm
158,Q0,WSJ910801-0110,14,1.3007044778266774,minmaxnorm
158,Q0,WSJ880919-0128,15,1.2872502732182713,minmaxnorm
158,Q0,WSJ911025-0042,16,1.27408238123339,minmaxnorm
158,Q0,WSJ910619-0101,17,1.2334250697781943,minmaxnorm
158,Q0,WSJ880922-0166,18,1.2266768023415717,minmaxnorm
158,Q0,WSJ910718-0143,19,1.2261695303793179,minmaxnorm
158,Q0,WSJ871218-0175,20,1.2242891560554365,minmaxnorm
158,Q0,WSJ910920-0173,21,1.1702365049133945,minmaxnorm
158,Q0,WSJ911202-0109,22,1.167423287274166,minmaxnorm
158,Q0,WSJ911011-0115,23,1.164358870654725,minmaxnorm
158,Q0,WSJ911224-0085,24,1.1505759539892537,minmaxnorm
158,Q0,WSJ920310-0170,25,1.1463913996105934,minmaxnorm
158,Q0,WSJ910411-0005,26,1.1218342321977461,minmaxnorm
158,Q0,WSJ910823-0086,27,1.114806356583407,minmaxnorm
158,Q0,WSJ900927-0066,28,1.1044709193048186,minmaxnorm
158,Q0,WSJ911029-0073,29,1.1015150175041544,minmaxnorm
158,Q0,WSJ870916-0125,30,1.0931074625910002,minmaxnorm
158,Q0,WSJ911104-0096,31,1.0824056837681022,minmaxnorm
158,Q0,WSJ910528-0075,32,1.077992049150715,minmaxnorm
158,Q0,WSJ910806-0069,33,1.067864901261156,minmaxnorm
158,Q0,WSJ911115-0121,34,1.0610304384744973,minmaxnorm
158,Q0,WSJ870327-0109,35,1.0516766151690067,minmaxnorm
158,Q0,WSJ920103-0037,36,1.0323245552348295,minmaxnorm
158,Q0,AP890703-0029,37,1.0032606248476204,minmaxnorm
158,Q0,WSJ910418-0112,38,0.9852535258235446,minmaxnorm
158,Q0,WSJ880526-0115,39,0.9820294755537512,minmaxnorm
158,Q0,FR89712-0095,40,0.980735068546177,minmaxnorm
158,Q0,WSJ880222-0078,41,0.9757863039431233,minmaxnorm
158,Q0,WSJ900424-0008,42,0.9718460896297016,minmaxnorm
158,Q0,WSJ891026-0061,43,0.9676399719296637,minmaxnorm
158,Q0,AP880227-0095,44,0.9457890118264196,minmaxnorm
158,Q0,WSJ911030-0008,45,0.9283075104245866,minmaxnorm
158,Q0,WSJ900612-0109,46,0.9260316327884738,minmaxnorm
158,Q0,WSJ910801-0107,47,0.92586746075142,minmaxnorm
158,Q0,AP881023-0094,48,0.9217458790120402,minmaxnorm
158,Q0,WSJ911028-0178,49,0.9201774967552296,minmaxnorm
158,Q0,WSJ870706-0085,50,0.9178340889411695,minmaxnorm
158,Q0,AP881023-0084,51,0.9169472368362208,minmaxnorm
158,Q0,WSJ880503-0101,52,0.9148730867780005,minmaxnorm
158,Q0,WSJ920124-0117,53,0.9117035556578276,minmaxnorm
158,Q0,AP880625-0149,54,0.9103557752173391,minmaxnorm
158,Q0,WSJ890731-0065,55,0.9056786597033897,minmaxnorm
