r1,r2,score
input.acqnt1.gz,input.assctv1.gz,0.5925
input.assctv1.gz,input.acqnt1.gz,0.5925
input.acqnt1.gz,input.assctv2.gz,0.6024999999999999
input.assctv2.gz,input.acqnt1.gz,0.6024999999999999
input.acqnt1.gz,input.brkly6.gz,0.5675
input.brkly6.gz,input.acqnt1.gz,0.5675
input.acqnt1.gz,input.brkly7.gz,0.6425000000000001
input.brkly7.gz,input.acqnt1.gz,0.6425000000000001
input.acqnt1.gz,input.citri1.gz,0.465
input.citri1.gz,input.acqnt1.gz,0.465
input.acqnt1.gz,input.citri2.gz,0.475
input.citri2.gz,input.acqnt1.gz,0.475
input.acqnt1.gz,input.citya1.gz,0.6125
input.citya1.gz,input.acqnt1.gz,0.6125
input.acqnt1.gz,input.citya2.gz,0.585
input.citya2.gz,input.acqnt1.gz,0.585
input.acqnt1.gz,input.clarta.gz,0.5349999999999999
input.clarta.gz,input.acqnt1.gz,0.5349999999999999
input.acqnt1.gz,input.clartm.gz,0.5775
input.clartm.gz,input.acqnt1.gz,0.5775
input.acqnt1.gz,input.crnlea.gz,0.5125000000000001
input.crnlea.gz,input.acqnt1.gz,0.5125000000000001
input.acqnt1.gz,input.crnlla.gz,0.5275000000000001
input.crnlla.gz,input.acqnt1.gz,0.5275000000000001
input.acqnt1.gz,input.dortd1.gz,0.46749999999999997
input.dortd1.gz,input.acqnt1.gz,0.46749999999999997
input.acqnt1.gz,input.dortd2.gz,0.47000000000000003
input.dortd2.gz,input.acqnt1.gz,0.47000000000000003
input.acqnt1.gz,input.erima1.gz,0.43499999999999994
input.erima1.gz,input.acqnt1.gz,0.43499999999999994
input.acqnt1.gz,input.eth001.gz,0.48250000000000004
input.eth001.gz,input.acqnt1.gz,0.48250000000000004
input.acqnt1.gz,input.eth002.gz,0.5425000000000001
input.eth002.gz,input.acqnt1.gz,0.5425000000000001
input.acqnt1.gz,input.inq101.gz,0.6075
input.inq101.gz,input.acqnt1.gz,0.6075
input.acqnt1.gz,input.inq102.gz,0.6325000000000001
input.inq102.gz,input.acqnt1.gz,0.6325000000000001
input.acqnt1.gz,input.lsia0mf.gz,0.45999999999999996
input.lsia0mf.gz,input.acqnt1.gz,0.45999999999999996
input.acqnt1.gz,input.lsia0mw2.gz,0.47750000000000004
input.lsia0mw2.gz,input.acqnt1.gz,0.47750000000000004
input.acqnt1.gz,input.nyuir1.gz,0.5525
input.nyuir1.gz,input.acqnt1.gz,0.5525
input.acqnt1.gz,input.nyuir2.gz,0.555
input.nyuir2.gz,input.acqnt1.gz,0.555
input.acqnt1.gz,input.padre2.gz,0.48
input.padre2.gz,input.acqnt1.gz,0.48
input.acqnt1.gz,input.pircs1.gz,0.5800000000000001
input.pircs1.gz,input.acqnt1.gz,0.5800000000000001
input.acqnt1.gz,input.pircs2.gz,0.5549999999999999
input.pircs2.gz,input.acqnt1.gz,0.5549999999999999
input.acqnt1.gz,input.rutfua1.gz,0.585
input.rutfua1.gz,input.acqnt1.gz,0.585
input.acqnt1.gz,input.rutfua2.gz,0.5725
input.rutfua2.gz,input.acqnt1.gz,0.5725
input.acqnt1.gz,input.siems1.gz,0.4800000000000001
input.siems1.gz,input.acqnt1.gz,0.4800000000000001
input.acqnt1.gz,input.siems2.gz,0.47750000000000004
input.siems2.gz,input.acqnt1.gz,0.47750000000000004
input.acqnt1.gz,input.topic3.gz,0.45999999999999996
input.topic3.gz,input.acqnt1.gz,0.45999999999999996
input.acqnt1.gz,input.virtu1.gz,0.4425
input.virtu1.gz,input.acqnt1.gz,0.4425
input.acqnt1.gz,input.vtc2s2.gz,0.6074999999999999
input.vtc2s2.gz,input.acqnt1.gz,0.6074999999999999
input.acqnt1.gz,input.vtc5s2.gz,0.6025
input.vtc5s2.gz,input.acqnt1.gz,0.6025
input.acqnt1.gz,input.westp1.gz,0.6
input.westp1.gz,input.acqnt1.gz,0.6
input.acqnt1.gz,input.xerox3.gz,0.48500000000000004
input.xerox3.gz,input.acqnt1.gz,0.48500000000000004
input.acqnt1.gz,input.xerox4.gz,0.45500000000000007
input.xerox4.gz,input.acqnt1.gz,0.45500000000000007
input.assctv1.gz,input.assctv2.gz,0.725
input.assctv2.gz,input.assctv1.gz,0.725
input.assctv1.gz,input.brkly6.gz,0.7449999999999999
input.brkly6.gz,input.assctv1.gz,0.7449999999999999
input.assctv1.gz,input.brkly7.gz,0.7675
input.brkly7.gz,input.assctv1.gz,0.7675
input.assctv1.gz,input.citri1.gz,0.68
input.citri1.gz,input.assctv1.gz,0.68
input.assctv1.gz,input.citri2.gz,0.675
input.citri2.gz,input.assctv1.gz,0.675
input.assctv1.gz,input.citya1.gz,0.745
input.citya1.gz,input.assctv1.gz,0.745
input.assctv1.gz,input.citya2.gz,0.74
input.citya2.gz,input.assctv1.gz,0.74
input.assctv1.gz,input.clarta.gz,0.7025
input.clarta.gz,input.assctv1.gz,0.7025
input.assctv1.gz,input.clartm.gz,0.6875
input.clartm.gz,input.assctv1.gz,0.6875
input.assctv1.gz,input.crnlea.gz,0.68
input.crnlea.gz,input.assctv1.gz,0.68
input.assctv1.gz,input.crnlla.gz,0.7275
input.crnlla.gz,input.assctv1.gz,0.7275
input.assctv1.gz,input.dortd1.gz,0.6675
input.dortd1.gz,input.assctv1.gz,0.6675
input.assctv1.gz,input.dortd2.gz,0.6825
input.dortd2.gz,input.assctv1.gz,0.6825
input.assctv1.gz,input.erima1.gz,0.6675000000000001
input.erima1.gz,input.assctv1.gz,0.6675000000000001
input.assctv1.gz,input.eth001.gz,0.6900000000000001
input.eth001.gz,input.assctv1.gz,0.6900000000000001
input.assctv1.gz,input.eth002.gz,0.735
input.eth002.gz,input.assctv1.gz,0.735
input.assctv1.gz,input.inq101.gz,0.745
input.inq101.gz,input.assctv1.gz,0.745
input.assctv1.gz,input.inq102.gz,0.7899999999999999
input.inq102.gz,input.assctv1.gz,0.7899999999999999
input.assctv1.gz,input.lsia0mf.gz,0.6675
input.lsia0mf.gz,input.assctv1.gz,0.6675
input.assctv1.gz,input.lsia0mw2.gz,0.67
input.lsia0mw2.gz,input.assctv1.gz,0.67
input.assctv1.gz,input.nyuir1.gz,0.75
input.nyuir1.gz,input.assctv1.gz,0.75
input.assctv1.gz,input.nyuir2.gz,0.7474999999999999
input.nyuir2.gz,input.assctv1.gz,0.7474999999999999
input.assctv1.gz,input.padre2.gz,0.6975
input.padre2.gz,input.assctv1.gz,0.6975
input.assctv1.gz,input.pircs1.gz,0.72
input.pircs1.gz,input.assctv1.gz,0.72
input.assctv1.gz,input.pircs2.gz,0.72
input.pircs2.gz,input.assctv1.gz,0.72
input.assctv1.gz,input.rutfua1.gz,0.7375
input.rutfua1.gz,input.assctv1.gz,0.7375
input.assctv1.gz,input.rutfua2.gz,0.7525000000000001
input.rutfua2.gz,input.assctv1.gz,0.7525000000000001
input.assctv1.gz,input.siems1.gz,0.6900000000000001
input.siems1.gz,input.assctv1.gz,0.6900000000000001
input.assctv1.gz,input.siems2.gz,0.7125
input.siems2.gz,input.assctv1.gz,0.7125
input.assctv1.gz,input.topic3.gz,0.7125
input.topic3.gz,input.assctv1.gz,0.7125
input.assctv1.gz,input.virtu1.gz,0.6575
input.virtu1.gz,input.assctv1.gz,0.6575
input.assctv1.gz,input.vtc2s2.gz,0.745
input.vtc2s2.gz,input.assctv1.gz,0.745
input.assctv1.gz,input.vtc5s2.gz,0.7575000000000001
input.vtc5s2.gz,input.assctv1.gz,0.7575000000000001
input.assctv1.gz,input.westp1.gz,0.7625
input.westp1.gz,input.assctv1.gz,0.7625
input.assctv1.gz,input.xerox3.gz,0.6675000000000001
input.xerox3.gz,input.assctv1.gz,0.6675000000000001
input.assctv1.gz,input.xerox4.gz,0.655
input.xerox4.gz,input.assctv1.gz,0.655
input.assctv2.gz,input.brkly6.gz,0.7174999999999999
input.brkly6.gz,input.assctv2.gz,0.7174999999999999
input.assctv2.gz,input.brkly7.gz,0.765
input.brkly7.gz,input.assctv2.gz,0.765
input.assctv2.gz,input.citri1.gz,0.67
input.citri1.gz,input.assctv2.gz,0.67
input.assctv2.gz,input.citri2.gz,0.6675
input.citri2.gz,input.assctv2.gz,0.6675
input.assctv2.gz,input.citya1.gz,0.7425
input.citya1.gz,input.assctv2.gz,0.7425
input.assctv2.gz,input.citya2.gz,0.7375
input.citya2.gz,input.assctv2.gz,0.7375
input.assctv2.gz,input.clarta.gz,0.71
input.clarta.gz,input.assctv2.gz,0.71
input.assctv2.gz,input.clartm.gz,0.7074999999999999
input.clartm.gz,input.assctv2.gz,0.7074999999999999
input.assctv2.gz,input.crnlea.gz,0.6875
input.crnlea.gz,input.assctv2.gz,0.6875
input.assctv2.gz,input.crnlla.gz,0.7224999999999999
input.crnlla.gz,input.assctv2.gz,0.7224999999999999
input.assctv2.gz,input.dortd1.gz,0.665
input.dortd1.gz,input.assctv2.gz,0.665
input.assctv2.gz,input.dortd2.gz,0.675
input.dortd2.gz,input.assctv2.gz,0.675
input.assctv2.gz,input.erima1.gz,0.645
input.erima1.gz,input.assctv2.gz,0.645
input.assctv2.gz,input.eth001.gz,0.6925
input.eth001.gz,input.assctv2.gz,0.6925
input.assctv2.gz,input.eth002.gz,0.7224999999999999
input.eth002.gz,input.assctv2.gz,0.7224999999999999
input.assctv2.gz,input.inq101.gz,0.7275
input.inq101.gz,input.assctv2.gz,0.7275
input.assctv2.gz,input.inq102.gz,0.7725
input.inq102.gz,input.assctv2.gz,0.7725
input.assctv2.gz,input.lsia0mf.gz,0.6525
input.lsia0mf.gz,input.assctv2.gz,0.6525
