r1,r2,score
input.acqnt1.gz,input.assctv1.gz,0.5774999999999999
input.assctv1.gz,input.acqnt1.gz,0.5774999999999999
input.acqnt1.gz,input.assctv2.gz,0.6625
input.assctv2.gz,input.acqnt1.gz,0.6625
input.acqnt1.gz,input.brkly6.gz,0.6
input.brkly6.gz,input.acqnt1.gz,0.6
input.acqnt1.gz,input.brkly7.gz,0.6875
input.brkly7.gz,input.acqnt1.gz,0.6875
input.acqnt1.gz,input.citri1.gz,0.4925
input.citri1.gz,input.acqnt1.gz,0.4925
input.acqnt1.gz,input.citri2.gz,0.5125
input.citri2.gz,input.acqnt1.gz,0.5125
input.acqnt1.gz,input.citya1.gz,0.6575
input.citya1.gz,input.acqnt1.gz,0.6575
input.acqnt1.gz,input.citya2.gz,0.6199999999999999
input.citya2.gz,input.acqnt1.gz,0.6199999999999999
input.acqnt1.gz,input.clarta.gz,0.5549999999999999
input.clarta.gz,input.acqnt1.gz,0.5549999999999999
input.acqnt1.gz,input.clartm.gz,0.5575
input.clartm.gz,input.acqnt1.gz,0.5575
input.acqnt1.gz,input.crnlea.gz,0.5625
input.crnlea.gz,input.acqnt1.gz,0.5625
input.acqnt1.gz,input.crnlla.gz,0.5974999999999999
input.crnlla.gz,input.acqnt1.gz,0.5974999999999999
input.acqnt1.gz,input.dortd1.gz,0.49749999999999994
input.dortd1.gz,input.acqnt1.gz,0.49749999999999994
input.acqnt1.gz,input.dortd2.gz,0.5050000000000001
input.dortd2.gz,input.acqnt1.gz,0.5050000000000001
input.acqnt1.gz,input.erima1.gz,0.475
input.erima1.gz,input.acqnt1.gz,0.475
input.acqnt1.gz,input.eth001.gz,0.5349999999999999
input.eth001.gz,input.acqnt1.gz,0.5349999999999999
input.acqnt1.gz,input.eth002.gz,0.5175
input.eth002.gz,input.acqnt1.gz,0.5175
input.acqnt1.gz,input.inq101.gz,0.48249999999999993
input.inq101.gz,input.acqnt1.gz,0.48249999999999993
input.acqnt1.gz,input.inq102.gz,0.49000000000000005
input.inq102.gz,input.acqnt1.gz,0.49000000000000005
input.acqnt1.gz,input.lsia0mf.gz,0.4699999999999999
input.lsia0mf.gz,input.acqnt1.gz,0.4699999999999999
input.acqnt1.gz,input.lsia0mw2.gz,0.49250000000000005
input.lsia0mw2.gz,input.acqnt1.gz,0.49250000000000005
input.acqnt1.gz,input.nyuir1.gz,0.6
input.nyuir1.gz,input.acqnt1.gz,0.6
input.acqnt1.gz,input.nyuir2.gz,0.5974999999999999
input.nyuir2.gz,input.acqnt1.gz,0.5974999999999999
input.acqnt1.gz,input.padre2.gz,0.45999999999999996
input.padre2.gz,input.acqnt1.gz,0.45999999999999996
input.acqnt1.gz,input.pircs1.gz,0.6125
input.pircs1.gz,input.acqnt1.gz,0.6125
input.acqnt1.gz,input.pircs2.gz,0.5925
input.pircs2.gz,input.acqnt1.gz,0.5925
input.acqnt1.gz,input.rutfua1.gz,0.5350000000000001
input.rutfua1.gz,input.acqnt1.gz,0.5350000000000001
input.acqnt1.gz,input.rutfua2.gz,0.525
input.rutfua2.gz,input.acqnt1.gz,0.525
input.acqnt1.gz,input.siems1.gz,0.475
input.siems1.gz,input.acqnt1.gz,0.475
input.acqnt1.gz,input.siems2.gz,0.4725
input.siems2.gz,input.acqnt1.gz,0.4725
input.acqnt1.gz,input.topic3.gz,0.3925
input.topic3.gz,input.acqnt1.gz,0.3925
input.acqnt1.gz,input.virtu1.gz,0.43
input.virtu1.gz,input.acqnt1.gz,0.43
input.acqnt1.gz,input.vtc2s2.gz,0.6224999999999999
input.vtc2s2.gz,input.acqnt1.gz,0.6224999999999999
input.acqnt1.gz,input.vtc5s2.gz,0.625
input.vtc5s2.gz,input.acqnt1.gz,0.625
input.acqnt1.gz,input.westp1.gz,0.495
input.westp1.gz,input.acqnt1.gz,0.495
input.acqnt1.gz,input.xerox3.gz,0.2525
input.xerox3.gz,input.acqnt1.gz,0.2525
input.acqnt1.gz,input.xerox4.gz,0.26
input.xerox4.gz,input.acqnt1.gz,0.26
input.assctv1.gz,input.assctv2.gz,0.7075
input.assctv2.gz,input.assctv1.gz,0.7075
input.assctv1.gz,input.brkly6.gz,0.74
input.brkly6.gz,input.assctv1.gz,0.74
input.assctv1.gz,input.brkly7.gz,0.7775000000000001
input.brkly7.gz,input.assctv1.gz,0.7775000000000001
input.assctv1.gz,input.citri1.gz,0.655
input.citri1.gz,input.assctv1.gz,0.655
input.assctv1.gz,input.citri2.gz,0.64
input.citri2.gz,input.assctv1.gz,0.64
input.assctv1.gz,input.citya1.gz,0.7425
input.citya1.gz,input.assctv1.gz,0.7425
input.assctv1.gz,input.citya2.gz,0.7474999999999999
input.citya2.gz,input.assctv1.gz,0.7474999999999999
input.assctv1.gz,input.clarta.gz,0.7224999999999999
input.clarta.gz,input.assctv1.gz,0.7224999999999999
input.assctv1.gz,input.clartm.gz,0.6849999999999999
input.clartm.gz,input.assctv1.gz,0.6849999999999999
input.assctv1.gz,input.crnlea.gz,0.64
input.crnlea.gz,input.assctv1.gz,0.64
input.assctv1.gz,input.crnlla.gz,0.6950000000000001
input.crnlla.gz,input.assctv1.gz,0.6950000000000001
input.assctv1.gz,input.dortd1.gz,0.5974999999999999
input.dortd1.gz,input.assctv1.gz,0.5974999999999999
input.assctv1.gz,input.dortd2.gz,0.6325000000000001
input.dortd2.gz,input.assctv1.gz,0.6325000000000001
input.assctv1.gz,input.erima1.gz,0.63
input.erima1.gz,input.assctv1.gz,0.63
input.assctv1.gz,input.eth001.gz,0.6599999999999999
input.eth001.gz,input.assctv1.gz,0.6599999999999999
input.assctv1.gz,input.eth002.gz,0.7300000000000001
input.eth002.gz,input.assctv1.gz,0.7300000000000001
input.assctv1.gz,input.inq101.gz,0.7324999999999999
input.inq101.gz,input.assctv1.gz,0.7324999999999999
input.assctv1.gz,input.inq102.gz,0.7424999999999999
input.inq102.gz,input.assctv1.gz,0.7424999999999999
input.assctv1.gz,input.lsia0mf.gz,0.6025
input.lsia0mf.gz,input.assctv1.gz,0.6025
input.assctv1.gz,input.lsia0mw2.gz,0.61
input.lsia0mw2.gz,input.assctv1.gz,0.61
input.assctv1.gz,input.nyuir1.gz,0.7125
input.nyuir1.gz,input.assctv1.gz,0.7125
input.assctv1.gz,input.nyuir2.gz,0.7150000000000001
input.nyuir2.gz,input.assctv1.gz,0.7150000000000001
input.assctv1.gz,input.padre2.gz,0.6849999999999999
input.padre2.gz,input.assctv1.gz,0.6849999999999999
input.assctv1.gz,input.pircs1.gz,0.6975
input.pircs1.gz,input.assctv1.gz,0.6975
input.assctv1.gz,input.pircs2.gz,0.7150000000000001
input.pircs2.gz,input.assctv1.gz,0.7150000000000001
input.assctv1.gz,input.rutfua1.gz,0.755
input.rutfua1.gz,input.assctv1.gz,0.755
input.assctv1.gz,input.rutfua2.gz,0.76
input.rutfua2.gz,input.assctv1.gz,0.76
input.assctv1.gz,input.siems1.gz,0.72
input.siems1.gz,input.assctv1.gz,0.72
input.assctv1.gz,input.siems2.gz,0.74
input.siems2.gz,input.assctv1.gz,0.74
input.assctv1.gz,input.topic3.gz,0.7300000000000001
input.topic3.gz,input.assctv1.gz,0.7300000000000001
input.assctv1.gz,input.virtu1.gz,0.685
input.virtu1.gz,input.assctv1.gz,0.685
input.assctv1.gz,input.vtc2s2.gz,0.7550000000000001
input.vtc2s2.gz,input.assctv1.gz,0.7550000000000001
input.assctv1.gz,input.vtc5s2.gz,0.76
input.vtc5s2.gz,input.assctv1.gz,0.76
input.assctv1.gz,input.westp1.gz,0.7550000000000001
input.westp1.gz,input.assctv1.gz,0.7550000000000001
input.assctv1.gz,input.xerox3.gz,0.4125
input.xerox3.gz,input.assctv1.gz,0.4125
input.assctv1.gz,input.xerox4.gz,0.5025
input.xerox4.gz,input.assctv1.gz,0.5025
input.assctv2.gz,input.brkly6.gz,0.7425
input.brkly6.gz,input.assctv2.gz,0.7425
input.assctv2.gz,input.brkly7.gz,0.77
input.brkly7.gz,input.assctv2.gz,0.77
input.assctv2.gz,input.citri1.gz,0.6900000000000001
input.citri1.gz,input.assctv2.gz,0.6900000000000001
input.assctv2.gz,input.citri2.gz,0.67
input.citri2.gz,input.assctv2.gz,0.67
input.assctv2.gz,input.citya1.gz,0.7549999999999999
input.citya1.gz,input.assctv2.gz,0.7549999999999999
input.assctv2.gz,input.citya2.gz,0.72
input.citya2.gz,input.assctv2.gz,0.72
input.assctv2.gz,input.clarta.gz,0.7275
input.clarta.gz,input.assctv2.gz,0.7275
input.assctv2.gz,input.clartm.gz,0.7224999999999999
input.clartm.gz,input.assctv2.gz,0.7224999999999999
input.assctv2.gz,input.crnlea.gz,0.6924999999999999
input.crnlea.gz,input.assctv2.gz,0.6924999999999999
input.assctv2.gz,input.crnlla.gz,0.7275
input.crnlla.gz,input.assctv2.gz,0.7275
input.assctv2.gz,input.dortd1.gz,0.6675000000000001
input.dortd1.gz,input.assctv2.gz,0.6675000000000001
input.assctv2.gz,input.dortd2.gz,0.6925
input.dortd2.gz,input.assctv2.gz,0.6925
input.assctv2.gz,input.erima1.gz,0.6950000000000001
