r1,r2,score
input.acqnt1.gz,input.assctv1.gz,0.1914917045898404
input.assctv1.gz,input.acqnt1.gz,0.1914917045898404
input.acqnt1.gz,input.assctv2.gz,0.18816743328038538
input.assctv2.gz,input.acqnt1.gz,0.18816743328038538
input.acqnt1.gz,input.brkly6.gz,0.16152943141506318
input.brkly6.gz,input.acqnt1.gz,0.16152943141506318
input.acqnt1.gz,input.brkly7.gz,0.2140947972306953
input.brkly7.gz,input.acqnt1.gz,0.2140947972306953
input.acqnt1.gz,input.citri1.gz,0.1343560138561096
input.citri1.gz,input.acqnt1.gz,0.1343560138561096
input.acqnt1.gz,input.citri2.gz,0.12865412273176696
input.citri2.gz,input.acqnt1.gz,0.12865412273176696
input.acqnt1.gz,input.citya1.gz,0.2185324379232251
input.citya1.gz,input.acqnt1.gz,0.2185324379232251
input.acqnt1.gz,input.citya2.gz,0.18357726524640922
input.citya2.gz,input.acqnt1.gz,0.18357726524640922
input.acqnt1.gz,input.clarta.gz,0.13064856372154998
input.clarta.gz,input.acqnt1.gz,0.13064856372154998
input.acqnt1.gz,input.clartm.gz,0.11058298679634145
input.clartm.gz,input.acqnt1.gz,0.11058298679634145
input.acqnt1.gz,input.crnlea.gz,0.16712823162050908
input.crnlea.gz,input.acqnt1.gz,0.16712823162050908
input.acqnt1.gz,input.crnlla.gz,0.17074251349722774
input.crnlla.gz,input.acqnt1.gz,0.17074251349722774
input.acqnt1.gz,input.dortd1.gz,0.11330395280048614
input.dortd1.gz,input.acqnt1.gz,0.11330395280048614
input.acqnt1.gz,input.dortd2.gz,0.12416116499841787
input.dortd2.gz,input.acqnt1.gz,0.12416116499841787
input.acqnt1.gz,input.erima1.gz,0.10283283084433643
input.erima1.gz,input.acqnt1.gz,0.10283283084433643
input.acqnt1.gz,input.eth001.gz,0.13966763152956144
input.eth001.gz,input.acqnt1.gz,0.13966763152956144
input.acqnt1.gz,input.eth002.gz,0.15509522449574922
input.eth002.gz,input.acqnt1.gz,0.15509522449574922
input.acqnt1.gz,input.inq101.gz,0.19966066455517112
input.inq101.gz,input.acqnt1.gz,0.19966066455517112
input.acqnt1.gz,input.inq102.gz,0.22950496423672684
input.inq102.gz,input.acqnt1.gz,0.22950496423672684
input.acqnt1.gz,input.lsia0mf.gz,0.11807055695210775
input.lsia0mf.gz,input.acqnt1.gz,0.11807055695210775
input.acqnt1.gz,input.lsia0mw2.gz,0.12090666081476695
input.lsia0mw2.gz,input.acqnt1.gz,0.12090666081476695
input.acqnt1.gz,input.nyuir1.gz,0.14292022960374767
input.nyuir1.gz,input.acqnt1.gz,0.14292022960374767
input.acqnt1.gz,input.nyuir2.gz,0.14321002293319302
input.nyuir2.gz,input.acqnt1.gz,0.14321002293319302
input.acqnt1.gz,input.padre2.gz,0.09546817425062717
input.padre2.gz,input.acqnt1.gz,0.09546817425062717
input.acqnt1.gz,input.pircs1.gz,0.17129063839776543
input.pircs1.gz,input.acqnt1.gz,0.17129063839776543
input.acqnt1.gz,input.pircs2.gz,0.15734390822684224
input.pircs2.gz,input.acqnt1.gz,0.15734390822684224
input.acqnt1.gz,input.rutfua1.gz,0.14512316412351453
input.rutfua1.gz,input.acqnt1.gz,0.14512316412351453
input.acqnt1.gz,input.rutfua2.gz,0.13510631243985338
input.rutfua2.gz,input.acqnt1.gz,0.13510631243985338
input.acqnt1.gz,input.siems1.gz,0.1103620649643167
input.siems1.gz,input.acqnt1.gz,0.1103620649643167
input.acqnt1.gz,input.siems2.gz,0.0897098104197264
input.siems2.gz,input.acqnt1.gz,0.0897098104197264
input.acqnt1.gz,input.topic3.gz,0.0530375287543132
input.topic3.gz,input.acqnt1.gz,0.0530375287543132
input.acqnt1.gz,input.virtu1.gz,0.056665029073901675
input.virtu1.gz,input.acqnt1.gz,0.056665029073901675
input.acqnt1.gz,input.vtc2s2.gz,0.1807216498016177
input.vtc2s2.gz,input.acqnt1.gz,0.1807216498016177
input.acqnt1.gz,input.vtc5s2.gz,0.17545504185944702
input.vtc5s2.gz,input.acqnt1.gz,0.17545504185944702
input.acqnt1.gz,input.westp1.gz,0.18199647431560417
input.westp1.gz,input.acqnt1.gz,0.18199647431560417
input.acqnt1.gz,input.xerox3.gz,0.11322695884205465
input.xerox3.gz,input.acqnt1.gz,0.11322695884205465
input.acqnt1.gz,input.xerox4.gz,0.09566106678037538
input.xerox4.gz,input.acqnt1.gz,0.09566106678037538
input.assctv1.gz,input.assctv2.gz,0.1992216221186002
input.assctv2.gz,input.assctv1.gz,0.1992216221186002
input.assctv1.gz,input.brkly6.gz,0.20319370661420408
input.brkly6.gz,input.assctv1.gz,0.20319370661420408
input.assctv1.gz,input.brkly7.gz,0.22652442016063815
input.brkly7.gz,input.assctv1.gz,0.22652442016063815
input.assctv1.gz,input.citri1.gz,0.1875290906529937
input.citri1.gz,input.assctv1.gz,0.1875290906529937
input.assctv1.gz,input.citri2.gz,0.1829002696418475
input.citri2.gz,input.assctv1.gz,0.1829002696418475
input.assctv1.gz,input.citya1.gz,0.2250660053075065
input.citya1.gz,input.assctv1.gz,0.2250660053075065
input.assctv1.gz,input.citya2.gz,0.20916170315395535
input.citya2.gz,input.assctv1.gz,0.20916170315395535
input.assctv1.gz,input.clarta.gz,0.19704030088100372
input.clarta.gz,input.assctv1.gz,0.19704030088100372
input.assctv1.gz,input.clartm.gz,0.20208472507827038
input.clartm.gz,input.assctv1.gz,0.20208472507827038
input.assctv1.gz,input.crnlea.gz,0.19433705646030694
input.crnlea.gz,input.assctv1.gz,0.19433705646030694
input.assctv1.gz,input.crnlla.gz,0.19764232136830687
input.crnlla.gz,input.assctv1.gz,0.19764232136830687
input.assctv1.gz,input.dortd1.gz,0.18307827295170062
input.dortd1.gz,input.assctv1.gz,0.18307827295170062
input.assctv1.gz,input.dortd2.gz,0.190592360432637
input.dortd2.gz,input.assctv1.gz,0.190592360432637
input.assctv1.gz,input.erima1.gz,0.18263206840905594
input.erima1.gz,input.assctv1.gz,0.18263206840905594
input.assctv1.gz,input.eth001.gz,0.1889112845305312
input.eth001.gz,input.assctv1.gz,0.1889112845305312
input.assctv1.gz,input.eth002.gz,0.19517559274382784
input.eth002.gz,input.assctv1.gz,0.19517559274382784
input.assctv1.gz,input.inq101.gz,0.22409943391843354
input.inq101.gz,input.assctv1.gz,0.22409943391843354
input.assctv1.gz,input.inq102.gz,0.23885498616147008
