r1,r2,score
input.acqnt1.gz,input.assctv1.gz,0.19535331123601574
input.assctv1.gz,input.acqnt1.gz,0.19535331123601574
input.acqnt1.gz,input.assctv2.gz,0.20254359822631768
input.assctv2.gz,input.acqnt1.gz,0.20254359822631768
input.acqnt1.gz,input.brkly6.gz,0.17568746161238585
input.brkly6.gz,input.acqnt1.gz,0.17568746161238585
input.acqnt1.gz,input.brkly7.gz,0.23581114667100186
input.brkly7.gz,input.acqnt1.gz,0.23581114667100186
input.acqnt1.gz,input.citri1.gz,0.14239076758499475
input.citri1.gz,input.acqnt1.gz,0.14239076758499475
input.acqnt1.gz,input.citri2.gz,0.13239913544955978
input.citri2.gz,input.acqnt1.gz,0.13239913544955978
input.acqnt1.gz,input.citya1.gz,0.22335117500113588
input.citya1.gz,input.acqnt1.gz,0.22335117500113588
input.acqnt1.gz,input.citya2.gz,0.18744784044131305
input.citya2.gz,input.acqnt1.gz,0.18744784044131305
input.acqnt1.gz,input.clarta.gz,0.15713012582547434
input.clarta.gz,input.acqnt1.gz,0.15713012582547434
input.acqnt1.gz,input.clartm.gz,0.12244923258742521
input.clartm.gz,input.acqnt1.gz,0.12244923258742521
input.acqnt1.gz,input.crnlea.gz,0.1684971129362359
input.crnlea.gz,input.acqnt1.gz,0.1684971129362359
input.acqnt1.gz,input.crnlla.gz,0.1804011587670952
input.crnlla.gz,input.acqnt1.gz,0.1804011587670952
input.acqnt1.gz,input.dortd1.gz,0.12461722470881402
input.dortd1.gz,input.acqnt1.gz,0.12461722470881402
input.acqnt1.gz,input.dortd2.gz,0.1355766295259861
input.dortd2.gz,input.acqnt1.gz,0.1355766295259861
input.acqnt1.gz,input.erima1.gz,0.11178068922067
input.erima1.gz,input.acqnt1.gz,0.11178068922067
input.acqnt1.gz,input.eth001.gz,0.15018006994114425
input.eth001.gz,input.acqnt1.gz,0.15018006994114425
input.acqnt1.gz,input.eth002.gz,0.1494587632040773
input.eth002.gz,input.acqnt1.gz,0.1494587632040773
input.acqnt1.gz,input.inq101.gz,0.20716602999657577
input.inq101.gz,input.acqnt1.gz,0.20716602999657577
input.acqnt1.gz,input.inq102.gz,0.24404787938397493
input.inq102.gz,input.acqnt1.gz,0.24404787938397493
input.acqnt1.gz,input.lsia0mf.gz,0.11798506971038478
input.lsia0mf.gz,input.acqnt1.gz,0.11798506971038478
input.acqnt1.gz,input.lsia0mw2.gz,0.12282023012566796
input.lsia0mw2.gz,input.acqnt1.gz,0.12282023012566796
input.acqnt1.gz,input.nyuir1.gz,0.15544410318156027
input.nyuir1.gz,input.acqnt1.gz,0.15544410318156027
input.acqnt1.gz,input.nyuir2.gz,0.15549281989778224
input.nyuir2.gz,input.acqnt1.gz,0.15549281989778224
input.acqnt1.gz,input.padre2.gz,0.11672157025489054
input.padre2.gz,input.acqnt1.gz,0.11672157025489054
input.acqnt1.gz,input.pircs1.gz,0.1823549395594371
input.pircs1.gz,input.acqnt1.gz,0.1823549395594371
input.acqnt1.gz,input.pircs2.gz,0.16429268357315685
input.pircs2.gz,input.acqnt1.gz,0.16429268357315685
input.acqnt1.gz,input.rutfua1.gz,0.1602097542039955
input.rutfua1.gz,input.acqnt1.gz,0.1602097542039955
input.acqnt1.gz,input.rutfua2.gz,0.1465325908706919
input.rutfua2.gz,input.acqnt1.gz,0.1465325908706919
input.acqnt1.gz,input.siems1.gz,0.12384926238008946
input.siems1.gz,input.acqnt1.gz,0.12384926238008946
input.acqnt1.gz,input.siems2.gz,0.10759387673744451
input.siems2.gz,input.acqnt1.gz,0.10759387673744451
input.acqnt1.gz,input.topic3.gz,0.059442132929217205
input.topic3.gz,input.acqnt1.gz,0.059442132929217205
input.acqnt1.gz,input.virtu1.gz,0.06250396655822969
input.virtu1.gz,input.acqnt1.gz,0.06250396655822969
input.acqnt1.gz,input.vtc2s2.gz,0.1786386398604139
input.vtc2s2.gz,input.acqnt1.gz,0.1786386398604139
input.acqnt1.gz,input.vtc5s2.gz,0.17086631906901412
input.vtc5s2.gz,input.acqnt1.gz,0.17086631906901412
input.acqnt1.gz,input.westp1.gz,0.19164227063118186
input.westp1.gz,input.acqnt1.gz,0.19164227063118186
input.acqnt1.gz,input.xerox3.gz,0.1208765494202448
input.xerox3.gz,input.acqnt1.gz,0.1208765494202448
input.acqnt1.gz,input.xerox4.gz,0.09812077546091698
input.xerox4.gz,input.acqnt1.gz,0.09812077546091698
input.assctv1.gz,input.assctv2.gz,0.20906381826820503
input.assctv2.gz,input.assctv1.gz,0.20906381826820503
input.assctv1.gz,input.brkly6.gz,0.2155574303393391
input.brkly6.gz,input.assctv1.gz,0.2155574303393391
input.assctv1.gz,input.brkly7.gz,0.24521276377531423
input.brkly7.gz,input.assctv1.gz,0.24521276377531423
input.assctv1.gz,input.citri1.gz,0.19830897743425097
input.citri1.gz,input.assctv1.gz,0.19830897743425097
input.assctv1.gz,input.citri2.gz,0.1846184746574694
input.citri2.gz,input.assctv1.gz,0.1846184746574694
input.assctv1.gz,input.citya1.gz,0.23069676283953883
input.citya1.gz,input.assctv1.gz,0.23069676283953883
input.assctv1.gz,input.citya2.gz,0.21647668705565776
input.citya2.gz,input.assctv1.gz,0.21647668705565776
input.assctv1.gz,input.clarta.gz,0.21229276433483646
input.clarta.gz,input.assctv1.gz,0.21229276433483646
input.assctv1.gz,input.clartm.gz,0.2117864508062509
input.clartm.gz,input.assctv1.gz,0.2117864508062509
input.assctv1.gz,input.crnlea.gz,0.20174011952015328
input.crnlea.gz,input.assctv1.gz,0.20174011952015328
input.assctv1.gz,input.crnlla.gz,0.20929123201693356
input.crnlla.gz,input.assctv1.gz,0.20929123201693356
input.assctv1.gz,input.dortd1.gz,0.18926157269133256
input.dortd1.gz,input.assctv1.gz,0.18926157269133256
input.assctv1.gz,input.dortd2.gz,0.19923933839256464
input.dortd2.gz,input.assctv1.gz,0.19923933839256464
input.assctv1.gz,input.erima1.gz,0.186007997927019
input.erima1.gz,input.assctv1.gz,0.186007997927019
input.assctv1.gz,input.eth001.gz,0.19800500313460337
input.eth001.gz,input.assctv1.gz,0.19800500313460337
input.assctv1.gz,input.eth002.gz,0.20733854032866633
input.eth002.gz,input.assctv1.gz,0.20733854032866633
input.assctv1.gz,input.inq101.gz,0.23424422320980254
input.inq101.gz,input.assctv1.gz,0.23424422320980254
input.assctv1.gz,input.inq102.gz,0.2583576049858819
input.inq102.gz,input.assctv1.gz,0.2583576049858819
input.assctv1.gz,input.lsia0mf.gz,0.18497254531897522
input.lsia0mf.gz,input.assctv1.gz,0.18497254531897522
input.assctv1.gz,input.lsia0mw2.gz,0.18680786234023333
input.lsia0mw2.gz,input.assctv1.gz,0.18680786234023333
input.assctv1.gz,input.nyuir1.gz,0.21735620178856846
input.nyuir1.gz,input.assctv1.gz,0.21735620178856846
input.assctv1.gz,input.nyuir2.gz,0.21758792878654268
input.nyuir2.gz,input.assctv1.gz,0.21758792878654268
input.assctv1.gz,input.padre2.gz,0.20761006094110587
input.padre2.gz,input.assctv1.gz,0.20761006094110587
input.assctv1.gz,input.pircs1.gz,0.21752437434891653
input.pircs1.gz,input.assctv1.gz,0.21752437434891653
input.assctv1.gz,input.pircs2.gz,0.20954574414275545
input.pircs2.gz,input.assctv1.gz,0.20954574414275545
input.assctv1.gz,input.rutfua1.gz,0.22194840064796156
input.rutfua1.gz,input.assctv1.gz,0.22194840064796156
input.assctv1.gz,input.rutfua2.gz,0.22205700540278742
input.rutfua2.gz,input.assctv1.gz,0.22205700540278742
input.assctv1.gz,input.siems1.gz,0.20432637878466703
input.siems1.gz,input.assctv1.gz,0.20432637878466703
input.assctv1.gz,input.siems2.gz,0.20870033476578637
input.siems2.gz,input.assctv1.gz,0.20870033476578637
input.assctv1.gz,input.topic3.gz,0.20053576124004752
input.topic3.gz,input.assctv1.gz,0.20053576124004752
input.assctv1.gz,input.virtu1.gz,0.20058727921848307
input.virtu1.gz,input.assctv1.gz,0.20058727921848307
input.assctv1.gz,input.vtc2s2.gz,0.22649213201502832
input.vtc2s2.gz,input.assctv1.gz,0.22649213201502832
input.assctv1.gz,input.vtc5s2.gz,0.22666115232624665
input.vtc5s2.gz,input.assctv1.gz,0.22666115232624665
input.assctv1.gz,input.westp1.gz,0.23171769049362786
input.westp1.gz,input.assctv1.gz,0.23171769049362786
input.assctv1.gz,input.xerox3.gz,0.20063971956292886
input.xerox3.gz,input.assctv1.gz,0.20063971956292886
input.assctv1.gz,input.xerox4.gz,0.19331628029781395
input.xerox4.gz,input.assctv1.gz,0.19331628029781395
input.assctv2.gz,input.brkly6.gz,0.21568792560609484
input.brkly6.gz,input.assctv2.gz,0.21568792560609484
input.assctv2.gz,input.brkly7.gz,0.2532377945224978
input.brkly7.gz,input.assctv2.gz,0.2532377945224978
input.assctv2.gz,input.citri1.gz,0.20174479475170304
input.citri1.gz,input.assctv2.gz,0.20174479475170304
input.assctv2.gz,input.citri2.gz,0.1897230471106049
input.citri2.gz,input.assctv2.gz,0.1897230471106049
input.assctv2.gz,input.citya1.gz,0.24112477120030054
input.citya1.gz,input.assctv2.gz,0.24112477120030054
input.assctv2.gz,input.citya2.gz,0.2197209614028112
input.citya2.gz,input.assctv2.gz,0.2197209614028112
input.assctv2.gz,input.clarta.gz,0.21711719449368116
input.clarta.gz,input.assctv2.gz,0.21711719449368116
input.assctv2.gz,input.clartm.gz,0.22428288446255112
input.clartm.gz,input.assctv2.gz,0.22428288446255112
input.assctv2.gz,input.crnlea.gz,0.20649005960982159
input.crnlea.gz,input.assctv2.gz,0.20649005960982159
input.assctv2.gz,input.crnlla.gz,0.21144159505292923
input.crnlla.gz,input.assctv2.gz,0.21144159505292923
input.assctv2.gz,input.dortd1.gz,0.19921409187079253
input.dortd1.gz,input.assctv2.gz,0.19921409187079253
input.assctv2.gz,input.dortd2.gz,0.2057477524920115
input.dortd2.gz,input.assctv2.gz,0.2057477524920115
input.assctv2.gz,input.erima1.gz,0.18987532285338907
input.erima1.gz,input.assctv2.gz,0.18987532285338907
input.assctv2.gz,input.eth001.gz,0.19912059493845807
input.eth001.gz,input.assctv2.gz,0.19912059493845807
input.assctv2.gz,input.eth002.gz,0.2103378800141363
input.eth002.gz,input.assctv2.gz,0.2103378800141363
input.assctv2.gz,input.inq101.gz,0.2381756976924799
input.inq101.gz,input.assctv2.gz,0.2381756976924799
input.assctv2.gz,input.inq102.gz,0.26681494346160634
input.inq102.gz,input.assctv2.gz,0.26681494346160634
input.assctv2.gz,input.lsia0mf.gz,0.1884699030141197
input.lsia0mf.gz,input.assctv2.gz,0.1884699030141197
input.assctv2.gz,input.lsia0mw2.gz,0.19002327726191848
input.lsia0mw2.gz,input.assctv2.gz,0.19002327726191848
input.assctv2.gz,input.nyuir1.gz,0.22250094933006803
input.nyuir1.gz,input.assctv2.gz,0.22250094933006803
input.assctv2.gz,input.nyuir2.gz,0.22284249673298753
input.nyuir2.gz,input.assctv2.gz,0.22284249673298753
input.assctv2.gz,input.padre2.gz,0.21555238541894656
input.padre2.gz,input.assctv2.gz,0.21555238541894656
input.assctv2.gz,input.pircs1.gz,0.2227097437076222
input.pircs1.gz,input.assctv2.gz,0.2227097437076222
input.assctv2.gz,input.pircs2.gz,0.21504472062413998
input.pircs2.gz,input.assctv2.gz,0.21504472062413998
input.assctv2.gz,input.rutfua1.gz,0.2259741879314559
input.rutfua1.gz,input.assctv2.gz,0.2259741879314559
input.assctv2.gz,input.rutfua2.gz,0.22548426566635227
input.rutfua2.gz,input.assctv2.gz,0.22548426566635227
input.assctv2.gz,input.siems1.gz,0.20951611969987244
input.siems1.gz,input.assctv2.gz,0.20951611969987244
input.assctv2.gz,input.siems2.gz,0.21284187403842258
input.siems2.gz,input.assctv2.gz,0.21284187403842258
input.assctv2.gz,input.topic3.gz,0.2130630253742226
input.topic3.gz,input.assctv2.gz,0.2130630253742226
input.assctv2.gz,input.virtu1.gz,0.21410978417883192
input.virtu1.gz,input.assctv2.gz,0.21410978417883192
input.assctv2.gz,input.vtc2s2.gz,0.22899444689595994
input.vtc2s2.gz,input.assctv2.gz,0.22899444689595994
input.assctv2.gz,input.vtc5s2.gz,0.22875748154090852
input.vtc5s2.gz,input.assctv2.gz,0.22875748154090852
input.assctv2.gz,input.westp1.gz,0.23626304422099392
input.westp1.gz,input.assctv2.gz,0.23626304422099392
input.assctv2.gz,input.xerox3.gz,0.2083856064313041
input.xerox3.gz,input.assctv2.gz,0.2083856064313041
input.assctv2.gz,input.xerox4.gz,0.19952693687159515
input.xerox4.gz,input.assctv2.gz,0.19952693687159515
input.brkly6.gz,input.brkly7.gz,0.23149002180967634
input.brkly7.gz,input.brkly6.gz,0.23149002180967634
input.brkly6.gz,input.citri1.gz,0.18599647098943942
input.citri1.gz,input.brkly6.gz,0.18599647098943942
input.brkly6.gz,input.citri2.gz,0.17449719630644625
input.citri2.gz,input.brkly6.gz,0.17449719630644625
input.brkly6.gz,input.citya1.gz,0.22942500968038004
input.citya1.gz,input.brkly6.gz,0.22942500968038004
input.brkly6.gz,input.citya2.gz,0.2042259356444629
input.citya2.gz,input.brkly6.gz,0.2042259356444629
input.brkly6.gz,input.clarta.gz,0.19218251014761817
input.clarta.gz,input.brkly6.gz,0.19218251014761817
input.brkly6.gz,input.clartm.gz,0.19765217106046157
input.clartm.gz,input.brkly6.gz,0.19765217106046157
input.brkly6.gz,input.crnlea.gz,0.1966457287979754
input.crnlea.gz,input.brkly6.gz,0.1966457287979754
input.brkly6.gz,input.crnlla.gz,0.194274201773958
input.crnlla.gz,input.brkly6.gz,0.194274201773958
input.brkly6.gz,input.dortd1.gz,0.18493031763330775
input.dortd1.gz,input.brkly6.gz,0.18493031763330775
input.brkly6.gz,input.dortd2.gz,0.1858263783172878
input.dortd2.gz,input.brkly6.gz,0.1858263783172878
input.brkly6.gz,input.erima1.gz,0.18157240487618115
input.erima1.gz,input.brkly6.gz,0.18157240487618115
input.brkly6.gz,input.eth001.gz,0.1888437966356748
input.eth001.gz,input.brkly6.gz,0.1888437966356748
input.brkly6.gz,input.eth002.gz,0.19024591937015606
