r1,r2,score
input.acqnt1.gz,input.assctv1.gz,0.16963586571360612
input.assctv1.gz,input.acqnt1.gz,0.16963586571360612
input.acqnt1.gz,input.assctv2.gz,0.20275319072611167
input.assctv2.gz,input.acqnt1.gz,0.20275319072611167
input.acqnt1.gz,input.brkly6.gz,0.16766649047099147
input.brkly6.gz,input.acqnt1.gz,0.16766649047099147
input.acqnt1.gz,input.brkly7.gz,0.23146927819506674
input.brkly7.gz,input.acqnt1.gz,0.23146927819506674
input.acqnt1.gz,input.citri1.gz,0.13207305519865709
input.citri1.gz,input.acqnt1.gz,0.13207305519865709
input.acqnt1.gz,input.citri2.gz,0.12380249055422383
input.citri2.gz,input.acqnt1.gz,0.12380249055422383
input.acqnt1.gz,input.citya1.gz,0.2074826697833596
input.citya1.gz,input.acqnt1.gz,0.2074826697833596
input.acqnt1.gz,input.citya2.gz,0.17377817084721353
input.citya2.gz,input.acqnt1.gz,0.17377817084721353
input.acqnt1.gz,input.clarta.gz,0.15307460208833668
input.clarta.gz,input.acqnt1.gz,0.15307460208833668
input.acqnt1.gz,input.clartm.gz,0.13468978991517894
input.clartm.gz,input.acqnt1.gz,0.13468978991517894
input.acqnt1.gz,input.crnlea.gz,0.15860295500326807
input.crnlea.gz,input.acqnt1.gz,0.15860295500326807
input.acqnt1.gz,input.crnlla.gz,0.17719460012595106
input.crnlla.gz,input.acqnt1.gz,0.17719460012595106
input.acqnt1.gz,input.dortd1.gz,0.12750512275180498
input.dortd1.gz,input.acqnt1.gz,0.12750512275180498
input.acqnt1.gz,input.dortd2.gz,0.13466508594020882
input.dortd2.gz,input.acqnt1.gz,0.13466508594020882
input.acqnt1.gz,input.erima1.gz,0.10869847177741235
input.erima1.gz,input.acqnt1.gz,0.10869847177741235
input.acqnt1.gz,input.eth001.gz,0.1387688780064767
input.eth001.gz,input.acqnt1.gz,0.1387688780064767
input.acqnt1.gz,input.eth002.gz,0.13962444855767925
input.eth002.gz,input.acqnt1.gz,0.13962444855767925
input.acqnt1.gz,input.inq101.gz,0.11991796155755619
input.inq101.gz,input.acqnt1.gz,0.11991796155755619
input.acqnt1.gz,input.inq102.gz,0.13364560157535837
input.inq102.gz,input.acqnt1.gz,0.13364560157535837
input.acqnt1.gz,input.lsia0mf.gz,0.12221356243315466
input.lsia0mf.gz,input.acqnt1.gz,0.12221356243315466
input.acqnt1.gz,input.lsia0mw2.gz,0.12580780934045493
input.lsia0mw2.gz,input.acqnt1.gz,0.12580780934045493
input.acqnt1.gz,input.nyuir1.gz,0.15804635917518015
input.nyuir1.gz,input.acqnt1.gz,0.15804635917518015
input.acqnt1.gz,input.nyuir2.gz,0.1579541051151165
input.nyuir2.gz,input.acqnt1.gz,0.1579541051151165
input.acqnt1.gz,input.padre2.gz,0.12277183267022887
input.padre2.gz,input.acqnt1.gz,0.12277183267022887
input.acqnt1.gz,input.pircs1.gz,0.17761384830697696
input.pircs1.gz,input.acqnt1.gz,0.17761384830697696
input.acqnt1.gz,input.pircs2.gz,0.16067067651807024
input.pircs2.gz,input.acqnt1.gz,0.16067067651807024
input.acqnt1.gz,input.rutfua1.gz,0.14085314429766257
input.rutfua1.gz,input.acqnt1.gz,0.14085314429766257
input.acqnt1.gz,input.rutfua2.gz,0.13744061298252358
input.rutfua2.gz,input.acqnt1.gz,0.13744061298252358
input.acqnt1.gz,input.siems1.gz,0.12245722396870251
input.siems1.gz,input.acqnt1.gz,0.12245722396870251
input.acqnt1.gz,input.siems2.gz,0.11042110864061709
input.siems2.gz,input.acqnt1.gz,0.11042110864061709
input.acqnt1.gz,input.topic3.gz,0.06522627230719893
input.topic3.gz,input.acqnt1.gz,0.06522627230719893
input.acqnt1.gz,input.virtu1.gz,0.08252724941600578
input.virtu1.gz,input.acqnt1.gz,0.08252724941600578
input.acqnt1.gz,input.vtc2s2.gz,0.16989949843748747
input.vtc2s2.gz,input.acqnt1.gz,0.16989949843748747
input.acqnt1.gz,input.vtc5s2.gz,0.1686783488023205
input.vtc5s2.gz,input.acqnt1.gz,0.1686783488023205
input.acqnt1.gz,input.westp1.gz,0.12725331316323713
input.westp1.gz,input.acqnt1.gz,0.12725331316323713
input.acqnt1.gz,input.xerox3.gz,0.019713398424018532
input.xerox3.gz,input.acqnt1.gz,0.019713398424018532
input.acqnt1.gz,input.xerox4.gz,0.02856373747629906
input.xerox4.gz,input.acqnt1.gz,0.02856373747629906
input.assctv1.gz,input.assctv2.gz,0.21312431515550695
input.assctv2.gz,input.assctv1.gz,0.21312431515550695
input.assctv1.gz,input.brkly6.gz,0.21437030214969033
input.brkly6.gz,input.assctv1.gz,0.21437030214969033
input.assctv1.gz,input.brkly7.gz,0.24655151351160845
input.brkly7.gz,input.assctv1.gz,0.24655151351160845
input.assctv1.gz,input.citri1.gz,0.19114580014455998
input.citri1.gz,input.assctv1.gz,0.19114580014455998
input.assctv1.gz,input.citri2.gz,0.1679153729696076
input.citri2.gz,input.assctv1.gz,0.1679153729696076
input.assctv1.gz,input.citya1.gz,0.2357323369441434
input.citya1.gz,input.assctv1.gz,0.2357323369441434
input.assctv1.gz,input.citya2.gz,0.21774799707365297
input.citya2.gz,input.assctv1.gz,0.21774799707365297
input.assctv1.gz,input.clarta.gz,0.2114124992846213
input.clarta.gz,input.assctv1.gz,0.2114124992846213
input.assctv1.gz,input.clartm.gz,0.198774960552615
input.clartm.gz,input.assctv1.gz,0.198774960552615
input.assctv1.gz,input.crnlea.gz,0.19951727391845342
input.crnlea.gz,input.assctv1.gz,0.19951727391845342
input.assctv1.gz,input.crnlla.gz,0.20479538341727413
input.crnlla.gz,input.assctv1.gz,0.20479538341727413
input.assctv1.gz,input.dortd1.gz,0.17812413224265697
input.dortd1.gz,input.assctv1.gz,0.17812413224265697
input.assctv1.gz,input.dortd2.gz,0.19035536387168556
input.dortd2.gz,input.assctv1.gz,0.19035536387168556
input.assctv1.gz,input.erima1.gz,0.18013097165858843
input.erima1.gz,input.assctv1.gz,0.18013097165858843
input.assctv1.gz,input.eth001.gz,0.19324021738284586
input.eth001.gz,input.assctv1.gz,0.19324021738284586
input.assctv1.gz,input.eth002.gz,0.20426060405475602
input.eth002.gz,input.assctv1.gz,0.20426060405475602
input.assctv1.gz,input.inq101.gz,0.21852600857708976
input.inq101.gz,input.assctv1.gz,0.21852600857708976
input.assctv1.gz,input.inq102.gz,0.23333250605390804
input.inq102.gz,input.assctv1.gz,0.23333250605390804
input.assctv1.gz,input.lsia0mf.gz,0.17326151000688225
input.lsia0mf.gz,input.assctv1.gz,0.17326151000688225
input.assctv1.gz,input.lsia0mw2.gz,0.17489553649672132
input.lsia0mw2.gz,input.assctv1.gz,0.17489553649672132
input.assctv1.gz,input.nyuir1.gz,0.2065633004374548
input.nyuir1.gz,input.assctv1.gz,0.2065633004374548
input.assctv1.gz,input.nyuir2.gz,0.20751468340214663
