r1,r2,score
input.acqnt1.gz,input.assctv1.gz,0.625
input.assctv1.gz,input.acqnt1.gz,0.625
input.acqnt1.gz,input.assctv2.gz,0.6325000000000001
input.assctv2.gz,input.acqnt1.gz,0.6325000000000001
input.acqnt1.gz,input.brkly6.gz,0.61
input.brkly6.gz,input.acqnt1.gz,0.61
input.acqnt1.gz,input.brkly7.gz,0.72
input.brkly7.gz,input.acqnt1.gz,0.72
input.acqnt1.gz,input.citri1.gz,0.4875
input.citri1.gz,input.acqnt1.gz,0.4875
input.acqnt1.gz,input.citri2.gz,0.48
input.citri2.gz,input.acqnt1.gz,0.48
input.acqnt1.gz,input.citya1.gz,0.6824999999999999
input.citya1.gz,input.acqnt1.gz,0.6824999999999999
input.acqnt1.gz,input.citya2.gz,0.6425
input.citya2.gz,input.acqnt1.gz,0.6425
input.acqnt1.gz,input.clarta.gz,0.5924999999999999
input.clarta.gz,input.acqnt1.gz,0.5924999999999999
input.acqnt1.gz,input.clartm.gz,0.55
input.clartm.gz,input.acqnt1.gz,0.55
input.acqnt1.gz,input.crnlea.gz,0.5225
input.crnlea.gz,input.acqnt1.gz,0.5225
input.acqnt1.gz,input.crnlla.gz,0.595
input.crnlla.gz,input.acqnt1.gz,0.595
input.acqnt1.gz,input.dortd1.gz,0.48250000000000004
input.dortd1.gz,input.acqnt1.gz,0.48250000000000004
input.acqnt1.gz,input.dortd2.gz,0.48250000000000004
input.dortd2.gz,input.acqnt1.gz,0.48250000000000004
input.acqnt1.gz,input.erima1.gz,0.4425
input.erima1.gz,input.acqnt1.gz,0.4425
input.acqnt1.gz,input.eth001.gz,0.5275
input.eth001.gz,input.acqnt1.gz,0.5275
input.acqnt1.gz,input.eth002.gz,0.525
input.eth002.gz,input.acqnt1.gz,0.525
input.acqnt1.gz,input.inq101.gz,0.6325
input.inq101.gz,input.acqnt1.gz,0.6325
input.acqnt1.gz,input.inq102.gz,0.6925
input.inq102.gz,input.acqnt1.gz,0.6925
input.acqnt1.gz,input.lsia0mf.gz,0.445
input.lsia0mf.gz,input.acqnt1.gz,0.445
input.acqnt1.gz,input.lsia0mw2.gz,0.45750000000000013
input.lsia0mw2.gz,input.acqnt1.gz,0.45750000000000013
input.acqnt1.gz,input.nyuir1.gz,0.5775
input.nyuir1.gz,input.acqnt1.gz,0.5775
input.acqnt1.gz,input.nyuir2.gz,0.5850000000000001
input.nyuir2.gz,input.acqnt1.gz,0.5850000000000001
input.acqnt1.gz,input.padre2.gz,0.4625
input.padre2.gz,input.acqnt1.gz,0.4625
input.acqnt1.gz,input.pircs1.gz,0.5725
input.pircs1.gz,input.acqnt1.gz,0.5725
input.acqnt1.gz,input.pircs2.gz,0.59
input.pircs2.gz,input.acqnt1.gz,0.59
input.acqnt1.gz,input.rutfua1.gz,0.5875
input.rutfua1.gz,input.acqnt1.gz,0.5875
input.acqnt1.gz,input.rutfua2.gz,0.5775
input.rutfua2.gz,input.acqnt1.gz,0.5775
input.acqnt1.gz,input.siems1.gz,0.4875
input.siems1.gz,input.acqnt1.gz,0.4875
input.acqnt1.gz,input.siems2.gz,0.4675000000000001
input.siems2.gz,input.acqnt1.gz,0.4675000000000001
input.acqnt1.gz,input.topic3.gz,0.38
input.topic3.gz,input.acqnt1.gz,0.38
input.acqnt1.gz,input.virtu1.gz,0.3725
input.virtu1.gz,input.acqnt1.gz,0.3725
input.acqnt1.gz,input.vtc2s2.gz,0.6425000000000001
input.vtc2s2.gz,input.acqnt1.gz,0.6425000000000001
input.acqnt1.gz,input.vtc5s2.gz,0.64
input.vtc5s2.gz,input.acqnt1.gz,0.64
input.acqnt1.gz,input.westp1.gz,0.645
input.westp1.gz,input.acqnt1.gz,0.645
input.acqnt1.gz,input.xerox3.gz,0.44749999999999995
input.xerox3.gz,input.acqnt1.gz,0.44749999999999995
input.acqnt1.gz,input.xerox4.gz,0.385
input.xerox4.gz,input.acqnt1.gz,0.385
input.assctv1.gz,input.assctv2.gz,0.6900000000000001
input.assctv2.gz,input.assctv1.gz,0.6900000000000001
input.assctv1.gz,input.brkly6.gz,0.7025
input.brkly6.gz,input.assctv1.gz,0.7025
input.assctv1.gz,input.brkly7.gz,0.7525000000000001
input.brkly7.gz,input.assctv1.gz,0.7525000000000001
input.assctv1.gz,input.citri1.gz,0.65
input.citri1.gz,input.assctv1.gz,0.65
input.assctv1.gz,input.citri2.gz,0.6199999999999999
input.citri2.gz,input.assctv1.gz,0.6199999999999999
input.assctv1.gz,input.citya1.gz,0.7525
input.citya1.gz,input.assctv1.gz,0.7525
input.assctv1.gz,input.citya2.gz,0.7275
input.citya2.gz,input.assctv1.gz,0.7275
input.assctv1.gz,input.clarta.gz,0.7150000000000001
input.clarta.gz,input.assctv1.gz,0.7150000000000001
input.assctv1.gz,input.clartm.gz,0.6775
input.clartm.gz,input.assctv1.gz,0.6775
input.assctv1.gz,input.crnlea.gz,0.6475
input.crnlea.gz,input.assctv1.gz,0.6475
input.assctv1.gz,input.crnlla.gz,0.7025
input.crnlla.gz,input.assctv1.gz,0.7025
input.assctv1.gz,input.dortd1.gz,0.6300000000000001
input.dortd1.gz,input.assctv1.gz,0.6300000000000001
input.assctv1.gz,input.dortd2.gz,0.6525000000000001
input.dortd2.gz,input.assctv1.gz,0.6525000000000001
input.assctv1.gz,input.erima1.gz,0.625
input.erima1.gz,input.assctv1.gz,0.625
input.assctv1.gz,input.eth001.gz,0.6425000000000001
input.eth001.gz,input.assctv1.gz,0.6425000000000001
input.assctv1.gz,input.eth002.gz,0.6825
input.eth002.gz,input.assctv1.gz,0.6825
input.assctv1.gz,input.inq101.gz,0.7324999999999999
input.inq101.gz,input.assctv1.gz,0.7324999999999999
input.assctv1.gz,input.inq102.gz,0.7625
input.inq102.gz,input.assctv1.gz,0.7625
input.assctv1.gz,input.lsia0mf.gz,0.615
input.lsia0mf.gz,input.assctv1.gz,0.615
input.assctv1.gz,input.lsia0mw2.gz,0.6224999999999999
input.lsia0mw2.gz,input.assctv1.gz,0.6224999999999999
input.assctv1.gz,input.nyuir1.gz,0.725
input.nyuir1.gz,input.assctv1.gz,0.725
input.assctv1.gz,input.nyuir2.gz,0.7275
input.nyuir2.gz,input.assctv1.gz,0.7275
input.assctv1.gz,input.padre2.gz,0.705
input.padre2.gz,input.assctv1.gz,0.705
input.assctv1.gz,input.pircs1.gz,0.7024999999999999
input.pircs1.gz,input.assctv1.gz,0.7024999999999999
input.assctv1.gz,input.pircs2.gz,0.6900000000000001
input.pircs2.gz,input.assctv1.gz,0.6900000000000001
input.assctv1.gz,input.rutfua1.gz,0.72
input.rutfua1.gz,input.assctv1.gz,0.72
input.assctv1.gz,input.rutfua2.gz,0.7275
input.rutfua2.gz,input.assctv1.gz,0.7275
input.assctv1.gz,input.siems1.gz,0.6799999999999999
input.siems1.gz,input.assctv1.gz,0.6799999999999999
input.assctv1.gz,input.siems2.gz,0.6900000000000001
input.siems2.gz,input.assctv1.gz,0.6900000000000001
input.assctv1.gz,input.topic3.gz,0.675
input.topic3.gz,input.assctv1.gz,0.675
input.assctv1.gz,input.virtu1.gz,0.6625
input.virtu1.gz,input.assctv1.gz,0.6625
input.assctv1.gz,input.vtc2s2.gz,0.7375
input.vtc2s2.gz,input.assctv1.gz,0.7375
input.assctv1.gz,input.vtc5s2.gz,0.745
input.vtc5s2.gz,input.assctv1.gz,0.745
input.assctv1.gz,input.westp1.gz,0.7375
input.westp1.gz,input.assctv1.gz,0.7375
input.assctv1.gz,input.xerox3.gz,0.64
input.xerox3.gz,input.assctv1.gz,0.64
input.assctv1.gz,input.xerox4.gz,0.6224999999999999
input.xerox4.gz,input.assctv1.gz,0.6224999999999999
input.assctv2.gz,input.brkly6.gz,0.705
input.brkly6.gz,input.assctv2.gz,0.705
input.assctv2.gz,input.brkly7.gz,0.7549999999999999
input.brkly7.gz,input.assctv2.gz,0.7549999999999999
input.assctv2.gz,input.citri1.gz,0.65
input.citri1.gz,input.assctv2.gz,0.65
input.assctv2.gz,input.citri2.gz,0.625
input.citri2.gz,input.assctv2.gz,0.625
input.assctv2.gz,input.citya1.gz,0.74
input.citya1.gz,input.assctv2.gz,0.74
input.assctv2.gz,input.citya2.gz,0.735
input.citya2.gz,input.assctv2.gz,0.735
input.assctv2.gz,input.clarta.gz,0.7224999999999999
input.clarta.gz,input.assctv2.gz,0.7224999999999999
input.assctv2.gz,input.clartm.gz,0.7025
input.clartm.gz,input.assctv2.gz,0.7025
input.assctv2.gz,input.crnlea.gz,0.6699999999999999
input.crnlea.gz,input.assctv2.gz,0.6699999999999999
input.assctv2.gz,input.crnlla.gz,0.6849999999999999
input.crnlla.gz,input.assctv2.gz,0.6849999999999999
input.assctv2.gz,input.dortd1.gz,0.66
input.dortd1.gz,input.assctv2.gz,0.66
input.assctv2.gz,input.dortd2.gz,0.67
input.dortd2.gz,input.assctv2.gz,0.67
input.assctv2.gz,input.erima1.gz,0.625
input.erima1.gz,input.assctv2.gz,0.625
input.assctv2.gz,input.eth001.gz,0.63
input.eth001.gz,input.assctv2.gz,0.63
input.assctv2.gz,input.eth002.gz,0.6925000000000001
input.eth002.gz,input.assctv2.gz,0.6925000000000001
input.assctv2.gz,input.inq101.gz,0.7424999999999999
input.inq101.gz,input.assctv2.gz,0.7424999999999999
input.assctv2.gz,input.inq102.gz,0.7525000000000001
input.inq102.gz,input.assctv2.gz,0.7525000000000001
input.assctv2.gz,input.lsia0mf.gz,0.6025
input.lsia0mf.gz,input.assctv2.gz,0.6025
input.assctv2.gz,input.lsia0mw2.gz,0.6075
input.lsia0mw2.gz,input.assctv2.gz,0.6075
input.assctv2.gz,input.nyuir1.gz,0.725
input.nyuir1.gz,input.assctv2.gz,0.725
input.assctv2.gz,input.nyuir2.gz,0.7275
input.nyuir2.gz,input.assctv2.gz,0.7275
input.assctv2.gz,input.padre2.gz,0.7100000000000001
input.padre2.gz,input.assctv2.gz,0.7100000000000001
input.assctv2.gz,input.pircs1.gz,0.7074999999999999
input.pircs1.gz,input.assctv2.gz,0.7074999999999999
input.assctv2.gz,input.pircs2.gz,0.6849999999999999
input.pircs2.gz,input.assctv2.gz,0.6849999999999999
input.assctv2.gz,input.rutfua1.gz,0.7324999999999999
input.rutfua1.gz,input.assctv2.gz,0.7324999999999999
input.assctv2.gz,input.rutfua2.gz,0.7375
input.rutfua2.gz,input.assctv2.gz,0.7375
input.assctv2.gz,input.siems1.gz,0.6975
input.siems1.gz,input.assctv2.gz,0.6975
input.assctv2.gz,input.siems2.gz,0.6799999999999999
input.siems2.gz,input.assctv2.gz,0.6799999999999999
input.assctv2.gz,input.topic3.gz,0.6875
input.topic3.gz,input.assctv2.gz,0.6875
input.assctv2.gz,input.virtu1.gz,0.68
input.virtu1.gz,input.assctv2.gz,0.68
input.assctv2.gz,input.vtc2s2.gz,0.7424999999999999
input.vtc2s2.gz,input.assctv2.gz,0.7424999999999999
input.assctv2.gz,input.vtc5s2.gz,0.74
input.vtc5s2.gz,input.assctv2.gz,0.74
input.assctv2.gz,input.westp1.gz,0.7324999999999999
input.westp1.gz,input.assctv2.gz,0.7324999999999999
input.assctv2.gz,input.xerox3.gz,0.65
input.xerox3.gz,input.assctv2.gz,0.65
input.assctv2.gz,input.xerox4.gz,0.6425
input.xerox4.gz,input.assctv2.gz,0.6425
input.brkly6.gz,input.brkly7.gz,0.7150000000000001
input.brkly7.gz,input.brkly6.gz,0.7150000000000001
input.brkly6.gz,input.citri1.gz,0.6599999999999999
input.citri1.gz,input.brkly6.gz,0.6599999999999999
