r1,r2,score
input.acqnt1.gz,input.assctv1.gz,0.18768085571144297
input.assctv1.gz,input.acqnt1.gz,0.18768085571144297
input.acqnt1.gz,input.assctv2.gz,0.18906260429620284
input.assctv2.gz,input.acqnt1.gz,0.18906260429620284
input.acqnt1.gz,input.brkly6.gz,0.16912853887059148
input.brkly6.gz,input.acqnt1.gz,0.16912853887059148
input.acqnt1.gz,input.brkly7.gz,0.21885046839081118
input.brkly7.gz,input.acqnt1.gz,0.21885046839081118
input.acqnt1.gz,input.citri1.gz,0.13510215291198363
input.citri1.gz,input.acqnt1.gz,0.13510215291198363
input.acqnt1.gz,input.citri2.gz,0.13121029477696086
input.citri2.gz,input.acqnt1.gz,0.13121029477696086
input.acqnt1.gz,input.citya1.gz,0.20765512657532098
input.citya1.gz,input.acqnt1.gz,0.20765512657532098
input.acqnt1.gz,input.citya2.gz,0.17059763564217456
input.citya2.gz,input.acqnt1.gz,0.17059763564217456
input.acqnt1.gz,input.clarta.gz,0.16505634030177857
input.clarta.gz,input.acqnt1.gz,0.16505634030177857
input.acqnt1.gz,input.clartm.gz,0.16953774774938205
input.clartm.gz,input.acqnt1.gz,0.16953774774938205
input.acqnt1.gz,input.crnlea.gz,0.16267403278172138
input.crnlea.gz,input.acqnt1.gz,0.16267403278172138
input.acqnt1.gz,input.crnlla.gz,0.16547614370794714
input.crnlla.gz,input.acqnt1.gz,0.16547614370794714
input.acqnt1.gz,input.dortd1.gz,0.13727876074881515
input.dortd1.gz,input.acqnt1.gz,0.13727876074881515
input.acqnt1.gz,input.dortd2.gz,0.13648481899029216
input.dortd2.gz,input.acqnt1.gz,0.13648481899029216
input.acqnt1.gz,input.erima1.gz,0.11307817925670793
input.erima1.gz,input.acqnt1.gz,0.11307817925670793
input.acqnt1.gz,input.eth001.gz,0.13924054994352345
input.eth001.gz,input.acqnt1.gz,0.13924054994352345
input.acqnt1.gz,input.eth002.gz,0.15354020694089054
input.eth002.gz,input.acqnt1.gz,0.15354020694089054
input.acqnt1.gz,input.inq101.gz,0.21246767624670015
input.inq101.gz,input.acqnt1.gz,0.21246767624670015
input.acqnt1.gz,input.inq102.gz,0.23581406850943454
input.inq102.gz,input.acqnt1.gz,0.23581406850943454
input.acqnt1.gz,input.lsia0mf.gz,0.13747417798099232
input.lsia0mf.gz,input.acqnt1.gz,0.13747417798099232
input.acqnt1.gz,input.lsia0mw2.gz,0.14200445991023936
input.lsia0mw2.gz,input.acqnt1.gz,0.14200445991023936
input.acqnt1.gz,input.nyuir1.gz,0.17128459732460316
input.nyuir1.gz,input.acqnt1.gz,0.17128459732460316
input.acqnt1.gz,input.nyuir2.gz,0.171455176679604
input.nyuir2.gz,input.acqnt1.gz,0.171455176679604
input.acqnt1.gz,input.padre2.gz,0.1335345959993144
input.padre2.gz,input.acqnt1.gz,0.1335345959993144
input.acqnt1.gz,input.pircs1.gz,0.1819235810103426
input.pircs1.gz,input.acqnt1.gz,0.1819235810103426
input.acqnt1.gz,input.pircs2.gz,0.1709095557972364
input.pircs2.gz,input.acqnt1.gz,0.1709095557972364
input.acqnt1.gz,input.rutfua1.gz,0.18250783896447415
input.rutfua1.gz,input.acqnt1.gz,0.18250783896447415
input.acqnt1.gz,input.rutfua2.gz,0.17571983723228066
input.rutfua2.gz,input.acqnt1.gz,0.17571983723228066
input.acqnt1.gz,input.siems1.gz,0.1204888199665296
input.siems1.gz,input.acqnt1.gz,0.1204888199665296
input.acqnt1.gz,input.siems2.gz,0.11982464858626166
input.siems2.gz,input.acqnt1.gz,0.11982464858626166
input.acqnt1.gz,input.topic3.gz,0.08265999176111635
input.topic3.gz,input.acqnt1.gz,0.08265999176111635
input.acqnt1.gz,input.virtu1.gz,0.0968726124973506
input.virtu1.gz,input.acqnt1.gz,0.0968726124973506
input.acqnt1.gz,input.vtc2s2.gz,0.1856913555120756
input.vtc2s2.gz,input.acqnt1.gz,0.1856913555120756
input.acqnt1.gz,input.vtc5s2.gz,0.18751593894778357
input.vtc5s2.gz,input.acqnt1.gz,0.18751593894778357
input.acqnt1.gz,input.westp1.gz,0.19758971110140874
input.westp1.gz,input.acqnt1.gz,0.19758971110140874
input.acqnt1.gz,input.xerox3.gz,0.1526204023918037
input.xerox3.gz,input.acqnt1.gz,0.1526204023918037
input.acqnt1.gz,input.xerox4.gz,0.12843941784852508
input.xerox4.gz,input.acqnt1.gz,0.12843941784852508
input.assctv1.gz,input.assctv2.gz,0.23655773047076384
input.assctv2.gz,input.assctv1.gz,0.23655773047076384
input.assctv1.gz,input.brkly6.gz,0.24494066645709087
input.brkly6.gz,input.assctv1.gz,0.24494066645709087
input.assctv1.gz,input.brkly7.gz,0.26980010577540164
input.brkly7.gz,input.assctv1.gz,0.26980010577540164
input.assctv1.gz,input.citri1.gz,0.22378585818370325
input.citri1.gz,input.assctv1.gz,0.22378585818370325
input.assctv1.gz,input.citri2.gz,0.20520442488546617
input.citri2.gz,input.assctv1.gz,0.20520442488546617
input.assctv1.gz,input.citya1.gz,0.24977713385956318
