r1,r2,score
input.acqnt1.gz,input.assctv1.gz,0.6224999999999999
input.assctv1.gz,input.acqnt1.gz,0.6224999999999999
input.acqnt1.gz,input.assctv2.gz,0.65
input.assctv2.gz,input.acqnt1.gz,0.65
input.acqnt1.gz,input.brkly6.gz,0.6050000000000001
input.brkly6.gz,input.acqnt1.gz,0.6050000000000001
input.acqnt1.gz,input.brkly7.gz,0.725
input.brkly7.gz,input.acqnt1.gz,0.725
input.acqnt1.gz,input.citri1.gz,0.4574999999999999
input.citri1.gz,input.acqnt1.gz,0.4574999999999999
input.acqnt1.gz,input.citri2.gz,0.495
input.citri2.gz,input.acqnt1.gz,0.495
input.acqnt1.gz,input.citya1.gz,0.7125
input.citya1.gz,input.acqnt1.gz,0.7125
input.acqnt1.gz,input.citya2.gz,0.6475
input.citya2.gz,input.acqnt1.gz,0.6475
input.acqnt1.gz,input.clarta.gz,0.5824999999999999
input.clarta.gz,input.acqnt1.gz,0.5824999999999999
input.acqnt1.gz,input.clartm.gz,0.5974999999999999
input.clartm.gz,input.acqnt1.gz,0.5974999999999999
input.acqnt1.gz,input.crnlea.gz,0.5349999999999999
input.crnlea.gz,input.acqnt1.gz,0.5349999999999999
input.acqnt1.gz,input.crnlla.gz,0.585
input.crnlla.gz,input.acqnt1.gz,0.585
input.acqnt1.gz,input.dortd1.gz,0.49749999999999994
input.dortd1.gz,input.acqnt1.gz,0.49749999999999994
input.acqnt1.gz,input.dortd2.gz,0.48999999999999994
input.dortd2.gz,input.acqnt1.gz,0.48999999999999994
input.acqnt1.gz,input.erima1.gz,0.42000000000000004
input.erima1.gz,input.acqnt1.gz,0.42000000000000004
input.acqnt1.gz,input.eth001.gz,0.5
input.eth001.gz,input.acqnt1.gz,0.5
input.acqnt1.gz,input.eth002.gz,0.5900000000000001
input.eth002.gz,input.acqnt1.gz,0.5900000000000001
input.acqnt1.gz,input.inq101.gz,0.6725
input.inq101.gz,input.acqnt1.gz,0.6725
input.acqnt1.gz,input.inq102.gz,0.735
input.inq102.gz,input.acqnt1.gz,0.735
input.acqnt1.gz,input.lsia0mf.gz,0.4699999999999999
input.lsia0mf.gz,input.acqnt1.gz,0.4699999999999999
input.acqnt1.gz,input.lsia0mw2.gz,0.47750000000000004
input.lsia0mw2.gz,input.acqnt1.gz,0.47750000000000004
input.acqnt1.gz,input.nyuir1.gz,0.615
input.nyuir1.gz,input.acqnt1.gz,0.615
input.acqnt1.gz,input.nyuir2.gz,0.62
input.nyuir2.gz,input.acqnt1.gz,0.62
input.acqnt1.gz,input.padre2.gz,0.485
input.padre2.gz,input.acqnt1.gz,0.485
input.acqnt1.gz,input.pircs1.gz,0.635
input.pircs1.gz,input.acqnt1.gz,0.635
input.acqnt1.gz,input.pircs2.gz,0.62
input.pircs2.gz,input.acqnt1.gz,0.62
input.acqnt1.gz,input.rutfua1.gz,0.6325000000000001
input.rutfua1.gz,input.acqnt1.gz,0.6325000000000001
input.acqnt1.gz,input.rutfua2.gz,0.625
input.rutfua2.gz,input.acqnt1.gz,0.625
input.acqnt1.gz,input.siems1.gz,0.485
input.siems1.gz,input.acqnt1.gz,0.485
input.acqnt1.gz,input.siems2.gz,0.495
input.siems2.gz,input.acqnt1.gz,0.495
input.acqnt1.gz,input.topic3.gz,0.355
input.topic3.gz,input.acqnt1.gz,0.355
input.acqnt1.gz,input.virtu1.gz,0.39
input.virtu1.gz,input.acqnt1.gz,0.39
input.acqnt1.gz,input.vtc2s2.gz,0.6699999999999999
input.vtc2s2.gz,input.acqnt1.gz,0.6699999999999999
input.acqnt1.gz,input.vtc5s2.gz,0.6649999999999999
input.vtc5s2.gz,input.acqnt1.gz,0.6649999999999999
input.acqnt1.gz,input.westp1.gz,0.6625
input.westp1.gz,input.acqnt1.gz,0.6625
input.acqnt1.gz,input.xerox3.gz,0.5225
input.xerox3.gz,input.acqnt1.gz,0.5225
input.acqnt1.gz,input.xerox4.gz,0.44000000000000006
