r1,weight
input.acqnt1.gz,-0.2499555835096885
input.assctv1.gz,2.456076029730439
input.assctv2.gz,2.403355098057273
input.brkly6.gz,1.7347564214985374
input.brkly7.gz,2.958541364467348
input.citri1.gz,1.1524999399708786
input.citri2.gz,0.5503176585514273
input.citya1.gz,2.5641520971163247
input.citya2.gz,1.914008581951908
input.clarta.gz,1.1464937460259241
input.clartm.gz,1.3969347029129144
input.crnlea.gz,1.6994583574129996
input.crnlla.gz,1.6818834106741303
input.dortd1.gz,0.9043191760379488
input.dortd2.gz,1.1138237280707939
input.erima1.gz,0.7338573282891483
input.eth001.gz,1.2655141433565467
input.eth002.gz,1.4763683624710024
input.inq101.gz,2.310385231118297
input.inq102.gz,3.1924604782793535
input.lsia0mf.gz,0.9157942006120807
input.lsia0mw2.gz,0.9939387392649914
input.nyuir1.gz,1.410620609135985
input.nyuir2.gz,1.4153693321288374
input.padre2.gz,0.3977464344196102
input.pircs1.gz,1.565941797113184
input.pircs2.gz,1.3091145354919442
input.rutfua1.gz,1.2105246254552062
input.rutfua2.gz,1.1438142389872423
input.siems1.gz,0.8723646289445863
input.siems2.gz,0.9874673415185296
input.topic3.gz,0.18073337448903448
input.virtu1.gz,-0.13438364279371307
input.vtc2s2.gz,1.8805156598532617
input.vtc5s2.gz,1.854832704983333
input.westp1.gz,2.017124622823859
input.xerox3.gz,0.8580004578256482
input.xerox4.gz,0.5770090741410883
