r1,weight
input.acqnt1.gz,5.688324072517736
input.assctv1.gz,8.223891792435424
input.assctv2.gz,8.102145271863597
input.brkly6.gz,7.291925175198897
input.brkly7.gz,8.903188288710856
input.citri1.gz,6.727919318536594
input.citri2.gz,6.37033564152373
input.citya1.gz,8.447257775059771
input.citya2.gz,7.695437264139627
input.clarta.gz,6.987579657326179
input.clartm.gz,6.762505788331007
input.crnlea.gz,7.31384812514265
input.crnlla.gz,7.400208923112306
input.dortd1.gz,6.343387495490089
input.dortd2.gz,6.580099059934782
input.erima1.gz,6.226766847000944
input.eth001.gz,6.8756887358655225
input.eth002.gz,6.97851333270021
input.inq101.gz,8.173950684094914
input.inq102.gz,9.213509035117342
input.lsia0mf.gz,6.316538957291509
input.lsia0mw2.gz,6.418125818485491
input.nyuir1.gz,7.023677794618006
input.nyuir2.gz,7.026425861038492
input.padre2.gz,6.045541695973976
input.pircs1.gz,7.283424985644881
input.pircs2.gz,7.005487970614604
input.rutfua1.gz,6.758449784933286
input.rutfua2.gz,6.681752825852973
input.siems1.gz,6.303321469210217
input.siems2.gz,6.509203830593748
input.topic3.gz,5.608154246295897
input.virtu1.gz,5.663161957839311
input.vtc2s2.gz,7.541374042063307
input.vtc5s2.gz,7.458816630596325
input.westp1.gz,7.749922056285544
input.xerox3.gz,6.423883465402872
input.xerox4.gz,6.008894764818122
