r1,weight
input.acqnt1.gz,5.718813093247457
input.assctv1.gz,8.104770608028625
input.assctv2.gz,8.061955895927287
input.brkly6.gz,7.246845269529238
input.brkly7.gz,8.773356036166339
input.citri1.gz,6.635211416538665
input.citri2.gz,6.353198648510335
input.citya1.gz,8.407955620859623
input.citya2.gz,7.639723061887829
input.clarta.gz,6.88586854318127
input.clartm.gz,6.771405551494326
input.crnlea.gz,7.277756929503468
input.crnlla.gz,7.357060445437965
input.dortd1.gz,6.349001754203393
input.dortd2.gz,6.5872922502172555
input.erima1.gz,6.192393603032615
input.eth001.gz,6.81039729339147
input.eth002.gz,7.093899674749649
input.inq101.gz,8.105420247891736
input.inq102.gz,9.154564377355923
input.lsia0mf.gz,6.300224347438225
input.lsia0mw2.gz,6.387631914637481
input.nyuir1.gz,6.948653000558478
input.nyuir2.gz,6.95707228958901
input.padre2.gz,6.119157628065918
input.pircs1.gz,7.252939155016276
input.pircs2.gz,6.934804937310397
input.rutfua1.gz,6.729236539276513
input.rutfua2.gz,6.591146871097722
input.siems1.gz,6.27175410691003
input.siems2.gz,6.160421105200851
input.topic3.gz,5.556350655768368
input.virtu1.gz,5.63685208600372
input.vtc2s2.gz,7.496042744496841
input.vtc5s2.gz,7.406556597182518
input.westp1.gz,7.6958269119610385
input.xerox3.gz,6.358353017892881
input.xerox4.gz,6.038777457303973
