r1,weight
input.acqnt1.gz,20.11
input.assctv1.gz,26.955000000000002
input.assctv2.gz,26.745
input.brkly6.gz,25.7525
input.brkly7.gz,27.47
input.citri1.gz,23.56
input.citri2.gz,23.015
input.citya1.gz,26.7975
input.citya2.gz,26.1625
input.clarta.gz,23.65
input.clartm.gz,23.6475
input.crnlea.gz,24.3525
input.crnlla.gz,24.935000000000002
input.dortd1.gz,22.615
input.dortd2.gz,23.3875
input.erima1.gz,22.43
input.eth001.gz,23.9775
input.eth002.gz,25.1675
input.inq101.gz,25.525
input.inq102.gz,27.39
input.lsia0mf.gz,22.5925
input.lsia0mw2.gz,22.81
input.nyuir1.gz,24.795
input.nyuir2.gz,24.805
input.padre2.gz,21.7425
input.pircs1.gz,24.93
input.pircs2.gz,24.13
input.rutfua1.gz,24.3075
input.rutfua2.gz,24.3475
input.siems1.gz,23.435
input.siems2.gz,23.485
input.topic3.gz,20.2725
input.virtu1.gz,19.8475
input.vtc2s2.gz,25.5775
input.vtc5s2.gz,25.555
input.westp1.gz,25.795
input.xerox3.gz,21.98
input.xerox4.gz,21.3175
