r1,weight
input.acqnt1.gz,19.845
input.assctv1.gz,26.055
input.assctv2.gz,26.835
input.brkly6.gz,25.3875
input.brkly7.gz,27.677500000000002
input.citri1.gz,22.5375
input.citri2.gz,22.3425
input.citya1.gz,26.685
input.citya2.gz,25.95
input.clarta.gz,23.3075
input.clartm.gz,22.8
input.crnlea.gz,23.41
input.crnlla.gz,24.7575
input.dortd1.gz,21.265
input.dortd2.gz,22.09
input.erima1.gz,21.3575
input.eth001.gz,23.28
input.eth002.gz,23.81
input.inq101.gz,22.8875
input.inq102.gz,23.9575
input.lsia0mf.gz,21.0925
input.lsia0mw2.gz,21.355
input.nyuir1.gz,23.8525
input.nyuir2.gz,23.9125
input.padre2.gz,20.9875
input.pircs1.gz,24.634999999999998
input.pircs2.gz,24.395
input.rutfua1.gz,22.995
input.rutfua2.gz,23.075
input.siems1.gz,22.767500000000002
input.siems2.gz,22.9425
input.topic3.gz,19.99
input.virtu1.gz,19.8825
input.vtc2s2.gz,25.0725
input.vtc5s2.gz,25.1125
input.westp1.gz,23.175
input.xerox3.gz,11.66
input.xerox4.gz,13.92
