r1,weight
input.acqnt1.gz,0.3099999999999987
input.assctv1.gz,5.752500000000001
input.assctv2.gz,5.547499999999999
input.brkly6.gz,4.817499999999999
input.brkly7.gz,6.977499999999999
input.citri1.gz,3.0625
input.citri2.gz,2.6525
input.citya1.gz,6.767500000000002
input.citya2.gz,5.664999999999999
input.clarta.gz,2.3850000000000016
input.clartm.gz,1.6750000000000007
input.crnlea.gz,4.085000000000001
input.crnlla.gz,4.560000000000002
input.dortd1.gz,2.1799999999999997
input.dortd2.gz,2.9974999999999987
input.erima1.gz,2.254999999999999
input.eth001.gz,3.5625
input.eth002.gz,4.535
input.inq101.gz,5.379999999999999
input.inq102.gz,6.510000000000002
input.lsia0mf.gz,2.217500000000001
input.lsia0mw2.gz,2.3999999999999986
input.nyuir1.gz,4.059999999999999
input.nyuir2.gz,4.09
input.padre2.gz,1.4499999999999993
input.pircs1.gz,4.48
input.pircs2.gz,3.682500000000001
input.rutfua1.gz,4.170000000000002
input.rutfua2.gz,4.5075
input.siems1.gz,2.794999999999998
input.siems2.gz,3.0599999999999987
input.topic3.gz,0.0
input.virtu1.gz,0.0
input.vtc2s2.gz,5.23
input.vtc5s2.gz,5.362500000000001
input.westp1.gz,5.120000000000001
input.xerox3.gz,2.0100000000000016
input.xerox4.gz,1.4024999999999999
