r1,weight
input.acqnt1.gz,0.9050000000000011
input.assctv1.gz,5.740000000000002
input.assctv2.gz,5.842500000000001
input.brkly6.gz,5.265000000000001
input.brkly7.gz,7.612500000000001
input.citri1.gz,3.0100000000000016
input.citri2.gz,2.754999999999999
input.citya1.gz,7.577500000000001
input.citya2.gz,6.227499999999999
input.clarta.gz,2.7200000000000024
input.clartm.gz,2.0275
input.crnlea.gz,3.657499999999999
input.crnlla.gz,4.7425
input.dortd1.gz,1.6700000000000017
input.dortd2.gz,2.532499999999999
input.erima1.gz,1.6849999999999987
input.eth001.gz,3.6875
input.eth002.gz,3.9175000000000004
input.inq101.gz,5.862500000000001
input.inq102.gz,7.02
input.lsia0mf.gz,1.6524999999999999
input.lsia0mw2.gz,1.8475000000000001
input.nyuir1.gz,4.09
input.nyuir2.gz,4.18
input.padre2.gz,1.7349999999999994
input.pircs1.gz,4.48
input.pircs2.gz,4.205000000000002
input.rutfua1.gz,3.5725000000000016
input.rutfua2.gz,3.7974999999999994
input.siems1.gz,2.75
input.siems2.gz,3.1174999999999997
input.topic3.gz,0.5300000000000011
input.virtu1.gz,0.46499999999999986
input.vtc2s2.gz,5.592500000000001
input.vtc5s2.gz,5.6875
input.westp1.gz,5.592500000000001
input.xerox3.gz,1.4924999999999997
input.xerox4.gz,0.7925000000000004
