r1,weight
input.acqnt1.gz,20.0
input.assctv1.gz,24.8725
input.assctv2.gz,24.8875
input.brkly6.gz,24.16
input.brkly7.gz,26.4475
input.citri1.gz,22.105
input.citri2.gz,21.895
input.citya1.gz,26.509999999999998
input.citya2.gz,25.134999999999998
input.clarta.gz,21.8625
input.clartm.gz,21.445
input.crnlea.gz,22.9525
input.crnlla.gz,23.8975
input.dortd1.gz,21.0175
input.dortd2.gz,21.765
input.erima1.gz,21.0675
input.eth001.gz,22.75
input.eth002.gz,24.04
input.inq101.gz,24.875
input.inq102.gz,25.9275
input.lsia0mf.gz,21.0025
input.lsia0mw2.gz,21.2725
input.nyuir1.gz,23.419999999999998
input.nyuir2.gz,23.44
input.padre2.gz,21.34
input.pircs1.gz,23.865000000000002
input.pircs2.gz,23.1475
input.rutfua1.gz,23.085
input.rutfua2.gz,23.495
input.siems1.gz,21.835
input.siems2.gz,21.669999999999998
input.topic3.gz,19.1175
input.virtu1.gz,19.2575
input.vtc2s2.gz,24.7925
input.vtc5s2.gz,24.7725
input.westp1.gz,24.5825
input.xerox3.gz,20.99
input.xerox4.gz,20.35
