r1,weight
input.acqnt1.gz,5.278836345589924
input.assctv1.gz,7.750771214306492
input.assctv2.gz,7.966814442978962
input.brkly6.gz,7.383426299239966
input.brkly7.gz,8.772644925157495
input.citri1.gz,6.621180324998303
input.citri2.gz,5.810672411608728
input.citya1.gz,8.288236922392848
input.citya2.gz,7.477663172149567
input.clarta.gz,6.689236780808313
input.clartm.gz,6.408018494238518
input.crnlea.gz,7.12193622058022
input.crnlla.gz,7.211027874347282
input.dortd1.gz,6.3423092226204165
input.dortd2.gz,6.654169583124906
input.erima1.gz,6.166462305968568
input.eth001.gz,6.703990521488197
input.eth002.gz,6.923835903732835
input.inq101.gz,7.8614789850550535
input.inq102.gz,8.819913399363593
input.lsia0mf.gz,6.213440630622264
input.lsia0mw2.gz,6.281556090997795
input.nyuir1.gz,6.975588131930345
input.nyuir2.gz,6.9879700614727795
input.padre2.gz,6.149729019826536
input.pircs1.gz,7.287488338611743
input.pircs2.gz,6.893626878615583
input.rutfua1.gz,7.017791809119926
input.rutfua2.gz,6.874604521310958
input.siems1.gz,6.641558683443455
input.siems2.gz,6.563498170105471
input.topic3.gz,5.754771494827075
input.virtu1.gz,5.417750228055312
input.vtc2s2.gz,7.485374974834161
input.vtc5s2.gz,7.4650586281174
input.westp1.gz,7.778414489261801
input.xerox3.gz,6.338269868479378
input.xerox4.gz,6.0502440135233675
