r1,weight
input.acqnt1.gz,0.7249999999999979
input.assctv1.gz,6.202499999999997
input.assctv2.gz,6.3749999999999964
input.brkly6.gz,5.829999999999998
input.brkly7.gz,8.437499999999996
input.citri1.gz,3.072499999999998
input.citri2.gz,2.139999999999997
input.citya1.gz,7.654999999999998
input.citya2.gz,6.617499999999996
input.clarta.gz,3.9724999999999966
input.clartm.gz,3.037499999999998
input.crnlea.gz,3.6899999999999977
input.crnlla.gz,4.822499999999998
input.dortd1.gz,1.9274999999999949
input.dortd2.gz,2.849999999999998
input.erima1.gz,1.697499999999998
input.eth001.gz,3.707499999999996
input.eth002.gz,4.142499999999998
input.inq101.gz,5.904999999999998
input.inq102.gz,7.729999999999997
input.lsia0mf.gz,1.3499999999999979
input.lsia0mw2.gz,1.587499999999995
input.nyuir1.gz,4.569999999999997
input.nyuir2.gz,4.642499999999998
input.padre2.gz,2.177499999999995
input.pircs1.gz,4.889999999999997
input.pircs2.gz,4.469999999999995
input.rutfua1.gz,4.372499999999995
input.rutfua2.gz,4.217499999999998
input.siems1.gz,3.5349999999999966
input.siems2.gz,3.1299999999999955
input.topic3.gz,0.5074999999999967
input.virtu1.gz,0.41249999999999787
input.vtc2s2.gz,5.797499999999996
input.vtc5s2.gz,5.684999999999995
input.westp1.gz,5.807499999999997
input.xerox3.gz,1.3524999999999956
input.xerox4.gz,0.639999999999997
