r1,weight
input.acqnt1.gz,5.915560231756511
input.assctv1.gz,8.625277826772045
input.assctv2.gz,9.076298453310539
input.brkly6.gz,7.94249065797071
input.brkly7.gz,9.730172899358044
input.citri1.gz,7.240286801222163
input.citri2.gz,6.643457707624733
input.citya1.gz,9.249546059407814
input.citya2.gz,8.299970622560025
input.clarta.gz,7.441730439896852
input.clartm.gz,7.498797111760779
input.crnlea.gz,8.008201720155894
input.crnlla.gz,8.178396571021569
input.dortd1.gz,7.071013720998255
input.dortd2.gz,7.288072140670255
input.erima1.gz,6.801850520115111
input.eth001.gz,7.370197959081171
input.eth002.gz,7.486438213561687
input.inq101.gz,7.760273124359402
input.inq102.gz,8.334885110829138
input.lsia0mf.gz,6.869576219048271
input.lsia0mw2.gz,6.9480293201872625
input.nyuir1.gz,7.83753871655332
input.nyuir2.gz,7.854306811053939
input.padre2.gz,6.670881733738315
input.pircs1.gz,8.259531635242045
input.pircs2.gz,7.785537873284297
input.rutfua1.gz,7.422761002491793
input.rutfua2.gz,7.340776762830759
input.siems1.gz,6.9030793668814265
input.siems2.gz,7.0726270575213395
input.topic3.gz,6.328878385564824
input.virtu1.gz,6.115856811030913
input.vtc2s2.gz,8.155274470621043
input.vtc5s2.gz,8.219904255654392
input.westp1.gz,7.803365543403701
input.xerox3.gz,1.8215849156886847
input.xerox4.gz,2.5626599510054344
