r1,weight
input.acqnt1.gz,0.0
input.assctv1.gz,4.969999999999999
input.assctv2.gz,6.157499999999999
input.brkly6.gz,4.327499999999997
input.brkly7.gz,6.972499999999997
input.citri1.gz,1.6749999999999972
input.citri2.gz,1.1899999999999977
input.citya1.gz,6.439999999999998
input.citya2.gz,5.209999999999997
input.clarta.gz,2.7799999999999976
input.clartm.gz,2.9099999999999966
input.crnlea.gz,3.0574999999999974
input.crnlla.gz,4.214999999999996
input.dortd1.gz,1.3349999999999973
input.dortd2.gz,1.8874999999999957
input.erima1.gz,0.8024999999999984
input.eth001.gz,2.4499999999999993
input.eth002.gz,3.104999999999997
input.inq101.gz,2.6849999999999987
input.inq102.gz,3.724999999999998
input.lsia0mf.gz,0.697499999999998
input.lsia0mw2.gz,0.9074999999999989
input.nyuir1.gz,3.9599999999999973
input.nyuir2.gz,4.049999999999997
input.padre2.gz,0.6549999999999976
input.pircs1.gz,4.594999999999999
input.pircs2.gz,3.8649999999999984
input.rutfua1.gz,3.0849999999999973
input.rutfua2.gz,2.9499999999999993
input.siems1.gz,2.0924999999999976
input.siems2.gz,2.4449999999999967
input.topic3.gz,0.12499999999999645
input.virtu1.gz,0.0
input.vtc2s2.gz,4.667499999999997
input.vtc5s2.gz,4.857499999999998
input.westp1.gz,2.857499999999998
input.xerox3.gz,0.0
input.xerox4.gz,0.0
