r1,weight
input.acqnt1.gz,20.3875
input.assctv1.gz,25.787499999999998
input.assctv2.gz,26.605
input.brkly6.gz,25.5125
input.brkly7.gz,27.732499999999998
input.citri1.gz,22.9675
input.citri2.gz,22.4175
input.citya1.gz,27.27
input.citya2.gz,26.3575
input.clarta.gz,23.1775
input.clartm.gz,22.4675
input.crnlea.gz,23.66
input.crnlla.gz,25.1375
input.dortd1.gz,21.855
input.dortd2.gz,22.655
input.erima1.gz,21.4125
input.eth001.gz,23.7225
input.eth002.gz,23.8375
input.inq101.gz,25.677500000000002
input.inq102.gz,27.4175
input.lsia0mf.gz,21.565
input.lsia0mw2.gz,21.76
input.nyuir1.gz,23.9325
input.nyuir2.gz,23.985
input.padre2.gz,21.76
input.pircs1.gz,24.685
input.pircs2.gz,24.2525
input.rutfua1.gz,23.405
input.rutfua2.gz,23.38
input.siems1.gz,22.5925
input.siems2.gz,23.0
input.topic3.gz,19.96
input.virtu1.gz,20.0575
input.vtc2s2.gz,25.0375
input.vtc5s2.gz,25.11
input.westp1.gz,25.635
input.xerox3.gz,21.475
input.xerox4.gz,20.6525
