,score
input.aplrob03a.gz,0.2663738607785359
input.aplrob03b.gz,0.22321367142606938
input.aplrob03c.gz,0.22767812386177294
input.aplrob03d.gz,0.24125643111164702
input.aplrob03e.gz,0.21864860473683995
input.fub03IeOLKe3.gz,0.22383723283031304
input.fub03InB2e3.gz,0.21193560365437897
input.fub03IneOBu3.gz,0.20908644476470792
input.fub03IneOLe3.gz,0.2220822196503784
input.fub03InOLe3.gz,0.22250577533578308
input.humR03d.gz,0.2208613760582403
input.humR03de.gz,0.24670822377599172
input.InexpC2.gz,0.20281069662938805
input.InexpC2QE.gz,0.2061043276966395
input.MU03rob01.gz,0.17891917694480694
input.MU03rob02.gz,0.19701454565469692
input.MU03rob04.gz,0.19771845278119513
input.MU03rob05.gz,0.18374140424941335
input.UIUC03Rd1.gz,0.22111081293191376
input.UIUC03Rd2.gz,0.21427066740947875
input.UIUC03Rd3.gz,0.2235964872666826
input.UIUC03Rt1.gz,0.17677752921721565
input.UIUC03Rtd1.gz,0.23504702665974125
