,score
input.aplrob03a.gz,0.4175000000000001
input.aplrob03b.gz,0.35624999999999996
input.aplrob03c.gz,0.37375
input.aplrob03d.gz,0.37875000000000003
input.aplrob03e.gz,0.35
input.fub03IeOLKe3.gz,0.38875000000000004
input.fub03InB2e3.gz,0.4025
input.fub03IneOBu3.gz,0.37749999999999995
input.fub03IneOLe3.gz,0.37875
input.fub03InOLe3.gz,0.39875
input.humR03d.gz,0.3675
input.humR03de.gz,0.39
input.InexpC2.gz,0.35
input.InexpC2QE.gz,0.37124999999999997
input.MU03rob01.gz,0.35500000000000004
input.MU03rob02.gz,0.40875000000000006
input.MU03rob04.gz,0.37374999999999997
input.MU03rob05.gz,0.3625
input.UIUC03Rd1.gz,0.35374999999999995
input.UIUC03Rd2.gz,0.35875
input.UIUC03Rd3.gz,0.36500000000000005
input.UIUC03Rt1.gz,0.33875
input.UIUC03Rtd1.gz,0.40625
