query,q0,docid,rank,score,system
303,Q0,LA040190-0178,1,13.467152583953903,minmaxnorm
303,Q0,LA042590-0135,2,13.421651624006591,minmaxnorm
303,Q0,LA041490-0064,3,13.260754366071124,minmaxnorm
303,Q0,LA033090-0082,4,13.124771823433962,minmaxnorm
303,Q0,LA041090-0148,5,13.045715101589948,minmaxnorm
303,Q0,LA041990-0151,6,12.655587680029697,minmaxnorm
303,Q0,FT934-5418,7,12.65213416963904,minmaxnorm
303,Q0,LA042290-0160,8,12.363106216876707,minmaxnorm
303,Q0,LA052890-0021,9,12.308561178170155,minmaxnorm
303,Q0,LA041690-0035,10,12.302314670348323,minmaxnorm
303,Q0,FT921-7107,11,12.299590129169012,minmaxnorm
303,Q0,LA042590-0152,12,12.296108362522006,minmaxnorm
303,Q0,LA071090-0047,13,12.222434964291303,minmaxnorm
303,Q0,LA070990-0052,14,12.110229868562941,minmaxnorm
303,Q0,LA041190-0003,15,11.77501834120254,minmaxnorm
303,Q0,LA042790-0070,16,11.427033328249708,minmaxnorm
303,Q0,LA071490-0091,17,11.38132352011574,minmaxnorm
303,Q0,LA041590-0161,18,11.162825464042747,minmaxnorm
303,Q0,LA070890-0154,19,11.143952613048835,minmaxnorm
303,Q0,LA012090-0105,20,11.094302944962628,minmaxnorm
303,Q0,LA050390-0109,21,11.048049909860678,minmaxnorm
303,Q0,LA040590-0220,22,11.024735582272436,minmaxnorm
303,Q0,LA011990-0173,23,10.92169849748927,minmaxnorm
303,Q0,LA042390-0060,24,10.901133458307742,minmaxnorm
303,Q0,LA032790-0023,25,10.827918710494137,minmaxnorm
303,Q0,LA081090-0078,26,10.827180164427306,minmaxnorm
303,Q0,LA062990-0180,27,10.793862129778665,minmaxnorm
303,Q0,LA051389-0037,28,10.751744173941297,minmaxnorm
303,Q0,FT934-2516,29,10.750509384430037,minmaxnorm
303,Q0,LA042390-0041,30,10.550037524473744,minmaxnorm
303,Q0,FBIS4-46650,31,10.520816838597462,minmaxnorm
303,Q0,LA110590-0076,32,10.479897155574406,minmaxnorm
303,Q0,FBIS3-42547,33,10.474649062609538,minmaxnorm
303,Q0,LA051590-0074,34,10.383327587366328,minmaxnorm
303,Q0,FT944-128,35,10.251419342609445,minmaxnorm
303,Q0,LA072590-0006,36,10.045073224125352,minmaxnorm
303,Q0,LA070590-0031,37,10.03232689387174,minmaxnorm
303,Q0,LA080990-0222,38,9.918258416361487,minmaxnorm
303,Q0,LA053090-0037,39,9.70462576339696,minmaxnorm
303,Q0,LA070390-0084,40,9.665671941378312,minmaxnorm
303,Q0,LA070790-0083,41,9.626594509430753,minmaxnorm
303,Q0,LA070590-0036,42,9.612578325238761,minmaxnorm
303,Q0,LA042690-0141,43,9.594476444444783,minmaxnorm
303,Q0,LA102290-0066,44,9.571849730847193,minmaxnorm
303,Q0,LA122990-0029,45,9.558331044029833,minmaxnorm
