query,q0,docid,rank,score,system
303,Q0,LA040190-0178,1,209.30790723592253,minmaxnorm
303,Q0,LA041490-0064,2,206.9051192459753,minmaxnorm
303,Q0,LA033090-0082,3,204.1481390096889,minmaxnorm
303,Q0,LA042590-0135,4,203.9749084309131,minmaxnorm
303,Q0,LA041090-0148,5,202.67799530654221,minmaxnorm
303,Q0,LA042290-0160,6,197.33930303628244,minmaxnorm
303,Q0,LA041990-0151,7,195.81760251198233,minmaxnorm
303,Q0,LA041690-0035,8,194.3584444218519,minmaxnorm
303,Q0,FT934-5418,9,192.69385242965637,minmaxnorm
303,Q0,LA042590-0152,10,191.522877450752,minmaxnorm
303,Q0,LA071090-0047,11,188.3406914248184,minmaxnorm
303,Q0,LA041190-0003,12,188.24415554083424,minmaxnorm
303,Q0,LA070990-0052,13,186.9439902787243,minmaxnorm
303,Q0,FT921-7107,14,184.60831267269313,minmaxnorm
303,Q0,LA052890-0021,15,182.79797043552628,minmaxnorm
303,Q0,LA071490-0091,16,179.30118676792983,minmaxnorm
303,Q0,LA041590-0161,17,179.05570769940758,minmaxnorm
303,Q0,LA070890-0154,18,176.5278829024434,minmaxnorm
303,Q0,LA042790-0070,19,174.77935996167125,minmaxnorm
303,Q0,LA032790-0023,20,174.74298225099403,minmaxnorm
303,Q0,LA040590-0220,21,174.67061621677257,minmaxnorm
303,Q0,LA042390-0060,22,174.63649420343154,minmaxnorm
303,Q0,LA051389-0037,23,173.21738461900532,minmaxnorm
303,Q0,LA012090-0105,24,171.39788520844738,minmaxnorm
303,Q0,LA050390-0109,25,170.65232106148798,minmaxnorm
303,Q0,LA062990-0180,26,170.5468686776339,minmaxnorm
303,Q0,LA042390-0041,27,170.51360131064317,minmaxnorm
303,Q0,LA081090-0078,28,166.9003855458127,minmaxnorm
303,Q0,FT934-2516,29,165.18385538021806,minmaxnorm
303,Q0,LA011990-0173,30,164.7161569301891,minmaxnorm
303,Q0,LA051590-0074,31,162.16210073747914,minmaxnorm
303,Q0,LA070590-0031,32,159.31097624602094,minmaxnorm
303,Q0,LA080990-0222,33,159.12298981144065,minmaxnorm
303,Q0,LA072590-0006,34,158.44981495200489,minmaxnorm
303,Q0,LA110590-0076,35,158.0131424055349,minmaxnorm
303,Q0,FBIS4-46650,36,157.3553717224818,minmaxnorm
303,Q0,FBIS3-42547,37,156.54510905156368,minmaxnorm
303,Q0,LA081090-0079,38,155.13220304441168,minmaxnorm
