query,q0,docid,rank,score,system
303,Q0,LA041490-0064,1,0.2284073885960573,reciprocal_rank_fusion_k=60
303,Q0,LA042590-0135,2,0.22455965850417078,reciprocal_rank_fusion_k=60
303,Q0,LA040190-0178,3,0.22191971090298068,reciprocal_rank_fusion_k=60
303,Q0,LA033090-0082,4,0.22118982842124119,reciprocal_rank_fusion_k=60
303,Q0,LA041090-0148,5,0.2190890932255829,reciprocal_rank_fusion_k=60
303,Q0,LA041990-0151,6,0.2118875794313759,reciprocal_rank_fusion_k=60
303,Q0,FT934-5418,7,0.20668726188790487,reciprocal_rank_fusion_k=60
303,Q0,LA042590-0152,8,0.20654254164398003,reciprocal_rank_fusion_k=60
303,Q0,LA041690-0035,9,0.2060505901283251,reciprocal_rank_fusion_k=60
303,Q0,LA042290-0160,10,0.2042088890730885,reciprocal_rank_fusion_k=60
303,Q0,LA071090-0047,11,0.20238314367779897,reciprocal_rank_fusion_k=60
303,Q0,LA070990-0052,12,0.200930405267679,reciprocal_rank_fusion_k=60
303,Q0,FT921-7107,13,0.1937023179499593,reciprocal_rank_fusion_k=60
303,Q0,LA041190-0003,14,0.19225964729838063,reciprocal_rank_fusion_k=60
303,Q0,LA052890-0021,15,0.19162516735029073,reciprocal_rank_fusion_k=60
303,Q0,LA042790-0070,16,0.18245504116748942,reciprocal_rank_fusion_k=60
303,Q0,LA071490-0091,17,0.18241652868548722,reciprocal_rank_fusion_k=60
303,Q0,LA070890-0154,18,0.18006407292456836,reciprocal_rank_fusion_k=60
303,Q0,LA041590-0161,19,0.1794156581139903,reciprocal_rank_fusion_k=60
303,Q0,LA040590-0220,20,0.17684798977942162,reciprocal_rank_fusion_k=60
303,Q0,LA050390-0109,21,0.17599008222743223,reciprocal_rank_fusion_k=60
303,Q0,LA042390-0060,22,0.1731399360066067,reciprocal_rank_fusion_k=60
303,Q0,LA032790-0023,23,0.1729164409024326,reciprocal_rank_fusion_k=60
303,Q0,LA051389-0037,24,0.1712526748294298,reciprocal_rank_fusion_k=60
303,Q0,LA012090-0105,25,0.17015597504831775,reciprocal_rank_fusion_k=60
303,Q0,LA081090-0078,26,0.16996525164434695,reciprocal_rank_fusion_k=60
303,Q0,LA062990-0180,27,0.16958682743273065,reciprocal_rank_fusion_k=60
303,Q0,FT934-2516,28,0.16734563736511018,reciprocal_rank_fusion_k=60
303,Q0,LA042390-0041,29,0.16327669062946348,reciprocal_rank_fusion_k=60
303,Q0,LA011990-0173,30,0.16197476399822588,reciprocal_rank_fusion_k=60
303,Q0,LA051590-0074,31,0.1599233079961252,reciprocal_rank_fusion_k=60
303,Q0,LA080990-0222,32,0.15562839550831403,reciprocal_rank_fusion_k=60
303,Q0,LA110590-0076,33,0.15415942264851956,reciprocal_rank_fusion_k=60
303,Q0,FBIS4-46650,34,0.15356159124713786,reciprocal_rank_fusion_k=60
303,Q0,LA072590-0006,35,0.15272606159662577,reciprocal_rank_fusion_k=60
303,Q0,FBIS3-42547,36,0.1518997460281696,reciprocal_rank_fusion_k=60
303,Q0,FT944-128,37,0.15121186356001648,reciprocal_rank_fusion_k=60
303,Q0,LA070590-0031,38,0.15120310870615838,reciprocal_rank_fusion_k=60
303,Q0,LA081090-0079,39,0.1508759813369606,reciprocal_rank_fusion_k=60
303,Q0,LA053090-0037,40,0.1483510245823846,reciprocal_rank_fusion_k=60
303,Q0,LA070390-0084,41,0.14707813722749866,reciprocal_rank_fusion_k=60
303,Q0,LA070790-0083,42,0.14508516180591224,reciprocal_rank_fusion_k=60
303,Q0,LA122990-0029,43,0.14461277506281714,reciprocal_rank_fusion_k=60
303,Q0,LA063090-0004,44,0.14237842664682004,reciprocal_rank_fusion_k=60
303,Q0,LA102290-0066,45,0.13958678072102323,reciprocal_rank_fusion_k=60
303,Q0,LA070590-0036,46,0.1395563871439277,reciprocal_rank_fusion_k=60
