query,q0,docid,rank,score,system
303,Q0,LA041490-0064,1,3.541517328668203,reciprocal_rank_fusion_k=60
303,Q0,LA040190-0178,2,3.4469284783398115,reciprocal_rank_fusion_k=60
303,Q0,LA033090-0082,3,3.4260002246182273,reciprocal_rank_fusion_k=60
303,Q0,LA042590-0135,4,3.3973505750958513,reciprocal_rank_fusion_k=60
303,Q0,LA041090-0148,5,3.3776912902242864,reciprocal_rank_fusion_k=60
303,Q0,LA041990-0151,6,3.253965778696134,reciprocal_rank_fusion_k=60
303,Q0,LA041690-0035,7,3.229935059165001,reciprocal_rank_fusion_k=60
303,Q0,LA042290-0160,8,3.225143933875466,reciprocal_rank_fusion_k=60
303,Q0,LA042590-0152,9,3.190844639730515,reciprocal_rank_fusion_k=60
303,Q0,FT934-5418,10,3.124952307967728,reciprocal_rank_fusion_k=60
303,Q0,LA071090-0047,11,3.0727816697653356,reciprocal_rank_fusion_k=60
303,Q0,LA070990-0052,12,3.0528824991003716,reciprocal_rank_fusion_k=60
303,Q0,LA041190-0003,13,3.035529117705957,reciprocal_rank_fusion_k=60
303,Q0,FT921-7107,14,2.8668213295104086,reciprocal_rank_fusion_k=60
303,Q0,LA041590-0161,15,2.836907782416185,reciprocal_rank_fusion_k=60
303,Q0,LA052890-0021,16,2.8330458805630383,reciprocal_rank_fusion_k=60
303,Q0,LA071490-0091,17,2.8231410648685396,reciprocal_rank_fusion_k=60
303,Q0,LA070890-0154,18,2.8143040496490594,reciprocal_rank_fusion_k=60
303,Q0,LA040590-0220,19,2.747475372677644,reciprocal_rank_fusion_k=60
303,Q0,LA032790-0023,20,2.742864168078477,reciprocal_rank_fusion_k=60
303,Q0,LA042390-0060,21,2.72562596685183,reciprocal_rank_fusion_k=60
303,Q0,LA042790-0070,22,2.7182568890557706,reciprocal_rank_fusion_k=60
303,Q0,LA051389-0037,23,2.710775283393462,reciprocal_rank_fusion_k=60
303,Q0,LA050390-0109,24,2.6421412675091767,reciprocal_rank_fusion_k=60
303,Q0,LA062990-0180,25,2.6278932783005438,reciprocal_rank_fusion_k=60
303,Q0,LA042390-0041,26,2.605343549298423,reciprocal_rank_fusion_k=60
303,Q0,LA012090-0105,27,2.5936597761656435,reciprocal_rank_fusion_k=60
303,Q0,LA081090-0078,28,2.53470623957194,reciprocal_rank_fusion_k=60
303,Q0,FT934-2516,29,2.491951839072038,reciprocal_rank_fusion_k=60
303,Q0,LA080990-0222,30,2.4484889861442123,reciprocal_rank_fusion_k=60
303,Q0,LA011990-0173,31,2.421768103709306,reciprocal_rank_fusion_k=60
303,Q0,LA051590-0074,32,2.4137117112642903,reciprocal_rank_fusion_k=60
303,Q0,LA081090-0079,33,2.3691472898868438,reciprocal_rank_fusion_k=60
303,Q0,LA070590-0031,34,2.3533455231149345,reciprocal_rank_fusion_k=60
303,Q0,LA072590-0006,35,2.3364497959907022,reciprocal_rank_fusion_k=60
303,Q0,LA053090-0037,36,2.308353301667121,reciprocal_rank_fusion_k=60
303,Q0,LA070390-0084,37,2.2719772978651727,reciprocal_rank_fusion_k=60
303,Q0,LA110590-0076,38,2.2515957553330126,reciprocal_rank_fusion_k=60
303,Q0,LA070790-0083,39,2.248078603713578,reciprocal_rank_fusion_k=60
303,Q0,FBIS4-46650,40,2.220343564043158,reciprocal_rank_fusion_k=60
303,Q0,LA063090-0004,41,2.2092708982010816,reciprocal_rank_fusion_k=60
303,Q0,LA122990-0029,42,2.208592956274092,reciprocal_rank_fusion_k=60
303,Q0,FBIS3-42547,43,2.1891233240925265,reciprocal_rank_fusion_k=60
