query,q0,docid,rank,score,system
303,Q0,LA040190-0178,1,2.849321555694359,minmaxnorm
303,Q0,LA041490-0064,2,2.6731182032699836,minmaxnorm
303,Q0,LA033090-0082,3,2.6577112359189785,minmaxnorm
303,Q0,LA042590-0135,4,2.6462856790067204,minmaxnorm
303,Q0,LA042290-0160,5,2.562886570365384,minmaxnorm
303,Q0,LA041690-0035,6,2.53260563090466,minmaxnorm
303,Q0,LA041090-0148,7,2.5284650896069114,minmaxnorm
303,Q0,FT934-5418,8,2.505779521041002,minmaxnorm
303,Q0,LA041990-0151,9,2.4720548815771646,minmaxnorm
303,Q0,LA041190-0003,10,2.4425585366292974,minmaxnorm
303,Q0,LA042590-0152,11,2.4318396411060617,minmaxnorm
303,Q0,LA070990-0052,12,2.407531331441672,minmaxnorm
303,Q0,LA052890-0021,13,2.4003276083636735,minmaxnorm
303,Q0,LA071090-0047,14,2.389951681119168,minmaxnorm
303,Q0,LA011990-0173,15,2.3637125388687017,minmaxnorm
303,Q0,FT921-7107,16,2.3601252732859908,minmaxnorm
303,Q0,LA032790-0023,17,2.326256291879507,minmaxnorm
303,Q0,LA040590-0220,18,2.3157205503527645,minmaxnorm
303,Q0,LA070890-0154,19,2.286989507849599,minmaxnorm
303,Q0,LA050390-0109,20,2.28366318028978,minmaxnorm
303,Q0,LA041590-0161,21,2.2763930669670214,minmaxnorm
303,Q0,LA051389-0037,22,2.2735735270128226,minmaxnorm
303,Q0,LA042790-0070,23,2.272736382931928,minmaxnorm
303,Q0,LA042390-0060,24,2.2703285697652626,minmaxnorm
303,Q0,LA012090-0105,25,2.2605589373558765,minmaxnorm
303,Q0,LA071490-0091,26,2.243424137840248,minmaxnorm
303,Q0,LA081090-0078,27,2.219264856860315,minmaxnorm
303,Q0,FT934-2516,28,2.199688934171145,minmaxnorm
303,Q0,LA062990-0180,29,2.184671610354526,minmaxnorm
303,Q0,LA042390-0041,30,2.1798106178569174,minmaxnorm
303,Q0,LA110590-0076,31,2.178411572172285,minmaxnorm
303,Q0,LA080990-0222,32,2.15883709734659,minmaxnorm
303,Q0,LA051590-0074,33,2.1546452525455413,minmaxnorm
303,Q0,FBIS4-46650,34,2.150648711174622,minmaxnorm
303,Q0,FBIS3-42547,35,2.147003392745189,minmaxnorm
303,Q0,FT944-128,36,2.122199021316328,minmaxnorm
303,Q0,LA053090-0037,37,2.082802001530453,minmaxnorm
303,Q0,LA072590-0006,38,2.0795897448014244,minmaxnorm
303,Q0,LA070790-0083,39,2.068056933982998,minmaxnorm
303,Q0,LA081090-0079,40,2.057932155978435,minmaxnorm
303,Q0,LA070590-0031,41,2.053361362204024,minmaxnorm
303,Q0,LA070390-0084,42,2.0527845060255174,minmaxnorm
303,Q0,LA063090-0004,43,2.0484103396864897,minmaxnorm
303,Q0,LA070590-0036,44,2.0256518428418158,minmaxnorm
303,Q0,LA042690-0141,45,2.022447553798053,minmaxnorm
303,Q0,LA102290-0066,46,2.0221824842055227,minmaxnorm
303,Q0,LA112190-0043,47,2.0219152267251124,minmaxnorm
303,Q0,LA122990-0029,48,2.0202947128070705,minmaxnorm
303,Q0,FT934-3766,49,2.018261180260195,minmaxnorm
303,Q0,FT934-4132,50,2.0156995454175806,minmaxnorm
303,Q0,LA072890-0078,51,2.0132674702993776,minmaxnorm
303,Q0,FT934-3191,52,1.9908797992679816,minmaxnorm
303,Q0,LA051490-0110,53,1.9854338861555885,minmaxnorm
303,Q0,FT924-286,54,1.9770832993653211,minmaxnorm
303,Q0,LA061589-0050,55,1.9770701647092601,minmaxnorm
303,Q0,LA072590-0005,56,1.9737909879835118,minmaxnorm
303,Q0,FT941-15661,57,1.9690792058923785,minmaxnorm
303,Q0,FT931-6554,58,1.9621663896738615,minmaxnorm
303,Q0,LA070590-0033,59,1.9500019547886451,minmaxnorm
303,Q0,LA080990-0242,60,1.9438373780265794,minmaxnorm
303,Q0,LA043090-0018,61,1.9382944324441815,minmaxnorm
303,Q0,LA010689-0016,62,1.925040544651453,minmaxnorm
303,Q0,LA051290-0079,63,1.9139357010848284,minmaxnorm
303,Q0,FT934-4015,64,1.9125905056298231,minmaxnorm
303,Q0,LA072690-0133,65,1.9107071015810264,minmaxnorm
303,Q0,LA092690-0092,66,1.8946642676877747,minmaxnorm
303,Q0,LA031490-0065,67,1.8708103309493802,minmaxnorm
303,Q0,LA060890-0124,68,1.830304567300132,minmaxnorm
303,Q0,LA071390-0122,69,1.8301756142305696,minmaxnorm
303,Q0,FT921-3432,70,1.766808815096789,minmaxnorm
303,Q0,FT933-3699,71,1.7596618250028664,minmaxnorm
303,Q0,LA101790-0151,72,1.6985591197704253,minmaxnorm
303,Q0,LA071690-0048,73,1.6944918650874423,minmaxnorm
303,Q0,FT934-4583,74,1.6836499560929887,minmaxnorm
303,Q0,LA090489-0037,75,1.6836130406200984,minmaxnorm
303,Q0,FT933-6678,76,1.6835078681904383,minmaxnorm
303,Q0,LA090790-0049,77,1.672310431014158,minmaxnorm
303,Q0,FT941-17652,78,1.666997116702399,minmaxnorm
303,Q0,LA081290-0215,79,1.6662999510488012,minmaxnorm
303,Q0,LA120390-0065,80,1.6625233947899605,minmaxnorm
303,Q0,LA090390-0035,81,1.6550528191505591,minmaxnorm
303,Q0,LA121190-0079,82,1.6543676172936381,minmaxnorm
303,Q0,LA090690-0100,83,1.6500117644057677,minmaxnorm
303,Q0,LA121190-0160,84,1.6497557768613615,minmaxnorm
303,Q0,LA121190-0089,85,1.64583964113888,minmaxnorm
303,Q0,LA060290-0131,86,1.6400741379904624,minmaxnorm
303,Q0,FT933-6946,87,1.6334409279859796,minmaxnorm
303,Q0,LA050589-0092,88,1.6321979774267872,minmaxnorm
303,Q0,LA101290-0125,89,1.6260864403596957,minmaxnorm
303,Q0,LA120390-0126,90,1.6243841796820573,minmaxnorm
303,Q0,LA031989-0181,91,1.6243501254010815,minmaxnorm
303,Q0,LA050589-0090,92,1.6172032199181516,minmaxnorm
303,Q0,LA082890-0147,93,1.60089029858158,minmaxnorm
303,Q0,LA052390-0127,94,1.5707506666981854,minmaxnorm
303,Q0,LA020989-0012,95,1.5655843079231924,minmaxnorm
303,Q0,FBIS3-21026,96,1.564939568047613,minmaxnorm
303,Q0,LA053090-0104,97,1.5628945296936758,minmaxnorm
303,Q0,FBIS3-61020,98,1.560062563543705,minmaxnorm
303,Q0,LA050889-0068,99,1.5591969844278415,minmaxnorm
303,Q0,LA072190-0065,100,1.5421802861955805,minmaxnorm
303,Q0,LA120590-0110,101,1.5368708438593937,minmaxnorm
303,Q0,LA120890-0048,102,1.5248553609956532,minmaxnorm
303,Q0,LA051290-0077,103,1.5152832476446905,minmaxnorm
303,Q0,LA091890-0053,104,1.5031158067970847,minmaxnorm
