query,q0,docid,rank,score,system
303,Q0,LA040190-0178,1,0.31356528500909775,minmaxnorm
303,Q0,LA041490-0064,2,0.2955447469558219,minmaxnorm
303,Q0,LA033090-0082,3,0.2937105560399417,minmaxnorm
303,Q0,LA042590-0135,4,0.2917860725000195,minmaxnorm
303,Q0,LA042290-0160,5,0.2842509799666916,minmaxnorm
303,Q0,LA041690-0035,6,0.28114962924530623,minmaxnorm
303,Q0,LA041090-0148,7,0.2801552139177328,minmaxnorm
303,Q0,FT934-5418,8,0.27784031266692594,minmaxnorm
303,Q0,LA041990-0151,9,0.2738079270038658,minmaxnorm
303,Q0,LA041190-0003,10,0.27215468365304885,minmaxnorm
303,Q0,LA042590-0152,11,0.2707540982479011,minmaxnorm
303,Q0,LA070990-0052,12,0.26847295712701996,minmaxnorm
303,Q0,LA052890-0021,13,0.26641805350623043,minmaxnorm
303,Q0,LA071090-0047,14,0.265587851064927,minmaxnorm
303,Q0,LA011990-0173,15,0.26355916797943896,minmaxnorm
303,Q0,FT921-7107,16,0.26245995005516787,minmaxnorm
303,Q0,LA032790-0023,17,0.26081736216283696,minmaxnorm
303,Q0,LA040590-0220,18,0.25978737298308446,minmaxnorm
303,Q0,LA070890-0154,19,0.2564268081878991,minmaxnorm
303,Q0,LA050390-0109,20,0.25592775557710223,minmaxnorm
303,Q0,LA051389-0037,21,0.25513083331506897,minmaxnorm
303,Q0,LA042390-0060,22,0.2550109039260097,minmaxnorm
303,Q0,LA041590-0161,23,0.2549817769025064,minmaxnorm
303,Q0,LA042790-0070,24,0.25379757325915553,minmaxnorm
303,Q0,LA012090-0105,25,0.2522552319924278,minmaxnorm
303,Q0,LA071490-0091,26,0.2508378523845637,minmaxnorm
303,Q0,LA081090-0078,27,0.2490566431192998,minmaxnorm
303,Q0,FT934-2516,28,0.24672983196210782,minmaxnorm
303,Q0,LA042390-0041,29,0.24568417464810396,minmaxnorm
303,Q0,LA062990-0180,30,0.2456090778324227,minmaxnorm
303,Q0,LA110590-0076,31,0.24453724745861083,minmaxnorm
303,Q0,LA080990-0222,32,0.2438786415546577,minmaxnorm
303,Q0,LA051590-0074,33,0.2428127563323298,minmaxnorm
303,Q0,FBIS4-46650,34,0.24126611292360625,minmaxnorm
303,Q0,FBIS3-42547,35,0.24093931006477373,minmaxnorm
303,Q0,FT944-128,36,0.23920621335318007,minmaxnorm
303,Q0,LA053090-0037,37,0.23640837307099447,minmaxnorm
303,Q0,LA072590-0006,38,0.23548181744301055,minmaxnorm
303,Q0,LA070790-0083,39,0.23432969763380623,minmaxnorm
303,Q0,LA063090-0004,40,0.23265649138871353,minmaxnorm
303,Q0,LA070390-0084,41,0.23260593975290916,minmaxnorm
303,Q0,LA081090-0079,42,0.23248558578783327,minmaxnorm
303,Q0,LA070590-0031,43,0.23236932108692826,minmaxnorm
303,Q0,LA122990-0029,44,0.23021043209804823,minmaxnorm
303,Q0,LA070590-0036,45,0.22993736990251706,minmaxnorm
303,Q0,LA112190-0043,46,0.22953483797404056,minmaxnorm
303,Q0,FT934-3766,47,0.22931025553548812,minmaxnorm
303,Q0,LA042690-0141,48,0.22925601015581754,minmaxnorm
303,Q0,LA102290-0066,49,0.2291423976748572,minmaxnorm
303,Q0,FT934-4132,50,0.22885395148992227,minmaxnorm
303,Q0,LA072890-0078,51,0.2287969210796544,minmaxnorm
303,Q0,FT934-3191,52,0.2265975176230852,minmaxnorm
303,Q0,LA051490-0110,53,0.22597106519460217,minmaxnorm
303,Q0,LA061589-0050,54,0.2256189970062841,minmaxnorm
303,Q0,FT924-286,55,0.22543495358040846,minmaxnorm
303,Q0,LA072590-0005,56,0.22507754981760755,minmaxnorm
303,Q0,FT941-15661,57,0.22415606138847177,minmaxnorm
303,Q0,FT931-6554,58,0.22364642402243196,minmaxnorm
303,Q0,LA070590-0033,59,0.22212579443843664,minmaxnorm
303,Q0,LA043090-0018,60,0.22193805599103925,minmaxnorm
303,Q0,LA080990-0242,61,0.22158019952769167,minmaxnorm
303,Q0,LA010689-0016,62,0.2194642541175403,minmaxnorm
303,Q0,LA051290-0079,63,0.21901137361290315,minmaxnorm
303,Q0,FT934-4015,64,0.2187354072642947,minmaxnorm
303,Q0,LA072690-0133,65,0.21747201945379457,minmaxnorm
303,Q0,LA092690-0092,66,0.21649821962453245,minmaxnorm
303,Q0,LA031490-0065,67,0.21319576905347057,minmaxnorm
303,Q0,LA060890-0124,68,0.21012537478289967,minmaxnorm
303,Q0,LA071390-0122,69,0.210016654183972,minmaxnorm
303,Q0,FT921-3432,70,0.2034560127165602,minmaxnorm
303,Q0,FT933-3699,71,0.20274400284623947,minmaxnorm
303,Q0,LA101790-0151,72,0.196990382900468,minmaxnorm
303,Q0,LA071690-0048,73,0.1961180774485793,minmaxnorm
303,Q0,LA090489-0037,74,0.19544403782369482,minmaxnorm
303,Q0,FT933-6678,75,0.1952411435329306,minmaxnorm
303,Q0,FT934-4583,76,0.1949808310473936,minmaxnorm
303,Q0,LA120390-0065,77,0.19480081662463855,minmaxnorm
303,Q0,LA121190-0079,78,0.19408915938895088,minmaxnorm
303,Q0,FT941-17652,79,0.1937190535441331,minmaxnorm
303,Q0,LA121190-0160,80,0.19368667249485863,minmaxnorm
303,Q0,LA081290-0215,81,0.1936008420020614,minmaxnorm
303,Q0,LA090390-0035,82,0.1935945102851445,minmaxnorm
303,Q0,LA090790-0049,83,0.1935531602360042,minmaxnorm
303,Q0,LA060290-0131,84,0.19198009041425035,minmaxnorm
303,Q0,LA121190-0089,85,0.19129738040185937,minmaxnorm
303,Q0,LA120390-0126,86,0.19088743522094667,minmaxnorm
303,Q0,LA090690-0100,87,0.1906509584081388,minmaxnorm
303,Q0,FT933-6946,88,0.1898145835681675,minmaxnorm
303,Q0,LA050589-0092,89,0.18962878644129258,minmaxnorm
303,Q0,LA101290-0125,90,0.18919986686458382,minmaxnorm
303,Q0,LA031989-0181,91,0.18839768256771827,minmaxnorm
303,Q0,LA050589-0090,92,0.18816374200549785,minmaxnorm
303,Q0,LA082890-0147,93,0.18689996109908535,minmaxnorm
303,Q0,LA020989-0012,94,0.18512805554311249,minmaxnorm
303,Q0,LA053090-0104,95,0.1846265327673219,minmaxnorm
303,Q0,LA052390-0127,96,0.18444291041469452,minmaxnorm
303,Q0,FBIS3-21026,97,0.18292262949936666,minmaxnorm
303,Q0,LA050889-0068,98,0.18231879065179332,minmaxnorm
303,Q0,FBIS3-61020,99,0.1823130910948663,minmaxnorm
303,Q0,LA120590-0110,100,0.1822162770300355,minmaxnorm
303,Q0,LA120890-0048,101,0.18107580403224632,minmaxnorm
303,Q0,LA072190-0065,102,0.18016521231359012,minmaxnorm
303,Q0,FBIS3-40348,103,0.1787825490711573,minmaxnorm
303,Q0,LA051290-0077,104,0.1780680647301641,minmaxnorm
303,Q0,LA120990-0163,105,0.17797882183690583,minmaxnorm
303,Q0,LA091890-0053,106,0.17790271029051374,minmaxnorm
303,Q0,LA122589-0068,107,0.1773345592107629,minmaxnorm
303,Q0,FBIS4-68332,108,0.17633034169267497,minmaxnorm
303,Q0,FT933-678,109,0.1756040328322751,minmaxnorm
303,Q0,LA070989-0062,110,0.17514768605930875,minmaxnorm
303,Q0,LA072690-0124,111,0.17403762865130132,minmaxnorm
303,Q0,LA042290-0096,112,0.17398950305841004,minmaxnorm
303,Q0,FT934-2685,113,0.17311292621676788,minmaxnorm
303,Q0,FT933-6323,114,0.17255112659828412,minmaxnorm
303,Q0,FBIS4-44743,115,0.17237301154022358,minmaxnorm
303,Q0,LA051390-0223,116,0.1716503837610384,minmaxnorm
303,Q0,FT943-11617,117,0.17141672264499686,minmaxnorm
303,Q0,LA111789-0042,118,0.17112603754228803,minmaxnorm
303,Q0,LA051090-0070,119,0.1705463695353006,minmaxnorm
303,Q0,LA081790-0164,120,0.16983683214226386,minmaxnorm
303,Q0,FBIS4-57001,121,0.16950729996385935,minmaxnorm
303,Q0,FBIS3-21007,122,0.16941346948079167,minmaxnorm
303,Q0,LA030990-0068,123,0.1692423510645456,minmaxnorm
303,Q0,FBIS3-40363,124,0.16823931025137295,minmaxnorm
303,Q0,FT941-5396,125,0.16798039712045193,minmaxnorm
303,Q0,LA012790-0042,126,0.16795699617582394,minmaxnorm
303,Q0,FT933-10324,127,0.1678305495078938,minmaxnorm
303,Q0,FT933-2180,128,0.167805305871365,minmaxnorm
303,Q0,FT941-793,129,0.16721849622558707,minmaxnorm
303,Q0,LA071990-0250,130,0.16651929144059222,minmaxnorm
303,Q0,FBIS3-40388,131,0.16593072079512372,minmaxnorm
303,Q0,LA061490-0072,132,0.16380694913678073,minmaxnorm
303,Q0,LA091690-0166,133,0.16339263568285828,minmaxnorm
