query,q0,docid,rank,score,system
322,Q0,LA062590-0055,1,10390.175000000007,borda
322,Q0,LA062090-0082,2,9148.108750000003,borda
322,Q0,FBIS4-1628,3,9047.233750000001,borda
322,Q0,LA031790-0074,4,9005.143750000005,borda
322,Q0,LA041789-0046,5,8744.123750000002,borda
322,Q0,LA022189-0085,6,8525.146250000003,borda
322,Q0,LA020889-0083,7,8494.957500000002,borda
322,Q0,LA022089-0058,8,8410.837500000001,borda
322,Q0,LA040490-0004,9,8387.313750000005,borda
322,Q0,LA012889-0030,10,8385.248750000002,borda
322,Q0,LA110890-0210,11,8361.313750000005,borda
322,Q0,LA042790-0079,12,8175.102500000001,borda
322,Q0,FT942-6116,13,8169.693750000004,borda
322,Q0,LA062590-0134,14,8109.310000000003,borda
322,Q0,FBIS4-25161,15,8030.608750000005,borda
322,Q0,LA063090-0114,16,7900.846250000002,borda
322,Q0,LA061790-0168,17,7862.007500000002,borda
322,Q0,FT931-11799,18,7818.621250000004,borda
322,Q0,FBIS4-1842,19,7789.710000000003,borda
322,Q0,FBIS3-3020,20,7764.592500000003,borda
322,Q0,FBIS3-50351,21,7760.332500000003,borda
322,Q0,FBIS3-2517,22,7751.930000000001,borda
322,Q0,LA062990-0012,23,7733.701250000004,borda
322,Q0,LA011190-0215,24,7681.4900000000025,borda
322,Q0,LA011190-0195,25,7668.670000000004,borda
322,Q0,LA080990-0008,26,7666.0837500000025,borda
322,Q0,LA090689-0045,27,7649.338750000003,borda
322,Q0,LA101190-0226,28,7638.830000000003,borda
322,Q0,FT943-4171,29,7626.868750000003,borda
322,Q0,LA092989-0086,30,7621.9100000000035,borda
322,Q0,LA010690-0077,31,7611.6287500000035,borda
322,Q0,FT934-7661,32,7604.778750000003,borda
322,Q0,FBIS3-55037,33,7603.388750000002,borda
322,Q0,FBIS3-27392,34,7583.958750000003,borda
322,Q0,LA111690-0066,35,7548.5925000000025,borda
322,Q0,LA080390-0101,36,7528.345000000004,borda
322,Q0,FBIS4-46846,37,7500.775000000002,borda
322,Q0,FT943-12175,38,7490.061250000003,borda
322,Q0,LA091490-0129,39,7470.548750000004,borda
322,Q0,LA061289-0064,40,7470.545000000002,borda
322,Q0,FT911-576,41,7453.728750000004,borda
322,Q0,LA060490-0052,42,7447.183750000004,borda
322,Q0,LA042990-0110,43,7444.007500000002,borda
322,Q0,LA020789-0004,44,7439.622500000002,borda
322,Q0,FBIS3-24145,45,7423.9950000000035,borda
322,Q0,FBIS4-2649,46,7420.250000000003,borda
322,Q0,FBIS3-25902,47,7370.666250000003,borda
322,Q0,LA090889-0063,48,7363.526250000003,borda
322,Q0,LA011189-0021,49,7345.672500000003,borda
322,Q0,FT922-13527,50,7340.067500000005,borda
322,Q0,FBIS3-3018,51,7335.605000000002,borda
322,Q0,LA120489-0077,52,7327.473750000003,borda
322,Q0,FT943-15058,53,7326.842500000003,borda
322,Q0,FBIS4-56394,54,7318.720000000003,borda
322,Q0,LA063090-0101,55,7310.080000000002,borda
322,Q0,LA013089-0010,56,7286.755000000002,borda
322,Q0,LA031789-0004,57,7271.257500000002,borda
322,Q0,LA060689-0037,58,7249.9137500000015,borda
322,Q0,LA121190-0126,59,7239.566250000003,borda
322,Q0,FT921-13985,60,7232.371250000002,borda
322,Q0,LA042589-0050,61,7229.3737500000025,borda
322,Q0,LA120689-0039,62,7169.645000000003,borda
322,Q0,FT942-17082,63,7098.906250000003,borda
322,Q0,FBIS4-50097,64,7095.956250000004,borda
322,Q0,LA011189-0097,65,7082.433750000002,borda
322,Q0,FBIS3-14961,66,7069.892500000003,borda
322,Q0,LA112790-0133,67,7049.283750000002,borda
322,Q0,FT943-4431,68,7006.551250000002,borda
322,Q0,FT941-7580,69,6996.461250000002,borda
322,Q0,LA032190-0140,70,6972.075000000003,borda
322,Q0,FT933-3178,71,6897.346250000002,borda
322,Q0,FBIS4-68746,72,6860.382500000003,borda
322,Q0,FT942-6596,73,6845.271250000002,borda
322,Q0,LA060190-0041,74,6835.453750000002,borda
322,Q0,FBIS3-61238,75,6817.506250000002,borda
322,Q0,LA020390-0104,76,6803.940000000002,borda
322,Q0,LA102789-0118,77,6795.761250000004,borda
322,Q0,LA110190-0213,78,6795.137500000002,borda
322,Q0,FBIS3-20106,79,6757.958750000002,borda
322,Q0,FBIS3-20131,80,6748.456250000003,borda
322,Q0,FT933-753,81,6734.070000000003,borda
322,Q0,FBIS3-50321,82,6709.840000000003,borda
