query,q0,docid,rank,score,system
322,Q0,LA062090-0082,1,0.10488666795248205,minmaxnorm
322,Q0,LA062590-0055,2,0.10480234918309483,minmaxnorm
322,Q0,LA031790-0074,3,0.09872795547893481,minmaxnorm
322,Q0,LA040490-0004,4,0.09331694610020949,minmaxnorm
322,Q0,LA020889-0083,5,0.08910421811444254,minmaxnorm
322,Q0,LA022189-0085,6,0.08895075204984902,minmaxnorm
322,Q0,LA012889-0030,7,0.08628282068476219,minmaxnorm
322,Q0,LA110890-0210,8,0.08255507845252563,minmaxnorm
322,Q0,LA042790-0079,9,0.0811556724061021,minmaxnorm
322,Q0,FT942-6116,10,0.08077550559737863,minmaxnorm
322,Q0,FBIS4-1628,11,0.07931691643443659,minmaxnorm
322,Q0,LA061790-0168,12,0.0790573313512751,minmaxnorm
322,Q0,FT931-11799,13,0.0789035738279564,minmaxnorm
322,Q0,LA041789-0046,14,0.0781574771355118,minmaxnorm
322,Q0,LA022089-0058,15,0.07785445815070709,minmaxnorm
322,Q0,LA011190-0195,16,0.07741724077483755,minmaxnorm
322,Q0,LA101190-0226,17,0.0772021413061926,minmaxnorm
322,Q0,LA080990-0008,18,0.07686817078933163,minmaxnorm
322,Q0,LA010690-0077,19,0.07505899884138867,minmaxnorm
322,Q0,LA011190-0215,20,0.0750130843053129,minmaxnorm
322,Q0,LA090689-0045,21,0.07413794312655099,minmaxnorm
322,Q0,LA062990-0012,22,0.07404285082700741,minmaxnorm
322,Q0,LA062590-0134,23,0.0738923252883775,minmaxnorm
322,Q0,LA112790-0133,24,0.07384015007676138,minmaxnorm
322,Q0,LA080390-0101,25,0.07362635387200675,minmaxnorm
322,Q0,FBIS3-24145,26,0.07352552786998523,minmaxnorm
322,Q0,LA011189-0021,27,0.07265613114709293,minmaxnorm
322,Q0,FT943-4171,28,0.07164607939337017,minmaxnorm
322,Q0,FBIS4-25161,29,0.07141282287446522,minmaxnorm
322,Q0,FBIS4-1842,30,0.07123050978896076,minmaxnorm
322,Q0,LA111690-0066,31,0.07060589565352213,minmaxnorm
322,Q0,FT934-7661,32,0.07060198736806285,minmaxnorm
322,Q0,FBIS3-2517,33,0.07037295990678225,minmaxnorm
322,Q0,LA020789-0004,34,0.06991275164196402,minmaxnorm
322,Q0,LA063090-0114,35,0.06991184558082521,minmaxnorm
322,Q0,LA061289-0064,36,0.06982265430619009,minmaxnorm
322,Q0,FBIS3-55037,37,0.06968487893006936,minmaxnorm
322,Q0,LA060490-0052,38,0.06956400873522398,minmaxnorm
322,Q0,LA090889-0063,39,0.06934351627397979,minmaxnorm
322,Q0,FT911-576,40,0.06919673049387572,minmaxnorm
322,Q0,FBIS3-50351,41,0.0690266672317067,minmaxnorm
322,Q0,LA060190-0041,42,0.06902534960464005,minmaxnorm
322,Q0,FBIS4-2649,43,0.06891835885779832,minmaxnorm
322,Q0,FBIS4-46846,44,0.0688984873717042,minmaxnorm
322,Q0,LA091490-0129,45,0.06881870954443024,minmaxnorm
322,Q0,LA042589-0050,46,0.0687799865643047,minmaxnorm
322,Q0,LA060689-0037,47,0.06876683259935375,minmaxnorm
322,Q0,FBIS4-50097,48,0.06847614419537962,minmaxnorm
322,Q0,FBIS3-3020,49,0.06825991488524258,minmaxnorm
322,Q0,FBIS3-27392,50,0.06823832087052567,minmaxnorm
322,Q0,LA063090-0101,51,0.06799206567265952,minmaxnorm
322,Q0,LA042990-0110,52,0.06793082345871837,minmaxnorm
322,Q0,LA013089-0010,53,0.06789064129894079,minmaxnorm
322,Q0,FT922-13527,54,0.06773571836749137,minmaxnorm
322,Q0,FBIS3-25902,55,0.06756849882694133,minmaxnorm
322,Q0,LA121190-0126,56,0.06752344883518084,minmaxnorm
322,Q0,FT943-15058,57,0.06650913980377476,minmaxnorm
322,Q0,FBIS3-3018,58,0.06634505054473959,minmaxnorm
322,Q0,LA121989-0065,59,0.06612511101801134,minmaxnorm
322,Q0,FT943-12175,60,0.065935916978975,minmaxnorm
322,Q0,FBIS4-66756,61,0.0656917793430406,minmaxnorm
322,Q0,FT933-3178,62,0.06567569460373915,minmaxnorm
322,Q0,LA011189-0097,63,0.06533983954441075,minmaxnorm
322,Q0,LA020390-0104,64,0.06520551904189592,minmaxnorm
322,Q0,FBIS3-20106,65,0.06517635371426607,minmaxnorm
322,Q0,FBIS3-20131,66,0.06516886938976511,minmaxnorm
322,Q0,LA031789-0004,67,0.06509111886787029,minmaxnorm
322,Q0,FBIS4-68746,68,0.064742392435738,minmaxnorm
322,Q0,LA032190-0140,69,0.0646603283927773,minmaxnorm
322,Q0,LA120489-0077,70,0.06462847790122102,minmaxnorm
322,Q0,LA092989-0086,71,0.06457453058499354,minmaxnorm
322,Q0,LA110190-0213,72,0.06446530436728688,minmaxnorm
322,Q0,FT942-6596,73,0.06441464990512648,minmaxnorm
322,Q0,FBIS3-14961,74,0.06416685185872276,minmaxnorm
322,Q0,FBIS4-1549,75,0.06404883277925165,minmaxnorm
322,Q0,LA120689-0039,76,0.06376384656597235,minmaxnorm
322,Q0,FBIS3-46875,77,0.06369779020406956,minmaxnorm
