query,q0,docid,rank,score,system
314,Q0,LA122589-0092,1,7.865567369933234,minmaxnorm
314,Q0,LA122589-0091,2,7.603089210219366,minmaxnorm
314,Q0,LA122090-0024,3,6.1888242002995915,minmaxnorm
314,Q0,FR940511-0-00055,4,6.160260921514808,minmaxnorm
314,Q0,LA122890-0068,5,5.735774053092243,minmaxnorm
314,Q0,LA022389-0086,6,5.56660014676552,minmaxnorm
314,Q0,LA031289-0204,7,4.8472975496996975,minmaxnorm
314,Q0,LA031689-0170,8,4.613401258149881,minmaxnorm
314,Q0,LA122790-0066,9,4.5807358675002465,minmaxnorm
314,Q0,FR940511-0-00053,10,4.273697147364966,minmaxnorm
314,Q0,LA070290-0020,11,4.1166850385420375,minmaxnorm
314,Q0,FT943-1589,12,4.059756933948506,minmaxnorm
314,Q0,LA120389-0149,13,3.92052591997484,minmaxnorm
314,Q0,LA111989-0016,14,3.766199886312444,minmaxnorm
314,Q0,LA121089-0231,15,3.5572408867827563,minmaxnorm
314,Q0,LA121089-0230,16,3.394045508460877,minmaxnorm
314,Q0,LA040789-0040,17,3.3771003237418418,minmaxnorm
314,Q0,FR940202-1-00040,18,3.3769956378455896,minmaxnorm
314,Q0,FR940203-2-00015,19,3.2988661641575883,minmaxnorm
314,Q0,LA082189-0047,20,3.186631418316416,minmaxnorm
314,Q0,LA063090-0073,21,3.0626296996944093,minmaxnorm
314,Q0,LA112790-0070,22,2.9945809715706098,minmaxnorm
314,Q0,FR940127-1-00030,23,2.97976153627403,minmaxnorm
314,Q0,LA030290-0108,24,2.9518265666334016,minmaxnorm
314,Q0,LA021990-0093,25,2.919487632738387,minmaxnorm
314,Q0,FBIS4-54035,26,2.874753088584424,minmaxnorm
314,Q0,FT943-8480,27,2.841462306340905,minmaxnorm
314,Q0,FT941-12089,28,2.8085220529020316,minmaxnorm
314,Q0,LA040590-0003,29,2.736389283756498,minmaxnorm
314,Q0,FBIS4-45709,30,2.7262874249606828,minmaxnorm
314,Q0,LA091090-0100,31,2.6406542407898637,minmaxnorm
314,Q0,LA020889-0065,32,2.609145373658672,minmaxnorm
314,Q0,LA050690-0009,33,2.6087040617952604,minmaxnorm
314,Q0,FR940511-0-00063,34,2.5840063025700495,minmaxnorm
314,Q0,LA121189-0111,35,2.5697961850930104,minmaxnorm
314,Q0,LA050689-0135,36,2.562925486346305,minmaxnorm
314,Q0,LA033189-0109,37,2.5354299233803292,minmaxnorm
314,Q0,FBIS3-42467,38,2.5137682192704487,minmaxnorm
314,Q0,FR940511-0-00069,39,2.5023684009667826,minmaxnorm
314,Q0,FR940511-0-00073,40,2.493877457993371,minmaxnorm
314,Q0,LA083189-0067,41,2.4927262111754773,minmaxnorm
314,Q0,LA110990-0024,42,2.4839691270542543,minmaxnorm
314,Q0,FR940602-0-00005,43,2.461378800934436,minmaxnorm
314,Q0,FR940104-2-00003,44,2.4583725864073034,minmaxnorm
