query,q0,docid,rank,score,system
314,Q0,LA122589-0092,1,0.14590690083156313,minmaxnorm
314,Q0,LA122589-0091,2,0.12373398639449686,minmaxnorm
314,Q0,LA022389-0086,3,0.10718133502199273,minmaxnorm
314,Q0,LA122890-0068,4,0.10409495036126755,minmaxnorm
314,Q0,LA122090-0024,5,0.1004893467002088,minmaxnorm
314,Q0,FR940511-0-00055,6,0.09001142846623694,minmaxnorm
314,Q0,LA122790-0066,7,0.08443438631575997,minmaxnorm
314,Q0,LA120389-0149,8,0.08176516361388356,minmaxnorm
314,Q0,FR940511-0-00053,9,0.08014183151754838,minmaxnorm
314,Q0,LA031289-0204,10,0.07824610234842491,minmaxnorm
314,Q0,FT943-1589,11,0.07677158941501826,minmaxnorm
314,Q0,LA121089-0231,12,0.07663216089463919,minmaxnorm
314,Q0,LA070290-0020,13,0.07223843071288166,minmaxnorm
314,Q0,LA031689-0170,14,0.07134579259283183,minmaxnorm
314,Q0,LA082189-0047,15,0.07120047914040563,minmaxnorm
314,Q0,FR940202-1-00040,16,0.06852481727497674,minmaxnorm
314,Q0,FT943-8480,17,0.06830335107037967,minmaxnorm
314,Q0,FR940127-1-00030,18,0.06799967732934566,minmaxnorm
314,Q0,LA112790-0070,19,0.0652682304366066,minmaxnorm
314,Q0,FBIS4-54035,20,0.0652417754285077,minmaxnorm
314,Q0,LA112990-0023,21,0.06295914740461847,minmaxnorm
314,Q0,FR940203-2-00015,22,0.06288395312952583,minmaxnorm
314,Q0,LA040789-0040,23,0.061957168265208196,minmaxnorm
314,Q0,LA021990-0093,24,0.06181611568849593,minmaxnorm
314,Q0,FR940602-0-00005,25,0.06144081518763894,minmaxnorm
314,Q0,LA121089-0230,26,0.061162979097276804,minmaxnorm
314,Q0,LA120790-0080,27,0.06074470436720488,minmaxnorm
314,Q0,LA111989-0016,28,0.060683533362484596,minmaxnorm
314,Q0,FBIS4-45709,29,0.05967462032401971,minmaxnorm
314,Q0,LA050689-0135,30,0.058798559693278,minmaxnorm
314,Q0,FR941227-2-00088,31,0.058055610300859935,minmaxnorm
314,Q0,LA061189-0073,32,0.05795150731928092,minmaxnorm
314,Q0,FT941-12089,33,0.057567242873084463,minmaxnorm
314,Q0,FT923-3386,34,0.05747596899278138,minmaxnorm
314,Q0,LA042690-0180,35,0.05692681869641809,minmaxnorm
314,Q0,LA030990-0080,36,0.05663138728465774,minmaxnorm
314,Q0,FR940511-0-00064,37,0.05631544456142076,minmaxnorm
314,Q0,FR940511-0-00073,38,0.05611310103289617,minmaxnorm
314,Q0,FR940104-2-00003,39,0.05609828962103146,minmaxnorm
314,Q0,FT934-7755,40,0.05585901955990597,minmaxnorm
314,Q0,LA121189-0111,41,0.055618859110694883,minmaxnorm
314,Q0,LA092189-0130,42,0.05551079265398465,minmaxnorm
314,Q0,LA121490-0123,43,0.05512557979188523,minmaxnorm
314,Q0,FR940128-1-00013,44,0.05480987190577166,minmaxnorm
314,Q0,LA070889-0116,45,0.05480283630417895,minmaxnorm
314,Q0,LA052890-0100,46,0.05445117460919588,minmaxnorm
314,Q0,FT941-16616,47,0.05435131978270281,minmaxnorm
314,Q0,FR940617-0-00103,48,0.0542011550811388,minmaxnorm
314,Q0,FT941-255,49,0.05419684106935963,minmaxnorm
314,Q0,FT933-10,50,0.0541916966333714,minmaxnorm
314,Q0,LA033189-0109,51,0.05367871342803305,minmaxnorm
314,Q0,LA011989-0027,52,0.053463371987577266,minmaxnorm
314,Q0,LA020889-0065,53,0.053404408277902306,minmaxnorm
314,Q0,LA083189-0067,54,0.05292776480179691,minmaxnorm
314,Q0,LA050690-0009,55,0.05267151285905617,minmaxnorm
314,Q0,FR941222-0-00090,56,0.05264281308978163,minmaxnorm
314,Q0,LA040590-0003,57,0.052238240564604875,minmaxnorm
314,Q0,FR940128-1-00099,58,0.05199429852695621,minmaxnorm
314,Q0,FR940511-0-00063,59,0.05164842865416492,minmaxnorm
314,Q0,LA063090-0073,60,0.05148910976461001,minmaxnorm
314,Q0,LA071090-0051,61,0.05141142418798765,minmaxnorm
314,Q0,FR941222-0-00114,62,0.05134389933309706,minmaxnorm
314,Q0,LA102789-0116,63,0.05118638776283747,minmaxnorm
314,Q0,FR940613-0-00040,64,0.051175593165581026,minmaxnorm
314,Q0,FR940511-0-00068,65,0.051066587426672,minmaxnorm
314,Q0,LA091390-0175,66,0.05067198025186908,minmaxnorm
314,Q0,LA091090-0100,67,0.05064226071910337,minmaxnorm
314,Q0,FR941128-2-00005,68,0.05035633055063167,minmaxnorm
314,Q0,LA052790-0017,69,0.050110016391410564,minmaxnorm
314,Q0,FR940202-1-00036,70,0.049870444238861784,minmaxnorm
314,Q0,FR940511-0-00069,71,0.04979750677176005,minmaxnorm
314,Q0,FR940505-1-00401,72,0.0494539135030439,minmaxnorm
