query,q0,docid,rank,score,system
399,Q0,FT934-7286,1,220299.26875,borda
399,Q0,FR940916-0-00045,2,219698.22499999998,borda
399,Q0,FR940217-1-00140,3,219694.49375000002,borda
399,Q0,FR940916-0-00044,4,219417.93999999997,borda
399,Q0,FT944-6974,5,216575.3875,borda
399,Q0,FT924-3602,6,214713.27750000005,borda
399,Q0,FR940805-0-00042,7,214550.48124999995,borda
399,Q0,LA032289-0033,8,213949.70375000002,borda
399,Q0,FR940811-0-00045,9,211538.89250000002,borda
399,Q0,FT931-11446,10,211131.54249999998,borda
399,Q0,LA050490-0044,11,210383.08625,borda
399,Q0,FBIS4-45777,12,209896.74749999997,borda
399,Q0,FBIS3-61053,13,208340.62625,borda
399,Q0,FR940404-2-00157,14,207130.305,borda
399,Q0,FR940505-1-00169,15,203106.38875,borda
399,Q0,FR940404-2-00152,16,202991.86375,borda
399,Q0,LA081390-0044,17,202962.89500000002,borda
399,Q0,FR940805-0-00067,18,200580.8112499999,borda
399,Q0,FR940106-2-00123,19,200486.67625000002,borda
399,Q0,FR940817-2-00284,20,199976.03374999997,borda
399,Q0,FR940805-0-00065,21,198384.77749999997,borda
399,Q0,FR940810-1-00017,22,196609.87,borda
399,Q0,FR940511-0-00049,23,193788.99125000002,borda
399,Q0,FBIS3-2333,24,192989.59375,borda
399,Q0,FR940217-1-00037,25,192941.35375,borda
399,Q0,FR940913-1-00044,26,192113.24625,borda
399,Q0,FR940506-1-00050,27,190102.02625000002,borda
399,Q0,FR940325-1-00024,28,189913.97375,borda
399,Q0,FR941028-1-00032,29,189867.475,borda
399,Q0,FR940805-0-00066,30,189814.36125,borda
399,Q0,FR940325-1-00028,31,189322.02999999997,borda
399,Q0,FR940810-1-00018,32,189160.4675,borda
399,Q0,FR940913-0-00041,33,188573.07875000002,borda
399,Q0,FR940810-1-00016,34,188251.42250000002,borda
399,Q0,FR940302-2-00097,35,187975.685,borda
399,Q0,FR940805-0-00064,36,187506.29750000002,borda
399,Q0,FR941028-1-00031,37,187295.96125000002,borda
399,Q0,FBIS4-54321,38,187256.89625000002,borda
399,Q0,FR940325-1-00029,39,186947.63499999995,borda
399,Q0,FR940217-1-00143,40,186876.81374999997,borda
399,Q0,FR940217-1-00139,41,186709.54375,borda
399,Q0,FR940603-0-00059,42,186106.57749999998,borda
399,Q0,FR940906-0-00069,43,183419.1325,borda
399,Q0,FR940119-0-00066,44,183405.66375,borda
399,Q0,FBIS4-66382,45,182907.25874999998,borda
399,Q0,FR940810-0-00235,46,182756.09375000003,borda
399,Q0,FBIS4-49902,47,182107.00125000006,borda
399,Q0,LA090190-0044,48,181883.64374999996,borda
399,Q0,FBIS4-22989,49,181267.53625000003,borda
399,Q0,FR940325-1-00018,50,181221.59374999997,borda
399,Q0,FR940913-1-00043,51,180476.26375,borda
399,Q0,FR940513-1-00065,52,180312.23999999996,borda
399,Q0,FR941026-0-00048,53,180309.74,borda
399,Q0,FR940804-0-00008,54,179741.24375000005,borda
399,Q0,FR940712-0-00029,55,179500.18125000002,borda
399,Q0,LA062290-0052,56,179496.1525,borda
399,Q0,FR940916-0-00058,57,179374.52375,borda
399,Q0,FR940810-1-00019,58,179028.38624999998,borda
399,Q0,LA102990-0070,59,178255.125,borda
399,Q0,FR940617-0-00103,60,177212.43,borda
399,Q0,FR941026-0-00047,61,176959.0575,borda
399,Q0,FR940606-1-00075,62,176808.55875,borda
399,Q0,FR940325-1-00023,63,175921.89125000002,borda
399,Q0,FR940325-1-00025,64,175827.85,borda
399,Q0,FR940916-0-00060,65,175766.33,borda
399,Q0,FR940511-0-00050,66,175133.18250000002,borda
399,Q0,FBIS3-6833,67,174657.26875000002,borda
399,Q0,FR940916-0-00042,68,174640.54875000002,borda
399,Q0,FR940602-1-00023,69,174603.7975,borda
399,Q0,FT943-4886,70,174147.74749999997,borda
399,Q0,FR940505-1-00106,71,174089.94625000004,borda
399,Q0,FR940913-1-00037,72,173482.33374999996,borda
399,Q0,FR940325-1-00031,73,173478.2275,borda
399,Q0,FR940325-1-00032,74,173117.93125000002,borda
399,Q0,FBIS4-22197,75,172957.86375,borda
399,Q0,FBIS4-45781,76,172762.72499999998,borda
399,Q0,FR940830-1-00085,77,172696.50875,borda
399,Q0,FR940110-2-00084,78,171699.37624999997,borda
399,Q0,FR940217-1-00141,79,171269.4925,borda
399,Q0,FR940325-1-00020,80,171263.11375,borda
399,Q0,FR940603-1-00021,81,171185.945,borda
399,Q0,FBIS3-61055,82,171139.7775,borda
399,Q0,FR940819-0-00077,83,170956.08,borda
399,Q0,FR940819-0-00082,84,170938.11874999997,borda
399,Q0,FBIS4-21350,85,170108.86125000002,borda
399,Q0,FR940325-1-00021,86,169097.0875,borda
399,Q0,FBIS3-45593,87,168982.49624999997,borda
399,Q0,FR940610-0-00026,88,168469.0175,borda
399,Q0,FBIS4-21536,89,168380.61125000002,borda
399,Q0,FR941216-0-00023,90,168066.94499999998,borda
399,Q0,FR940617-0-00106,91,167380.29625,borda
399,Q0,FR940602-1-00035,92,166433.1625,borda
399,Q0,FR940810-1-00020,93,166199.43875,borda
399,Q0,FR941028-1-00036,94,165774.095,borda
399,Q0,FBIS3-33324,95,165763.11625000005,borda
399,Q0,FBIS3-40388,96,165456.36,borda
399,Q0,FR941020-2-00150,97,165179.95375000002,borda
399,Q0,FR940819-0-00080,98,164879.44624999998,borda
399,Q0,LA090790-0008,99,164802.12375,borda
399,Q0,FR941021-0-00140,100,164500.23875,borda
399,Q0,FR940811-0-00042,101,164069.89875000002,borda
399,Q0,FR941004-1-00037,102,163195.34624999997,borda
399,Q0,FR940224-2-00136,103,163139.97625,borda
399,Q0,FR941012-0-00024,104,163050.085,borda
399,Q0,FBIS4-30673,105,161682.36375,borda
399,Q0,FR940810-2-00135,106,161637.83125000002,borda
399,Q0,FR940817-2-00280,107,161303.17375000002,borda
399,Q0,FR940505-1-00258,108,161274.95375,borda
399,Q0,FR940606-1-00081,109,161198.57875000002,borda
399,Q0,FBIS4-7509,110,161144.08125000005,borda
399,Q0,FR940407-0-00047,111,160738.29250000004,borda
399,Q0,FR940214-1-00015,112,160381.78625,borda
399,Q0,FR940830-1-00096,113,160274.4025,borda
399,Q0,FR941021-0-00143,114,160080.39375,borda
399,Q0,FR940511-0-00051,115,159986.04625,borda
399,Q0,FR940511-0-00045,116,159464.00124999997,borda
399,Q0,FR940505-1-00308,117,159239.03749999998,borda
399,Q0,FBIS4-55084,118,159223.81875000003,borda
399,Q0,FR940516-0-00096,119,159147.82125000004,borda
399,Q0,FR940325-1-00033,120,158490.085,borda
399,Q0,LA081390-0001,121,158454.2625,borda
399,Q0,FR940712-0-00031,122,158123.835,borda
399,Q0,FR940830-1-00091,123,158061.2875,borda
399,Q0,FR940412-1-00069,124,156506.29374999998,borda
399,Q0,FR940325-1-00037,125,156437.60249999995,borda
399,Q0,FR940217-1-00144,126,155746.80625000002,borda
399,Q0,FR941004-1-00010,127,155480.87000000002,borda
399,Q0,FBIS4-2223,128,154944.19125,borda
399,Q0,FR941004-1-00038,129,154697.89124999996,borda
399,Q0,FR940725-0-00184,130,154483.2675,borda
399,Q0,FR940413-0-00045,131,153760.15874999997,borda
399,Q0,FR940511-0-00042,132,153397.64875,borda
399,Q0,FR941013-0-00052,133,153028.32,borda
399,Q0,FR940830-1-00087,134,152360.36875,borda
399,Q0,FR940913-1-00030,135,152218.86125,borda
399,Q0,FR940927-0-00079,136,152106.2425,borda
399,Q0,LA061790-0137,137,152080.32374999998,borda
