query,q0,docid,rank,score,system
399,Q0,FT934-7286,1,17.77308210985162,minmaxnorm
399,Q0,FR940217-1-00140,2,17.547980266171347,minmaxnorm
399,Q0,FR940916-0-00045,3,16.59989770268321,minmaxnorm
399,Q0,FR940916-0-00044,4,15.52008046175341,minmaxnorm
399,Q0,FT924-3602,5,14.480124208221133,minmaxnorm
399,Q0,FR940404-2-00152,6,12.958508437829114,minmaxnorm
399,Q0,FBIS4-45777,7,12.862785133580013,minmaxnorm
399,Q0,LA081390-0044,8,12.695297145775287,minmaxnorm
399,Q0,FT944-6974,9,12.433269208229564,minmaxnorm
399,Q0,FR940811-0-00045,10,12.294899176535404,minmaxnorm
399,Q0,LA032289-0033,11,11.752973597331431,minmaxnorm
399,Q0,FR940805-0-00042,12,11.552344033299466,minmaxnorm
399,Q0,FR940404-2-00157,13,11.425994091108183,minmaxnorm
399,Q0,LA050490-0044,14,11.291467167444459,minmaxnorm
399,Q0,FT931-11446,15,10.359322285793361,minmaxnorm
399,Q0,FBIS3-61053,16,10.052252194820802,minmaxnorm
399,Q0,FBIS3-6833,17,9.958416765621317,minmaxnorm
399,Q0,LA062290-0052,18,9.720352692982734,minmaxnorm
399,Q0,FBIS4-21350,19,9.711237444097035,minmaxnorm
399,Q0,FBIS4-21536,20,9.688362714785896,minmaxnorm
399,Q0,FR940505-1-00169,21,9.38115451158241,minmaxnorm
399,Q0,LA102990-0070,22,9.154836506731387,minmaxnorm
399,Q0,LA090190-0044,23,8.963408806428017,minmaxnorm
399,Q0,FR940810-0-00235,24,8.865997212112367,minmaxnorm
399,Q0,FBIS4-66382,25,8.725532255113707,minmaxnorm
399,Q0,FR940217-1-00037,26,8.599445397397824,minmaxnorm
399,Q0,FR940810-1-00017,27,8.400686788673818,minmaxnorm
399,Q0,FR940805-0-00065,28,8.339030429667993,minmaxnorm
399,Q0,FR941028-1-00032,29,8.323998278416237,minmaxnorm
399,Q0,FR940817-2-00284,30,8.215231600598345,minmaxnorm
399,Q0,FBIS4-54321,31,8.198002313595653,minmaxnorm
399,Q0,FR940325-1-00028,32,8.181527163946994,minmaxnorm
399,Q0,FR940325-1-00029,33,8.146194479341364,minmaxnorm
399,Q0,FR940805-0-00067,34,8.13999088528365,minmaxnorm
399,Q0,FR940106-2-00123,35,8.118227151459571,minmaxnorm
399,Q0,FR940805-0-00066,36,8.017410151610523,minmaxnorm
399,Q0,FBIS3-2333,37,8.016684066469786,minmaxnorm
399,Q0,FR940610-0-00026,38,7.84765717016186,minmaxnorm
