query,q0,docid,rank,score,system
399,Q0,FT934-7286,1,0.34710597462170173,reciprocal_rank_fusion_k=60
399,Q0,FR940916-0-00045,2,0.34117302250794507,reciprocal_rank_fusion_k=60
399,Q0,FR940217-1-00140,3,0.33688484242755534,reciprocal_rank_fusion_k=60
399,Q0,FR940916-0-00044,4,0.3305123353530298,reciprocal_rank_fusion_k=60
399,Q0,FT924-3602,5,0.30136132895243223,reciprocal_rank_fusion_k=60
399,Q0,FT944-6974,6,0.2846877737816799,reciprocal_rank_fusion_k=60
399,Q0,FR940404-2-00152,7,0.28175152100353096,reciprocal_rank_fusion_k=60
399,Q0,FR940811-0-00045,8,0.278574843312495,reciprocal_rank_fusion_k=60
399,Q0,LA032289-0033,9,0.2732627169857377,reciprocal_rank_fusion_k=60
399,Q0,FR940805-0-00042,10,0.2721635339798849,reciprocal_rank_fusion_k=60
399,Q0,FBIS4-45777,11,0.2711321062977033,reciprocal_rank_fusion_k=60
399,Q0,LA081390-0044,12,0.2683126495707226,reciprocal_rank_fusion_k=60
399,Q0,FR940404-2-00157,13,0.266091378857664,reciprocal_rank_fusion_k=60
399,Q0,LA050490-0044,14,0.24772139304734708,reciprocal_rank_fusion_k=60
399,Q0,FBIS3-61053,15,0.23040072818527774,reciprocal_rank_fusion_k=60
399,Q0,FT931-11446,16,0.2291594038060408,reciprocal_rank_fusion_k=60
399,Q0,LA062290-0052,17,0.22616491498506724,reciprocal_rank_fusion_k=60
399,Q0,FBIS3-6833,18,0.21723365800061073,reciprocal_rank_fusion_k=60
399,Q0,LA090190-0044,19,0.21065059494369187,reciprocal_rank_fusion_k=60
399,Q0,FBIS4-21350,20,0.2079902626735836,reciprocal_rank_fusion_k=60
399,Q0,FBIS4-21536,21,0.20700127487796366,reciprocal_rank_fusion_k=60
399,Q0,FR940505-1-00169,22,0.20423963738411594,reciprocal_rank_fusion_k=60
399,Q0,FR940217-1-00037,23,0.19464175312675513,reciprocal_rank_fusion_k=60
399,Q0,FR940610-0-00026,24,0.1894240976783274,reciprocal_rank_fusion_k=60
399,Q0,LA102990-0070,25,0.18798791778618795,reciprocal_rank_fusion_k=60
399,Q0,FR940325-1-00029,26,0.18598603480707568,reciprocal_rank_fusion_k=60
399,Q0,FR940325-1-00028,27,0.18394726121936825,reciprocal_rank_fusion_k=60
399,Q0,FR940810-0-00235,28,0.18325182416517202,reciprocal_rank_fusion_k=60
399,Q0,FR941028-1-00032,29,0.1812274435717166,reciprocal_rank_fusion_k=60
399,Q0,FR940805-0-00065,30,0.18032557116724487,reciprocal_rank_fusion_k=60
399,Q0,FR940106-2-00123,31,0.17583558384458187,reciprocal_rank_fusion_k=60
399,Q0,FBIS4-54321,32,0.17558211899620765,reciprocal_rank_fusion_k=60
399,Q0,FBIS4-66382,33,0.17242914250145197,reciprocal_rank_fusion_k=60
399,Q0,FR940805-0-00067,34,0.17167302352823421,reciprocal_rank_fusion_k=60
399,Q0,FR940810-1-00017,35,0.17080560226950658,reciprocal_rank_fusion_k=60
