query,q0,docid,rank,score,system
307,Q0,FR940804-2-00061,1,12249.955000000005,borda
307,Q0,FR940512-2-00030,2,12242.60625000001,borda
307,Q0,FR940617-2-00070,3,12230.607500000006,borda
307,Q0,FR940303-2-00030,4,12207.795000000004,borda
307,Q0,FR940414-2-00020,5,12132.532500000007,borda
307,Q0,FR940204-2-00051,6,12124.183750000006,borda
307,Q0,FR940916-2-00027,7,12066.876250000005,borda
307,Q0,FR940930-2-00024,8,12062.108750000005,borda
307,Q0,FR940303-2-00027,9,12058.987500000005,borda
307,Q0,FR940916-2-00026,10,12028.102500000006,borda
307,Q0,FR940804-2-00059,11,11987.857500000006,borda
307,Q0,FR940418-2-00056,12,11971.948750000007,borda
307,Q0,FR940512-2-00029,13,11965.542500000005,borda
307,Q0,FR940617-2-00073,14,11958.587500000001,borda
307,Q0,FR940114-2-00037,15,11955.827500000003,borda
307,Q0,FR940114-2-00039,16,11951.500000000004,borda
307,Q0,FR940607-2-00030,17,11947.150000000009,borda
307,Q0,FR940405-2-00042,18,11936.807500000006,borda
307,Q0,FR940303-2-00028,19,11907.746250000004,borda
307,Q0,FR941216-2-00052,20,11899.515000000003,borda
307,Q0,FR940930-2-00023,21,11898.560000000005,borda
307,Q0,FR940204-2-00053,22,11884.452500000003,borda
307,Q0,FR940418-2-00051,23,11882.381250000006,borda
307,Q0,FR940418-2-00054,24,11863.485000000008,borda
307,Q0,FR940705-2-00044,25,11837.681250000003,borda
307,Q0,FR940617-2-00074,26,11796.071250000006,borda
307,Q0,FR940203-1-00024,27,11763.785000000003,borda
307,Q0,FR940414-2-00028,28,11746.595000000005,borda
307,Q0,FR940705-2-00043,29,11726.172500000004,borda
307,Q0,FR940405-2-00039,30,11721.001250000007,borda
307,Q0,FR940405-2-00036,31,11720.615000000005,borda
307,Q0,FR940407-2-00043,32,11711.318750000004,borda
307,Q0,FR940930-2-00025,33,11686.726250000003,borda
307,Q0,FR940916-2-00028,34,11657.060000000005,borda
307,Q0,FR940407-2-00040,35,11592.020000000004,borda
307,Q0,FR940804-2-00062,36,11511.603750000006,borda
307,Q0,FR940114-2-00040,37,11505.341250000007,borda
307,Q0,FR941219-2-00088,38,11439.433750000004,borda
307,Q0,FR940414-2-00026,39,11358.828750000006,borda
307,Q0,FR940705-2-00041,40,11281.887500000006,borda
307,Q0,FR940804-2-00063,41,11226.197500000004,borda
307,Q0,FR940922-2-00045,42,11209.650000000005,borda
307,Q0,FR940916-2-00029,43,11176.813750000005,borda
307,Q0,FR940721-2-00032,44,11168.792500000005,borda
307,Q0,FR941207-1-00024,45,11152.671250000003,borda
307,Q0,FR941130-2-00012,46,11070.223750000005,borda
307,Q0,FR940112-2-00018,47,11063.300000000003,borda
307,Q0,FR940325-2-00042,48,11009.646250000005,borda
307,Q0,FR940418-2-00053,49,10979.481250000003,borda
307,Q0,FR940526-2-00014,50,10974.982500000006,borda
307,Q0,FR940414-2-00025,51,10939.153750000003,borda
307,Q0,FR940407-2-00042,52,10893.652500000004,borda
307,Q0,FR940607-2-00031,53,10824.672500000008,borda
307,Q0,FR941122-2-00069,54,10818.047500000004,borda
307,Q0,FR940204-2-00052,55,10793.971250000006,borda
307,Q0,FR940414-2-00023,56,10719.822500000004,borda
307,Q0,FR941003-2-00023,57,10639.427500000003,borda
307,Q0,FR941019-2-00035,58,10581.585000000005,borda
307,Q0,FR940414-2-00027,59,10567.942500000005,borda
307,Q0,FR940404-2-00028,60,10559.948750000003,borda
307,Q0,FBIS4-21356,61,10498.330000000005,borda
307,Q0,FR940110-2-00037,62,10484.882500000005,borda
307,Q0,FR940418-2-00057,63,10474.588750000004,borda
307,Q0,FR940414-2-00022,64,10436.150000000005,borda
307,Q0,FR940804-2-00058,65,10411.486250000002,borda
307,Q0,FR940607-2-00032,66,10408.043750000003,borda
307,Q0,FR940414-2-00024,67,10383.425000000005,borda
307,Q0,FR941121-2-00029,68,10351.758750000003,borda
307,Q0,FR940407-2-00039,69,10321.072500000006,borda
307,Q0,FR940927-2-00017,70,10216.720000000003,borda
307,Q0,FR940930-2-00021,71,10138.956250000005,borda
307,Q0,FR941104-2-00020,72,10135.628750000003,borda
307,Q0,FR941128-2-00038,73,10015.047500000008,borda
307,Q0,FR940407-2-00044,74,9992.835000000005,borda
307,Q0,FR941026-2-00016,75,9950.251250000005,borda
307,Q0,FR940916-2-00025,76,9892.650000000007,borda
307,Q0,FR940407-2-00045,77,9789.101250000003,borda
307,Q0,FR940106-2-00033,78,9685.631250000004,borda
307,Q0,FR940816-2-00029,79,9651.643750000007,borda
307,Q0,FR940816-2-00030,80,9641.571250000003,borda
307,Q0,FBIS4-4360,81,9639.263750000006,borda
307,Q0,FR940930-2-00026,82,9632.995000000006,borda
307,Q0,FBIS3-11069,83,9621.310000000007,borda
307,Q0,FR940921-2-00020,84,9493.987500000003,borda
307,Q0,FR940418-2-00052,85,9456.892500000005,borda
307,Q0,FT944-14571,86,9445.207500000004,borda
307,Q0,FR940804-2-00060,87,9381.216250000005,borda
307,Q0,FR940405-2-00041,88,9376.866250000005,borda
307,Q0,FR940324-2-00033,89,9277.771250000005,borda
307,Q0,FBIS3-59308,90,9240.816250000003,borda
307,Q0,FT921-15523,91,9214.971250000006,borda
307,Q0,FR940204-2-00048,92,9205.950000000004,borda
307,Q0,FR940303-2-00029,93,9203.722500000005,borda
307,Q0,FBIS3-20608,94,9200.767500000005,borda
307,Q0,FR941004-2-00051,95,9167.660000000005,borda
307,Q0,FR940620-2-00011,96,9133.741250000003,borda
307,Q0,FR940407-2-00046,97,9122.743750000005,borda
307,Q0,FR940603-1-00156,98,9110.162500000004,borda
307,Q0,FR940816-2-00031,99,9066.262500000004,borda
307,Q0,FR940617-2-00076,100,9054.138750000006,borda
307,Q0,FR940405-2-00040,101,9031.816250000003,borda
307,Q0,FR940114-2-00038,102,8985.626250000005,borda
307,Q0,FBIS3-5472,103,8961.707500000004,borda
307,Q0,FR940617-2-00071,104,8957.948750000005,borda
307,Q0,FR940405-2-00038,105,8911.910000000003,borda
307,Q0,FR940407-2-00041,106,8767.658750000004,borda
307,Q0,FR940204-2-00046,107,8758.201250000002,borda
307,Q0,FR940705-2-00042,108,8683.807500000004,borda
307,Q0,FBIS3-6990,109,8682.908750000006,borda
307,Q0,FR940413-2-00019,110,8668.750000000005,borda
307,Q0,FR941027-2-00060,111,8654.142500000004,borda
307,Q0,FBIS3-40450,112,8645.317500000003,borda
307,Q0,FR940527-2-00219,113,8627.582500000004,borda
307,Q0,FR941221-2-00040,114,8611.116250000005,borda
307,Q0,FR940119-2-00104,115,8561.235000000004,borda
307,Q0,FBIS3-29527,116,8487.017500000004,borda
307,Q0,FR941031-2-00036,117,8436.065000000002,borda
307,Q0,FR940406-2-00045,118,8419.386250000001,borda
307,Q0,FBIS3-41425,119,8411.073750000007,borda
307,Q0,FBIS3-48753,120,8397.167500000003,borda
307,Q0,FT924-1939,121,8392.268750000005,borda
307,Q0,FR940419-2-00049,122,8372.040000000005,borda
307,Q0,FR941205-2-00138,123,8340.531250000004,borda
307,Q0,LA061889-0195,124,8340.222500000005,borda
307,Q0,FR940527-2-00043,125,8329.911250000003,borda
307,Q0,FR940711-2-00068,126,8223.730000000003,borda
307,Q0,FR941020-2-00025,127,8217.346250000002,borda
307,Q0,FR940707-2-00077,128,8200.553750000003,borda
307,Q0,FR940114-2-00010,129,8113.570000000002,borda
307,Q0,FT923-10241,130,8104.225000000004,borda
307,Q0,FR940803-2-00061,131,8089.150000000004,borda
307,Q0,FR940711-2-00097,132,8066.441250000004,borda
307,Q0,FR940216-2-00036,133,8065.367500000003,borda
307,Q0,FR940405-2-00037,134,8049.936250000003,borda
307,Q0,FR940418-2-00055,135,8036.912500000003,borda
307,Q0,FR940405-2-00043,136,8019.753750000003,borda
307,Q0,FR940202-2-00072,137,8015.786250000004,borda
307,Q0,FR940214-2-00023,138,7985.355000000004,borda
307,Q0,FR940527-2-00216,139,7924.742500000004,borda
307,Q0,FR941205-2-00149,140,7915.520000000006,borda
307,Q0,FR940119-2-00105,141,7914.687500000004,borda
307,Q0,FR940325-2-00044,142,7886.657500000004,borda
307,Q0,FR940603-1-00203,143,7884.1287500000035,borda
307,Q0,FT932-7110,144,7863.0037500000035,borda
307,Q0,FBIS3-22214,145,7862.396250000005,borda
307,Q0,FR940617-2-00229,146,7845.996250000004,borda
307,Q0,FR940706-2-00126,147,7830.833750000003,borda
307,Q0,FR941026-2-00082,148,7801.641250000003,borda
307,Q0,FBIS4-29675,149,7786.362500000004,borda
307,Q0,FR941103-2-00025,150,7777.763750000004,borda
307,Q0,FR940627-2-00046,151,7770.358750000003,borda
307,Q0,FR941227-0-00110,152,7769.037500000003,borda
307,Q0,FR941021-2-00021,153,7726.645000000003,borda
307,Q0,FR941128-2-00132,154,7724.240000000005,borda
307,Q0,FR940526-2-00011,155,7714.428750000004,borda
307,Q0,FR941121-2-00039,156,7713.538750000003,borda
307,Q0,FR940104-2-00026,157,7709.691250000004,borda
307,Q0,FR940725-2-00025,158,7709.621250000005,borda
307,Q0,FR941005-2-00036,159,7700.861250000004,borda
307,Q0,FR940114-2-00008,160,7687.133750000003,borda
307,Q0,FR941012-2-00106,161,7683.043750000004,borda
307,Q0,FR940318-2-00040,162,7652.610000000005,borda
307,Q0,FBIS3-35090,163,7635.465000000003,borda
307,Q0,FR940831-2-00107,164,7629.7887500000015,borda
307,Q0,FR940302-2-00082,165,7555.131250000003,borda
307,Q0,FBIS3-6545,166,7546.082500000004,borda
307,Q0,FR940413-2-00130,167,7539.560000000003,borda
307,Q0,FR941020-2-00026,168,7521.561250000004,borda
307,Q0,FR940721-2-00161,169,7515.7537500000035,borda
307,Q0,FBIS3-50414,170,7510.172500000003,borda
307,Q0,FR941012-2-00057,171,7502.437500000005,borda
307,Q0,FR940511-2-00049,172,7482.227500000005,borda
307,Q0,FR940603-1-00138,173,7473.660000000004,borda
