query,q0,docid,rank,score,system
307,Q0,FR940804-2-00061,1,12.083289854844773,minmaxnorm
307,Q0,FR940512-2-00030,2,11.398699953486537,minmaxnorm
307,Q0,FR940303-2-00030,3,10.808989566777214,minmaxnorm
307,Q0,FR940617-2-00070,4,10.778667230675467,minmaxnorm
307,Q0,FR940414-2-00020,5,9.995379092030404,minmaxnorm
307,Q0,FR940930-2-00024,6,9.934205607620857,minmaxnorm
307,Q0,FR940204-2-00051,7,9.740240372225387,minmaxnorm
307,Q0,FR940303-2-00027,8,9.519441203320902,minmaxnorm
307,Q0,FR940916-2-00027,9,9.149185091662284,minmaxnorm
307,Q0,FR940916-2-00026,10,9.117804580113487,minmaxnorm
307,Q0,FR940405-2-00042,11,8.852688400591472,minmaxnorm
307,Q0,FR940512-2-00029,12,8.680087935911633,minmaxnorm
307,Q0,FR940418-2-00056,13,8.655592587450382,minmaxnorm
307,Q0,FR940114-2-00039,14,8.583794552888714,minmaxnorm
307,Q0,FR940607-2-00030,15,8.501287255243987,minmaxnorm
307,Q0,FR940418-2-00051,16,8.493934783580913,minmaxnorm
307,Q0,FR940617-2-00073,17,8.482229187469459,minmaxnorm
307,Q0,FR940418-2-00054,18,8.467065369154975,minmaxnorm
307,Q0,FR940804-2-00059,19,8.435275061995652,minmaxnorm
307,Q0,FR940414-2-00028,20,8.408837042652547,minmaxnorm
307,Q0,FR941216-2-00052,21,8.400138759082127,minmaxnorm
307,Q0,FR940114-2-00037,22,8.380137605329507,minmaxnorm
307,Q0,FR940303-2-00028,23,8.376588526456544,minmaxnorm
307,Q0,FR940930-2-00023,24,8.371832074855249,minmaxnorm
307,Q0,FR940204-2-00053,25,8.278558091178231,minmaxnorm
307,Q0,FR940705-2-00044,26,8.087599324699957,minmaxnorm
307,Q0,FR940617-2-00074,27,8.024130258481511,minmaxnorm
307,Q0,FR940405-2-00036,28,7.888676637269381,minmaxnorm
307,Q0,FR940705-2-00043,29,7.691913677170864,minmaxnorm
307,Q0,FR940203-1-00024,30,7.550452670373643,minmaxnorm
307,Q0,FR940405-2-00039,31,7.547288482905512,minmaxnorm
307,Q0,FR940916-2-00028,32,7.43451613684853,minmaxnorm
307,Q0,FR940930-2-00025,33,7.078025470213489,minmaxnorm
307,Q0,FR940407-2-00040,34,7.033385628159273,minmaxnorm
307,Q0,FR940114-2-00040,35,7.02550514266247,minmaxnorm
307,Q0,FR940407-2-00043,36,7.0213910381103934,minmaxnorm
307,Q0,FR940804-2-00063,37,6.948196850865552,minmaxnorm
307,Q0,FR941207-1-00024,38,6.876446104736848,minmaxnorm
307,Q0,FR940325-2-00042,39,6.736782442853046,minmaxnorm
307,Q0,FR941219-2-00088,40,6.598647657064209,minmaxnorm
307,Q0,FR940804-2-00062,41,6.507604877473703,minmaxnorm
307,Q0,FR940705-2-00041,42,6.373879707089157,minmaxnorm
307,Q0,FR940414-2-00026,43,6.339152594338433,minmaxnorm
307,Q0,FR940414-2-00025,44,6.249600301813252,minmaxnorm
307,Q0,FR940607-2-00031,45,6.033487799712281,minmaxnorm
307,Q0,FR940721-2-00032,46,5.879899154706032,minmaxnorm
307,Q0,FR940418-2-00053,47,5.872741384824698,minmaxnorm
307,Q0,FR940922-2-00045,48,5.84605678694925,minmaxnorm
307,Q0,FR940916-2-00029,49,5.774627440129311,minmaxnorm
307,Q0,FR940526-2-00014,50,5.707441476810616,minmaxnorm
307,Q0,FR940414-2-00023,51,5.688594590836059,minmaxnorm
307,Q0,FR940112-2-00018,52,5.676924363993773,minmaxnorm
307,Q0,FR940204-2-00052,53,5.543769549780587,minmaxnorm
307,Q0,FR940414-2-00022,54,5.5342599951680596,minmaxnorm
307,Q0,FR941130-2-00012,55,5.516160499103108,minmaxnorm
307,Q0,FR941121-2-00029,56,5.494555674333835,minmaxnorm
307,Q0,FR940414-2-00027,57,5.409821879998492,minmaxnorm
307,Q0,FR940414-2-00024,58,5.3594400160928055,minmaxnorm
307,Q0,FR940407-2-00042,59,5.315022984758284,minmaxnorm
