r1,r2,score
input.aplrob03a.gz,input.aplrob03b.gz,0.2796826393616661
input.aplrob03b.gz,input.aplrob03a.gz,0.2796826393616661
input.aplrob03a.gz,input.aplrob03c.gz,0.27620245509092306
input.aplrob03c.gz,input.aplrob03a.gz,0.27620245509092306
input.aplrob03a.gz,input.aplrob03d.gz,0.2786214047108021
input.aplrob03d.gz,input.aplrob03a.gz,0.2786214047108021
input.aplrob03a.gz,input.aplrob03e.gz,0.28104751518885507
input.aplrob03e.gz,input.aplrob03a.gz,0.28104751518885507
input.aplrob03a.gz,input.fub03IeOLKe3.gz,0.2675740777332942
input.fub03IeOLKe3.gz,input.aplrob03a.gz,0.2675740777332942
input.aplrob03a.gz,input.fub03InB2e3.gz,0.2671643538378315
input.fub03InB2e3.gz,input.aplrob03a.gz,0.2671643538378315
input.aplrob03a.gz,input.fub03IneOBu3.gz,0.2626367727101374
input.fub03IneOBu3.gz,input.aplrob03a.gz,0.2626367727101374
input.aplrob03a.gz,input.fub03IneOLe3.gz,0.268158766463623
input.fub03IneOLe3.gz,input.aplrob03a.gz,0.268158766463623
input.aplrob03a.gz,input.fub03InOLe3.gz,0.2702432922222802
input.fub03InOLe3.gz,input.aplrob03a.gz,0.2702432922222802
input.aplrob03a.gz,input.humR03d.gz,0.2659123084284888
input.humR03d.gz,input.aplrob03a.gz,0.2659123084284888
input.aplrob03a.gz,input.humR03de.gz,0.2850658804412746
input.humR03de.gz,input.aplrob03a.gz,0.2850658804412746
input.aplrob03b.gz,input.aplrob03c.gz,0.24201801269116915
input.aplrob03c.gz,input.aplrob03b.gz,0.24201801269116915
input.aplrob03b.gz,input.aplrob03d.gz,0.24877938896093182
input.aplrob03d.gz,input.aplrob03b.gz,0.24877938896093182
input.aplrob03b.gz,input.aplrob03e.gz,0.23925239526279096
input.aplrob03e.gz,input.aplrob03b.gz,0.23925239526279096
input.aplrob03b.gz,input.fub03IeOLKe3.gz,0.24372012133997809
input.fub03IeOLKe3.gz,input.aplrob03b.gz,0.24372012133997809
input.aplrob03b.gz,input.fub03InB2e3.gz,0.23130433833786457
input.fub03InB2e3.gz,input.aplrob03b.gz,0.23130433833786457
input.aplrob03b.gz,input.fub03IneOBu3.gz,0.23024549296683156
input.fub03IneOBu3.gz,input.aplrob03b.gz,0.23024549296683156
input.aplrob03b.gz,input.fub03IneOLe3.gz,0.24067486900569685
input.fub03IneOLe3.gz,input.aplrob03b.gz,0.24067486900569685
input.aplrob03b.gz,input.fub03InOLe3.gz,0.24201352404823034
input.fub03InOLe3.gz,input.aplrob03b.gz,0.24201352404823034
input.aplrob03b.gz,input.humR03d.gz,0.23978900395085892
input.humR03d.gz,input.aplrob03b.gz,0.23978900395085892
input.aplrob03b.gz,input.humR03de.gz,0.26152754754648433
input.humR03de.gz,input.aplrob03b.gz,0.26152754754648433
input.aplrob03c.gz,input.aplrob03d.gz,0.24304960790120855
