r1,r2,score
input.aplrob03a.gz,input.aplrob03b.gz,0.24024999969232494
input.aplrob03b.gz,input.aplrob03a.gz,0.24024999969232494
input.aplrob03a.gz,input.aplrob03c.gz,0.23523919888854908
input.aplrob03c.gz,input.aplrob03a.gz,0.23523919888854908
input.aplrob03a.gz,input.aplrob03d.gz,0.23768585678586235
input.aplrob03d.gz,input.aplrob03a.gz,0.23768585678586235
input.aplrob03a.gz,input.aplrob03e.gz,0.24280683514185894
input.aplrob03e.gz,input.aplrob03a.gz,0.24280683514185894
input.aplrob03a.gz,input.fub03IeOLKe3.gz,0.23047143039994095
input.fub03IeOLKe3.gz,input.aplrob03a.gz,0.23047143039994095
input.aplrob03a.gz,input.fub03InB2e3.gz,0.23535776168052652
input.fub03InB2e3.gz,input.aplrob03a.gz,0.23535776168052652
input.aplrob03a.gz,input.fub03IneOBu3.gz,0.2292452647278604
input.fub03IneOBu3.gz,input.aplrob03a.gz,0.2292452647278604
input.aplrob03a.gz,input.fub03IneOLe3.gz,0.22898480728574402
input.fub03IneOLe3.gz,input.aplrob03a.gz,0.22898480728574402
input.aplrob03a.gz,input.fub03InOLe3.gz,0.23536540909371478
input.fub03InOLe3.gz,input.aplrob03a.gz,0.23536540909371478
input.aplrob03a.gz,input.humR03d.gz,0.23202302006355074
input.humR03d.gz,input.aplrob03a.gz,0.23202302006355074
input.aplrob03a.gz,input.humR03de.gz,0.2428564168404815
input.humR03de.gz,input.aplrob03a.gz,0.2428564168404815
input.aplrob03b.gz,input.aplrob03c.gz,0.21865310942877808
input.aplrob03c.gz,input.aplrob03b.gz,0.21865310942877808
input.aplrob03b.gz,input.aplrob03d.gz,0.22288429047773742
input.aplrob03d.gz,input.aplrob03b.gz,0.22288429047773742
input.aplrob03b.gz,input.aplrob03e.gz,0.21789983408722416
input.aplrob03e.gz,input.aplrob03b.gz,0.21789983408722416
input.aplrob03b.gz,input.fub03IeOLKe3.gz,0.21573035148904535
input.fub03IeOLKe3.gz,input.aplrob03b.gz,0.21573035148904535
input.aplrob03b.gz,input.fub03InB2e3.gz,0.21712151671131447
input.fub03InB2e3.gz,input.aplrob03b.gz,0.21712151671131447
input.aplrob03b.gz,input.fub03IneOBu3.gz,0.20753103984146087
input.fub03IneOBu3.gz,input.aplrob03b.gz,0.20753103984146087
input.aplrob03b.gz,input.fub03IneOLe3.gz,0.21261893836267715
input.fub03IneOLe3.gz,input.aplrob03b.gz,0.21261893836267715
