r1,r2,score
input.aplrob03a.gz,input.aplrob03b.gz,0.23980655340844637
input.aplrob03b.gz,input.aplrob03a.gz,0.23980655340844637
input.aplrob03a.gz,input.aplrob03c.gz,0.23640334145746503
input.aplrob03c.gz,input.aplrob03a.gz,0.23640334145746503
input.aplrob03a.gz,input.aplrob03d.gz,0.23715688921461558
input.aplrob03d.gz,input.aplrob03a.gz,0.23715688921461558
input.aplrob03a.gz,input.aplrob03e.gz,0.24237993621004175
input.aplrob03e.gz,input.aplrob03a.gz,0.24237993621004175
input.aplrob03a.gz,input.fub03IeOLKe3.gz,0.23371597276980488
input.fub03IeOLKe3.gz,input.aplrob03a.gz,0.23371597276980488
input.aplrob03a.gz,input.fub03InB2e3.gz,0.2372631569213616
input.fub03InB2e3.gz,input.aplrob03a.gz,0.2372631569213616
input.aplrob03a.gz,input.fub03IneOBu3.gz,0.23230794880164743
input.fub03IneOBu3.gz,input.aplrob03a.gz,0.23230794880164743
input.aplrob03a.gz,input.fub03IneOLe3.gz,0.232928213912143
input.fub03IneOLe3.gz,input.aplrob03a.gz,0.232928213912143
input.aplrob03a.gz,input.fub03InOLe3.gz,0.2368295914975514
input.fub03InOLe3.gz,input.aplrob03a.gz,0.2368295914975514
input.aplrob03a.gz,input.humR03d.gz,0.23621339935177135
input.humR03d.gz,input.aplrob03a.gz,0.23621339935177135
input.aplrob03a.gz,input.humR03de.gz,0.24582508278397636
input.humR03de.gz,input.aplrob03a.gz,0.24582508278397636
input.aplrob03b.gz,input.aplrob03c.gz,0.218027205365327
input.aplrob03c.gz,input.aplrob03b.gz,0.218027205365327
input.aplrob03b.gz,input.aplrob03d.gz,0.22211066784203265
input.aplrob03d.gz,input.aplrob03b.gz,0.22211066784203265
input.aplrob03b.gz,input.aplrob03e.gz,0.2171498200823617
input.aplrob03e.gz,input.aplrob03b.gz,0.2171498200823617
input.aplrob03b.gz,input.fub03IeOLKe3.gz,0.21734918339969184
input.fub03IeOLKe3.gz,input.aplrob03b.gz,0.21734918339969184
input.aplrob03b.gz,input.fub03InB2e3.gz,0.2209928743452682
input.fub03InB2e3.gz,input.aplrob03b.gz,0.2209928743452682
input.aplrob03b.gz,input.fub03IneOBu3.gz,0.21166948055443302
input.fub03IneOBu3.gz,input.aplrob03b.gz,0.21166948055443302
input.aplrob03b.gz,input.fub03IneOLe3.gz,0.2146914648794791
input.fub03IneOLe3.gz,input.aplrob03b.gz,0.2146914648794791
input.aplrob03b.gz,input.fub03InOLe3.gz,0.21916895876698375
input.fub03InOLe3.gz,input.aplrob03b.gz,0.21916895876698375
input.aplrob03b.gz,input.humR03d.gz,0.21919586041993067
input.humR03d.gz,input.aplrob03b.gz,0.21919586041993067
input.aplrob03b.gz,input.humR03de.gz,0.23170893252013594
input.humR03de.gz,input.aplrob03b.gz,0.23170893252013594
input.aplrob03c.gz,input.aplrob03d.gz,0.22044813171560418
input.aplrob03d.gz,input.aplrob03c.gz,0.22044813171560418
input.aplrob03c.gz,input.aplrob03e.gz,0.22231679657200668
input.aplrob03e.gz,input.aplrob03c.gz,0.22231679657200668
input.aplrob03c.gz,input.fub03IeOLKe3.gz,0.21918928932803228
input.fub03IeOLKe3.gz,input.aplrob03c.gz,0.21918928932803228
input.aplrob03c.gz,input.fub03InB2e3.gz,0.22264063521496408
input.fub03InB2e3.gz,input.aplrob03c.gz,0.22264063521496408
input.aplrob03c.gz,input.fub03IneOBu3.gz,0.21140738501747122
input.fub03IneOBu3.gz,input.aplrob03c.gz,0.21140738501747122
input.aplrob03c.gz,input.fub03IneOLe3.gz,0.21600901689716095
input.fub03IneOLe3.gz,input.aplrob03c.gz,0.21600901689716095
input.aplrob03c.gz,input.fub03InOLe3.gz,0.2200464010307619
input.fub03InOLe3.gz,input.aplrob03c.gz,0.2200464010307619
input.aplrob03c.gz,input.humR03d.gz,0.21689448088284155
input.humR03d.gz,input.aplrob03c.gz,0.21689448088284155
input.aplrob03c.gz,input.humR03de.gz,0.23073422554201697
input.humR03de.gz,input.aplrob03c.gz,0.23073422554201697
input.aplrob03d.gz,input.aplrob03e.gz,0.22515751893847039
input.aplrob03e.gz,input.aplrob03d.gz,0.22515751893847039
input.aplrob03d.gz,input.fub03IeOLKe3.gz,0.22197461880712316
input.fub03IeOLKe3.gz,input.aplrob03d.gz,0.22197461880712316
input.aplrob03d.gz,input.fub03InB2e3.gz,0.22225861376936268
input.fub03InB2e3.gz,input.aplrob03d.gz,0.22225861376936268
input.aplrob03d.gz,input.fub03IneOBu3.gz,0.21615857437160782
input.fub03IneOBu3.gz,input.aplrob03d.gz,0.21615857437160782
input.aplrob03d.gz,input.fub03IneOLe3.gz,0.220063596554862
