r1,r2,score
input.aplrob03a.gz,input.aplrob03b.gz,0.25495742505771035
input.aplrob03b.gz,input.aplrob03a.gz,0.25495742505771035
input.aplrob03a.gz,input.aplrob03c.gz,0.2582585290942686
input.aplrob03c.gz,input.aplrob03a.gz,0.2582585290942686
input.aplrob03a.gz,input.aplrob03d.gz,0.25745408560456884
input.aplrob03d.gz,input.aplrob03a.gz,0.25745408560456884
input.aplrob03a.gz,input.aplrob03e.gz,0.2552836246624145
input.aplrob03e.gz,input.aplrob03a.gz,0.2552836246624145
input.aplrob03a.gz,input.fub03IeOLKe3.gz,0.25464713033062625
input.fub03IeOLKe3.gz,input.aplrob03a.gz,0.25464713033062625
input.aplrob03a.gz,input.fub03InB2e3.gz,0.2597526189336522
input.fub03InB2e3.gz,input.aplrob03a.gz,0.2597526189336522
input.aplrob03a.gz,input.fub03IneOBu3.gz,0.25175802350086685
input.fub03IneOBu3.gz,input.aplrob03a.gz,0.25175802350086685
input.aplrob03a.gz,input.fub03IneOLe3.gz,0.2540001619211026
input.fub03IneOLe3.gz,input.aplrob03a.gz,0.2540001619211026
input.aplrob03a.gz,input.fub03InOLe3.gz,0.25743427630607363
input.fub03InOLe3.gz,input.aplrob03a.gz,0.25743427630607363
input.aplrob03a.gz,input.humR03d.gz,0.2518321015436068
input.humR03d.gz,input.aplrob03a.gz,0.2518321015436068
input.aplrob03a.gz,input.humR03de.gz,0.2584764209712628
input.humR03de.gz,input.aplrob03a.gz,0.2584764209712628
input.aplrob03b.gz,input.aplrob03c.gz,0.22203847932314041
input.aplrob03c.gz,input.aplrob03b.gz,0.22203847932314041
input.aplrob03b.gz,input.aplrob03d.gz,0.23102209637747934
input.aplrob03d.gz,input.aplrob03b.gz,0.23102209637747934
input.aplrob03b.gz,input.aplrob03e.gz,0.22400481857582868
input.aplrob03e.gz,input.aplrob03b.gz,0.22400481857582868
input.aplrob03b.gz,input.fub03IeOLKe3.gz,0.23230803186497004
input.fub03IeOLKe3.gz,input.aplrob03b.gz,0.23230803186497004
input.aplrob03b.gz,input.fub03InB2e3.gz,0.2227682728318457
input.fub03InB2e3.gz,input.aplrob03b.gz,0.2227682728318457
input.aplrob03b.gz,input.fub03IneOBu3.gz,0.22415967472279666
input.fub03IneOBu3.gz,input.aplrob03b.gz,0.22415967472279666
input.aplrob03b.gz,input.fub03IneOLe3.gz,0.22928019173618175
input.fub03IneOLe3.gz,input.aplrob03b.gz,0.22928019173618175
input.aplrob03b.gz,input.fub03InOLe3.gz,0.23286072826615914
input.fub03InOLe3.gz,input.aplrob03b.gz,0.23286072826615914
input.aplrob03b.gz,input.humR03d.gz,0.23792656716816452
input.humR03d.gz,input.aplrob03b.gz,0.23792656716816452
input.aplrob03b.gz,input.humR03de.gz,0.25048598969978464
input.humR03de.gz,input.aplrob03b.gz,0.25048598969978464
input.aplrob03c.gz,input.aplrob03d.gz,0.22980374734520742
input.aplrob03d.gz,input.aplrob03c.gz,0.22980374734520742
input.aplrob03c.gz,input.aplrob03e.gz,0.2221586785714819
input.aplrob03e.gz,input.aplrob03c.gz,0.2221586785714819
