r1,r2,score
input.aplrob03a.gz,input.aplrob03b.gz,0.4175
input.aplrob03b.gz,input.aplrob03a.gz,0.4175
input.aplrob03a.gz,input.aplrob03c.gz,0.42749999999999994
input.aplrob03c.gz,input.aplrob03a.gz,0.42749999999999994
input.aplrob03a.gz,input.aplrob03d.gz,0.41125
input.aplrob03d.gz,input.aplrob03a.gz,0.41125
input.aplrob03a.gz,input.aplrob03e.gz,0.425
input.aplrob03e.gz,input.aplrob03a.gz,0.425
input.aplrob03a.gz,input.fub03IeOLKe3.gz,0.4325
input.fub03IeOLKe3.gz,input.aplrob03a.gz,0.4325
input.aplrob03a.gz,input.fub03InB2e3.gz,0.43624999999999997
input.fub03InB2e3.gz,input.aplrob03a.gz,0.43624999999999997
input.aplrob03a.gz,input.fub03IneOBu3.gz,0.4375
input.fub03IneOBu3.gz,input.aplrob03a.gz,0.4375
input.aplrob03a.gz,input.fub03IneOLe3.gz,0.43375
input.fub03IneOLe3.gz,input.aplrob03a.gz,0.43375
input.aplrob03a.gz,input.fub03InOLe3.gz,0.43875000000000003
input.fub03InOLe3.gz,input.aplrob03a.gz,0.43875000000000003
input.aplrob03a.gz,input.humR03d.gz,0.41500000000000004
input.humR03d.gz,input.aplrob03a.gz,0.41500000000000004
input.aplrob03a.gz,input.humR03de.gz,0.4387500000000001
input.humR03de.gz,input.aplrob03a.gz,0.4387500000000001
input.aplrob03b.gz,input.aplrob03c.gz,0.38625
input.aplrob03c.gz,input.aplrob03b.gz,0.38625
input.aplrob03b.gz,input.aplrob03d.gz,0.37875000000000003
input.aplrob03d.gz,input.aplrob03b.gz,0.37875000000000003
input.aplrob03b.gz,input.aplrob03e.gz,0.36375
input.aplrob03e.gz,input.aplrob03b.gz,0.36375
input.aplrob03b.gz,input.fub03IeOLKe3.gz,0.41125
input.fub03IeOLKe3.gz,input.aplrob03b.gz,0.41125
input.aplrob03b.gz,input.fub03InB2e3.gz,0.41875
input.fub03InB2e3.gz,input.aplrob03b.gz,0.41875
input.aplrob03b.gz,input.fub03IneOBu3.gz,0.39499999999999996
input.fub03IneOBu3.gz,input.aplrob03b.gz,0.39499999999999996
input.aplrob03b.gz,input.fub03IneOLe3.gz,0.40875000000000006
input.fub03IneOLe3.gz,input.aplrob03b.gz,0.40875000000000006
input.aplrob03b.gz,input.fub03InOLe3.gz,0.4125
input.fub03InOLe3.gz,input.aplrob03b.gz,0.4125
input.aplrob03b.gz,input.humR03d.gz,0.39875
input.humR03d.gz,input.aplrob03b.gz,0.39875
input.aplrob03b.gz,input.humR03de.gz,0.4175
input.humR03de.gz,input.aplrob03b.gz,0.4175
input.aplrob03c.gz,input.aplrob03d.gz,0.39375
input.aplrob03d.gz,input.aplrob03c.gz,0.39375
input.aplrob03c.gz,input.aplrob03e.gz,0.38375
input.aplrob03e.gz,input.aplrob03c.gz,0.38375
input.aplrob03c.gz,input.fub03IeOLKe3.gz,0.41375
input.fub03IeOLKe3.gz,input.aplrob03c.gz,0.41375
input.aplrob03c.gz,input.fub03InB2e3.gz,0.41875
input.fub03InB2e3.gz,input.aplrob03c.gz,0.41875
input.aplrob03c.gz,input.fub03IneOBu3.gz,0.40750000000000003
input.fub03IneOBu3.gz,input.aplrob03c.gz,0.40750000000000003
input.aplrob03c.gz,input.fub03IneOLe3.gz,0.40499999999999997
input.fub03IneOLe3.gz,input.aplrob03c.gz,0.40499999999999997
input.aplrob03c.gz,input.fub03InOLe3.gz,0.42374999999999996
input.fub03InOLe3.gz,input.aplrob03c.gz,0.42374999999999996
input.aplrob03c.gz,input.humR03d.gz,0.3975
input.humR03d.gz,input.aplrob03c.gz,0.3975
input.aplrob03c.gz,input.humR03de.gz,0.40874999999999995
input.humR03de.gz,input.aplrob03c.gz,0.40874999999999995
input.aplrob03d.gz,input.aplrob03e.gz,0.38500000000000006
input.aplrob03e.gz,input.aplrob03d.gz,0.38500000000000006
input.aplrob03d.gz,input.fub03IeOLKe3.gz,0.4050000000000001
input.fub03IeOLKe3.gz,input.aplrob03d.gz,0.4050000000000001
input.aplrob03d.gz,input.fub03InB2e3.gz,0.42124999999999996
input.fub03InB2e3.gz,input.aplrob03d.gz,0.42124999999999996
input.aplrob03d.gz,input.fub03IneOBu3.gz,0.40750000000000003
input.fub03IneOBu3.gz,input.aplrob03d.gz,0.40750000000000003
input.aplrob03d.gz,input.fub03IneOLe3.gz,0.39875000000000005
input.fub03IneOLe3.gz,input.aplrob03d.gz,0.39875000000000005
input.aplrob03d.gz,input.fub03InOLe3.gz,0.40875000000000006
input.fub03InOLe3.gz,input.aplrob03d.gz,0.40875000000000006
input.aplrob03d.gz,input.humR03d.gz,0.39375
input.humR03d.gz,input.aplrob03d.gz,0.39375
input.aplrob03d.gz,input.humR03de.gz,0.40625
input.humR03de.gz,input.aplrob03d.gz,0.40625
input.aplrob03e.gz,input.fub03IeOLKe3.gz,0.40625
input.fub03IeOLKe3.gz,input.aplrob03e.gz,0.40625
input.aplrob03e.gz,input.fub03InB2e3.gz,0.425
input.fub03InB2e3.gz,input.aplrob03e.gz,0.425
input.aplrob03e.gz,input.fub03IneOBu3.gz,0.395
input.fub03IneOBu3.gz,input.aplrob03e.gz,0.395
input.aplrob03e.gz,input.fub03IneOLe3.gz,0.4
input.fub03IneOLe3.gz,input.aplrob03e.gz,0.4
input.aplrob03e.gz,input.fub03InOLe3.gz,0.40125
input.fub03InOLe3.gz,input.aplrob03e.gz,0.40125
input.aplrob03e.gz,input.humR03d.gz,0.38625
input.humR03d.gz,input.aplrob03e.gz,0.38625
input.aplrob03e.gz,input.humR03de.gz,0.40750000000000003
input.humR03de.gz,input.aplrob03e.gz,0.40750000000000003
input.fub03IeOLKe3.gz,input.fub03InB2e3.gz,0.40124999999999994
input.fub03InB2e3.gz,input.fub03IeOLKe3.gz,0.40124999999999994
input.fub03IeOLKe3.gz,input.fub03IneOBu3.gz,0.3874999999999999
input.fub03IneOBu3.gz,input.fub03IeOLKe3.gz,0.3874999999999999
input.fub03IeOLKe3.gz,input.fub03IneOLe3.gz,0.385
input.fub03IneOLe3.gz,input.fub03IeOLKe3.gz,0.385
input.fub03IeOLKe3.gz,input.fub03InOLe3.gz,0.38875000000000004
input.fub03InOLe3.gz,input.fub03IeOLKe3.gz,0.38875000000000004
input.fub03IeOLKe3.gz,input.humR03d.gz,0.3825
input.humR03d.gz,input.fub03IeOLKe3.gz,0.3825
input.fub03IeOLKe3.gz,input.humR03de.gz,0.39875
input.humR03de.gz,input.fub03IeOLKe3.gz,0.39875
input.fub03InB2e3.gz,input.fub03IneOBu3.gz,0.4025
input.fub03IneOBu3.gz,input.fub03InB2e3.gz,0.4025
input.fub03InB2e3.gz,input.fub03IneOLe3.gz,0.395
input.fub03IneOLe3.gz,input.fub03InB2e3.gz,0.395
input.fub03InB2e3.gz,input.fub03InOLe3.gz,0.4125
input.fub03InOLe3.gz,input.fub03InB2e3.gz,0.4125
input.fub03InB2e3.gz,input.humR03d.gz,0.40125
input.humR03d.gz,input.fub03InB2e3.gz,0.40125
input.fub03InB2e3.gz,input.humR03de.gz,0.41375
input.humR03de.gz,input.fub03InB2e3.gz,0.41375
input.fub03IneOBu3.gz,input.fub03IneOLe3.gz,0.3825
input.fub03IneOLe3.gz,input.fub03IneOBu3.gz,0.3825
input.fub03IneOBu3.gz,input.humR03d.gz,0.3875
input.humR03d.gz,input.fub03IneOBu3.gz,0.3875
input.fub03IneOBu3.gz,input.humR03de.gz,0.38625
input.humR03de.gz,input.fub03IneOBu3.gz,0.38625
input.fub03IneOLe3.gz,input.humR03d.gz,0.38125
input.humR03d.gz,input.fub03IneOLe3.gz,0.38125
input.fub03IneOLe3.gz,input.humR03de.gz,0.40374999999999994
input.humR03de.gz,input.fub03IneOLe3.gz,0.40374999999999994
input.fub03InOLe3.gz,input.fub03IneOBu3.gz,0.39125
input.fub03IneOBu3.gz,input.fub03InOLe3.gz,0.39125
input.fub03InOLe3.gz,input.fub03IneOLe3.gz,0.39249999999999996
input.fub03IneOLe3.gz,input.fub03InOLe3.gz,0.39249999999999996
input.fub03InOLe3.gz,input.humR03d.gz,0.39375
input.humR03d.gz,input.fub03InOLe3.gz,0.39375
input.fub03InOLe3.gz,input.humR03de.gz,0.40625
input.humR03de.gz,input.fub03InOLe3.gz,0.40625
input.humR03d.gz,input.humR03de.gz,0.3775
input.humR03de.gz,input.humR03d.gz,0.3775
input.InexpC2.gz,input.aplrob03a.gz,0.43500000000000005
input.aplrob03a.gz,input.InexpC2.gz,0.43500000000000005
input.InexpC2.gz,input.aplrob03b.gz,0.39625
input.aplrob03b.gz,input.InexpC2.gz,0.39625
input.InexpC2.gz,input.aplrob03c.gz,0.40125
input.aplrob03c.gz,input.InexpC2.gz,0.40125
input.InexpC2.gz,input.aplrob03d.gz,0.395
input.aplrob03d.gz,input.InexpC2.gz,0.395
input.InexpC2.gz,input.aplrob03e.gz,0.39249999999999996
input.aplrob03e.gz,input.InexpC2.gz,0.39249999999999996
input.InexpC2.gz,input.fub03IeOLKe3.gz,0.39
input.fub03IeOLKe3.gz,input.InexpC2.gz,0.39
input.InexpC2.gz,input.fub03InB2e3.gz,0.40374999999999994
input.fub03InB2e3.gz,input.InexpC2.gz,0.40374999999999994
input.InexpC2.gz,input.fub03IneOBu3.gz,0.3725
input.fub03IneOBu3.gz,input.InexpC2.gz,0.3725
input.InexpC2.gz,input.fub03IneOLe3.gz,0.3825
input.fub03IneOLe3.gz,input.InexpC2.gz,0.3825
input.InexpC2.gz,input.fub03InOLe3.gz,0.3837499999999999
input.fub03InOLe3.gz,input.InexpC2.gz,0.3837499999999999
input.InexpC2.gz,input.humR03d.gz,0.37750000000000006
input.humR03d.gz,input.InexpC2.gz,0.37750000000000006
input.InexpC2.gz,input.humR03de.gz,0.38375
input.humR03de.gz,input.InexpC2.gz,0.38375
input.InexpC2.gz,input.InexpC2QE.gz,0.37374999999999997
input.InexpC2QE.gz,input.InexpC2.gz,0.37374999999999997
input.InexpC2.gz,input.MU03rob01.gz,0.3875
input.MU03rob01.gz,input.InexpC2.gz,0.3875
input.InexpC2.gz,input.MU03rob02.gz,0.41375
input.MU03rob02.gz,input.InexpC2.gz,0.41375
input.InexpC2.gz,input.MU03rob04.gz,0.43125
input.MU03rob04.gz,input.InexpC2.gz,0.43125
input.InexpC2.gz,input.MU03rob05.gz,0.4012500000000001
input.MU03rob05.gz,input.InexpC2.gz,0.4012500000000001
input.InexpC2.gz,input.UIUC03Rd1.gz,0.375
input.UIUC03Rd1.gz,input.InexpC2.gz,0.375
input.InexpC2.gz,input.UIUC03Rd2.gz,0.38
input.UIUC03Rd2.gz,input.InexpC2.gz,0.38
input.InexpC2.gz,input.UIUC03Rd3.gz,0.3825
input.UIUC03Rd3.gz,input.InexpC2.gz,0.3825
input.InexpC2.gz,input.UIUC03Rt1.gz,0.3825
input.UIUC03Rt1.gz,input.InexpC2.gz,0.3825
input.InexpC2.gz,input.UIUC03Rtd1.gz,0.38500000000000006
input.UIUC03Rtd1.gz,input.InexpC2.gz,0.38500000000000006
input.InexpC2QE.gz,input.aplrob03a.gz,0.42375000000000007
input.aplrob03a.gz,input.InexpC2QE.gz,0.42375000000000007
input.InexpC2QE.gz,input.aplrob03b.gz,0.40125
input.aplrob03b.gz,input.InexpC2QE.gz,0.40125
input.InexpC2QE.gz,input.aplrob03c.gz,0.41125
input.aplrob03c.gz,input.InexpC2QE.gz,0.41125
input.InexpC2QE.gz,input.aplrob03d.gz,0.40874999999999995
input.aplrob03d.gz,input.InexpC2QE.gz,0.40874999999999995
input.InexpC2QE.gz,input.aplrob03e.gz,0.40499999999999997
input.aplrob03e.gz,input.InexpC2QE.gz,0.40499999999999997
input.InexpC2QE.gz,input.fub03IeOLKe3.gz,0.38375
input.fub03IeOLKe3.gz,input.InexpC2QE.gz,0.38375
input.InexpC2QE.gz,input.fub03InB2e3.gz,0.39875
input.fub03InB2e3.gz,input.InexpC2QE.gz,0.39875
input.InexpC2QE.gz,input.fub03IneOBu3.gz,0.38125
input.fub03IneOBu3.gz,input.InexpC2QE.gz,0.38125
input.InexpC2QE.gz,input.fub03IneOLe3.gz,0.38625
input.fub03IneOLe3.gz,input.InexpC2QE.gz,0.38625
input.InexpC2QE.gz,input.fub03InOLe3.gz,0.3925
input.fub03InOLe3.gz,input.InexpC2QE.gz,0.3925
input.InexpC2QE.gz,input.humR03d.gz,0.38
input.humR03d.gz,input.InexpC2QE.gz,0.38
input.InexpC2QE.gz,input.humR03de.gz,0.3875
input.humR03de.gz,input.InexpC2QE.gz,0.3875
input.InexpC2QE.gz,input.MU03rob01.gz,0.39875000000000005
input.MU03rob01.gz,input.InexpC2QE.gz,0.39875000000000005
input.InexpC2QE.gz,input.MU03rob02.gz,0.4225
input.MU03rob02.gz,input.InexpC2QE.gz,0.4225
input.InexpC2QE.gz,input.MU03rob04.gz,0.41875
input.MU03rob04.gz,input.InexpC2QE.gz,0.41875
input.InexpC2QE.gz,input.MU03rob05.gz,0.4125
input.MU03rob05.gz,input.InexpC2QE.gz,0.4125
input.InexpC2QE.gz,input.UIUC03Rd1.gz,0.3775
input.UIUC03Rd1.gz,input.InexpC2QE.gz,0.3775
input.InexpC2QE.gz,input.UIUC03Rd2.gz,0.385
input.UIUC03Rd2.gz,input.InexpC2QE.gz,0.385
input.InexpC2QE.gz,input.UIUC03Rd3.gz,0.3875
input.UIUC03Rd3.gz,input.InexpC2QE.gz,0.3875
input.InexpC2QE.gz,input.UIUC03Rt1.gz,0.39375
input.UIUC03Rt1.gz,input.InexpC2QE.gz,0.39375
input.InexpC2QE.gz,input.UIUC03Rtd1.gz,0.4
input.UIUC03Rtd1.gz,input.InexpC2QE.gz,0.4
input.MU03rob01.gz,input.aplrob03a.gz,0.42750000000000005
input.aplrob03a.gz,input.MU03rob01.gz,0.42750000000000005
input.MU03rob01.gz,input.aplrob03b.gz,0.38875000000000004
input.aplrob03b.gz,input.MU03rob01.gz,0.38875000000000004
input.MU03rob01.gz,input.aplrob03c.gz,0.40875000000000006
input.aplrob03c.gz,input.MU03rob01.gz,0.40875000000000006
input.MU03rob01.gz,input.aplrob03d.gz,0.39250000000000007
input.aplrob03d.gz,input.MU03rob01.gz,0.39250000000000007
input.MU03rob01.gz,input.aplrob03e.gz,0.39125
input.aplrob03e.gz,input.MU03rob01.gz,0.39125
input.MU03rob01.gz,input.fub03IeOLKe3.gz,0.39625000000000005
input.fub03IeOLKe3.gz,input.MU03rob01.gz,0.39625000000000005
input.MU03rob01.gz,input.fub03InB2e3.gz,0.40625
input.fub03InB2e3.gz,input.MU03rob01.gz,0.40625
input.MU03rob01.gz,input.fub03IneOBu3.gz,0.39
input.fub03IneOBu3.gz,input.MU03rob01.gz,0.39
input.MU03rob01.gz,input.fub03IneOLe3.gz,0.4025
input.fub03IneOLe3.gz,input.MU03rob01.gz,0.4025
input.MU03rob01.gz,input.fub03InOLe3.gz,0.3975
input.fub03InOLe3.gz,input.MU03rob01.gz,0.3975
input.MU03rob01.gz,input.humR03d.gz,0.37625000000000003
input.humR03d.gz,input.MU03rob01.gz,0.37625000000000003
input.MU03rob01.gz,input.humR03de.gz,0.39
input.humR03de.gz,input.MU03rob01.gz,0.39
input.MU03rob01.gz,input.MU03rob02.gz,0.38
input.MU03rob02.gz,input.MU03rob01.gz,0.38
input.MU03rob01.gz,input.MU03rob04.gz,0.375
input.MU03rob04.gz,input.MU03rob01.gz,0.375
input.MU03rob01.gz,input.MU03rob05.gz,0.375
input.MU03rob05.gz,input.MU03rob01.gz,0.375
input.MU03rob01.gz,input.UIUC03Rd1.gz,0.38000000000000006
input.UIUC03Rd1.gz,input.MU03rob01.gz,0.38000000000000006
input.MU03rob01.gz,input.UIUC03Rd2.gz,0.37875000000000003
input.UIUC03Rd2.gz,input.MU03rob01.gz,0.37875000000000003
input.MU03rob01.gz,input.UIUC03Rd3.gz,0.38499999999999995
input.UIUC03Rd3.gz,input.MU03rob01.gz,0.38499999999999995
input.MU03rob01.gz,input.UIUC03Rt1.gz,0.41000000000000003
input.UIUC03Rt1.gz,input.MU03rob01.gz,0.41000000000000003
input.MU03rob01.gz,input.UIUC03Rtd1.gz,0.40375000000000005
input.UIUC03Rtd1.gz,input.MU03rob01.gz,0.40375000000000005
input.MU03rob02.gz,input.aplrob03a.gz,0.43375
input.aplrob03a.gz,input.MU03rob02.gz,0.43375
input.MU03rob02.gz,input.aplrob03b.gz,0.4175
input.aplrob03b.gz,input.MU03rob02.gz,0.4175
input.MU03rob02.gz,input.aplrob03c.gz,0.42375000000000007
input.aplrob03c.gz,input.MU03rob02.gz,0.42375000000000007
input.MU03rob02.gz,input.aplrob03d.gz,0.41875
input.aplrob03d.gz,input.MU03rob02.gz,0.41875
input.MU03rob02.gz,input.aplrob03e.gz,0.4175
input.aplrob03e.gz,input.MU03rob02.gz,0.4175
input.MU03rob02.gz,input.fub03IeOLKe3.gz,0.41500000000000004
input.fub03IeOLKe3.gz,input.MU03rob02.gz,0.41500000000000004
input.MU03rob02.gz,input.fub03InB2e3.gz,0.42125
input.fub03InB2e3.gz,input.MU03rob02.gz,0.42125
input.MU03rob02.gz,input.fub03IneOBu3.gz,0.40249999999999997
input.fub03IneOBu3.gz,input.MU03rob02.gz,0.40249999999999997
input.MU03rob02.gz,input.fub03IneOLe3.gz,0.41125
input.fub03IneOLe3.gz,input.MU03rob02.gz,0.41125
input.MU03rob02.gz,input.fub03InOLe3.gz,0.42125
input.fub03InOLe3.gz,input.MU03rob02.gz,0.42125
input.MU03rob02.gz,input.humR03d.gz,0.39625
input.humR03d.gz,input.MU03rob02.gz,0.39625
input.MU03rob02.gz,input.humR03de.gz,0.41
input.humR03de.gz,input.MU03rob02.gz,0.41
input.MU03rob02.gz,input.MU03rob04.gz,0.4074999999999999
input.MU03rob04.gz,input.MU03rob02.gz,0.4074999999999999
input.MU03rob02.gz,input.MU03rob05.gz,0.4
input.MU03rob05.gz,input.MU03rob02.gz,0.4
input.MU03rob02.gz,input.UIUC03Rd1.gz,0.4
input.UIUC03Rd1.gz,input.MU03rob02.gz,0.4
input.MU03rob02.gz,input.UIUC03Rd2.gz,0.4050000000000001
input.UIUC03Rd2.gz,input.MU03rob02.gz,0.4050000000000001
input.MU03rob02.gz,input.UIUC03Rd3.gz,0.40125
input.UIUC03Rd3.gz,input.MU03rob02.gz,0.40125
input.MU03rob02.gz,input.UIUC03Rt1.gz,0.4025
input.UIUC03Rt1.gz,input.MU03rob02.gz,0.4025
input.MU03rob02.gz,input.UIUC03Rtd1.gz,0.4125
input.UIUC03Rtd1.gz,input.MU03rob02.gz,0.4125
input.MU03rob04.gz,input.aplrob03a.gz,0.425
input.aplrob03a.gz,input.MU03rob04.gz,0.425
input.MU03rob04.gz,input.aplrob03b.gz,0.43499999999999994
input.aplrob03b.gz,input.MU03rob04.gz,0.43499999999999994
