r1,r2,score
input.aplrob03a.gz,input.aplrob03b.gz,0.41875
input.aplrob03b.gz,input.aplrob03a.gz,0.41875
input.aplrob03a.gz,input.aplrob03c.gz,0.43499999999999994
input.aplrob03c.gz,input.aplrob03a.gz,0.43499999999999994
input.aplrob03a.gz,input.aplrob03d.gz,0.425
input.aplrob03d.gz,input.aplrob03a.gz,0.425
input.aplrob03a.gz,input.aplrob03e.gz,0.41875
input.aplrob03e.gz,input.aplrob03a.gz,0.41875
input.aplrob03a.gz,input.fub03IeOLKe3.gz,0.43875000000000003
input.fub03IeOLKe3.gz,input.aplrob03a.gz,0.43875000000000003
input.aplrob03a.gz,input.fub03InB2e3.gz,0.445
input.fub03InB2e3.gz,input.aplrob03a.gz,0.445
input.aplrob03a.gz,input.fub03IneOBu3.gz,0.43875000000000003
input.fub03IneOBu3.gz,input.aplrob03a.gz,0.43875000000000003
input.aplrob03a.gz,input.fub03IneOLe3.gz,0.44000000000000006
input.fub03IneOLe3.gz,input.aplrob03a.gz,0.44000000000000006
input.aplrob03a.gz,input.fub03InOLe3.gz,0.44125
input.fub03InOLe3.gz,input.aplrob03a.gz,0.44125
input.aplrob03a.gz,input.humR03d.gz,0.4225
input.humR03d.gz,input.aplrob03a.gz,0.4225
input.aplrob03a.gz,input.humR03de.gz,0.4325
input.humR03de.gz,input.aplrob03a.gz,0.4325
input.aplrob03b.gz,input.aplrob03c.gz,0.37875000000000003
input.aplrob03c.gz,input.aplrob03b.gz,0.37875000000000003
input.aplrob03b.gz,input.aplrob03d.gz,0.37750000000000006
input.aplrob03d.gz,input.aplrob03b.gz,0.37750000000000006
input.aplrob03b.gz,input.aplrob03e.gz,0.36124999999999996
input.aplrob03e.gz,input.aplrob03b.gz,0.36124999999999996
input.aplrob03b.gz,input.fub03IeOLKe3.gz,0.40374999999999994
input.fub03IeOLKe3.gz,input.aplrob03b.gz,0.40374999999999994
input.aplrob03b.gz,input.fub03InB2e3.gz,0.40750000000000003
input.fub03InB2e3.gz,input.aplrob03b.gz,0.40750000000000003
input.aplrob03b.gz,input.fub03IneOBu3.gz,0.39499999999999996
input.fub03IneOBu3.gz,input.aplrob03b.gz,0.39499999999999996
input.aplrob03b.gz,input.fub03IneOLe3.gz,0.39
input.fub03IneOLe3.gz,input.aplrob03b.gz,0.39
input.aplrob03b.gz,input.fub03InOLe3.gz,0.4125
input.fub03InOLe3.gz,input.aplrob03b.gz,0.4125
input.aplrob03b.gz,input.humR03d.gz,0.3975
input.humR03d.gz,input.aplrob03b.gz,0.3975
input.aplrob03b.gz,input.humR03de.gz,0.4125
input.humR03de.gz,input.aplrob03b.gz,0.4125
input.aplrob03c.gz,input.aplrob03d.gz,0.3875
input.aplrob03d.gz,input.aplrob03c.gz,0.3875
input.aplrob03c.gz,input.aplrob03e.gz,0.37750000000000006
input.aplrob03e.gz,input.aplrob03c.gz,0.37750000000000006
input.aplrob03c.gz,input.fub03IeOLKe3.gz,0.40125
input.fub03IeOLKe3.gz,input.aplrob03c.gz,0.40125
input.aplrob03c.gz,input.fub03InB2e3.gz,0.40374999999999994
input.fub03InB2e3.gz,input.aplrob03c.gz,0.40374999999999994
input.aplrob03c.gz,input.fub03IneOBu3.gz,0.38875000000000004
input.fub03IneOBu3.gz,input.aplrob03c.gz,0.38875000000000004
input.aplrob03c.gz,input.fub03IneOLe3.gz,0.39875
input.fub03IneOLe3.gz,input.aplrob03c.gz,0.39875
input.aplrob03c.gz,input.fub03InOLe3.gz,0.4025
input.fub03InOLe3.gz,input.aplrob03c.gz,0.4025
input.aplrob03c.gz,input.humR03d.gz,0.385
input.humR03d.gz,input.aplrob03c.gz,0.385
input.aplrob03c.gz,input.humR03de.gz,0.39375
input.humR03de.gz,input.aplrob03c.gz,0.39375
input.aplrob03d.gz,input.aplrob03e.gz,0.37750000000000006
input.aplrob03e.gz,input.aplrob03d.gz,0.37750000000000006
input.aplrob03d.gz,input.fub03IeOLKe3.gz,0.3975
input.fub03IeOLKe3.gz,input.aplrob03d.gz,0.3975
input.aplrob03d.gz,input.fub03InB2e3.gz,0.40374999999999994
input.fub03InB2e3.gz,input.aplrob03d.gz,0.40374999999999994
input.aplrob03d.gz,input.fub03IneOBu3.gz,0.3825
input.fub03IneOBu3.gz,input.aplrob03d.gz,0.3825
input.aplrob03d.gz,input.fub03IneOLe3.gz,0.39
input.fub03IneOLe3.gz,input.aplrob03d.gz,0.39
input.aplrob03d.gz,input.fub03InOLe3.gz,0.39375
input.fub03InOLe3.gz,input.aplrob03d.gz,0.39375
input.aplrob03d.gz,input.humR03d.gz,0.38125
input.humR03d.gz,input.aplrob03d.gz,0.38125
input.aplrob03d.gz,input.humR03de.gz,0.3925
input.humR03de.gz,input.aplrob03d.gz,0.3925
input.aplrob03e.gz,input.fub03IeOLKe3.gz,0.40249999999999997
input.fub03IeOLKe3.gz,input.aplrob03e.gz,0.40249999999999997
input.aplrob03e.gz,input.fub03InB2e3.gz,0.40750000000000003
input.fub03InB2e3.gz,input.aplrob03e.gz,0.40750000000000003
input.aplrob03e.gz,input.fub03IneOBu3.gz,0.39125
input.fub03IneOBu3.gz,input.aplrob03e.gz,0.39125
input.aplrob03e.gz,input.fub03IneOLe3.gz,0.39125
input.fub03IneOLe3.gz,input.aplrob03e.gz,0.39125
input.aplrob03e.gz,input.fub03InOLe3.gz,0.41
input.fub03InOLe3.gz,input.aplrob03e.gz,0.41
input.aplrob03e.gz,input.humR03d.gz,0.39
input.humR03d.gz,input.aplrob03e.gz,0.39
input.aplrob03e.gz,input.humR03de.gz,0.41875
input.humR03de.gz,input.aplrob03e.gz,0.41875
input.fub03IeOLKe3.gz,input.fub03InB2e3.gz,0.40374999999999994
input.fub03InB2e3.gz,input.fub03IeOLKe3.gz,0.40374999999999994
input.fub03IeOLKe3.gz,input.fub03IneOBu3.gz,0.38499999999999995
input.fub03IneOBu3.gz,input.fub03IeOLKe3.gz,0.38499999999999995
input.fub03IeOLKe3.gz,input.fub03IneOLe3.gz,0.38499999999999995
input.fub03IneOLe3.gz,input.fub03IeOLKe3.gz,0.38499999999999995
input.fub03IeOLKe3.gz,input.fub03InOLe3.gz,0.39375
input.fub03InOLe3.gz,input.fub03IeOLKe3.gz,0.39375
input.fub03IeOLKe3.gz,input.humR03d.gz,0.39875
input.humR03d.gz,input.fub03IeOLKe3.gz,0.39875
input.fub03IeOLKe3.gz,input.humR03de.gz,0.40374999999999994
input.humR03de.gz,input.fub03IeOLKe3.gz,0.40374999999999994
input.fub03InB2e3.gz,input.fub03IneOBu3.gz,0.40124999999999994
input.fub03IneOBu3.gz,input.fub03InB2e3.gz,0.40124999999999994
input.fub03InB2e3.gz,input.fub03IneOLe3.gz,0.40124999999999994
input.fub03IneOLe3.gz,input.fub03InB2e3.gz,0.40124999999999994
input.fub03InB2e3.gz,input.fub03InOLe3.gz,0.4125
input.fub03InOLe3.gz,input.fub03InB2e3.gz,0.4125
input.fub03InB2e3.gz,input.humR03d.gz,0.4175
input.humR03d.gz,input.fub03InB2e3.gz,0.4175
input.fub03InB2e3.gz,input.humR03de.gz,0.4225
input.humR03de.gz,input.fub03InB2e3.gz,0.4225
input.fub03IneOBu3.gz,input.fub03IneOLe3.gz,0.38125000000000003
input.fub03IneOLe3.gz,input.fub03IneOBu3.gz,0.38125000000000003
input.fub03IneOBu3.gz,input.humR03d.gz,0.39125
input.humR03d.gz,input.fub03IneOBu3.gz,0.39125
input.fub03IneOBu3.gz,input.humR03de.gz,0.39249999999999996
input.humR03de.gz,input.fub03IneOBu3.gz,0.39249999999999996
input.fub03IneOLe3.gz,input.humR03d.gz,0.395
input.humR03d.gz,input.fub03IneOLe3.gz,0.395
input.fub03IneOLe3.gz,input.humR03de.gz,0.40125
input.humR03de.gz,input.fub03IneOLe3.gz,0.40125
