r1,weight
input.InexpC2.gz,5.07440885802705
input.InexpC2QE.gz,5.115233865641095
input.MU03rob01.gz,4.92133025671694
input.MU03rob02.gz,5.078474842473949
input.MU03rob04.gz,5.298859017652419
input.MU03rob05.gz,4.964503830097514
input.UIUC03Rd1.gz,5.320341732316718
input.UIUC03Rd2.gz,5.245877597870878
input.UIUC03Rd3.gz,5.32734787281986
input.UIUC03Rt1.gz,5.0310094624630946
input.UIUC03Rtd1.gz,5.441898925982938
input.aplrob03a.gz,5.96996415011162
input.aplrob03b.gz,5.345205771157241
input.aplrob03c.gz,5.503643362048927
input.aplrob03d.gz,5.544251945307712
input.aplrob03e.gz,5.341450829282453
input.fub03IeOLKe3.gz,5.29604455556767
input.fub03InB2e3.gz,5.22888775063378
input.fub03InOLe3.gz,5.296059594849352
input.fub03IneOBu3.gz,5.111464081435215
input.fub03IneOLe3.gz,5.286102617470076
input.humR03d.gz,5.269088934874862
input.humR03de.gz,5.590452769676338
